,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Trade and Other Receivables, Current","Taxes Receivable, Current","Loans Receivable, Current","Other Receivables, Current","Trade/Accounts Receivable, Current","Prepayments and Deposits, Current","Cash Restricted or Pledged, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,"Machinery, Furniture and Equipment","Flight, Fleet, Vehicle and Related Equipment","Furniture, Fixtures and Office Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Land and Improvements,"Accumulated Depreciation of Machinery, Furniture and Equipment","Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments","Accumulated Depreciation of Furniture, Fixtures and Office Equipment","Accumulated Depreciation of Other Property, Plant and Equipment","Deferred Costs/Assets, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Notes Payable, Current Debt",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Other Loans, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses
Effective Interest Rate on Debt %,-0.020739758324617753,-0.0025449810779874403,0.03148846536417697,0.025579831403655245,-0.015417360162250135,0.027268257833620857,0.003586493812082854,0.08167397376682099,0.008032748021989023,0.04614559556086309,0.0662415666030734,0.013503680015953921,0.0007905357412350219,0.015144644793384654,0.035989970308994555,-0.029657842958539078,-0.003746271344579443,-0.01867254458603749,-0.024072083854132925,-0.014054873044116067,-0.015411102429096442,0.018766631242590648,0.0035554335890323778,0.02174318559895592,0.01185093615701572,0.012612612833612088,0.011503406078380456,0.014948811671828842,0.00655076510765451,0.012856333430074814,-0.012756378502831928,0.010158177529903964,0.017357407384560344,0.005527393805823406,0.0037725344543341633,-0.007173558200358858,-0.0039788910600948016,0.09235264835120713,0.05515106879651719,0.07327297293961903,-0.0053212638655358,0.009735821853686,-0.00787425482383574,0.09427535854919168,0.06437283064434042,0.060856720721741024,-0.007520434661297362,0.014041127627537184,-0.010461210219181215,-0.026740367580696516,-0.021962364551001496,0.02841305583072199,-0.037116682403972756,0.010291726198682655
Gross Margin %,0.03804129798837102,0.009772824908604762,0.012978920686697811,-0.01615112049722735,-0.01782410719567508,0.006957277489679629,-0.002422285172525946,0.0399086666986493,0.041097739605642045,0.027440954866401024,0.03960135590788596,-0.020872724346875725,0.019628221517439048,0.021536348719926296,0.057707696723982724,0.028441397375484224,0.056517696321267956,-0.02292524080166974,-0.027269389311340802,0.02560607690511723,0.042708668628554,0.020686996747220115,0.023701858781125136,0.05430766918797881,0.04070450064047632,0.06074480078142817,0.0458413802234885,0.04017171555152271,0.047879713013646914,0.0015726891188208628,0.005913053177549767,0.0091306423569024,0.013833253419730763,0.03977635668697592,0.03675800121608552,-0.015918464894784982,-0.0010603511566031282,-0.02004142601313092,-0.011620560114788517,-0.0021852243589895884,-0.023709451158390626,0.02804721430919857,-0.010854182056645723,-0.015341749511914287,0.0006624145255709686,-0.016574383273234815,0.07046958733869087,0.02029541286459104,0.032812622259590474,0.02214132832954626,0.03706021081986117,0.024438455446766975,0.010313405841225903,0.040758045600839655
Operating Margin %,0.008399181016430024,-0.00810003866870269,0.01947766510188165,-0.011047373249055897,-0.009036644418361755,0.022395326282619782,-0.011228388699297993,0.022915043097870375,0.03583483940564608,0.032586302472497025,0.015176390958231624,-0.01602717080985837,0.007816847513383265,0.022192564710468564,0.03316353638222393,0.04593174662918134,0.02818092404912851,0.003497353534538667,-0.004336296197813235,0.034307218666489725,0.04763826821034695,0.04497796190163728,0.037416973026328244,0.06247715672443289,0.047833492583965076,0.08150198072133694,0.07529008877170489,0.05598738264711305,0.06747497619161832,-0.0004720486767526557,0.032568961816263294,0.049527484078235554,0.027490608165151028,0.04127067660250266,0.045205336907536156,0.004321311656308691,0.00812453566368572,0.01068087428375003,-0.009601968682815123,-0.013078363661140322,-0.0072928821821267925,0.03829444733678788,0.006419353599058488,0.0022278831296448634,0.009757553956207138,0.003587045152202936,-0.0020325709080992976,0.01727602457016749,0.03876514248909238,0.02098795907770351,0.03921767909398792,0.01447881456347333,-0.00033660529573688053,0.04432395877447265
Net Margin %,0.040124270148686275,0.009308537454022794,0.01235542067874788,0.0008881017218921477,-0.013560539474016168,0.011084430704421337,-0.010882903111117288,0.03432457514291434,0.04036136276719126,0.023734811858562684,0.01127728988691518,-0.017180150037130276,0.022959625354232786,0.023970782402393084,0.035287972798297026,0.035624173240188656,0.030295107453059838,-0.019330009885450722,-0.009806226443469668,0.03495557508467779,0.048467206602687225,0.021056054740114082,0.02300924831396654,0.04217113345752354,0.03785917154574437,0.06472375889356363,0.05092624136789602,0.03725469902377459,0.05096741300201223,-0.006599021916186218,0.008701082146898728,0.04544416000683358,0.009820741975002692,0.038080291404718136,0.039026287809385385,-0.011709123478636735,0.007271254839477149,-0.010392192201252173,0.005148531829942149,0.0014251978227938465,-0.00764507738857499,0.03343550024152294,-0.008200176342320831,-0.008978232599150909,0.0030603057437243886,-0.011333894378429677,0.0875828221329732,0.024694685435967593,0.03781748979470965,0.025465775977302603,0.03788515223922702,0.027523706441065374,-0.0024390559144837204,0.02715730673782401
EBITDA Margin %,0.008718228675582801,-0.007060959901726071,0.013717835648616259,0.01013875496057724,-0.012460430284449387,0.00979597533253452,-0.010890624588552932,0.028009319393653444,0.03094381676083291,0.019737972726155077,0.043671787920187964,-0.020286911352311164,0.0073056772229909365,0.007089506772719701,0.028688852760612407,0.040155464811660935,0.025547172894142538,-0.018812470221733973,-0.022015183360874283,0.026306192756296004,0.023039783199299647,0.029349230272886013,0.021438969204456402,0.047546044469927926,0.03950765458916587,0.06414638719620316,0.05129597030805932,0.03369699697400788,0.05303185532387008,-0.01130995089436939,0.03288783572191064,0.043952138201059344,0.018125202746729262,0.027036096476566067,0.028073367173791795,-0.014074243107079306,0.004591062279816715,0.005589340073273646,0.003075369872891465,0.003670105145036251,-0.00417806272782755,0.033901721404702816,0.005493239283099936,0.005751749412442159,0.005005956673980018,-0.009689771606301443,0.08324058771018931,0.011429226505014415,0.05062499780876357,0.03544287540893424,0.03665735173146823,0.02799223096166202,0.015186458008424488,0.028756637547341795
FCF Margin %,0.04839525226806054,0.04299737191249736,0.043499465260360894,0.011993657701915603,0.039871657427457574,0.037793988172374476,0.03808594649383274,0.04829918338057925,0.05584097800069062,0.04900452404240641,0.03975216533114429,0.030957557205169274,0.045235687812292334,0.031139057936603768,0.04882665239917105,0.04672732039234047,0.061763890565850584,0.015949817720200567,0.003915746655348427,0.025396995194067483,0.028820343687478874,0.024526659297835023,0.0214053055057559,0.056142143623494886,0.05675455556499506,0.012526386228245454,0.02742402226522861,0.02639956289086375,-0.002200599652804632,0.0349454056495015,0.04061694029882633,0.0425737034049878,0.0376446218360835,0.055564907866600975,0.05932319675239465,0.036239101820316616,0.06701380645506061,0.03249028420051838,0.03335095053973701,0.03706530103845432,0.030932374996578197,0.04982196011471786,0.05302277392008521,0.03249028420051838,0.04220182397900508,0.04003264929779686,0.052810640216815995,0.050842305458331016,0.012858644026117017,-0.001982453148608181,0.012482505340780123,0.05805856364444377,0.002595476180814984,0.04953257702147048
Debt-to-Equity,0.1507628396883321,0.1537843295263645,0.08476219207855985,0.11845661373956978,0.024897297514658225,0.052825785182581325,0.031002625344935038,0.13237747726494486,0.07193628429050138,0.07496610831519929,0.10819272969753045,0.07067710604833319,0.1408794539196224,0.12021020055455361,0.1353626152192848,0.10725621595564055,0.08174715859071328,0.05334186683538733,0.01719668169627031,0.07464570202402063,0.1246672246284322,-0.008440883894931611,0.05249919242184145,0.05612868384150909,0.06766213018260334,0.05669505974089056,0.05189729387114059,0.09478886821641051,0.05731192316296105,0.1225907672499464,0.14525885296618707,0.11009908093832911,0.06932077915127874,0.09065969406194241,0.10709419742458844,0.07679834470429911,0.07478735161933099,0.15521449238718482,0.3219304810433328,0.07487945412180252,0.0835013910222228,0.1960276371021929,0.0809967079107297,0.0659152614819417,0.30641120824063073,0.10088441230835574,0.24455419136334425,0.11607602403586438,0.02051139830180533,0.05713769229257184,0.028604378909148846,0.0584618092493913,0.05216934763297102,0.11000402864824341
Equity-to-Asset,0.17533178921435313,0.19866034445753067,0.1594002784690323,0.1090982851777719,0.03811551528245072,0.06488400726803356,0.043918083946495906,0.08822649490606108,0.08455509913136194,0.06779545229492567,0.07901213007369443,0.04027221601212634,0.1968243696670039,0.10884993889026602,0.10988889710349174,0.06767792565951049,0.07429573966668326,0.056704352650323725,0.041801048557228125,0.07051996292279512,0.0968333058774147,0.04455422839385856,0.03466606334094658,0.06762121763663084,0.06085996438397476,0.091509570677623,0.08634533952209919,0.09342887054835669,0.08341030507781724,0.16044066328572254,0.09049287555283494,0.07066222395341229,0.040452576319803826,0.07047682117025197,0.06704483944164119,0.06255091153030243,0.06276535989603547,0.11738912199103203,0.05927036989131068,0.02686200755366789,0.04557378318128292,0.12464514568219034,0.035509006972668185,0.10729776677838097,0.03815232627862851,0.06458797988238776,0.1979205948269516,0.158679939861047,0.01669587549921667,0.11077183709328288,0.10047806343425596,0.12437837930413884,0.0032205514547292632,0.05258864550567451
Debt-to-Asset,0.17147040687136333,0.22385969140758336,0.10491137501349311,0.0676651773358788,0.026612953418453867,0.06987649418186032,0.030464641832207644,0.13240638603592778,0.07228231286025982,0.08747972542680002,0.13093724064450346,0.04132815312104827,0.21483720401661346,0.07263460018040929,0.07728467098737597,0.10566681130251615,0.08040169598238762,0.017558615240128195,0.036683950289449145,0.04958868317171549,0.07832749004282324,-0.005236798591318792,0.029970673370422026,0.1232721101066073,0.06838964242866147,0.03766663595948303,0.03448282037056147,0.07359266318697369,0.02962558504481547,0.14493554275742634,0.14665537796454878,0.11701856154676861,0.08322323007963942,0.1670748800342252,0.14732435001139088,0.0837878265214009,0.05770258548020136,0.19250640580850129,0.3060041392654705,0.08451421774450285,0.06523789080376435,0.1970619222416878,0.06313146935241304,0.18956234334491046,0.3064358775168618,0.10174201283334294,0.14677780158828901,0.09733532566900803,0.0164725419077327,0.056945721321652897,0.06734274982967259,0.053341309307871405,0.010640618727240557,0.13044653410084886
Liabilities-to-Assets,0.17337389032952027,0.20173832726722116,0.11058941144779347,0.10293480802353855,0.03665633347127507,0.0889280331665172,0.08544139582628522,0.1848232438369092,0.08449674369782909,0.12106806372619446,0.1572045990143242,0.035941112599538666,0.20195823010028288,0.07784474773255466,0.08924403981829139,0.09114015956483104,0.09874625436333336,0.042918925494193495,0.08013435520882273,0.06063779563553866,0.07433065442259815,0.07444189584479967,0.07134784991399835,0.11419704350639615,0.08760684797719076,0.07380687109757221,0.06581135671968057,0.07459954357496254,0.06122048774032176,0.1557068112250311,0.31297401474938563,0.24439634011976086,0.15330324174509852,0.09049521474505613,0.14194764718994793,0.09204940352856646,0.3489045607188007,0.10189021272986466,0.08068906849483935,0.1450051536879956,0.2993092976281582,0.18901743489194822,0.31052090374517627,0.13125818466572256,0.11408457121684536,0.12119725348937972,0.10714460440553278,0.09703572502248321,0.057781609958074256,0.05003197766139453,0.03432607926462467,0.10355852631798436,0.03339422865524519,0.14425831216118662
