,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Trade and Other Receivables, Current","Taxes Receivable, Current","Loans Receivable, Current","Other Receivables, Current","Trade/Accounts Receivable, Current","Prepayments and Deposits, Current","Cash Restricted or Pledged, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,"Machinery, Furniture and Equipment","Flight, Fleet, Vehicle and Related Equipment","Furniture, Fixtures and Office Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Land and Improvements,"Accumulated Depreciation of Machinery, Furniture and Equipment","Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments","Accumulated Depreciation of Furniture, Fixtures and Office Equipment","Accumulated Depreciation of Other Property, Plant and Equipment","Deferred Costs/Assets, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Notes Payable, Current Debt",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Other Loans, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses
Gross Profit,0.09810148405434976,0.006460176100509252,-0.004155689710641702,-0.00366480695827912,-0.028904235861305468,-0.0029788847076907647,-0.011452724968011498,0.03617713798764839,0.019549355102357117,0.020904486483223773,0.039031683095090274,-0.022363508007732378,0.00747808853571788,0.02635079347976597,0.07935943382979124,0.06157551567572741,0.042802461700616974,-0.018378690494637754,-0.02660455492016324,0.037857283273480744,0.05132309504631505,-0.022934307320370655,-0.009869688610744217,0.04769704148737602,0.03683207173378916,0.012359783555258484,0.007529735081928156,0.02136239497013863,0.03320934956767497,-0.010831273979675843,0.02223301224422537,0.03817778301603097,-0.0019935616943714176,0.02838074996191128,0.044785752940021226,-0.024885238889056582,-0.015848577944618844,-0.02193137452203031,-0.020318870903596815,-0.0037464089070920904,-0.022220616932442965,0.020434458518733486,-0.014637047506424646,-0.018560549554237478,-0.01810280628595597,-0.02349047226456836,0.07811226197258792,0.0020658422155860495,-0.0018235219047021385,-0.0025280216390641376,0.0020722619373004245,0.0014362664648867264,0.08262105608558816,0.0847401579907744
Gross Margin %.1,0.030522225567118467,0.010700907211527432,0.012934469663442812,-0.025231798714527815,-0.017411450025112393,0.007132405140962031,-0.0021688597200580323,0.0399086666986493,0.04066871138015622,0.028578965505513917,0.03960135590788596,-0.02240531088278122,0.0214339351735298,0.013543582009027758,0.05423123234024992,0.03762523970920711,0.05394168131430227,-0.024433490208355387,-0.028522208755863192,0.02835359165276718,0.041003681453562396,0.02107353313561513,0.022910710184708763,0.05623876729552763,0.03990689262432452,0.05393365981238563,0.04663476583524717,0.02626046056859102,0.049621638260005624,0.0015726891188208628,0.005500535520086517,0.0091306423569024,0.012871714654879008,0.03977635668697592,0.03700745902652772,-0.013838843042867217,-0.0010603511566031282,-0.020623815424031577,-0.01471239428894097,-0.002823103323092061,-0.023583753980916812,0.02832429908817718,-0.009481768752678293,-0.014646361734097387,-0.011417813824195622,-0.016323042711201583,0.02903771514747831,0.019019721539981823,0.031628411283831856,0.013972464009992781,0.030615007914701654,0.023762074751771268,-0.009201293301455225,0.04025056372746611
"Selling, General, & Admin. Expense",0.006428635106724041,0.007661124306417957,0.012681730142289833,0.012894404430338399,-0.015058955993087455,0.012767227305624807,0.0015972408401060244,0.030213368210669306,0.03326299260406536,0.022072319332514613,0.04918256183091605,-0.005585495504370056,0.01407362665167818,0.01462225310023849,0.017820684456299273,0.019731499298201026,0.038517243208713775,0.014771688883807558,0.004574774056665027,0.03705210399919527,0.03692641575859926,0.038784187873138094,0.021659710681615596,0.03704878124439923,0.03605739704935525,0.018433800423934256,0.01680616514262088,0.02765252454106271,0.017519107727067516,-0.0025771197477883357,0.01156673481189354,0.03963235046179651,0.17085738377376206,0.03777727422658535,0.033697755060375895,0.10668935874137914,0.00791341363244251,0.006145228036178477,-0.020220552470013132,0.0055968237295418236,-0.012800280627709267,0.0246262980813987,0.007205025495831823,0.007698503410161824,-0.012387951041056075,0.00022531875416277516,-0.0005401136457085932,0.01352829225192886,0.015207168668771975,0.000787111992022796,0.005340738595639572,0.025797025864507713,0.00674227263787853,0.023121778016005515
Research & Development,-0.048276449410342474,-0.0203391575618751,0.015714128987929597,0.00020949468678478915,-0.0474987905598575,0.010217679847984114,-0.033844507353630794,-0.006839768173541213,-0.0038119376457440178,0.015178943283031111,-0.01731120726161641,-0.04625371897613987,-0.02544726121597782,0.047413688439291765,0.062060102044894705,-0.009004600937916288,0.015312770643566053,0.005493570814341081,0.002085305083864362,0.011210379964465956,0.012390663467769857,0.01173774663958402,-8.499546359721621e-05,-0.012631690491146519,-0.0035918929507707475,0.0024326552252968933,0.0002137370441367241,-0.002189038263347044,0.0024326552252968933,-0.025808087423258453,-0.03965605906441131,-0.022690707008088385,-0.036513125078166175,-0.016594007043767563,-0.030988174283716113,-0.017824853663954855,-0.0345663383746342,-0.025963125207806158,-0.03361967153722623,-0.02519513814745157,-0.023861560545827287,-0.014256538232546292,-0.03883173248568751,-0.03245391936144196,-0.030599096160691747,-0.020974287164527025,-0.025217148194345517,-0.017077754180108914,-0.03995659965380211,-0.027545309809451475,-0.03690519453365529,-0.010830709338707384,-0.01757426878984591,-0.01811752718893766
Other Operating Expense,0.030096062872453352,0.027819147317902925,0.02422860319734037,0.024495492246260447,-0.0031539462339286515,0.05223174758259259,0.019673591056777216,0.03939417837801158,0.08027301347593084,0.03450458675703937,0.027546280632556742,0.007872899553318814,0.017539035429347868,0.04013032657595039,0.04967586656011534,0.046158588727624975,0.03706260517442192,0.016414918058578302,0.01622437594779041,0.029835175264109327,0.07262499294286784,0.029658262200521417,0.027880030806167973,0.05639305439246539,0.038897228426653066,0.012669880617735604,0.004878801680959682,0.03328525849349162,0.027746758866444655,0.015893901942577084,0.008854449469467899,0.03796338006443614,0.15925171204682625,0.0596910670012556,0.035793304902379794,0.12597171350020298,0.02627489388363968,0.029742027629427594,0.014654634240383737,0.022688487048068307,0.05267631332016564,0.028820303684799743,0.027166364591320238,0.02309526118496892,0.024488512816010208,0.06418785627559631,0.03281892934514882,0.027015420593594106,0.0043165423961249935,-0.007462981930050726,-0.0035741880153773516,0.018406481634982968,-0.016019636710568497,0.022466383333415645
Total Operating Expense,0.05473735746527652,0.05411249323567448,0.008590512993087739,0.014812732268820034,-0.015038541812894128,0.012328916193177577,0.0063369433805164355,0.03845347978216302,0.04335411512361016,0.02306366235835546,0.040441594531369036,-0.009623039918743246,0.06341124993753912,0.03418442254922208,0.04953481974406711,0.027723114993514396,0.03896492055061508,0.0005578893661537665,-0.0043131227213108175,0.03794263461513495,0.06233234043786195,0.030220764263102908,0.03988205062192762,0.059831219664735945,0.0405003644196704,0.055709277181049455,0.04401708850028622,0.041122515041914776,0.06470219748592919,-0.002679973766847134,0.15494590318937052,0.10218273661518433,0.15656521507423798,0.042728042981196805,0.03852511894046638,0.09203383070406049,0.011323469979683436,0.017528417773388445,-0.003569579153353737,0.004686870122750142,-0.009354262897765267,0.06680114484402475,0.002372954766802801,0.022850319896036194,0.0012728382254780794,0.003374131338262625,0.03989179774070593,0.01638004667391147,0.023318723682449992,0.04489580662418921,0.026701244345803562,0.0030850451867238974,0.031974047672219764,0.033468510319715504
Operating Income,0.026109683703311654,-0.013987449074881836,0.006964669990716539,-0.004022045605443499,-0.02416564408998763,0.008849073155052296,-0.027753079615483556,0.01093180795119289,0.03191093837632912,0.017304127854848802,0.03657459909388558,-0.02449665304105776,-0.0064268419590073796,0.012921847859008292,0.01951502547721545,0.06374747483670108,0.03574259765053879,0.004840746634996108,-0.005424904726875426,0.029862297639470334,0.042775718966695436,0.0182714711234615,0.012779352412692489,0.04882408313273644,0.041471667990133736,0.027646414808784336,0.026028862087152486,0.03514997653418661,0.02798135710846396,0.0025572254705264756,0.03743152919999198,0.052391501699719435,0.09110790946367807,0.033367701880158016,0.03113279115786837,0.06672400217937761,0.003526683683202303,0.009032324378070025,-0.017950704828680702,-0.016770138009216267,-0.01599271153688787,0.024634912885144345,0.004855188142773929,0.011863474383852837,0.016550095311923838,-0.0016417068938980304,-0.011822281953124689,0.015693650359428588,0.002121121615788934,-0.010965315551357414,0.009907813550178142,0.009603354590108592,0.08366418908337775,0.11231555547283133
Operating Margin %.1,0.007730688816537608,-0.00810003866870269,0.01947766510188165,-0.0007740213945115178,-0.011037722716681526,0.021612163080453183,-0.010013202332790605,0.022915043097870375,0.03686229558407829,0.033929166525080066,0.013883786827882886,-0.01615048834557047,0.007889735614313593,0.021874329616102646,0.03316353638222393,0.04662236623635104,0.02804470001076249,0.004835496225906855,-0.0039739806658392485,0.026957365423857085,0.04763826821034695,0.04497796190163728,0.03616188919226989,0.06265561852742524,0.045694056543889035,0.0806017090060722,0.07388111023515541,0.04642029729446953,0.07252064582765075,-0.0023356772807395856,0.03303754308808893,0.048801548014082874,0.028075497752633002,0.04225955406620931,0.045205336907536156,0.001735193881952661,0.008259119883942009,0.011997762820069667,-0.008477515693637165,-0.011103693974881788,-0.007977637978528398,0.032402335370399264,0.007636138809848805,0.0041413748345448705,0.006862307163694996,0.0037103626879150336,0.0017637418113232175,0.01861360281133745,0.04199380410224697,0.02319536374715767,0.0385654971484328,0.01296349045321583,-0.0010739721642966005,0.043446333502395164
  Interest Income,0.009589802689399159,0.02628950209761861,0.07742926010462975,0.008873277557714256,-0.018595917427160328,0.006248203235100738,0.07007557427634177,0.10275716137329605,0.048255286666028414,0.01729577908496847,0.12581657986499928,0.0061875200544195316,0.019015172321213747,-0.009675127637152317,0.01871172775994677,0.05343095174650897,0.0524551276358023,-0.033676548362840536,-0.028380112076711785,0.027216027665166686,0.02635138990679367,-0.0035498191703659506,-0.001708988248706671,0.04496064243385642,0.0501333953770759,0.016210522098225207,0.004793921156211887,0.04676417937610629,0.016083540066558048,0.06634158206603871,0.038757046904972656,0.04767693860266408,0.12011299268225224,0.03551557587105541,0.05524180178013113,0.074265478970312,0.07101874509279735,0.02283533328309249,0.06759613389923563,0.06643105401387733,-0.011442513359104775,0.046955454105815794,0.06634158206603871,0.023595141872422946,0.0850427231711928,0.07045132686315363,0.003489114913012759,0.023647813768110156,0.0007357931383028312,-0.008513500418838808,0.014893617428124855,0.003917993325076682,0.07187196658824768,0.11890861694547761
  Interest Expense,0.05697952408062847,0.04084960982994898,0.03970873203734184,0.04423366953285195,0.012455008455110318,0.041582139658179584,0.023058538567565318,0.13659976683588715,0.08663034621971769,0.05194229395601034,0.1544258815469876,0.04879629495869327,0.06610792760929361,0.04515080941031321,0.056996281881219635,0.09062077441083201,0.091767335823748,-0.009038489546107625,0.035794325346086044,0.08773947439286989,0.08884873756734116,0.056093510944384035,0.05395934990698782,0.08849052166618863,0.08722318372572183,0.044853399994457886,0.03755715242530095,0.08100814948674112,0.043444530681298936,0.11160526609185875,0.14645963536659953,0.15539149342532432,0.16814754703980675,0.07666856139374859,0.07753393296445758,0.10718091557456964,0.0993609757375022,0.05359426215271065,0.0921060377201497,0.09911458557139778,0.08950108750296157,0.10063090652725705,0.10776754339728167,0.054025810655625374,0.10466054509499895,0.09930084534644502,0.0492722308057009,0.05157785720846334,0.038538607784850916,0.05417130288883471,0.06067765331478358,0.11828682483661766,0.09931853444132936,0.08782895007639699
Net Interest Income,0.1481866429882253,0.11191587215880242,0.07274870827605741,0.05111863945208213,0.018755555199220196,0.05042065492824122,0.12295853507615272,0.12813434442764843,0.06337633722175456,0.05841456110000352,0.1448772193248075,0.05091733056694449,0.11411897205179794,0.07061109643616466,0.06141649828894221,0.06237743828794663,0.07011102952674401,0.006508704137391229,-0.0014093030962453038,0.03576005358073738,0.048095351504314515,0.05319107347044259,0.04244439676689085,0.058527849185384215,0.05828028661208939,0.048818391626559106,0.035637473684533516,0.06487851812804668,0.03191122514501712,0.07095041075712409,0.05239436602823605,0.06912574974558426,0.15104219275247135,0.05482886847935296,0.05061170531817071,0.12333082616239661,0.06466140310636569,0.06338348212287499,0.12309006692401356,0.12255934136384677,0.039512776819561474,0.10492411900067031,0.06979166118054314,0.059259265465520926,0.12589786487938698,0.06395414098608793,0.045287148857845724,0.0549201127481592,0.03346827609346891,0.036639486291667835,0.05363892409233927,0.05182466264114747,0.08393261598268767,0.13345986578584626
Other Income (Expense),0.036739180466964,0.02162132711129441,0.010768927336023828,0.005838126265200431,-0.010321600574000906,0.033157298754897244,0.01197736058963483,0.039276790876598196,0.08517375542113029,0.03004019408306841,0.045935969241042984,-0.009482945611709735,0.027970231845167646,0.012201218608597478,0.02055735205559946,0.05297164637858464,0.05668632827703576,0.009995053240088016,0.014243675027731726,0.0524926991154135,0.08078285465280066,0.04110708078274112,0.021060826378951823,0.04970058591322186,0.05288032703299288,0.024096069504456516,0.028399258565211444,0.03723639826278727,0.05370141577870155,-0.009431404531276978,0.02384187404842156,0.03430779969165735,0.14116330906569968,0.08785221092863581,0.04652965995830146,0.10322851721140629,0.013022962591733385,0.015845001237233237,0.012861710721236907,0.0005033537195579039,0.03165518771444472,0.03457596248546466,0.016505253460951053,0.014225194990705405,-8.572092168403407e-05,0.037085571604262325,0.02561940076314434,0.030427560449119782,0.01815523835775635,0.020210925978527243,0.034987660426202244,0.024525188368765542,0.09975892890240964,0.12409342584082214
Pre-Tax Income,0.02932582393930562,0.005852142373740209,0.009785341469144386,-0.0017106261378576132,-0.02583572563378916,0.0014086497945434491,0.017453084044696168,0.03146169967199877,0.03964851611913964,0.03012781437810166,0.10419706248222554,-0.02627980736820395,0.014054764985277312,0.011278010000440961,0.027129627822341996,0.022837456160383726,0.03317567013145585,-0.03481813319526903,-0.04515366522148787,0.017873941684928844,0.014277161996956373,-0.007059713543000911,-0.008543124564086946,0.0436394730890237,0.04146155992607559,0.030778150622965548,0.0183203956388778,0.03559970779577654,0.025564233411176442,-0.019338269776722747,0.030628482279407263,0.04200759955797,0.07593219568560984,0.029274409548233845,0.03614118686672181,0.052322845085072026,-0.010462127982836801,-0.012640953096548219,-0.013159017672249026,-0.016011871879086058,-0.017538098654121086,0.028357478498058062,-0.010116731054944636,-0.018777865477046164,-0.010645569148822425,-0.008603152108814927,0.015270732463216967,0.00834533408031394,0.009419982281065161,5.285106155895197e-05,0.02149710986167097,0.008805511851187194,0.04072954591119366,0.1102130412843782
Tax Provision,0.0721229752566648,0.030125935738857225,0.01670732971247674,0.016468695001806755,-0.0020448308809171284,0.013014484958027506,0.24396531027611282,0.02693639206920225,0.052259782646826805,0.025217967696506038,0.07917023037458859,0.003042003307637743,0.045782876091646524,0.0435363720575632,0.050912385503284564,0.08158968147253372,0.09081755577672773,-0.03696847332018461,-0.019595552014886622,0.020848860572294552,0.06298265936882146,0.04830672413632648,0.05707935702165702,0.07799481141347435,0.07362180305976035,0.034319879870565465,0.02461745655906914,0.05872562534353204,0.039301140131804684,0.009889727753298487,0.07447128964729437,0.08722566055784509,0.03880885970638644,0.0491011808000284,0.048231551350422855,-0.010237966906823411,-0.0033158611668555877,0.04144442659713367,0.010518720497292196,0.025982224243573975,-0.008634678005069951,0.05988407656265751,0.01331055564478135,0.040313208092935045,0.030731882155193707,0.03478418815427639,0.03908583029018001,0.029553761690296804,0.023858058825417333,0.028194048106251517,0.03434311203086756,0.02690421412384646,0.037046326263065456,0.048646045821048735
Tax Rate %,0.02750383045542883,0.009461182743184119,0.01613188753996413,0.0151707286202317,-0.017057014856727067,0.023536245202726014,0.044710029196732205,0.03797864656026536,0.04756102123650647,0.035073978527564255,0.013012345668441484,0.009682460565057009,0.023686109526121022,-0.002942135486207914,0.02374805105310845,0.019217284971955413,0.03658229766312604,-0.031184687609956303,-0.020006271253082727,0.023810555129976374,0.026934573597762978,0.019779420193482736,0.028965764201525152,0.055068125513047884,0.05595803916338365,0.028026702479395402,0.018024033200628207,0.04906860256973268,0.019256390057497103,-0.010940914148364381,0.03665381034478475,0.038901850803997017,0.010267691101387645,0.04862548692746928,0.051015293939596,-0.00865280532071904,-0.008581807851393057,0.01741650551785653,0.011111785457865906,0.012113903511381648,-0.016955705307613183,0.04284556481127623,-0.007086535485079246,0.01724235021885824,0.011527446317232046,-0.008458855835530627,0.011309282534065289,0.031186583533420943,-0.0009948930372774443,0.0024875040932325126,-0.004286375146923982,0.01852152443201773,0.006234440617826496,0.0437981449836579
Net Income (Continuing Operations),0.024338808110421137,0.014477921860691138,0.004527082411299338,0.0030010219106003256,-0.01584552828313887,0.006224442190244221,-0.016237691950032114,0.02513183795094371,0.027950425911348567,0.01454367151071072,0.042448254086596894,-0.005826315589380494,0.02361135283814015,0.027411438571993428,0.027818030763103466,0.038565526585333604,0.03427241450273945,0.011260916586334933,0.0037516413047316145,0.0325178192184331,0.05356957289384662,0.051329018501984146,0.05054691838833076,0.074895175718728,0.0591452727182159,0.04734441115597842,0.03176081705812786,0.045051246114643936,0.057346661255902424,0.007687229216985208,0.012737346859620404,0.04663745997108825,0.12387831909601695,0.03498522193318068,0.031857235231166625,0.06581377119132961,0.003484984447562915,0.027801029354133495,-0.01599113205974834,0.004371638215327132,-0.0075416836265768585,0.017728076346656282,0.008249950176583707,0.02899104711551004,0.010002551620537217,0.004210349626807207,-0.0042338089500897,0.010122616829744753,0.013144100607207575,0.0018610938244347647,0.014504971838791483,0.02067280162885328,0.07019998593850944,0.11110996635822269
Net Income (Discontinued Operations),0.041763515856742386,0.015106062887123097,-0.00624344553315166,0.007650917107960499,0.0163831894261504,0.0049283191456113125,0.052250558411393574,0.015602508191968572,0.010895414126519936,0.008947280372617168,0.03526314558562692,0.05295024840026514,0.05542561707140085,0.003092884774590911,0.01559929499567296,-0.009671863548318374,0.016577714729787776,0.05714779304757771,0.049269784563406416,0.015321823736644374,0.03465964565990562,0.032495000330784146,0.025225089683527976,0.05401290216817012,0.03545031186533611,0.0027380925554935545,-0.00808991160625065,0.03360097460123326,-0.004512162964182871,0.04506158070195088,0.017210440234063536,0.03248107791281068,0.10346261191816333,0.01139124887266792,0.011341891543430311,0.1146517025067131,0.04398782104288057,0.06498794589031992,0.010432090114704152,0.04800770187809697,0.04032240580834032,0.0327648165242457,0.04183494179612225,0.06386753948088796,0.015454716583219374,0.05375057290274811,-0.02968056535842082,0.0034811106975573963,0.011110621524750716,0.011451609484633647,0.03158115837793483,0.019733683835627482,0.1717036559312595,0.08036742464925833
  Other Income (Minority Interest),0.02869792765251943,0.048426665642404824,0.05880143736806551,0.03939439037720705,0.013573008031447356,0.06031585882304381,0.04210997490801788,0.06400099637745704,0.10944877897680252,0.055640414853237834,0.09242943607380683,0.04191920884549832,0.05529770936020086,0.05417807766553499,0.06342751572386911,0.06262492691863727,0.07908046813003396,-0.002302215773592273,-0.0071524346398183156,0.07210781573078812,0.12938154722648987,0.06066074741811974,0.05776983151859643,0.08021195870507801,0.07998045229559712,0.05645401498459213,0.0532302170365318,0.0815314358609392,0.08170955802133906,0.03672954874274334,0.06092494260565603,0.07699997657865945,0.1532111089825499,0.10889365934890743,0.07666405272995584,0.04299345020106045,0.025153295622754222,0.03219782180780562,0.0065518884601052955,0.02835219790531139,0.05738338928784552,0.05407008426610621,0.045580031265680644,0.03643096812103495,0.034799653242487294,0.14314605665283403,0.0700402521681393,0.07712326146944055,0.05690278799957682,0.047645785888179505,0.0701931684987083,0.027916794614732014,0.1327791083567295,0.1462307755573598
Net Income,0.07155814944104681,-0.0015897445307914457,0.006487512531760817,-0.003385714349131408,-0.026509987349118684,-0.0020532042684175546,-0.005946561890149778,0.015352794019623781,0.02090986715853075,0.012426446673010585,0.0289667515242424,-0.019113452993789436,0.005100932760527281,0.013566504945368395,0.01638012275835746,0.03498936673493031,0.039249540473373326,-0.02384943891209229,-0.039793862145523676,0.027071157936791018,0.035831134180801145,0.02085874494113686,0.0043256281328405664,0.01519214670014182,0.02009765730999923,0.007130665479804191,0.00563992245656905,0.014652327213809813,0.008764308360100184,0.010030540011429683,0.01427390186736628,0.05431170323289701,0.07841560043005832,0.012156815167262426,0.024074498555808732,0.0025977472331268022,0.014061774962822647,-0.0061710059181438025,0.002612490630827479,0.009676330448774029,0.0021184533754046095,0.027154050667176945,0.013541977186551427,-0.007903704833038663,0.0013019025785607598,-0.011830192954328012,0.004802040419138974,0.00011236648297419669,0.016217001054174618,0.010070007655027052,0.0428149364241041,0.011708892825573271,0.07804810230802012,0.10168627022633177
Net Margin %.1,0.04204407195760744,0.0085334094079168,0.013601625547831554,0.009882009170948343,-0.015543837566672051,0.011293138038124217,-0.011538100025059433,0.03609150856811266,0.03927257362801983,0.024519224083336483,0.012756252174051352,-0.017253240100309767,0.0174783166469313,0.021778563243785194,0.033719104462869784,0.03264301051739683,0.030295107453059838,-0.02062301168262533,-0.019652499632008588,0.022746539991068522,0.047000294714950354,0.024917021504665435,0.021964817380836776,0.047055774213275954,0.03633952820938022,0.053048771660737404,0.05140927721226028,0.03050225513147737,0.05304268510700654,-0.006475704380474121,0.008701082146898728,0.046170096070986266,0.009946439152476508,0.038080291404718136,0.03652960388452777,-0.010418651068634592,0.0068614158195774485,-0.007925581822767244,0.00743948278603994,0.0005640696477328072,-0.00764507738857499,0.033712585020501555,-0.00733767906079348,-0.008556600046509093,0.0014520739613024484,-0.010959236280684343,0.025368501620730243,0.024899497055132936,0.0379113224982344,0.022694753913558182,0.039264587448586775,0.025276295395569633,0.00041803121145741074,0.03271964801789379
Preferred Dividends,-0.003717132149071265,-0.006817422805782328,0.0074060250542267265,0.006614264094993549,0.015768139809574915,-0.005052523471615278,0.04928208418480774,0.025651628507548367,0.026782363764982844,0.020575897711029585,0.04310540358911728,0.03869915545073286,0.004895240792244674,-0.0299470452211599,0.018848616096154257,0.015841846149601546,-0.013081778912837039,0.021947690420573998,0.028949557342994404,-0.011278347629622562,-0.006645318601668939,0.0436967309693683,0.037760153424139846,0.0385320899627084,0.030803512941612304,0.00751635504059302,-0.019201221553926128,-0.002299295176681683,-0.0019402748915478584,0.0743890509841559,0.025719508672409436,0.039850552830942285,0.03759318378949644,0.016421350892999852,0.013183097346278889,0.06297433608478671,0.025255475983297793,0.05265733108020669,0.054539625936605524,0.057322339114673874,0.04414152036472809,0.018412011282904917,0.03314745446215726,0.02914954271185339,0.057712077651797526,0.06390012805630564,-0.03767942643182141,-0.01148525946193501,0.030719889980831694,-0.007352433017856714,-0.0055614117279821,0.031546321437689644,0.16551923079558375,0.015317738993875132
EPS (Basic),0.10734931828053337,0.08176026397538334,0.04983270784992215,0.05860507531939695,0.027530336508628593,0.07853731246800608,0.07368854062160318,0.07272563510175506,0.07278070097945896,0.0874353688073891,0.10824872173194522,0.028130542379673787,0.06602636994192936,0.08114713885773629,0.09668473911825064,0.08334283916808208,0.07220995515901683,0.0372439617980756,0.05438332455941004,0.050184442992188855,0.06699109527703859,0.03177206321135808,0.04591727836374213,0.056677242150197996,0.05592258613969833,0.034527615204400126,0.0468261625086215,0.0440649821891588,0.044910687272325694,0.03603440284821327,0.053442803606980144,0.05226338531967632,0.06083571603906661,0.07106177305635358,0.06618847878990457,0.05705979815462997,0.05335908456213493,0.024774781814777127,0.08064427819335374,0.037293969927945786,0.04748783821698648,0.09136778231813673,0.03652632118669363,0.02322886095062511,0.050867395212379644,0.05092541668095632,0.08788538676566861,0.07576061144714331,0.04334863230267746,0.05367763731966601,0.07641090489905934,0.04975881941720177,-0.0025713914237254915,0.06628388682037335
EPS (Diluted),0.05617273231021159,0.059042784196377436,0.04956606653080206,0.09657629870988299,0.0179004868885647,0.07804208387327143,0.10810459157060086,0.09861407420975649,0.08646966509387433,0.12180885076517353,0.08992977210819429,0.039324752040407064,0.07408545550067791,0.05046030380861433,0.10352018220104704,0.09506636324122346,0.06477301879646134,0.02202607263738643,0.03486877351904891,0.04730137114280869,0.07527689494121975,0.04644167027202359,0.08084697166440026,0.0926088393791548,0.08681328162804572,0.06034203595293026,0.05409234634739514,0.07397140407848497,0.06118308908084412,0.06279844574836632,0.10986400097543125,0.11186905563196595,0.0894193814091433,0.07357899252369542,0.05991934727639661,0.10366089777831976,0.07603422932550898,0.01651767701930596,0.10904419663689979,0.08819718038542732,0.09260063087070411,0.1334936734263249,0.06305704213977628,0.01852918444940849,0.07729659266677957,0.05222275142140224,0.12262367469083073,0.08309206865899693,0.0442403549098194,0.05316604922507129,0.04724944260381178,0.05344431240262609,0.015107001941568566,0.07538223736714562
Shares Outstanding (Diluted Average),0.0609631770067723,0.06828538026897779,-0.001807043602774292,-0.01031416934569555,-0.033582795339852964,0.004605400010036979,-0.010380341445273472,0.026301990835855948,0.03536034230691763,0.03099749347231601,0.0430284654216021,-0.0012464323083373292,0.0746554630531699,0.01912812510830343,0.03987135956773807,0.017108473758296817,0.02799043445865062,-0.029500455134808475,-0.006643042360441773,0.028221878743305277,0.03370158132997781,0.006398891963972079,-0.009699235299368666,0.048251435539771896,0.05406692834393674,0.021891377531634584,0.024875745314822624,0.055342611121086446,0.022880624029946103,-0.022255035741649862,0.006470016806045528,0.036170153813116376,0.05240269416067268,0.036943783989383035,0.033467929443587806,-0.01155679648018336,-0.014476393953158147,-0.01434484781403502,-0.025249986779388004,-0.017773414407874666,-0.02576516202312446,0.02413124696547033,-0.012400122486471073,-0.009010489959824815,-0.012047998459869608,-0.01459869408764872,0.0544319988577039,0.07788293959688185,-0.017645697497220055,0.0287241793982932,0.027701768220347915,0.03538291207376006,0.13737276421056144,0.03178615318855391
EBIT,-0.014362319476756626,-0.02904823776022231,-0.02360577268875222,-0.018675780962350938,-0.03330753125052874,-0.002437450150056357,-0.04998764524739223,-0.007244100861772646,0.01727991481794229,0.0031113344068808392,-0.04283578922135637,-0.05635839006935058,-0.01865476371455839,0.003283381589141686,0.008257730299111912,0.0334911261637179,0.018750683106453735,-0.03466081173417393,-0.035399902662977704,-0.002507329426385814,0.01726734947522923,-0.025888220157955246,-0.024601651200502294,0.012104435746962698,0.013892578684467714,-0.015428925886550909,-0.013478706126699526,-0.0026963169930932793,0.00034715344853621924,-0.05185604008006806,0.042102903355146784,0.02776204136571056,0.000895532596482564,0.01654216630713204,0.004263147501301477,-0.027974322290865224,-0.011474063074052543,-0.04711977621516313,-0.008982816843787163,-0.04542682654986449,-0.019842261433556774,0.018114639247490353,-0.028403384515192368,-0.04946150998711662,-0.02254368150334424,-0.05019924840836091,0.010742912822999698,-0.02370494444559015,-0.027615973993655955,-0.024678800171222273,-0.013659189755479816,-0.025035296809681352,0.023499921794366364,0.012921887447370344
