,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Trade and Other Receivables, Current","Taxes Receivable, Current","Amount Due From Related Parties, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current",Other Current Assets,Total Non-Current Assets,Total Long Term Investments,Long Term Equity Investments,Investments in Associates,"Investment in Financial Assets, Non-Current","Equity Securities/Shares, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Amount Due to Related Parties/Shareholders, Current","Taxes Payable, Current",Other Current Liabilities,Total Non-Current Liabilities,"Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Other Employee-Related Liabilities, Non-Current","Other Provisions, Non-Current","Tax Liabilities, Non-Current","Provision for Tax Liabilities, Non-Current",Other Non-Current Liabilities,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Treasury Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc
"Selling, General, & Admin. Expense",-0.011531596551887265,0.057514458429258376,0.007054746092645178,0.007000501387568641,-0.0009650653755678215,0.04299930182537592,0.0306680469412789,0.0076835248758165215,0.11475941518794594,0.017630252838957607,0.05600578363962623,0.04852437508121502,0.043356102478432176,0.03513672707979949,-0.0006712240975778211,-0.002932474838263276,0.013015361208090635,0.03957280648935831,0.1709022860458615,0.05436749189210221,0.04559049884304315,0.019694574596016156,0.053886644706716225,-0.010696618099942325,0.009109252757077657,0.034805396642933854,0.021572181519740986,0.019954809703318796,0.03762965479176239,0.008458157270386226,0.010215457561673882,0.020833087918337934,0.014711762255396619,0.048861684915622955,0.0242948094859486,0.00948679642550489,0.011843935151604607,0.020895924669867182,-0.002955762596302387,0.012283576146146828,0.051381139678165724,0.04451596963557708
Research & Development,-0.03539054725472089,-0.020074665744512835,-0.003406306219465965,-0.018902421655089298,-0.036277168279203326,-0.01339815257328138,-0.03774157146739262,-0.0072325575443626024,-0.007426365362383111,0.015050660191361191,-0.022044505716154305,0.023620254292383385,0.002610870608236821,0.005198430767504647,-0.0021681613332460445,-0.026098652909126416,-0.03856209274208508,-0.022856534610659913,-0.03663127290275457,-0.014985496355746801,-0.03827344789359688,0.0028514302716987896,-0.03364334525601297,-0.011636404204608859,-0.0058311030132912976,-0.003369373880916296,-0.0017013410969642017,-0.01089379273898081,-0.009578335783685457,0.0008210076050668904,-0.004731087078708129,0.007091717231362048,-0.03702883234497632,-0.023533458129577037,-0.005892442321219011,-0.033890704521630725,-0.05931553058980423,-0.03707145026510066,-0.0038466468042298732,0.01398774524375487,0.007277986565561981,0.023207325036981457
Other Operating Expense,0.01941559481285084,0.04078827586248669,0.022535779087670155,0.02233834589092776,0.00880900244336471,0.053898091081409194,0.03444135078443822,0.014883467605382058,0.12210286471682257,0.0857549851317457,0.04081510293642915,0.043940533592764085,0.04855583217717252,0.038605589124409395,-0.0034399340798817804,-0.005973225529738953,0.010303075865664996,0.03790383609199795,0.15929661431892572,0.06144221170909279,0.0326249416190557,0.02267630955954084,0.029376796340456642,0.03366218888732499,0.02657846865485395,0.029671635389656836,0.01924468937118451,0.1126911421827987,0.07122391033845986,0.022882893139152562,0.020939489836599295,0.0768437194950191,0.046789353485312754,0.029401788301050554,0.03595089018676111,-0.0005846199194755866,-0.0024141665230026023,-0.00011309606465458857,-0.013425008663370746,0.020214810155528548,0.048475692776797225,0.081033984610391
Total Operating Expense,0.025247581178537024,0.09231914114790339,0.006619603674002351,0.01082309858505613,0.0010835675373744294,0.03452861633967375,0.020526575187345176,0.002984985054165631,0.09517821467353638,0.024320237680076587,0.09457222129669535,0.0895443511558881,0.02066055527257925,0.017051551108689,0.0073563220684281965,0.0015579831729598636,0.1563945295855676,0.10212319264274614,0.15655335087978292,0.05175467554211875,0.04266930503149497,0.015321463388831922,0.049817228607350834,0.0036900123361716677,0.051008208314393,0.034798776878947765,0.03286102960738063,0.02920355642581296,0.01886849340141337,0.011557177763234765,0.010782464067183861,0.032265861719673855,0.07127783522785018,0.04468259139520231,0.020483809518401872,0.06356207327298424,0.02416968844199892,0.000518698765818269,0.03351785797719512,0.009618566374705208,0.060871650873063225,0.050906285315512764
Operating Income,0.0062578259946743505,0.01268618001506404,0.0033455703156658424,-0.0074766361304661015,-0.008151790266935218,0.04472891535294429,-0.0037899163243886353,-0.0028932165706174683,0.09913559106827087,0.012532427479871374,0.009054502977544702,0.0629431132794685,0.0429929501734478,0.037032150475628,-0.009479497535418619,-0.016211823999345135,0.03888015559618907,0.05233195772728124,0.09104836549123986,0.05236122070092366,0.05080962161908642,0.015398004433768615,0.00785976272876315,-0.0159412114537906,0.006694210407505606,0.008314134166114543,0.02479662106651092,0.03485176598816352,0.02362190664679518,-0.0008339518985196613,-0.0002165555295111758,0.031175854694235963,0.008511710596632248,0.05427291498027858,0.0198970865224989,0.014453201351494367,0.05466058108133885,0.019471310371699885,-0.0039869858016763834,0.07003569651097588,0.15806418433679595,0.06927077976657027
Operating Margin %.1,0.0027993210010034382,0.018450532867640878,0.017146867757898022,-0.002433153769616095,0.01000946070701165,0.03862569750810032,-0.005396963703356653,0.007995274359043802,0.03715932201110133,0.022014717223323328,0.01792684128376624,0.05427033163536473,0.02281973738843734,0.017948676676969706,0.012809848063098565,0.012381431594507879,0.034486169484286025,0.048742004041644665,0.028015953780194804,0.04595501330998233,0.04905143223519307,0.05011666528324951,0.018810672381671053,0.005538346840833307,0.008771612482852468,0.007495656092442881,0.04376586765796876,0.04412413513697962,0.022067278149197775,0.010046780421733991,0.026470128697429467,0.04132279414852944,0.007452699024511065,0.049005542472161025,0.02735734044163524,0.014634920267106274,0.03921010415219858,0.022560448416220062,0.049220131112479706,-0.0053037991063723516,0.04845186162673146,0.037429372746949
  Interest Income,-0.002810888101924802,0.06392086470632916,0.0858438499320998,0.01740703256732032,0.0036432888265142205,0.04582972150750714,0.11096338827225079,0.07215360664724489,0.11421482390344054,0.02978118692253766,0.06136506838885645,0.07882600499809603,0.04465273122505681,0.05105105816340366,0.07184288523370518,-0.008242216194384049,0.040205673301169746,0.047617394630225886,0.12043953587322616,0.03821840705430269,0.0692048592104876,0.040161300426829645,0.1251122177869034,-0.015342442172846226,0.018846512672204274,0.04399855607955284,0.018607437431902088,0.02072912806557735,0.04086385528955054,0.07365667037897451,0.0733474024496497,0.015419688574440331,0.01548435190294784,0.057175664853478456,0.030528443746406723,0.04235734541063759,0.061208920275973695,-0.0010877803164471974,0.01537137308229057,0.06878961360271553,0.16005470336586264,0.08022544372165757
  Interest Expense,0.04081101564289417,0.06843936221781707,0.040305689669440155,0.047541962348626225,0.023426318871235724,0.06879558015640323,0.05170658306287076,0.10670124679127067,0.13172828238502823,0.05215959449367845,0.07167629838669827,0.09857142624273584,0.0744857423480305,0.055368831687941836,0.023098811429074873,0.01923378506638414,0.14790826176279662,0.15533194945288611,0.1681924493119062,0.06184281108274764,0.07683075730789596,0.13740260462930637,0.06070812292209067,0.08733691228194376,0.069294937156689,0.07892157159502901,0.06651111884871629,0.07453328620800785,0.06369268529188968,0.069294937156689,0.043465013194316726,0.142458892472978,0.08029536652210698,0.0689580839111259,0.0483030443494228,0.0831152415309968,0.08139774217443001,0.1111587395173905,0.03081251670577428,0.11247688222442577,0.10392708699891601,0.08577158459245561
Net Interest Income,0.11138744766815964,0.1502391444268026,0.06853634690817292,0.04609673079686341,0.026606258404223704,0.05432183355747712,0.15606280804858838,0.06019765674918109,0.1627607122573729,0.06751121264819288,0.15470688614270145,0.1070122188918547,0.09898055564276297,0.0972453126989672,0.10101346126141034,0.017838123712662978,0.05384299242443315,0.06906620577314607,0.15136873594344527,0.059608753535246375,0.06873043246128782,0.04042222396872948,0.15066534231484852,0.014694134353942444,0.09816660286678758,0.06374371546661138,0.04663240097120069,0.04648222267622465,0.06718695201620495,0.12103184640343821,0.06377171914433476,0.04084634630914595,0.0458414230088215,0.06689484315789257,0.06306784368020958,0.059042670007566356,0.07385569594589263,0.03435342497057503,0.02036294158751625,0.1155921164359599,0.1741407606695463,0.09767521694644236
Other Income (Expense),0.018066293746947314,0.04015454908063634,0.020946881755497547,0.01891096112391442,0.0031257094018411063,0.05543949188621124,0.0361246110076518,0.0798770725203948,0.1277925753399719,0.07719567184623077,0.04208747951190258,0.04229642350261325,0.03873331557878861,0.037254464760708206,0.004953969991358347,0.0036035277649775375,0.025290500444618655,0.034248255719219155,0.14120821133779912,0.0786683356851743,0.04827860950163576,0.03673057884095672,0.04440759571091029,0.033737107768732816,0.0030278232289062774,0.04538956000684024,0.04808372472348925,0.05991789519509234,0.06716457760354808,0.021850125183707676,0.027576857102348307,0.09097428552889728,0.038508015576615914,0.05159306259505763,0.021178701363568225,0.018302133796985566,0.05095295032745711,0.033864960006024306,0.004078241434864594,0.07321422111568524,0.1612310450348065,0.08048275140258396
