,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Trade and Other Receivables, Current","Taxes Receivable, Current","Amount Due From Related Parties, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current",Other Current Assets,Total Non-Current Assets,Total Long Term Investments,Long Term Equity Investments,Investments in Associates,"Investment in Financial Assets, Non-Current","Equity Securities/Shares, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Amount Due to Related Parties/Shareholders, Current","Taxes Payable, Current",Other Current Liabilities,Total Non-Current Liabilities,"Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Other Employee-Related Liabilities, Non-Current","Other Provisions, Non-Current","Tax Liabilities, Non-Current","Provision for Tax Liabilities, Non-Current",Other Non-Current Liabilities,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Treasury Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc
0,-0.09849789662217036,-0.05112608323680127,-0.09973701776228533,-0.09973701776228533,-0.08490871172673015,-0.054515592712825967,-0.050363434926793745,-0.08057193598423067,-0.10243229655504296,-0.09535026804797206,-0.050840592512441364,-0.050840592512441364,-0.05052033088429065,-0.05052033088429065,-0.03616755400804818,-0.03616755400804818,-0.043990895045226144,-0.049605920646061334,-0.05112608323680127,-0.05112608323680127,-0.05112608323680127,-0.03979117072499186,-0.050498369081942336,-0.028593062341155162,-0.07851553054931278,-0.03491245636506068,-0.0012020859575304233,-0.008850372875318856,-0.034800501847771725,-0.08693922681922008,-0.07878241637130629,-0.0028987228105985157,-0.04927120286228469,-0.049605920646061334,-0.0797698754337964,-0.04427158367934671,-0.0361837507167361,-0.004235443190228663,-0.07765160223756806,-0.08707599881126134,-0.049605920646061334,-0.033873177395037646
Revenue per Share,0.052055836555162924,0.04618052660020527,0.04982012913354829,0.04243793348396639,0.04284958548201935,0.03386501381150271,0.05194414845077455,0.05149399130109236,0.10770721144047042,0.07752836107392845,0.04987779452857742,0.05032402429540236,0.04089473173565044,0.043627967244510166,0.04674300338163002,0.06451816420650934,0.01703042457081965,0.048340167898568306,0.03469703495981574,0.04110573278933357,0.04449858082019515,0.14839326748173967,0.03788511335452493,0.05009578752545618,0.04711692235979517,0.039677807837356444,0.061973521666125915,0.07826360679719657,0.02799417329156644,0.03990329227802177,0.03900275539206952,0.06424075101077523,0.0690560075114429,0.046212952139447455,0.03878178756437375,0.037590679744388754,0.032010490603290045,0.13498877630358674,0.06144233890896243,0.1103152359122661,0.04087335148187033,0.057684081209150834
EBITDA per Share,0.00040267887672309653,0.06036507530911127,0.025448092802846368,0.015151717597695544,0.013762068258418848,0.048784189717065836,0.02790019975225807,0.01931734143227886,0.03242710703332778,0.0418566047231976,0.057545214559999835,0.05488118632114665,0.03325411929709563,0.006445305787816225,0.00024805972669990253,0.03316104983132027,0.05568855384995933,0.06650547675107502,0.06603648912121333,0.05606663096830354,0.05276706127951527,0.05242096198033906,0.059976826152066454,0.02181735567481805,0.023652948981192502,0.05630154360660729,0.05515816698890836,0.06664093585751198,0.060956390921204515,0.026855353796494744,0.030021004084295116,0.06796945828568943,0.07062280555188852,0.05926539414080341,0.03813240270627841,0.05360019580254013,0.05783526659992289,0.04398250281481389,0.08748004730649692,0.02341661819535736,0.04188588967464127,0.0701810304399417
EBIT per Share,0.005437943777292105,0.06746533394408087,0.02889777660498343,0.021185093199409206,0.01564646212912556,0.06506961338024587,0.03486106895841649,0.026637776612638043,0.032635207352623395,0.0410588623483666,0.06590094238422449,0.06412982862878093,0.03383163179339894,0.004081959211847217,0.011584015637968785,0.03317038597428295,0.05690438340126296,0.07361441035093409,0.06528749602271969,0.0631000302131135,0.06001710934550164,0.059944162450441756,0.06395794625758895,0.023779187862873856,0.032683655756029335,0.026402451240004014,0.05566456671717914,0.06721560835349076,-0.006071361485220254,0.024117795286302535,0.0348907228368011,0.0658364686507805,0.06257028160518953,0.0681947732869598,0.038360791948093345,0.04981978593655265,0.04383678731461011,0.0377194384574275,0.08530830422262252,0.023234576134136948,0.04488929665181093,0.0692430345967143
Earnings per Share (Diluted),0.11525409982382842,0.1755715449812814,0.11177769118577091,0.11416523797450191,0.07050527797332133,0.10206363266321775,0.10121186645994147,0.11298870660882634,0.060992867845545334,0.12852261311598945,0.10002784932877233,0.12601433528272557,0.16524802171834024,0.09934632089703992,0.10056624291708871,0.18439307940590122,0.09705879290609051,0.11887881875455569,0.11206901144366112,0.12205049951600135,0.11154590852923602,0.204553896971491,0.10782951698718031,0.11579856878499006,0.13072755431469674,0.08325904025312537,0.10821723360112233,0.10574287783488681,0.06987258568368451,0.13082516704818953,0.1281081104941286,0.11746375094546345,0.09342381810774644,0.16927495110667642,0.12391755218009783,0.09368005130951257,0.08733829343631883,0.1643645166913299,0.1186717518670198,0.22478974451116573,0.13072997935875633,0.12425968358961101
EPS without NRI,0.07571019137344677,0.0703098427490299,0.07708116960271627,0.040561777635358384,0.04267821718840987,0.014025601144145049,0.08391376481292132,0.06255870601905218,0.02842263779886714,0.13698982051954267,0.12553052434615394,0.04325129462888337,0.06133379506374491,0.06815121910361902,0.03121994140058414,0.10425421586491415,0.11738609530209038,0.11326622785317815,0.06212850825056129,0.03674421118509552,0.03762781575984213,0.07056739096988475,0.08689838149679721,0.10898259912868384,0.1252361588738163,0.1044335314037408,0.08425016497709238,0.09557803528392224,0.10450030805578232,0.12427386302497187,0.09694065855022595,0.11468858010745511,0.12162687184212678,0.036210932025639186,0.11439566372755629,0.06164179669972259,0.03370618491729273,0.03433221094729972,0.10640696721328141,0.06353169155771574,0.030988672579369925,0.1194457954811832
Owner Earnings per Share (TTM),0.10556010112138249,0.17070062315509058,0.06666250139530329,0.0639274254090281,0.041051368925443046,0.09323615064884402,0.06598020744266282,0.05001135123829596,0.08602637393782929,0.07246993409192154,0.08746904267419751,0.09982162575906334,0.08097634375488406,0.06311886599625322,0.05324745833347854,0.13739194196646745,0.03580541593118492,0.09679184364798772,0.0985128275872779,0.1118473144198068,0.09663350527541592,0.15289666675003663,0.10533001992481311,0.05757845117515287,0.06012284792455694,0.03742465808260232,0.09942583690105378,0.10537133495433344,0.046720961828187135,0.06322902184061134,0.06148230364746803,0.09779504500381336,0.10466978790214015,0.17326251949183047,0.037581279253690175,0.04777015943156114,0.04387319162907088,0.15885337888981324,0.10644149673203748,0.08717263367400231,0.10355400379054272,0.11681390464715583
Free Cash Flow per Share,0.006447362010338962,0.06639456866041799,0.11100710255736511,0.052650922476838925,0.40929872207096557,0.027382572141151404,0.020653744011944964,0.017295377630317278,0.03629110717580957,0.030238974230707195,0.13095240853713572,0.04480970775251243,0.0077139305841763045,0.018764730040002866,0.018320288151948385,0.09139173264757951,0.020343886262703757,0.05126407593524993,0.03954009033735216,0.05475417117749372,0.11886432436764391,0.0682013786556091,0.04973643877962508,0.013043190194634369,0.01749337739676825,0.037952637188275504,0.052290043121084796,0.05243246520736799,0.0371702816773875,0.013028545748472859,0.018011468164046942,0.05162116029071671,0.044892231229579416,0.034454685207461255,0.028901758409541563,0.040284276613730054,0.02119718466244323,0.06197452456861826,0.058140564992220624,0.0038133200319343877,0.048338487624094845,0.06262531149378434
Operating Cash Flow per Share,0.06297861914789002,0.12706526984093033,0.10558843245733801,0.04486466749038985,0.39353908950808736,0.03298770671502719,0.020718122981083765,0.01829687755846291,0.04680316627268976,0.022122552987437167,0.0667324418380631,0.051693650317069205,0.02383189142067879,0.02078158323682709,0.011217333306612462,0.0476454982822399,0.02975656849102543,0.053397465767576625,0.0419917514914032,0.05118945685622354,0.07147893136531014,0.1227782491114351,0.04665161072639513,0.018869233437801804,0.01447628285048932,-0.020071182828434862,0.04923225165411291,0.051067678218706745,-0.006401653953692108,0.013675466930385278,0.017884444614706514,0.06125198788612723,0.09355951661915518,0.0640036462284844,0.02485335805818386,0.0892083968601692,0.004406210465428082,0.056843541316260814,0.06196543499456719,0.08660465007946529,0.04840934037586131,0.0643107552721449
Cash per Share,0.12088131706616285,0.11509480084019226,0.13489981606881035,0.1389446536868085,0.496677786731085,0.034545535425746204,0.03297051693149653,0.06894539726054724,0.02774444847360466,0.0755171264652889,0.04414188823574029,0.03380652299844643,0.025822660189950976,0.032761166188098975,0.019722094139562413,0.061511082954838904,0.02034186771850598,0.052460906006611845,0.049150001499793185,0.11586146532254189,0.06249588208549158,0.15926114833154262,0.04267867766267791,0.03991642192302956,0.06100757477495067,0.01740684546895694,0.07943125232740501,0.09085286658792731,-0.0071291031968774244,0.05736345251752,0.06131816855678152,0.08370736849714193,0.07583171822505295,0.10877138331460526,0.13643509573186555,0.09941240061908879,0.1074485909609155,0.13999023137815791,0.16376894024318764,0.04604585183273989,0.01411148246268481,0.05391903490087406
Dividends per Share,0.023764907795008113,0.08526228569398364,0.07311582506438245,0.08063849904534907,0.032028647309241064,0.0700738548792163,0.05798091188618691,0.07923605182609245,0.029097746977479928,0.10435788221720689,0.07984898389738615,0.07360704827416456,0.11574689978259746,0.057188165324593074,0.05789532793457209,0.1300950015345649,0.04649943588038155,0.05504780634624657,0.07717232104900763,0.08075964039857524,0.08069784999811064,0.15492787296325902,0.0741275599036517,0.06670877882459421,0.05658074646204384,0.024494266251050743,0.08271329436413397,0.0588860996337931,0.02633015119171294,0.08751876647227645,0.08384137530165023,0.084411882585039,0.05223311419867876,0.12742368499387272,0.09640574646359984,0.0890969164730265,0.08922363793436452,0.1499488252313639,0.15414456655068245,0.08810573501872211,0.03288134690804158,0.08650914837105267
Book Value per Share,0.028108922491126627,0.05122146542844186,0.049496465318795,0.0500434127884449,0.046492966907712714,0.04047214485492556,0.047043289011545045,0.051921422928039085,0.038290123096625155,0.06531079875577339,0.05721676272378263,0.04889928406045101,0.043533918045822004,0.03234605500543644,0.05069066793436694,0.06064481651980249,0.041009901035400954,0.05422886759179107,0.04929190751565902,0.044955897411688005,0.051113653535658714,0.07932390703257426,0.04824524643176871,0.05982310973314891,0.04881591419045199,0.002858017043862485,0.06333722644585194,0.07227372879001254,0.003600552423406085,0.04642386485526787,0.048844184677204965,0.06773187852414438,0.041641057074817,0.04217129567889493,0.06357141138558646,0.04354749328768281,0.03170282320643538,0.06335785767312094,0.06810224456855833,0.04958403533116189,0.0546518166954475,0.04917601529591327
Tangible Book per Share,0.03540155136476251,0.03088287693634481,0.046749281210462755,0.041094616445159535,0.0451160049759422,0.02715577847530129,0.032243558679420824,0.043857281872585585,0.04254074145395632,0.0654971697442845,0.03511627414300373,0.03533774087540157,0.026812937978657025,0.010767381157734339,0.03501043531538138,0.05449558691734806,0.020108073985285333,0.03813691455597165,0.03069517509938849,0.03596762171802785,0.03136156881766333,0.08309004500071308,0.0362932474048421,0.04038957404780121,0.04546259703919162,0.026062490114383566,0.0643477695057681,0.07375342842993636,0.02080935070103669,0.04368923744834822,0.04159564307009743,0.06619093975759657,0.018363952994933385,0.04949246748678109,0.0598221889936453,0.025779365572122136,0.012808834296112183,0.07037297716623413,0.07286344947266975,0.041792875152835425,0.03689392590316231,0.03875557242987295
Total Debt per Share,0.1856311709169067,0.14637104713464588,0.08678352248719252,0.09219815212502729,0.06792709284441431,0.04259289801785637,0.04302757102168582,0.11970518701331781,0.08754946155878646,0.11152491131306916,0.15843454062864093,0.15548830740528963,0.03858753595398728,0.021626185025323673,0.028967240482450023,0.05287010102487366,0.13975543784294492,0.12373249357414398,0.11177252390890821,0.058720830609393634,0.047555616348077784,0.17577117172245887,0.047905701455934646,0.10621948337262324,0.15850875137031142,0.04371749929265663,0.03992558230087655,0.04267749205507154,0.03523918143115285,0.12376562371956679,0.046610909076807566,0.12602240534017028,0.15052401525112563,0.04374983227037481,0.07824565520049089,0.07016021461552097,0.028442625190280353,0.1292085243984905,0.1280154928387452,0.11583246652477824,0.08992892858024516,0.05494256463415123
Month End Stock Price,0.054420567943934656,0.013432279396714831,0.057874809636097875,0.05056279524903354,0.03684285998280327,0.003066060258018379,0.007661818335142117,0.022958270952727376,0.033988838077163436,0.07684759707790761,0.015913427342487955,0.012781904297769786,-0.004777575186560868,0.008560826376039995,0.01057128538309738,0.06606460136814091,0.00024808037833866847,0.01876346799971786,0.019119132907675477,0.021417205442952014,0.013204497262735176,0.053327544023524624,0.012437919221173873,0.015553007757757269,0.025572065503351175,-0.029306482740660247,0.05330514653035541,0.04843564039076126,-0.027315531119774177,0.025312443614697165,0.001381742328595067,0.062372049212442764,0.014977735921745288,0.0330850277188005,0.036328440633009884,0.037167344645591974,0.0642607257714762,0.03702378180092894,0.09586806293326526,0.020939340888744964,0.018418660824328654,0.01229044438370182
ROE %,0.053976077591672174,-0.0009285328582443164,0.04937497205404003,0.04795423893189475,0.044897474321652676,-0.00048217414466307376,-0.0003217765850606206,0.04006603022850583,0.030415877922402038,0.061709766081665555,0.0007160550703652082,-0.0035352073183776496,-0.0009113328836584556,-0.001123659716838674,0.007456097013171885,0.0073727087708225095,-0.0002543317620007446,0.001342606811016651,0.0004642284190407391,0.006561806359997039,0.0013885462068950459,0.02799059797941798,-0.002899106562698584,0.005065666029084503,0.037485975530960045,0.023654152425167857,0.03358710731436235,0.031152512901456864,0.010259733058790944,0.0376940188406939,0.04159572277865613,0.02938218962457187,0.07498583206072687,0.002249982404646604,0.04422102189635581,0.0032701178772396103,0.008131750342721275,0.02582386897511072,0.041732888867179345,0.0374082535624225,-0.0031665491471978635,-0.003726218978642796
ROE % Adjusted to Book Value,0.023102109908817493,0.006115912076852003,0.04165890357860236,0.04955685780597713,0.024123598222715766,0.003334572198010633,0.0001629846010280391,0.02952790363177164,0.023131128815062713,0.04288624754776017,0.009558950704985138,0.015453952512718314,0.005108811861165366,0.0010118178305844128,0.004024930569130591,-0.010897199192177664,0.008149670418967594,0.009561664687861782,0.007094316277494774,0.015928691863931883,0.002968777322276819,0.053430188025656,-0.01652604864124198,-0.006441641700385284,0.020325105323928713,-0.03648344199347944,0.018341217227876665,0.04616719227310958,-0.03917901559823929,0.009578143931525559,0.019982682779587542,0.033835339082761776,-0.021633911081664226,0.017284898277672805,0.028322148592635685,-0.008835201623781822,-0.018290793669951632,0.02202618637230176,0.03987779638369997,0.023843735678562867,0.005077408236908323,-0.011567646850090358
ROA %,0.023267957303628854,-0.02097238902659904,0.03435625185958199,0.03141906467847207,0.03747673420529352,-0.027588440857342057,-0.02603750900816494,0.006683225550331837,0.01571708716919091,0.02848042198732539,-0.024013951438833833,-0.023940861375654342,-0.021874884710336714,-0.02203346609577828,-0.01614688832021634,-0.015425013437445088,-0.022761410704975525,-0.024493482542845613,-0.023907110826507486,-0.02425162448583616,-0.019632038634832514,0.025631382679461683,-0.021918994160937004,-0.016106727372808202,-0.000975771609426127,0.002542077437488965,0.03198022985537692,0.03186704457351156,-0.018455460671409296,0.002534949312191772,0.00560163479135063,0.029747965221752153,0.052975889575397686,-0.022888006918657996,0.01235400346877271,-0.014840100139268843,-0.014045912650347783,0.020229134857791195,0.039703112544592495,-0.0004382156861237711,-0.02846923494910065,-0.03575324758407113
Return-on-Tangible-Equity,0.0692549702747117,0.02850782712272333,0.13913502953781692,0.07926116401510275,0.04687440981092788,0.01119440474005282,0.02569785288167621,0.047133723113938666,0.03594138421997517,0.08850915581354468,0.051641366225437045,0.028342476369130135,0.05621343246297337,0.006653965955717632,0.02485441902973942,0.0585277459704913,0.018866141821864864,0.031564455089542996,0.021677617961518864,0.021101572833844735,0.029369082106142412,0.03820369102841421,0.031201990251455352,0.03435465125497769,0.06670034866545574,0.028225117972062137,0.04880652379606544,0.04723034327471902,0.021896576748212822,0.06624626920420769,0.0565280518477181,0.0432445218954565,0.12185412478765353,0.05823446974305575,0.06024653564988896,0.005832147506090464,0.0011996743529267473,0.028720150094055787,0.03779714748095648,0.05578915862198821,0.002913471854073294,0.03943723374701805
Return-on-Tangible-Asset,0.13089481289136182,0.11164224910487515,0.1044578802014894,0.034792823385065744,0.030155403263021376,0.00861439607033686,0.0017282318643285252,0.01894846407823432,0.025337482010836947,0.15820905954093378,0.10567154596126445,0.033509652394113444,0.06196300382084794,-0.002971622217334904,0.08602639541499019,0.06646561738755814,-0.0029716734698071808,0.011644730098013461,0.006558592978847205,0.01716259802193649,0.02011761206441813,0.0367075337287774,0.01385538998119069,0.008019675602170626,0.02293182807090384,0.0056518395054936405,0.058365699837891666,0.055860362254125315,0.006928051141955655,0.030971306352509987,0.022651277646499223,0.05589004961509159,-0.0028716904198410635,0.009618482737826803,0.022380290963115647,-0.02084496513002787,-0.013885405802908785,0.03193084126686674,0.03540975149508789,0.023710318046637972,0.00849946201563445,0.01265279951234613
ROC (Joel Greenblatt) %,0.012394569517814952,0.06211350028942023,0.00894581560094336,0.015683506032336685,0.010533647989272484,0.04396090861961508,0.03020286564841005,0.022635856377743808,0.01645737903014381,0.03440439494882435,0.06096842318124275,0.05742498534010678,0.022746977066104478,0.03365298856076077,0.017953714194431127,0.0190766408518854,0.04680508338001379,0.06287414017103178,0.05169619915713449,0.05294026829453179,0.04994237538966754,0.034810672586457946,0.053167705644100886,0.025550670305825172,0.03184019649011037,0.05027966677462112,0.012059065771254715,0.024831470155913374,0.043118715703564084,0.022798453381639435,0.012391504752349394,0.028650951230832073,0.03948699014862651,0.00487523836726658,0.012997724744433597,0.04902131759417335,0.031704857620818136,0.009717746195333284,0.051045347670881355,0.0275008113753804,0.06603191884097881,0.04740966162460153
ROCE %,0.04970412632320418,0.013410595487658643,0.044706898764392614,0.041718650075342686,0.049766427831485105,0.02024741990314059,0.028892736771418327,0.03486166067271258,0.016320363519179214,0.06156833746640273,0.01708024391371316,0.0036373656422309755,0.017342190331595647,0.034969928637461505,0.02402504846297675,0.02422635344477554,0.011870590051335651,0.011258423673361632,0.011208615722408156,0.017981054499077633,0.015535752761199492,0.05230664295410793,0.011787708405589854,0.023090153842735897,0.028460396762366003,0.036901560268448985,0.042496117642851876,0.039651024199708014,0.02446151161811589,0.03275146541144207,0.03609092670944567,0.04592634556433817,0.08733620134662767,0.02163120621034581,0.04052226197685013,0.041529397454308815,0.03948525293554313,0.027595586632076834,0.07027741401558926,0.02514306449436285,0.005026544537390623,0.006797081211214919
ROIC %,0.03972522615579831,-0.02069187414773258,0.03559297770701353,0.03525744846166805,0.047290419252292576,-0.0218888133300461,-0.021099802473929338,0.0212728264122828,0.022601158346899807,0.05130866931037472,-0.01702712512406169,-0.019086374730041728,-0.019636123388086946,-0.022078752146695788,-0.013763512502999767,-0.013024243387916124,-0.02336129006581442,-0.01847028284242534,-0.019507716246423785,-0.018161588078237947,-0.017834442492981474,0.03366599787847027,-0.020413414284482078,-0.014227324479245724,0.019009008508238626,0.005376707544567006,0.036639641164618604,0.029259058038944612,-0.009252389724063408,0.019659906984019364,0.022457958691255005,0.03365087866777848,0.0346123848270409,-0.01793174323942276,0.03015227110345342,-0.010207907413718796,-0.005601244584267722,0.026376643027097683,0.03940399535201702,0.021208021785290174,-0.022598117935784416,-0.03058123382483114
WACC %,-0.004422811038345466,-0.015580587050252486,-0.011855622427901464,-0.0223990147727045,0.0029618154679176218,-0.02195443335739751,-0.020681461582108693,0.0046459493329226755,0.003178315838530781,0.003196155382710025,-0.016614581874639153,-0.018212350637179475,-0.02031223498926188,-0.022351808734099088,-0.03446120132702059,-0.02281285409610527,-0.019059613192180844,-0.017739728062433187,0.013053571046780389,-0.017277836806166298,0.00663345515233066,0.016336934081767594,-0.020766487235333538,-0.014518246840692875,0.003124970069584595,-0.021586995592541576,0.0032768099489773475,0.007980801910886367,-0.021586995592541576,-0.0045045105719201586,-0.01216564005497383,0.016014812592570638,-0.006569170051251036,-0.02916931723311135,0.015830036052279083,-0.007585857988924196,-0.005619855819531333,0.003405909002060403,0.008320983938006652,0.016886559761382286,-0.0026541254871911626,0.03388140425130332
Effective Interest Rate on Debt %,-0.014590559606740511,0.007210377912193318,0.00539005443539705,-0.0009018616041726107,-0.009021135330134916,0.0012186501840042896,-1.9552740767284364e-05,0.036718658435683775,-0.01116484229806516,0.023533483860731563,0.007099062260089557,0.02553305030971183,0.011061780593236311,0.014772148311962332,0.007526933084334014,0.005286229263996088,-0.011762634508386563,0.010098633557465765,0.01734554319010527,0.012887899456293485,0.01345155367571645,0.02624959625062103,-0.0006264273215663978,0.007439162900238159,0.01894791919130743,-0.02989431501370211,0.02315779777176833,0.018880697572465868,-0.036053865110831064,0.028664868102024746,0.02292882177215112,0.019916482415021315,-0.01398092703784325,0.01764244580194123,0.04589139163801983,-0.01939890759926911,-0.014300571076525232,0.004712065632777551,0.02096138673723766,0.02733933140224068,0.032586758479581306,0.016087046534309996
Gross Margin %,0.010236498546838264,0.04255946923270913,0.015556775840073922,-0.013864847431857102,0.011912590701551479,0.003396082054361768,0.012195855568302293,0.014383657099798584,0.03873276186948204,0.029596840540782335,0.04219501845604859,0.03776220883907296,0.013334803459072696,0.02504183791036313,0.005295302122208578,-0.004496294011579574,0.007361679573746864,0.009071098384464203,0.013773709447292566,0.011349299291790328,0.01912991580997262,0.03070853692182342,0.03906178545986079,-0.013885094048416187,0.0052766042275826115,0.019752077542916753,0.04488994436626526,0.03484545964294398,0.029419691153117534,0.0072218244644891415,0.01694411036474433,0.0394358581319817,0.08545939780924447,0.01623451899521501,0.024441276585295157,0.017163311217400827,0.033968470699755164,0.03637380966250592,0.0671444284883403,0.027569485040779954,0.039251474700497495,0.04254968612254639
Operating Margin %,-0.005767662907883241,0.018450532867640878,0.017146867757898022,-0.012706505624160471,0.012157458543263854,0.03907506880244975,-0.006612150069864035,0.009165703954814752,0.03715932201110133,0.022014717223323328,0.018920060514158624,0.048495402468538944,0.011482293043329513,0.020014819822056207,0.015980416055287168,0.01213009103247464,0.03401758821246039,0.049467940105797345,0.027431064192712826,0.0449661358462757,0.04905143223519307,0.04591383073606552,0.018922495013359426,0.0062813060912287385,0.014823045175970925,0.007722676527197486,0.04685859365532065,0.04527882070709244,0.022267385879651335,0.009240106020461237,0.025236380379101073,0.04225762624354506,0.012891862413867623,0.04695887631929793,0.023955137947094276,0.010078824574303726,0.03691099061391007,0.024128419761260463,0.053954983170335216,-0.0032366510057441115,0.04912033557293584,0.03688659597821843
Net Margin %,0.009028092139145981,0.0493652189317191,0.012459241634452082,0.001320791782466509,0.012299317564790425,0.009536084543393547,-0.00618164214250335,0.015742832570613104,0.038673780839412586,0.03161145705504051,0.04852277423151478,0.040833410775446215,0.017726885178582848,0.011434077611732043,0.012287661394762377,-0.0014300232228505125,0.010149708543095824,0.045384616034395385,0.009761198002564496,0.013822788898536647,0.014289501956949785,0.02983758967979043,0.014750101764648964,0.005275297968601149,0.010339076849742779,0.01288515838435348,0.03838827323240079,0.03520088002072252,0.01028759731447089,0.009311475779437467,0.011597282151553045,0.04533606067624245,0.11926580576872746,0.028775076773809364,0.028453530564848346,0.01991253346532338,0.04214398385012253,0.03788747677557677,0.06386864756827447,0.0033843836813897622,0.00966243832843828,0.04679430936321615
EBITDA Margin %,-0.010171787754648201,0.01970546080583027,0.012028478731031515,0.008583071565295346,0.010776504857812135,0.009275774473091794,-0.006915730742695314,0.01566819933545728,0.037262324892234806,0.013870353506019596,0.016577404076031515,0.04247122723762081,0.02049324702828186,0.021825435810447442,0.007682368686823021,0.009304794069835698,0.03433646211810774,0.04389259422862115,0.018065658774291067,0.015385204081962272,0.017063819562764333,0.0308204043989856,0.01575808227346947,0.008388873314177927,0.011058881457002963,0.011164759883554864,0.03704978707620196,0.0427278877591312,0.011142370920993606,0.013236467704059191,0.026428999434678902,0.05419111388319046,0.12033865617459104,0.028501454560761575,0.03846868433037904,0.0367506971010003,0.039881382100560143,0.037718910846711265,0.05599548063589329,0.019658388267606568,0.017586561306385525,0.04460268509204779
FCF Margin %,0.052876201957928325,0.048308261356442464,0.045937497721156934,0.013683680380672447,0.04500968224183693,0.032780023229917285,0.04782588139248635,0.043230833149101096,0.07928398217542182,0.05399901910317437,0.04768200664831583,0.08157811795734292,0.08597541054317372,0.0875642021416969,0.027777798029025906,0.015382772892588605,0.041810949711049615,0.0425141594325496,0.0375850778636453,0.04122581155876661,0.044093304675967046,0.058166648781573425,0.04056837587870943,0.011244520730756588,0.03981756106225164,0.036193893463983724,0.026463902592023556,0.055113662413812825,0.035329909520211394,0.04028031330831882,0.04570092772894153,0.0492828229334728,0.0518774340415282,0.04469535864514491,0.062341592710509874,0.03667517603493014,0.062212155972341754,0.06172035198651607,0.023100858958983412,0.05444038688344113,0.04309008529925118,0.08437811814422504
Debt-to-Equity,0.1997144667758785,0.12232266040876391,0.10811524245200203,0.14275393252266977,0.08069634148568655,0.027139047390754945,0.027878982941807788,0.09969970202317814,0.10292905566642035,0.0834303447237671,0.10928792722688685,0.0848070239290861,0.1092085137395749,0.057442017185900716,0.04079662313801594,0.05871939966732359,0.14690047858701927,0.1100395369658909,0.06926123517884054,0.05884184824066593,0.0832696547093685,0.12285147092403037,0.04879976579279927,0.09389286472635666,0.15492446658367887,0.034974135862695016,0.04896345295950838,0.05631116901299953,0.031337647584280426,0.1570366094169807,0.10774816471195824,0.15810483778176562,0.19299150871374304,0.07845364636932156,0.07815380710910075,0.09562063690883509,0.05366950831563907,0.04735787206590991,0.12409280880596087,0.12456868042729691,0.07588525129407118,0.03589980391104161
Equity-to-Asset,0.19190977295065942,0.1904946069628123,0.1626068396370867,0.1130928720272815,0.0735265769142344,0.030683058288401684,0.040301313543346234,0.04914367206961905,0.04999367079891394,0.22307139915869476,0.18025161095380973,0.15935939934871537,0.12287978381398382,0.1436440303942224,0.10995391033701142,0.12903298416318182,0.09213450117366713,0.07060267998097408,0.04039303234736563,0.05713048253833726,0.053879887306943666,0.14163193076414976,0.06877815537322357,0.056730119722500666,0.09793777308075591,0.06471983431211785,0.09765496723248841,0.09671725384991506,0.04256897465941994,0.09436293603989591,0.07204649545460898,0.10563612263372896,0.18101558599234713,0.1441032107186597,0.07692237445450005,0.14097973282150095,0.12158700747358421,0.13633247832653478,0.20173602184410244,0.08362477040113245,0.050782368581458334,0.07273867452229198
Debt-to-Asset,0.2236903217275893,0.18245631680043342,0.13250720283434808,0.09449819303853607,0.08210836413085013,0.04657629924330881,0.027340999429080397,0.10195503041461808,0.02924820321285621,0.2449758269562793,0.17564643023987916,0.15625765308980058,0.07600930385054157,0.07970462398068329,0.10285260021245987,0.04477269758084629,0.14829700358538095,0.11695901757433042,0.08316368610720122,0.13979919769838733,0.12336361985695289,0.1454960517800524,0.06289659098519813,0.07093318433849095,0.15639488269490046,0.06342381289251309,0.0525869210164137,0.03226997017608407,0.06465511880644959,0.13774522659821686,0.10418423017182012,0.10068836050862535,0.10098039338693385,0.04830896638252567,0.06649952283554615,0.08996800468775774,0.09998297381849008,0.040170423357164316,0.12769108748251143,0.07642426816411277,0.11646173944215273,0.06593534463980534
Liabilities-to-Assets,0.19038981334388666,0.19521571676918234,0.10824343408942212,0.1002869031474051,0.07455660538577162,0.07391885013395158,0.08398875737345828,0.14554153700544906,0.05757323364231024,0.21825741106087992,0.18468810252284604,0.10195911587846551,0.09817069030622774,0.0832798142292816,0.1613939669817329,0.16866149800639357,0.31478988639661787,0.24433679614732268,0.15329137755064345,0.09229917170136662,0.12488409703382798,0.16506544045244048,0.09063176314546738,0.3048563086866429,0.16524958586152103,0.05860465769251928,0.12268993810839574,0.21611317261428584,0.06243227023163986,0.1708099694077032,0.1931287899336387,0.3429613787938298,0.09414002381376917,0.08216094238643258,0.11823549970781157,0.07851969385787985,0.04826930983051846,0.11077093425878717,0.13479616679702086,0.10827273820784535,0.15915922962501985,0.0745968000034575
