,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Amortization,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Irregular Income/Expense,Restructuring and Reorganization Income/Expense,"Other Income/Expense, Non-Operating",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Reported Normalized Operating Profit,Basic EPS,Basic EPS from Continuing Operations,Basic EPS from Discontinued Operations,Diluted EPS,Diluted EPS from Continuing Operations,Diluted EPS from Discontinued Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Diluted EPS,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
Capex-to-Revenue,0.029243418413552286,0.24296613154198712,0.24654949287837796,0.242076922503202,0.07682496423617678,0.17847220090057436,0.0666445629172509,0.08195415413656293,-0.00529866205885793,0.004610921254108627,-0.012534181428433763,0.0048203921782234435,0.07874449075311199,0.056334194259896025,-0.0024791120903854555,0.07894185156073277,0.10284020849676037,0.060643119489262605,0.05876086438994289,0.05621539603867135,0.07299273356155281,0.05162338415064282,0.05601088753066398,0.06853521354564501,0.014399091558942763,0.056615451707460025,-0.0123787920810039,-0.012635045196895477,-0.011714174951177977,0.09533899572446644,0.06969691683776595,0.20573040980104446,0.09155074167450973,0.003795814878101566,0.009972713270351326,0.044510421956363344,-0.006379036633056733,0.038471113878796315,0.040290598559732105,0.00423909724087332,0.04040470151790902,0.036171618251821136,0.003977459632086074,0.029133158440906755,0.021590112250853676,0.05734390621777956,0.04111818128698979,0.05610112976507845,0.03919185315644813,0.0412122826956558,0.013967819789539145,0.017482742122774463
Capex-to-Operating-Income,0.02416195177454435,0.07208880094120013,0.07375994606381556,0.17697780656236733,0.10125667861982994,0.20731940220928063,0.02867113698438323,0.023885076629064052,0.006948068084029123,0.004886577142468316,0.003521138623004856,0.105777812013648,0.1071522853424066,0.12349565818498043,0.10948567295260299,0.1133715917481265,0.11738602806213584,0.1209054018889357,0.08158857331306674,0.11995711510170505,0.0910982694526335,0.03214918678423984,0.08425296334046824,0.06690043312061303,0.08996719245798943,0.015637105170775926,0.016584207929850825,0.03735811310130422,0.01463648225048722,0.049043121383061425,0.09922618931910449,0.07685240586716757,0.22277321345851706,0.04378420559024364,0.038406899786409814,-0.007811976821269472,0.05085670215246936,0.009628369012980373,0.10437454401005532,0.10053101640361682,0.010144441024849914,0.10284968575526282,0.10139414905265214,0.0024819294266578305,0.004356736637781457,0.007497037728933486,0.06214946581353027,0.04634476095395953,0.009581315973244254,0.010144441024849914,-0.01681142033797793,-0.017025655982483626
Capex-to-Operating-Cash-Flow,-0.025885501370013414,0.018768925888801,0.013302958752141636,0.11106880484704267,0.1248489154465979,0.1528732004085673,0.04927209765963235,0.031695031124609606,0.001008350209596668,-0.001250177587680425,0.005150847770667369,0.0529894412570177,0.057912220614020224,0.021691700088004987,0.020534215617943385,0.07393467873419111,0.01206052471156859,0.012487687593943452,0.012451014167082327,0.008256553451825896,-0.003715651306114073,0.001981743767794606,0.02449471015924229,0.06949544781458675,0.02745850870543269,-0.0030141183797009557,-0.0025882348276978304,0.008848058134202759,0.006221800736585942,0.006191746756305533,0.03245496055340725,0.03916383048246191,0.1806197060413775,0.05154293126904747,0.006688869841515447,0.007591705897414725,0.035238175099079776,-0.00730840140355387,0.08391760434640001,0.11667799581546139,-0.005383009667492558,0.08391533598482087,0.09737761678540242,-0.02095669013598499,-0.012887146413658885,-0.00015019237283526125,0.06110677250924802,0.04654199388765403,-0.007251594288527655,-0.00718351760908335,-0.03694727083701537,-0.030770799932431096
Revenue,0.03757655906887252,0.9267627410255838,0.6642154836334401,0.6365585446172505,0.004905298567058771,0.09176953052207869,0.08718118692729873,0.03304182157513911,0.011546943884629152,0.017801922819334928,0.01527676127470222,-0.01826041484144253,0.05326161042483667,0.09973806158554634,0.005889234623804817,0.05043571076945868,0.018793302523007264,0.04327987123517883,-0.025414643812294704,0.04883702504436607,0.0734449679672805,0.0783130265091125,0.05152708687490963,-0.019656877831203984,0.013222949253861046,-0.013452552422254233,0.00583701307339406,-0.004346233848806717,-0.004471586126576214,0.02108958620470329,0.010706519682139998,0.6541011117286325,0.09282282998938046,-0.0008425492001062403,0.07907432553632084,0.06273673090819544,-0.025894008530465872,-0.0029209005975647387,0.003999514718881384,0.10808172171457625,-0.001484432943523713,0.00636961309969571,0.10824831702757944,-0.01191793308013124,-0.013531315679845463,0.024285361115683027,0.03614900030046902,0.035239524349596735,-0.0030194355151153865,0.0009237902093539675,-0.016043014635811922,-0.008382173729245823
Cost of Goods Sold,0.0002993724873997707,0.02440516986019816,0.038150062827811894,0.1047220851492341,0.25678864859669703,0.014512863998643556,0.098174887409131,0.024378811065899522,-0.0017511665604320803,-0.0030378572701118666,0.008063031035775985,0.0034948405252435612,0.03089670562335396,0.031474185682154016,0.03371818363511078,0.02659693019584742,-0.005276586482575483,-0.009863696425337838,0.017325564976872498,0.006173975453830304,0.01816223916433209,0.03738346057095355,0.0009781785019061942,-0.021135066090421782,0.003720126482362177,-0.009159594831221054,0.01994807933552881,0.003627095543939182,0.00941961949229282,-0.002179402334007022,-0.020095231150969346,0.037070876670590704,0.016824447960845826,-0.0028081325798431215,-0.0004899919525411921,0.009423009964418598,-0.008596132214972648,-0.0012691308231758823,-0.018355279528068966,0.1616779330664293,-0.0020851791575912755,-0.01695830802315365,0.16822686395467895,0.011903442567792428,0.01799015283501975,-0.002374909415361706,0.04246755293158961,0.044777435600298815,0.0003710408322254151,0.001995832805148191,-0.009295264791203038,-0.005555717291523893
Gross Profit,0.9053096165525456,0.06971104771904664,0.08521090270307245,0.10403937701522796,0.013448742013096314,0.06095649054657684,0.08731393719525142,0.005584438643070706,0.006671366140977892,0.019053988575138125,0.006478648023393931,0.20468903509654235,0.0676098007179951,0.0813195033663243,0.028806486580775486,0.0702346212990048,0.030676438837262367,0.01647463596465202,0.03911597538407022,0.04074532912206756,0.0517163422021794,0.023874428197773197,0.047746189503282147,0.004405238550906935,0.048353805970320185,0.022762607961013,0.05531314328083864,0.05369212094540678,0.05541485296652988,0.021053556812291624,0.01682545103434717,0.08113901715287854,0.07920437975925816,0.0719359828933409,0.038313883448504185,-0.012074382534167255,0.05775598685417482,0.008025537668074333,0.03900747657297617,0.20956180896435636,0.021295676990025672,0.033920091606508274,0.21040063046727103,-0.011415228760371992,-0.010914385302769879,0.01662815596127783,0.09603920168048374,0.015465875381555498,0.019425770740936866,0.0180493160092241,0.00697343893015821,0.008061127252590523
Gross Margin %.1,0.07598143397942358,0.09975195112152296,0.1253475748929572,0.0736969273830252,0.0682443963396359,0.09673480678259914,0.07822274127482888,0.09394522421317658,-4.178148521784275e-05,0.008096216978651741,-0.008272117448168278,0.0296827667872136,-0.008783475016698676,0.015526827337982857,0.015491060713625413,0.021552849885371886,-0.02030614372733451,-0.0037880182010816654,-0.016599225803781995,0.0068338850047974554,0.00916741480261319,0.016070905580611895,-0.015570256222110059,0.05263090039333705,-0.01274193003646092,0.04879571111543184,-0.01944440346143756,-0.007605179679631677,-0.011646548739582796,-0.00838503065434169,-0.012002471967139789,0.07624037567906612,0.09642991366304579,0.005331671391427989,0.0004161465133504299,0.008180022333307344,0.051542114995245275,0.006991015290149172,0.037260492753942914,0.028332567380528768,0.006814545628066394,0.03292374171388132,0.029496106232787686,0.010479339712296636,0.02616219510036572,0.021862019398483225,0.02907225053258302,0.04331540800298671,0.012363240006450735,0.015449429276843374,0.0017584770186111131,0.01393353714513713
"Selling, General, & Admin. Expense",0.03838150776742501,0.08659080866122426,0.09215580316344357,0.0845677068309927,0.1125695338043446,0.12485620928887706,0.5598789798313089,0.0738420748123044,0.00027711495952212947,0.0006771820388668422,-0.0013871597080527586,0.07642501500257752,0.13245191423838154,0.06818299959886023,0.13103310069637025,0.14090729445783795,0.10301354257723605,0.04674574666997599,0.025761238633710572,-0.011313725129601365,-0.005855484803926673,0.0055993983890471515,0.02192048166214889,-0.0017189782555130197,0.0008183789687710033,0.03125935707449248,0.014808082275937762,-0.00818007595700691,-0.009745646552482768,0.004929769987573736,0.07653169814742021,0.11192513775850241,0.10306723018018979,0.010430275106285677,-0.0033764277414269415,-0.0010794186311209246,-0.018446322153933263,0.008671893109545567,0.059608501578077774,0.22583512289103655,0.010585791336822054,0.05809205358544992,0.2296233120130839,0.007124245896481965,0.007901207711137503,0.007271705809423204,0.038727362203720445,0.04017408404491598,0.007666163598457355,0.009591210236820753,-0.0030827825925786026,-0.022547029729465838
Research & Development,-0.01999763060714252,0.042651618948016015,0.05954576958212452,-0.014981174019108146,-0.031631500585534836,0.028628011378365188,0.052883153435940106,0.32392609536938016,-0.034406995116084194,-0.02792433202018136,-0.03610294278631439,-0.036698967253401674,0.01156330335802171,-0.019816902536201324,-0.010129233985304097,-0.0018287358608101417,-0.005861072658070746,0.003927215964433929,0.007688347453551019,0.005141755043218829,-0.037395140578335456,-0.012443314363258594,-0.02746840302372018,-0.012903236849789897,-0.027785444909727137,0.012736737639173976,-0.02171875470971715,-0.030911373404242094,-0.040263036487336604,-0.014598304325788954,0.004629565996424812,0.05160677943512369,0.024959133595194968,-0.0376176364711883,-0.05311369102377236,0.0034394024570561046,-0.04490547073261542,-0.005127001217905176,0.010463411170605369,-0.05278629037543186,-0.007756657910408742,0.010116699752374312,-0.042633727768100926,-0.016311271638931413,-0.029564487884645937,-0.008174338525732874,-0.0327935670357833,-0.02838417842229684,-0.004639591582451922,-0.00798520993289159,-0.024695519282849868,-0.014922516938293462
Other Operating Expense,0.03515528357389089,0.08843946561655353,0.08750233356660761,0.054925459431945954,0.08505347683094543,0.26968837035360327,0.19240165338008783,0.15440544740194312,-0.006476284238763397,-0.010437537601940817,-0.005930356897545453,0.10328266584210655,0.10000355235684338,0.13132450291401251,0.13038441982983207,0.2647019396003848,0.10403646682381716,0.09982411363081123,0.027277422322367358,-0.0021911620196022716,-0.010596817726805104,-0.005174120889049083,0.08365283379085638,0.03863711275340711,0.08265380001046524,0.006093332473327887,-0.012703890996269243,-0.010555646207436112,-0.01905911404410046,-0.0006007593300178088,0.09785912088982758,0.036249449292974766,0.32683721501694313,0.10120786293989088,-0.004994063076860239,0.00275608571681955,0.030622679213005925,0.017459783834717545,0.07334556666993226,0.20739303393552133,0.023515109347554464,0.07829161627972854,0.215492943408417,-0.0003237290061142593,-0.0014089336057201496,-0.0015421455763209666,0.05511027524498148,0.04254818759925033,0.023314720132531403,0.03458398488855361,-0.002618124841121486,-0.03846976440731732
Total Operating Expense,0.058335476421911066,0.13596583108755084,0.09529353390229234,0.07906669226873576,0.11333314581879472,0.27332008348529857,0.10683939285884532,0.06470992073738838,0.038756058142652025,0.03544368531404888,0.03430687371482261,0.10737458207903085,0.22148733169534587,0.16663056082935937,0.1643595421353488,0.16400702939893597,0.1060907734541655,0.10557338323595804,0.10221229774786968,0.005293119201246951,0.03648040109308343,0.04933773838702102,0.12729462988918003,0.07804837796187314,0.12930647449474125,0.0023378996139408336,0.03477112326244217,0.036967443698180356,0.0381664131109226,0.02177687674839755,0.09943370568444816,0.12067984443436024,0.5481816621609893,0.13191786790424137,0.03315991996023507,0.01945011002860905,0.07450645735556492,0.007108176332152226,0.07906404785163573,0.22520090788988845,0.011755151336563956,0.0827823726030998,0.22356933113478744,0.011000003822109753,0.01072104742527703,0.005074095777901517,0.08658150445069865,0.04285078616036681,0.011416985052638707,0.02275231557660248,0.0071812090574818275,-0.0030616951685965535
Operating Income,0.006704734006059851,0.06162428562608504,0.19438993203826158,0.13148722845812497,0.041932101890951555,0.9681054644301319,0.12200094909743983,0.035732853907502055,0.011362614233226938,0.004700437605504631,0.010092710599100014,0.08193849846860085,0.67084679748437,0.13090559164416912,0.13966897779445897,0.1112398972291091,0.07126969114386394,0.07490698854837677,0.011127187514562873,0.08497352920169673,0.11546071593657939,0.07620536916751476,0.0725874485415967,0.05588192057116253,0.07431604269098384,0.03344748858253733,0.09544626836247937,0.099502706392748,0.1030275543794125,0.07265767023318964,0.4333822873164045,0.09199009598737252,0.12247398368659122,0.07670803054935105,0.11267755449278379,0.01653033273033465,0.08476136413681129,0.00020858563699174446,0.09858433322281109,0.2696307665445757,0.005904888093057106,0.10000414889047152,0.25821458003458275,0.010435610064407881,0.015034195431310855,0.01765921633202784,0.04631271117084673,0.03470721097489762,0.0047871012176346015,0.008579795934415704,-0.01073966888121561,-0.0006282496246199192
Operating Margin %.1,0.020340281124412784,0.07157828094896035,0.07865469881202534,0.06770851000055385,0.06888725538017822,0.26123605164889085,0.11424989832016592,0.06901067214527125,0.012956479318659241,0.011250288865616881,0.006273516902308251,0.11140281054157489,0.1257984023500902,0.016640660435994964,0.024515003304339922,0.07214913773650213,0.008216942858063448,0.010848180371682746,0.00894534085604666,0.013627322166664457,0.011512978819570887,0.01805474951379822,0.012775358845376162,0.0999539720023879,0.016641696438919943,0.055687378832847446,0.009881600321343675,0.014919221878248415,-0.0028039864051865467,0.01124662415092631,0.09333087188195853,0.0682007565326975,0.23777540299231623,0.10808229574550375,0.011604076080030137,0.05129613850888516,0.0860757514067514,0.010026209374941692,0.0724525262944724,0.06364678404080976,0.011347154753848999,0.07316883603907297,0.062416540539073175,0.026987528077626388,0.04015578725573211,0.019261494924436767,0.04339497689877796,0.03854071130388507,0.01866360953258811,0.02452150092431192,0.009564245013912872,0.02158399288407087
  Interest Income,0.022237112333817664,0.08608353456736502,0.08662290139810896,0.08005981254851852,0.07618136751896755,0.1766165913485361,0.017109112243319177,0.025190874186650027,-0.008645118736891139,0.015546615926980631,0.00549951516720062,-0.004508448575376718,0.12143943498368105,0.08374553318906718,0.04014798004633086,0.12010185749221869,0.0783542526397796,0.6665902935572343,0.07325981566473841,0.9128911881935362,0.07511454229930138,0.10479699267956485,0.08309699594180364,-0.0027094189024456086,0.0229249178932083,0.03803664866360007,0.08536192888312125,0.07319873630725098,0.07235975872755782,0.07101617181318029,0.06268210072073925,0.033379685391324986,0.050665142228990066,-0.007630923283165988,0.08442149353258248,0.05126694756077332,-0.02132103714471547,0.004352302941515999,0.049832373457052964,0.010642428136210384,0.011063283093769314,-0.0039830780996485595,-0.0017067056686979202,-0.005070201422335194,-0.006739033209220929,0.013283230429695213,0.11346341336472841,0.057649737877956034,0.004222181604555362,0.010057581765296322,-0.046933991182286194,-0.035203392013951555
  Interest Expense,-0.003401566884245035,0.04025963574845604,0.04652135175324873,0.12415717852671376,0.11032550797460028,0.1281757400913451,0.12927536344242127,0.09416463095681854,0.03277327888276125,0.032293896746172335,0.0752458862102603,0.036182210065772755,0.16080832630620637,0.13419501294535754,0.15396684489791818,0.16235097703891352,0.10940433215123437,0.26939778531950526,0.46925741895779005,0.24657051462523832,0.021511018536876883,0.02891294592663506,0.02120968881958633,0.02935654085914086,0.030524184095140725,0.0676873966441822,0.035164636551304175,0.025644742741145667,0.02629709225139338,0.024426533520429394,0.1053893463106112,0.035158275403921614,0.12335545574009955,0.02519275314400618,0.04590292872852389,0.0961676568970936,0.01383629851473209,0.04861516477888468,0.08263829478246942,0.23860571976573286,0.05495804594439202,0.06208285399466319,0.23631753797567076,0.0337988851247329,0.027976495982693632,0.028037736036734748,0.08588625897487916,0.08123676648700463,0.04811826673336094,0.05454989462273857,-0.011072665968586227,-0.011946737826282812
Net Interest Income,0.05999595463614029,0.11307175614175295,0.11221884294956942,0.04423053878584935,0.0447517396434658,0.15706861646509584,0.04147834976901436,0.07549824818716885,0.014752804106739948,-0.002192897157025848,-0.006313088966686285,0.005365996335219173,0.15409800328224693,0.14559773564278783,0.06037507351857026,0.15623429217361517,0.2843522489302622,0.9371408676627516,0.08552556159425347,0.8860923183251489,0.12082810837883537,0.12574576374789057,0.10730915905006447,0.0004893297020693728,0.1053847125399387,0.07402281486308415,0.0936841687434582,0.1156580851742027,0.11953312188524096,0.10287462386321815,0.09984139816683928,0.10906973078581259,0.03587020576977382,0.006923330080971639,0.12714541140686264,0.08768341614708924,0.01232064557199954,0.02855690402197468,0.011754502765382677,0.22014373245454608,0.02543217562514243,0.003371381977902161,0.21879499443972833,0.02146048276029921,0.03248451275694685,0.009419404315136649,0.08612345268324428,0.05456640045701191,0.02674181332579204,0.028357917553890034,-0.005958758490035948,-0.009877249214124625
Other Income (Expense),0.041095474327428355,0.06288607062242126,0.06799789026538297,0.19162707501221996,0.19000350073872638,0.18084013986843722,0.08986973131671831,0.062466239320216894,0.03268501607617228,0.030093802525910148,0.02389801067460306,0.04187666923939638,0.2829601653102766,0.3059999051466505,0.15585125833175806,0.33625507511884317,0.07382366386584462,0.07727844596607476,0.04068944257891967,0.09126516350008208,0.1303482715502877,0.16509968697814073,0.12757186230863396,0.014973133005052076,0.11255983028142331,0.009458388116303491,0.1118898478270796,0.06372233988571725,0.042122565138676196,0.08915526390559193,0.08157904350574031,0.06360941884265647,0.11322301469094267,0.024620325621801824,0.15383828744243883,0.0025792988797946398,0.008788737082239408,0.0018073351780209133,0.0379483640453062,0.05313748853612686,0.003479859001006694,0.02834781158201841,0.05298186342920942,0.01726728162787003,-0.0004953559309135193,-0.003216292902171159,0.05857309112280764,0.05097486391274689,0.0038246151854206593,0.004859924773502559,-0.02131630632163582,-0.0178837117136905
Pre-Tax Income,0.005371452409472967,0.10322949467905856,0.02889377102265145,0.012902346410509195,0.022335406520032932,0.09400846363288544,0.028671960979015955,0.010271037156775725,0.02201263049237985,0.0009177331205699494,-0.0005674086934339064,0.006856852329160762,0.13039299772244128,0.1348242797640507,0.05732452852492558,0.07542174714975712,0.08626592893003318,0.08462524665246289,-0.007611417798222869,0.07967781381856241,0.5189136370271745,0.19113721657883048,0.08661129292844218,0.008159150791788118,0.03036998731815342,0.024405720514595813,0.10097490925953825,0.10091239240962184,0.09880613062945089,0.056192093271854024,0.04932444011805791,0.11065971086934744,0.03624880757309718,0.00430417602246807,0.1147287501811509,0.09168896693691499,-0.009451974799224787,0.0012850081867344008,0.014323627986119056,0.20483924824848584,-0.01483275075484868,-0.018944375887452056,0.192402059215515,0.003127449581793675,-0.005942425665094044,0.004837340369091463,0.028123735707786455,0.034121906279116744,0.0064156432720770765,-0.013674387173433342,-0.016647923839790732,-0.02818797989208464
Tax Provision,0.05143315153273553,0.04536435977814908,0.05844273507015821,0.035321889698375915,0.055217358589651745,0.03092373436484438,0.04700441841626068,0.05197221070805847,0.04439310749281243,0.023025594720475856,0.03910743214564483,0.04514430448056925,0.03637671376533038,0.10561670995588798,0.0411201317087627,0.04510902432813695,0.015454790117578505,-0.012072977465390988,-0.008780705353352725,0.012399879122652462,0.12737821296433646,0.5858999252381997,0.023701522291929816,0.017784527570474717,0.026846894655184462,0.05327143053496136,0.07280332820771492,0.008533844660652906,0.003788277413105531,0.06798046417096847,-0.0036487839527961697,0.03746844803635541,0.035848664051566496,0.03681674058762394,0.01603333913678989,0.08491782571889775,0.03790294855044699,0.040229727727878674,0.014373787991316741,0.22596182459176592,0.02902859785693134,0.016331610102997732,0.2322100406236321,0.014860737593792209,0.024520556833126688,0.007818396981778511,0.07316952078636539,0.06178284709259673,0.04048326565843962,0.015084478532316389,0.00048437876961976087,0.014891599521696757
Tax Rate %,-0.0009796278208399466,0.16317902103113185,0.07719130513455194,0.2069054477186811,0.1150691426055262,0.06719527983484713,0.07145784658522768,0.055064715137125915,-0.014701418080095771,0.00978677276526247,0.0037369841295916383,0.004047193800478818,-0.0057771714068571255,0.008067554693942625,-0.0009977798737216994,0.02445297795887289,-0.004350797706414666,0.061098373378863306,0.04840121084708854,0.06549607777321782,0.09680526920209002,0.03216307799905093,-0.005728667135532517,-0.00035023054729380325,0.004439320063910663,0.003414786745908249,-0.01983671322680746,-0.013158946973540812,-0.023902412070194598,0.005509275446444965,-0.005575915246739425,0.1668479253136434,0.10326127455187692,0.010218825370030006,-0.00231538296259757,0.2988499689736741,-0.010887842595271775,0.005169147330667538,-0.02153793675492832,0.011073473087514562,0.023679662143199404,0.008569482665453557,0.011209656845339346,-0.00380221389470277,0.0031774005543030743,0.02777244313744932,0.03604210488143167,0.04798519591158169,0.0029939154447912258,0.024543661809811566,-0.03019896883258956,-0.009353123143535313
Net Income (Continuing Operations),0.012941991802594213,0.07586457117960864,0.05565981764645464,0.09858146611158468,0.045713284765427846,0.29221560392257917,0.12798884498899077,0.03730798630639387,0.03133691536066074,0.03465639550878824,-0.0013350289805799578,0.09806160301820532,0.10259943216612463,0.138140887628273,0.13746291772923536,0.1382149855133179,0.06898564189341881,0.08666593488303624,0.07924592478616849,0.08106635220520433,0.08164051982235569,0.07529378827944962,0.24312058364584577,0.06634446732439638,0.24375319415838592,0.039719416771613066,0.10262989610304234,0.10730974802488884,0.10991809558038827,0.09808449783514728,0.08629785718399641,0.10100631899372337,0.14118664167492267,0.10158397347595369,0.04825436848517461,-0.004654004162037805,0.09161094978728368,-0.019208885024506513,0.07859592195663831,0.3004574711719728,-0.021487404936476887,0.08029351169589177,0.298124893752046,0.011664081604834581,0.006271878509084024,-0.018530295227105156,0.029642133003520206,0.03388802755120799,-0.019953839829853003,-0.021487404936476887,-0.0090156964967216,-0.02458570720291909
Net Income (Discontinued Operations),0.08417249417803141,-0.02090671100199212,0.015991232018100293,-0.020315392210521546,-0.02011082909591032,0.08591568359204836,0.08760807835549475,0.01752916700935623,0.12922403446985287,0.09489437561375577,0.08246860078634721,0.1872680480420824,0.02937982665221933,0.05431800331411208,0.06718951177188988,0.08224508255964935,0.049535597642917456,0.07985018061056999,0.08068616412645707,0.0797704079172231,0.19391353313457935,0.02579763891504941,0.4232187761772709,0.46006846704172916,0.5743434178334472,0.014149841263963181,0.2485706757010829,0.24913227375063626,0.22258499529123904,0.09418885191847431,0.08064683276939644,0.04721414583644368,0.11051819338836838,0.245311457857096,0.14390051624140135,-0.012882652377845012,0.22394462745700686,-0.016812140444078957,0.0744695989533191,0.20414651685733518,-0.02018272687452697,0.07583290226569897,0.2072889281715952,-0.008184833031770552,-0.00726959385100507,0.0041235131268366225,5.557838791071714e-05,0.019163375218075533,-0.019238323764237293,-0.015846946291131293,-0.026460287473385025,-0.017566972009260336
  Other Income (Minority Interest),0.0859673563178689,0.025771499024294618,0.04670643461633847,0.03927796901017827,0.04920002792100303,0.13202357550710841,0.0485446348010982,0.05907068997567827,0.05840802943436528,0.053708861660365356,0.038552653259373855,0.07793960126309188,0.1870596130702042,0.18342583129480713,0.11392986750707497,0.1886892865981702,0.125418772566716,0.09691972514037182,0.128873512556557,0.2875450850867367,0.14931446506673426,0.16401768018174986,0.1525178259275141,0.030659839062945574,0.11674077164469226,0.15147704603594248,0.32838670896395666,0.17747166345881357,0.1624736409736052,0.11400743551082038,0.10568001911061604,0.11802062635097084,0.026518270273734858,0.08240154761436273,0.18068664072265958,0.027673796451203245,0.07566867452062018,0.014238329059710226,0.003966396666457452,0.1701356953759901,0.011538760507259594,0.006100199851794226,0.1715403308968923,0.0330107789192058,0.03553832746995432,0.036820569737696325,0.08101925721208846,0.07526964634922037,0.005691443574243654,0.009842325117145358,-0.0022406512902524898,0.0167015282633828
Net Income,0.05083418952973403,0.09684618487680889,0.10633015868940501,0.11335629940451186,0.03845705422662725,0.1332952166472593,0.01626328907228921,0.04668206330820526,0.005570049183878196,0.008168310547950192,0.012369547030889924,0.015880453892107276,0.08794744051994606,0.13103609541770012,0.05806862988136836,0.12474285744967195,0.2651844011053335,0.2597736017939778,0.05624119979911215,0.08430149256786836,0.08533684324911033,0.13776638530191535,0.4759383138671317,-0.008368168133119044,0.47627030709248686,0.014061843643677897,0.4489151858430619,0.49052080910690354,0.4872798680714127,0.06956105823544351,0.04860755606725981,0.0740388705953452,0.030701976267713947,-0.011370146968973226,0.0991019165871369,0.05316922179981439,-0.019309920431047848,-0.006275530873012348,-0.01684483613581702,0.1624685809050471,-0.011826587734128953,-0.022290242259883755,0.1638458515993101,0.0011786138886396517,-0.006093840486406101,-0.011256986080413492,0.01128650543554727,0.015980462522288547,0.0022269422748571834,-0.012594714248325973,-0.014676493719634936,-0.014209477878488034
Net Margin %.1,0.04199918272695094,0.09707624656881776,0.10992012994072131,0.06922269145851484,0.06242925171063865,0.09588137163238382,0.0845435072528235,0.08609765564795178,0.011847093097231611,0.007662206414021155,-0.00187698593752598,0.0009004864082888643,-0.0014216579551321442,0.015535055220711452,0.006797508283254005,0.020989098020425777,0.0729152532683633,0.03517792557776839,-0.0009646711742075371,0.0065662988058542635,0.013394000895174764,0.014071066340591385,0.004658453290459319,0.05571995475795689,0.00772440224121877,0.04849437080102258,0.016182407825939608,0.020423426541938294,-0.0022043730136977985,0.0073109966928399705,-0.025897523943013458,0.07429241939484908,0.09752289965966218,0.002537831927255077,0.0038737723903809855,0.01860782846324415,-0.014342572976611255,0.004896688041151859,0.017828475158938845,-0.011212991250952896,0.00803701508089454,0.015423182060665416,-0.011345084332428472,0.005714265164982631,0.02019640837403261,0.020029288529360874,0.04042578796064151,0.04777264520091025,0.016256081454089553,0.01800110547134556,0.0066167036513692665,0.027758783253356435
Preferred Dividends,0.07160340663611738,-0.00344254403128206,-0.007434282360078926,-0.003831288030513548,-0.00649581325203022,0.00876905633747233,0.018494747289831383,0.018478325547944874,0.0821349559476689,0.07549993152403627,0.0723624214309459,0.08642769556330791,-0.023665975579580025,-0.022745252845060994,-0.023154991623137725,-0.031162669632372377,0.027016413152520808,0.0077146677527479834,0.025666896291429382,0.0685749893321652,0.11652472053285239,-0.021340027089192484,0.11136710556391329,-0.029296897031508704,0.11101811071812494,-0.016732779165563514,0.09204844384257556,0.17369124827837748,0.15093990169795873,-0.009922788203156402,-0.009081311009472862,-0.005346920908910331,0.03637900482859782,0.11865156779299382,0.09332675007085355,-0.010999377075374048,0.07396929056451132,-0.012444391491631419,0.002798617417620218,0.11376828650546202,0.02734928184324689,0.046539558653773065,0.14150424582338775,-0.0011281766345410979,0.051607200323707865,0.05285211246646733,0.2178713746520852,0.0676656019026584,-0.0345363527702696,0.021458467597669763,-0.034453146977917244,-0.0028177936206843575
EPS (Basic),0.06869664133793543,0.107748670559831,0.11111700527239096,0.066568959665707,0.1225156878175459,0.07582382764546587,0.1043283498602154,0.08079957279983653,0.022954441264176305,0.033149800679779226,0.029360039647215938,0.0227269261503331,0.023118113495038915,0.002657222068298557,-0.0029285499718847297,0.03031241361453252,0.035715610254430825,0.05403425844791067,0.037682454476699184,0.11910434071889081,0.07426563074962143,0.03711719158786535,-0.0026898817364973547,0.06959791099483559,-0.0068485435182149175,0.015564955500694908,-0.008572309286492863,-0.008263634844431496,-0.008442623034579901,0.07119151861094257,0.06672366014874001,0.10968839659712129,0.10721114149328537,-0.002033146070331012,0.054150302829575225,0.045263263316558035,-0.019346044852741454,0.6335171708448047,0.12865588780726064,0.0679584385419918,0.17016908316428211,0.11483268285497834,0.031112887239716377,0.042582143792425364,0.007990222694273666,0.12206651821486066,0.04815872774946096,0.07532856889160772,0.40663660095042664,0.2714321648861027,0.1100163282452331,0.07796276548303871
