,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Cash Restricted or Pledged, Current",Inventories,Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Amount Due From Related Parties, Current","Other Receivables, Current","Prepayments and Deposits, Current","Deferred Costs/Assets, Current",Other Current Assets,Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Leasehold and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment",Other Equipment,"Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Impairment of PPE,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Intangibles other than Goodwill,Trademarks and Patents,Software and Technology,Customer Relationships,Other Intangible Assets,Goodwill,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Trademarks and Patents,Accumulated Amortization of Software and Technology,Accumulated Amortization of Customer Relationships,Accumulated Amortization of Other Intangible Assets,Other Non-Current Assets,"Prepayments and Deposits, Non-Current","Prepayments, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Other Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Notes Payable, Current Debt",Current Portion of Long Term Debt and Capital Lease,"Capital Lease Obligations, Current",Current Portion of Long Term Debt,Other Current Portion of LT Debt,"Convertible Loans/Debentures, Current Portion of LT Debt","Derivative and Hedging Liabilities, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current","Other Deferred Liabilities, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Convertible Debentures/Loans, Non-Current","Bank/Credit Facilities, Non-Current","Notes Payables, Non-Current","Capital Lease Obligations, Non-Current","Derivative and Hedging Liabilities, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,"Common Stock, with Par Value",Preferred Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Stock Subscription,Reserves/Accumulated Comprehensive Income/Losses,Other Equity Interest
Net Income,0.019881028806728776,-0.003872198367882536,0.04537172302288858,0.013338355253133987,-0.027452877173550057,0.0050118203853937475,0.02643864832190717,0.017537441867325705,0.014655135366448939,0.027777254429189425,0.015103769582165293,-0.01137957180695653,0.007336307939662476,-0.0008331813402311747,0.00827625436701293,-0.005372178836112384,0.0589054129678931,0.008248586339086133,0.025082321959775243,0.032295115096992934,-0.015940568462081858,-0.027597595900636665,0.02405165525591661,-0.013320408585947616,0.009261648748922859,0.01413107122520207,-0.0037036151702136613,-0.021515373391228457,0.11686594875585903,0.048441263647614176,0.024913439173397046,-0.03693210489684645,-0.015141119004121545,0.011921944522516088,0.07218914082285698,0.008724731454731504,0.012340990728222319,0.008646481557594258,0.009835465704927703,-0.004701892569093433,-0.0002800113492502851,0.023350021146810375,0.008976287869452013,0.05756491018076815,-0.010063661931990053,-0.0007336425856493962,0.005614857870241331,0.006685593476631564,0.07523407913012077,-0.008160242580558337,0.030507420770430543,-0.022515375308465816,0.03138803737431787,0.012640547390985848,0.015108099723842748,0.020094644795072898,0.021234717976349873,0.0039635317277954005,0.0033721189897886234,-0.013642561022159197,-0.008608690754974642,-0.01447914899317528,0.013691505422610117,0.019894904565781704,0.06400797961130336,-0.016600612656475083,0.003190263992458316,0.007615230997737983,0.009414288216413907,0.0005437541412988345,0.0033082985514229996,-0.01272261650916838,-0.009619993135629763,0.0009553616181263036,-0.0023724774218331444,0.0064458022606620315,0.005485746371186848,0.0003238006766836544,0.0042109463813389016,0.00084741225292383,0.05127456912848706,0.0342221873961609,0.017018295449929784,0.01275037304694223,0.061392828207517125,-0.008299815073127673,0.0692426583816862,0.004593320602544773
Net Margin %.1,0.05209782965800157,0.0500790213808825,0.012619168490614946,0.00544811822336235,-0.008427783146889634,0.02732741516747379,0.07151457352248969,0.0711954528834485,0.00995803193301675,0.005630304098926049,0.04674238430176463,-0.0053456984302461315,0.006978728937966383,0.0035217667926928783,0.013601538282711212,0.04826261963596417,0.04047413143821102,0.016364762666134385,-0.012440623132122491,-0.015819981510376845,-0.010476141145692956,-0.0067411777329619196,-0.03135600560464382,-0.010500933245524662,-0.005346076116424064,0.020494694757301198,0.018044822114414383,0.0002919605115704405,0.07913873109885922,0.05118575610338253,0.027075420385860822,-0.020298398560522107,-0.0005497372794240041,-0.01154259739431758,0.05255096102956309,0.022507283812252924,0.023231281451952118,0.029392170064351075,0.011319630242869087,0.05840460020421599,0.0520722045938635,0.050284712017897804,0.01776763794089397,0.044455554122990376,-0.005089191071645318,-0.0019118699240995023,0.03954360889087548,0.05650530540759043,0.00660702677541157,0.006712852775035406,0.011608344598997587,-0.00897655817167894,0.010945766883042463,0.028671694033624857,-0.006988131715203993,0.04006271477863535,0.03265605834791108,-0.010317718260991537,-0.015280199597322783,-0.0003333161439316656,0.00041579827963836844,-0.00440195306162991,0.03362977603926615,0.01700884155165105,0.02334148740018915,-0.00926152894305322,0.010223560670960426,0.010864648605059474,0.017814712956890726,0.01125612541192446,0.008604214739359487,-0.009225314226927215,-0.0025035604784020868,0.009495524855711,-0.016335703777077503,0.04459514990223793,0.07076639391124939,0.057424030652604596,0.041014563311989674,0.02236089999945126,0.032591456669314726,0.02941852857710819,0.03114116875403557,0.03149123559129712,-0.010912684811547033,-0.003651688941235136,-0.007047907764640284,0.010542428190052959
Preferred Dividends,-0.0039331853030011975,0.015679893711236445,0.03932799730741508,0.03762358923429136,-0.00624269789386559,0.011550212850980075,0.029880038365882024,0.03308299556113343,0.023458182937815,0.0364362821882979,0.023211374496548417,0.025201293299858336,0.015484680626386905,0.040021906268650036,0.017408157540364826,0.019739018647431893,-0.003753099299991421,0.006629533975729177,0.031820627697885254,0.036707481058792686,-0.029432478955552017,0.024152193399730532,0.00732919670758733,0.022734920997832433,0.028652748294447486,0.012289757890756139,0.006689573122334166,-0.0030090977281071584,0.012658197120217839,0.005028727649116252,0.012544126928023458,0.023914043113628724,0.039205480882239026,0.0594399864959647,0.04247911647283895,-0.013420840837969208,-0.0015591036094004807,-0.02656289301554742,-0.020418593138959554,-0.01634998650857087,0.01102916731975406,-0.01880077023660654,-0.026987343862414474,0.03521101719619361,0.011305110528313636,0.025666771358556925,-0.012211723404444945,0.020787651301357773,0.029569684589799757,0.00024166655967724267,0.03611315197443721,0.04809753743127021,0.04192979069356631,-0.01820299027296292,0.0373429498300561,0.018111961982500223,0.020063367151397792,0.04308686943854016,0.05710408048101744,0.05650610796150296,0.05392338977935693,0.0012860607238755297,0.00826667971263476,0.06806364254366926,0.03096323399111789,0.04748040376302476,0.023543932815198787,0.00020878609844873254,-0.012086103877015253,-0.01784644105464073,0.004304508914660147,0.006209363398156776,0.05499150830851596,1.2693987682247873e-05,0.0527454040472975,0.015408367621813279,-0.004999411249269817,0.023281256641036856,-0.010112121296016807,-0.045701365833063036,-0.03559463743944407,-0.014523865560692913,0.10157854762994989,0.029921077378788838,0.11997992653090273,0.013071298074527305,0.023583240139084936,0.06854769576957334
EPS (Basic),0.12017019652237795,0.08355866413769512,0.004632534556146399,0.02502256062230515,0.04591107069463776,0.07277523705782778,0.0822483082967761,0.061148148796577866,0.04427783444154495,0.04028604608067014,0.05904374841472647,0.07069793871072562,0.11449989140448627,0.08044014466525873,0.0876279470233659,0.053876012409583514,0.04394245058006413,0.08550677268417681,0.053607385243718934,0.04256183679777899,0.06653402878727767,0.08768654731108136,0.018977352773980553,0.05994309051345605,0.04827132658602304,0.03194813729794251,0.04758987803440392,0.048416810937794236,0.08584852022076402,0.040791667172282546,0.015410173063740644,0.10465652164291533,0.05699579496159021,0.08216964725335764,0.06529665196309616,0.06133829368836992,0.029839555954895413,0.0029187630090939986,0.0026419715707052,0.04855376663787349,0.07615900251610033,0.04706449734547621,0.0027956795063343353,0.060594376631580495,0.10091782145194748,0.12040369940090136,0.06999739388269124,0.0693344209757896,0.05624555653160768,0.07908071594217825,0.041074929615535376,0.06086967163853221,0.051092464225200515,0.08027395898969167,0.017595613993456567,0.08423887696036145,0.04793095798507579,0.014544056214085747,0.05880484347381454,0.03272472176822263,0.05423695657917254,0.06763843927051531,0.0400244011955365,0.053795843765621354,0.033091441465901386,0.06669198586515244,0.06838886482638208,0.07828944542143498,0.06723939433675197,0.05147453788771916,0.08232537014620903,0.03843233422785963,0.025944900189379512,0.11387440838858387,0.025146283033936845,0.05950655434972407,0.09242409333418596,0.08102053464778491,0.04565288902661742,0.05529186263109166,0.09971303312456462,0.06664019208878641,0.09482249648915596,0.0027534743837607087,0.025601847335647222,0.10995388184753738,0.06987790049450067,0.06859222216125706
EPS (Diluted),0.07838942653610344,0.06160527850758922,0.0040220663970664235,0.06001627597493692,0.037308275053094725,0.0884097397961276,0.10665742315155485,0.06702059227928518,0.04582932863648927,0.07219287686691182,0.07484919981571198,0.10421860559308672,0.10051524271137835,0.0909662919076224,0.10808392664419846,0.06307499456657027,0.002365771752626343,0.08911923375423365,0.08206089040459452,0.03770026474372661,0.04891769509138764,0.09130577182562179,0.014006602952503631,0.09919218727527758,0.056795949620040594,0.04831354337382805,0.09196899642128853,0.0726061983971198,0.07890110751992352,0.043804526777972995,0.0685609543790726,0.10927988500165067,0.10434849733227412,0.038372975295503556,0.08671956323943031,0.14103479841367697,0.04433324148525519,0.04339361728860178,0.04264620543116371,0.06073584280847403,0.09153310062009298,0.06030322999243806,0.04309584156766916,0.08283478408790844,0.09006174465231159,0.12428114264196777,0.12040849919202437,0.1008690118881153,0.08202411476393284,0.07732179093143166,0.0348256790788179,0.09102385149366371,0.10846406817126056,0.09772406152668962,0.009219718063461276,0.10435538055095137,0.09021031532509081,0.013221949887250792,0.02098579811626384,0.07919890187236446,0.059340539352789254,0.06752490815225069,0.05421565005466134,0.12190712215536921,0.05635355910733822,0.08994650687411956,0.12284610781774387,0.12849517519738396,0.08981989117167849,0.049623319793128076,0.10540090602613894,0.05359828850388283,0.03804869921853035,0.1274362439595817,0.016667168421705902,0.06518847639499048,0.13218122157603085,0.08799063448733441,0.046012555294436625,0.054422734247941876,0.07441071357267057,0.10483706155505271,0.09173528609325265,0.0049636903297112745,0.04524197937348853,0.10732089288551651,0.08346679317847747,0.12276236593046953
Shares Outstanding (Diluted Average),0.016448050412709542,0.037004555217458025,0.025463812360170302,0.004931651278514491,-0.027630619140931484,0.04553531985762102,-0.013420847766490801,0.026709811088161117,0.031689542265516825,0.029026847522995815,0.04757433273511197,-0.001958088716643487,0.023242514106109682,0.0006215332206244112,-0.014192037686043098,0.0426428908492795,0.024844551073947896,0.010015003820752997,-0.022789566627579878,0.0008173832095478683,-0.01633627559407523,-0.03441933531979547,0.0024192856056620966,-0.052337232868550757,-0.011939892980724478,0.03581821683859388,0.019396108097924417,0.0038572767574748448,-0.01891403021555511,-0.022433223902971228,-0.0023557905602510816,-0.01562688359970095,-0.030247224719845443,-0.009904439689769132,0.03861246067660554,-0.0033596567772081,0.03977923208935134,0.0382021704471125,0.03994982289645092,0.045148006093917226,0.03119859498153271,0.03662543850401469,0.03735863967724009,0.027414866093903634,0.005179672580815155,-0.003941348766813948,-0.009839954454123532,-0.01545388810749318,0.04389856522321044,0.004009330305002378,0.03916899710459957,-0.00657940974904379,0.036668030651994005,-0.0005130684661023327,-0.0021078060337192954,0.015363966478447356,0.028317394837187218,0.013277452710411098,-0.026521636204802686,-0.02444889892318533,-0.013397010874177164,-0.021091013595450257,0.052875169052283136,0.037374409330717416,0.03483922506435725,0.00024679519966944326,-0.008887464993202471,9.85743688478348e-05,0.0018480393788027384,0.0044426412562539016,0.009948756170094867,0.004722197606739773,-0.006271333661566181,0.022596108835924094,-0.021073786562668242,0.053048857953026496,0.024136465832335027,0.054150747266774366,-0.0009179321641350187,0.04452137844174611,0.06647930606066167,0.0787116593027835,0.0895609497446815,0.050281773466631284,0.08416987860161396,0.02619314253493812,0.0022760093685622058,0.051563797789348054
EBIT,-0.023886732078228917,-0.0446046846484181,-0.04740753761964424,-0.04083361660005162,-0.02760141433636859,-0.022283238882564366,-0.00588857836712894,-0.013078216062562943,-0.004909055817682055,-0.016587831249453844,-0.00905057894283842,-0.02060428055046608,-0.017331076309408916,-0.04383068544004349,-0.019217786473114416,-0.04403662271380193,-0.0005073290150719505,-0.0009927943472820572,-0.0045415721053141045,-0.028658116792560518,-0.0091252851319398,-0.02577112936968478,-0.044430131145425836,-0.02359365884991545,-0.027264482468372053,-0.01071502950958017,-0.009543345505456978,-0.020863052867532334,-0.018835521653341316,-0.021077392154574638,-0.004793804870803122,-0.02974400087109369,-0.030818993345254453,-0.03569936662768157,0.0008069993182624543,0.01875601275302681,-0.011828646396917747,-0.008704799886812333,-0.008156748992830838,0.01121933092309044,8.221543434246657e-05,0.004967040320283097,-0.01737566942634597,-0.02866739528184648,-0.044973393541991084,-0.04391407368239286,0.024087723631812944,-0.006854089524466778,-0.0031762510756737404,-0.0024084124634009903,-0.036834410852595235,-0.022765314680453067,-0.004430938163681037,0.012898288974641505,-0.05157458651358192,0.029942892305985274,-0.005501818255930204,-0.05475060148565745,-0.05139345979881785,-0.040559704405784096,-0.045460329844425953,-0.019702064251688866,0.009246040672246388,0.03091364252585116,-0.042003381425773874,-0.013066929820900743,-0.00580760877748879,0.005194552992973762,-0.0033750318759015914,-0.024227511637611,-0.003349690031704027,-0.02297936614335386,-0.044872263567070574,-0.004661348016294675,-0.05392647160697017,0.004706023855959166,-0.0017488928981118975,-0.03787035031875559,-0.01909422198755136,-0.017211361226618923,0.017931758424740513,0.0020579115164760958,0.005415486687290043,-0.03158621923672344,-0.00909713574839471,-0.01289495657435626,-0.020123515396500233,-0.006148514618988099
"Depreciation, Depletion and Amortization",-0.049513574714362886,-0.041848214330911876,0.0464232906244089,0.055909434064233716,-0.019338509977663898,0.030557052401514722,-0.00887116065651691,0.020494617221296703,0.05427559524873467,0.030920985733531327,0.04170727800765993,-0.018098376848063657,0.05849961548719206,0.04932965907275196,-0.021926576220530694,-0.03921490627549169,0.06457577182610763,0.038037473251313916,0.010335929840662589,0.05881424709905722,0.03474091298530208,0.03134538540824149,0.023182228873553756,0.005513847577131565,0.050575722670605235,0.3122324752728674,0.3271086092891098,0.0005918927395899675,-0.04548420162383809,-0.008403922974578466,0.028785080094291805,0.051846756289298364,0.06520919736819576,0.029123418999226137,0.04330486718154094,0.01160989315936568,0.0738170438417801,0.07690177419703884,0.09854933561524679,0.10551678903359862,0.09235400131992949,0.09761336968239949,0.07134608804744189,0.04149539652698566,0.026245051448749133,-0.004883101280486067,-0.017626889161236614,-0.016878302204797045,0.0561582183171005,0.03365065106447782,0.04223029865974473,-0.018842074821929795,0.04126794595557832,0.00383487224820908,0.08247770978770307,0.0034565956982639456,0.025885244880721577,0.07908212158871719,0.05652756679227622,0.016094062511030714,0.006157689052121796,0.07317274062808754,0.061481687487546066,0.040235109658766983,0.030469790256646766,-0.0031966352619722865,-0.012369608569413448,0.0021833187886501817,0.004699164933906233,0.04849182216638249,-0.007467150628180729,0.055758730473038,-0.006949548528566418,0.014459507225977596,0.04988691131645869,0.055630591128755236,-0.033474426320758484,-0.014450353056902966,-0.013120704950626835,-0.011290642397612571,0.0242087994649567,0.03455107647444013,0.04395155273533667,0.02658173220329561,-0.018628268545947416,0.004335138814875974,0.051398889369547465,-0.018737597938768526
EBITDA,-0.011772465484144177,-0.029668129119507322,-0.04854762726236416,-0.015550417573736788,-0.00470426668342062,-0.022093057246223072,-0.011072422421862666,-0.011381919512331948,0.00021547466016740848,-0.004672880354140956,0.0026313967758708296,-0.02081871588237308,0.004502355092128106,-0.02015938783998998,-0.01857137526358971,-0.020745355674128677,-2.783944568172361e-05,-0.0003335311143304057,-0.004667448103875553,-0.02657586388897783,0.0038986745290852057,-0.024117865991753102,-0.0420272767777698,-0.02347671139037337,-0.027147535008829975,-0.0007823050138056672,0.0007804189792025781,-0.020844955873917922,-0.018383499969154123,-0.020645547435574636,-2.783944568172361e-05,-0.02934796659671881,-0.03096768663190248,-0.027099682152126423,0.012017824140412605,0.016694630982395323,-0.0010349234022737014,-9.990511068399318e-05,0.0008800988063627654,0.015329434465312326,-0.004275995504764206,0.0019971702603956056,-0.0009246646563752891,-0.0011069113846825464,-0.04148438442448859,-0.029595814598661924,0.01656108989071221,-0.005165152454167118,0.0006675413653434132,-0.00042961236560319237,0.0012165648435982879,-0.02471496430593367,-8.453293263598982e-05,0.01280176416657609,-0.017586359904004274,0.02893292725683231,0.015263562462858931,-0.03521361094159761,-0.026383710258380794,-0.020120648745158006,-0.028993234725713912,-0.020315651081470293,0.010598896461439508,0.03758668763177137,0.0008752608586259028,-0.013462052675472952,-0.006475677390470351,0.012788448230681048,0.006845734133128228,-0.005976164881943253,0.012610107575203575,-0.026434682620670915,-0.018009372578129235,0.003820303959534442,-0.037331679608640124,0.010795105926981716,0.0039720922111788366,-0.02468950421889087,-0.003123599236920652,-0.0009940711354209006,0.017789568548217675,0.013146871189526513,0.01725896777993359,-0.021863227942960747,-0.00545675199991831,-0.01401321274070423,-0.02012909872601262,-0.0040456335692694865
EBITDA Margin %.1,0.03493609508402448,0.04397800475800869,0.015643795398260774,0.011504751319609867,-0.0053973115110387965,0.013721110997365431,0.06666695000120966,0.07620258276262362,0.008645986967597784,0.0098525512699214,0.03396413476716089,-0.0019814149852604196,0.023082112925254472,-0.0038955745865750626,-0.0020605016845102386,0.037960438447579105,0.009129930110600721,0.009029561838379095,-0.014364571651898557,-0.016129954100747707,-0.009635424932315256,-0.015886689075346107,-0.02368966136047965,-0.009342114260921745,-0.028637602445963438,0.03080177743871427,0.023113196074452707,-0.0012401319461549788,0.0600443973247487,0.055057963446073895,0.005632181766501129,-0.016502690471603944,-0.02686480774952145,-0.010135638216802285,0.04764562448475232,0.027066231359608218,0.02970874819750793,0.03366680632189001,0.01940153313747315,0.06240517889456109,0.05938760345246814,0.057661362961825585,0.02804536624241504,0.017416350266069112,0.003956980033827489,-0.001016276670847398,0.061301844764650774,0.05610605031507814,0.012419006229265778,-0.002365281252843641,0.017332070868905407,-0.00699345526464374,0.007110513286463446,0.023008929068524944,0.015528665842834556,0.04101728369618751,0.029832023754288582,0.00044345197965480485,-0.0014601744610678463,0.0022140686681002444,0.0022140686681002444,-0.0068284641795692,0.03329973183622249,0.0469513432089162,0.04315848274406866,0.01184476279570597,0.011555950630257595,0.01158445321231966,0.02271282204322629,0.014274696069427545,0.02757205941641922,-0.00866997674622283,-0.000660444262821545,0.023242979584104623,-0.006490826772794367,0.04071311818878326,0.12611294898932027,0.06699520056832134,0.05768037519153858,0.038852625171484634,0.04491645402719098,0.03038369714502335,0.03246908155864224,0.04115678414797991,-0.016566095193785112,-0.003134548869203216,-0.006581082086099709,0.009508801309834496
  Cash And Cash Equivalents,-0.015827819082124484,-0.006975371200220657,0.06905584259330898,0.9175949151711171,0.5976499337958555,0.10585156126494713,-0.014799054461909005,0.004462860375914528,0.012132963319423018,-0.007077851682855877,0.01488698287110553,0.07819096516801696,0.07725256850306764,0.011604623496435396,0.005422916327374215,-0.006975371200220657,0.03187337985354962,0.06097788953922842,-0.03130919736751238,-0.007956215666662365,0.0529159174998688,0.005534472694769566,0.025944886766838277,0.015168661348886937,0.03183916592947566,0.05061428831043826,0.024524532318790086,-0.01730516719979834,-0.010496743280243966,-0.0001474314807493847,-0.010532933320383055,0.03289397288672033,0.01304070092765496,-0.011850762008576128,-0.012451479484616852,0.014741144079179702,0.04983933218084957,0.026475877959740705,0.017585198735307037,0.050695440763405895,0.009514850128145222,-0.012791368099435273,0.023495727290803053,0.004624686236794097,0.028180333088970288,0.0170180683620569,0.011955635725180288,-0.020269373400014726,0.009878415219111267,0.10563333574422533,6.530659937195593e-05,0.06076797374535237,-0.002415017134294849,0.03016733227149579,0.019470405866357357,0.015583253963169681,0.0801564374854302,0.011329287263776919,0.0002141160804542176,-0.00293814354103722,-0.007480704663576266,0.008688437867274952,0.02972710379101128,0.006075175681809795,0.014030124086613107,0.004986423635108534,0.015620088034850172,0.020411944746273142,0.019910322511469906,0.044424556601181414,0.011944799293967983,-0.006519053604315669,-0.005522558000524189,0.07075359657288866,-0.010091923561164388,0.03584389482532596,0.022449129787324967,0.0162929864129112,0.09119742861507354,0.02152504698053117,0.03017034072513862,0.03658149662354101,0.041015900014087295,0.020847898103662818,-0.0033549154975873316,-0.0057025872886552545,0.0056065067417618766,0.028802656697298902
  Marketable Securities,0.022272375179349036,0.05835903052884591,0.07879105194597805,0.014405494300471618,-0.02462079783623981,-0.006440572756017646,0.043047407806256745,0.011163494482570119,0.0998528073428667,0.10261708615627985,0.021171574708691618,0.008491943911800786,-0.031424843311187556,0.031292102090684254,0.03758239695786848,0.050023854243451876,0.012742989966445526,-0.0035591609325613355,-0.012778655348205818,-0.017705448928104116,-0.025317606139086436,-0.0540217358222819,-0.02697614972917054,-0.03753219205060263,-0.03307197680481187,-0.0030494612068673573,-0.0038420966033248707,-0.04664152143294524,0.06848053012718336,-0.0011802388699111827,0.01573043460934904,-0.0032307246976283335,-0.022786687553354824,-0.020906189182939783,0.06705216469744398,-0.015431252668632356,0.001133730542408705,0.05850505186004914,-0.0024741721960289337,0.023079455001349225,0.0199323160320465,0.019834240096517335,0.05924230347622652,0.09331208171411769,-0.022162951919417705,-0.0226152694127254,0.04235475506490313,0.04028887931810131,0.030445395811410758,0.08606080207070958,0.1129052640882515,0.008017929634401483,0.022890109963123493,0.02330249180373125,-0.01962942990823804,-0.0006852870831680672,0.04040049441945144,-0.002843387657833307,0.036243833090103185,-0.024760357781692142,-0.03123871439583585,-0.01490778860305366,0.0895818015309273,0.04559790122831265,0.02925787259003553,0.0002553113620249643,0.011037134577666485,0.04181171917325928,0.01754498998542496,0.0028453702546488626,-0.02082613186512205,0.04336680471635508,-0.006081303476666964,0.00515699785256173,0.029158031098073245,0.08839186407230329,-0.003979662368337579,0.014722699023216582,0.00295136513769376,0.052572423357885034,0.04207120503311899,0.05078433721684653,0.04592334612537766,-0.01023751191204944,0.0641218628710845,0.031174262238957032,-0.025132385669772925,0.03745373790303107
"Cash, Cash Equivalents, Marketable Securities",0.025574988056546854,0.05425646249851275,0.27627178295324645,0.17343451178764613,0.3971316064591768,0.1143063423880674,-0.021474323663174248,-0.023431976752475568,0.0699844761913507,0.07622133895170762,0.03312674755331483,0.07549598333207432,0.11230524633944478,0.029047258266386048,0.05094027061820582,0.05309327219903813,0.01807137282492825,0.042698392292586713,-0.033800722740407574,-0.01352418809811421,0.034498677643920304,-0.02702884176593699,0.025515724854203822,-0.0025492958221445053,0.013796216109401918,0.023694922292582684,0.012289994348148835,-0.016319863669573713,0.05339537524933058,0.06861454415617775,-0.0026909322259662844,-0.004295791813155448,-0.02171357016255057,-0.018805007117513484,0.07354925743539628,0.01564581541035978,0.026936441537081825,0.10833846147922292,0.03454705612623934,0.0495475392112116,0.0018491516671378513,-0.015168283615545241,0.10890010726259061,0.060433098897925946,0.0797695132921403,0.0068949629981118225,0.004178633533285609,-0.005506337314366918,0.009800608476738044,0.08949087529989601,0.08444322044929975,0.05557747885282284,0.00030593601769962836,0.03332973743308655,-0.007294655525449468,-0.012859655495566957,0.08368496583142263,-0.00866755485390442,0.005610256264535793,-0.013896110137215565,-0.012149235113423484,0.014430969064334602,0.1026085981596895,0.030936922223197376,0.014799150188198853,0.023987730897576703,0.023101026581367607,0.03984282380124436,0.032610269605319445,0.016508109660238177,0.010945768008822266,0.07191476011687734,0.006403288384703997,0.08700578795176417,0.025500842723187565,0.09889524396305639,-0.013945633091793697,0.036639897166537184,0.017072083522424873,0.05556101022212197,0.07664425942927669,0.09968154613783708,0.07991751641453759,0.029860605438222988,-0.006964286607131113,-0.008947080717395039,0.005081149366731812,0.06202634967556888
  Accounts Receivable,-0.02279821529903652,0.0001717725543537432,0.002962831024481264,0.005041377022524415,-0.0088615645137499,0.09283290490259265,-0.013973541761049132,-0.021354000483732566,0.022721606148432123,0.44060381723747294,0.0739780604181271,0.10206205769519369,0.08937789383309103,0.06650247084537701,-0.006120249426311732,0.0015913135885864838,0.004400986363972636,0.017659184077944985,-0.0332445701458633,-0.014616942971431348,-0.005854776389130058,-0.03328773365116078,-0.030017227870367008,-0.035462590576002054,-0.012359179072717627,0.04158934779180552,0.05825990542511127,-0.015055111848567879,-0.00728010340646817,0.013372190725324234,0.006386602342776054,0.0022075262936935023,-0.029480044948476822,-0.0022705385696092564,0.008274603337073843,0.010139894653647239,0.036780412463399435,0.04715067297440366,0.028211600462197194,0.027791759498219982,0.01842364225484846,0.011559955505406392,0.045225004427312,-0.006428534294433553,0.05453843400006249,0.06076794420064548,0.013430241832124157,-0.025621281126515138,0.05381449971727285,0.04140221693574606,0.07673094863481715,0.07521527534708557,0.04956103748228703,0.08210852880685005,-0.02072293864980619,-0.0021289340532136347,0.0871337296121018,-0.0206775034339165,-0.00743870652215315,-0.00914554544152545,-0.00881167039614399,-0.003495449288068197,0.005288390104506685,0.0767077284140297,-0.0002833246044207853,0.05924860572079427,0.0024999064890893156,0.028373000773141522,0.08423785571922945,0.024427364370205557,0.00594126441117574,0.05991266756006761,0.016095186963760454,0.1016653886243258,-0.007789836441698594,0.008534518559232249,-0.01300097656047515,0.008965279976842006,0.02140266718213443,0.021658285455944414,0.04497365728772276,0.04537778774065934,0.05099346466311645,0.027830040133789972,-0.0036050629147025624,-0.0033665583474103496,-0.000317110737073707,0.00499823629163413
  Notes Receivable,0.022455087387856988,0.02156658005840059,0.008075825910035764,0.09197188907356088,0.02352349880354156,-0.0027903368388772884,0.01800753600593901,0.027416203952716198,0.04613227021432258,0.050566370498568665,0.015506024780490348,0.09349320220336152,-0.010127463436734527,0.0302033020157998,0.021726548189042683,0.023413807810890096,0.028335304936850842,0.0019923610702106717,0.03329405870583689,0.03692734792310005,-0.015914010556061894,0.026410942972349877,0.05095060822945905,0.05598631507174909,0.052691913182825775,-0.0006956411856042818,-0.01080994314518185,0.028067195469813573,0.01789881397173964,0.026854252637854806,0.03327236014076793,0.05635003947238097,0.05432944894949357,0.0635392406731983,0.038536876570206505,-0.017086301483108315,-0.02648422035012945,-0.02331065689921202,-0.028445992275427212,-0.024679328047658853,0.01582315093227436,-0.016198530340525496,-0.02530203794933893,0.0377561465172748,-0.016187886232175847,0.013025844193436035,-0.006390094974804639,0.027033081889995893,0.019151297105591707,-0.0030311065509797735,0.04738366005904452,0.07482837968371,0.0282320643513445,0.0005916102778774617,0.04224464930014599,0.012461480742242854,0.09321010756076742,0.03902497274463444,0.05564118688259978,0.05410941730564757,0.053586920374613406,-0.0011171579676220202,0.021536642546630066,0.04566161752394886,0.009806795566759586,0.01822153677172914,0.022049384154651613,0.0006749440313429554,0.005085523859902874,0.005085549575221668,0.005267257449025803,0.01973432363980341,0.028688459772352116,0.04320361342764008,0.02677538234648373,0.0008140414494082916,0.03569726096501575,0.021583557255019606,-0.013083196579896615,-0.008305878393600735,-0.01049208028489,0.02641653582957154,0.031072176600975165,-0.029900479786549736,0.05344750671213098,0.021073762577469884,0.030733459097396738,0.020665529069432646
