,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Net Investment Income,Dividend and Investment Income,"Income from Associates, JointVentures and Other Participating Interests",Share of Profit and Interest from Associates,Gain/Loss on Investments and Other Financial Instruments,"Other Income/Expense, Non-Operating",Irregular Income/Expense,Fixed Asset Disposals,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Effective Tax Rate,"Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental",Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
Equity-to-Asset,0.17523218062300303,0.1821402468480267,0.18356775022170077,0.026495038548484364,0.027367944991495596,0.14587289793586883,0.10987560553577522,0.11856325730354135,0.06966027714707816,0.054840955742790326,-0.006763649344054819,0.032334235244132925,-0.006642420050133642,0.05804902053597547,0.1466515910613509,0.09582080159287079,0.09718630137941753,0.19634807257167686,0.08327576060470518,0.06402543857797038,0.08079514330464857,0.16250794906256352,0.07782973013719391,0.11656299307031223,0.003343262747702742,0.0028866766169880335,0.018812262295150657,0.01711717622651614,0.06381986153721515,0.05059606705901298,0.0679235226890647,0.05582251855334133,0.14717318929151285,0.04544072008898667,-0.0182496262613416,0.05592239125228853,0.008432614177772054,0.024574269676415204,0.060562868176948406,0.060044019476228734,0.05944426013837299,0.031038324277990536,0.12101272211398814,0.11845408775327304,0.11771439500178611,0.06853463908120559,0.0668448896630916,0.046571317709319944,0.14437404790577804,0.18106583110862956
Debt-to-Asset,0.12871515738521971,0.14756078104592305,0.15564934828595506,-0.024198951419483868,-0.024150815085045227,0.11667480766109715,0.08455809180267802,0.09206301178532351,0.07100840372662283,0.04929006006559631,0.06056574939658449,0.09675114790223176,0.006724318893942795,0.13222373013985947,0.06744038378039681,0.03473004757735323,0.05610979900197901,0.06869156183714353,0.07255453714304634,0.028252096053122504,0.06348871641551174,0.17524802256607186,0.07268561947212754,0.07527077596267463,0.0021229292741447177,0.0019014200432769216,-0.002846236560993138,0.013153507558560089,0.020761044621804187,0.016972637181710326,0.05505271472237466,0.0461663830157833,0.11853044230341388,0.049862443777857354,0.007931364588781555,0.04858498764215271,0.0451721460293982,0.04203558822763366,0.051065496117583875,0.0025331290024827495,0.015954351485541567,-0.05131268271102049,0.08448886647088766,0.08344814017444503,0.08932085094932568,0.06291586466152298,0.048138674197638016,0.030694160345689423,0.15178872659753698,0.14920795956365754
Liabilities-to-Assets,0.13631886072628355,0.1431731887976533,0.17655846723860558,0.022473573679232355,0.05726777317247158,0.18188493093493263,0.17735713882311865,0.1789592439058269,0.07051205597898132,0.079315362314976,0.02344658197067353,0.0348157709885761,0.021013416209053143,0.06509174287965928,0.07944868783315087,0.08686137823163508,0.09033649570986907,0.1404630991492576,0.13396075236880717,0.09046520597631873,0.0789629109523159,0.16889455280885562,0.04016806110378871,0.16382809454021685,0.008368179178791289,0.007828203188356345,0.045929164280131565,0.03011187856375247,0.051935734843434,0.05326937092720697,0.09536013942586838,0.057386510695173955,0.18011459010723696,0.07454831065918588,0.012482872546813328,0.08544987768913458,0.10659586528196076,0.11310279650288715,0.027514955677565428,0.05593743036074923,0.06370265207662501,0.06442838076324976,0.18159997470822078,0.1822526519053503,0.10935999368874391,0.0960177957584039,0.051080235323984216,0.05334870351667283,0.1409219747113994,0.17560724853201443
Gross-Profit-to-Asset %,0.3686624860020877,0.08710809218606223,0.12375535876749075,-0.06921680255654392,-0.05951591070067237,0.12089165438356295,0.015109290047159298,0.03482377111394073,0.09761425714520769,0.06980962109054942,0.043762825398620336,0.05316434465827426,0.05881371896166549,0.09713247280841375,0.0448439052919532,0.050573832690611976,0.1047090284102356,0.13289894369182761,0.09264385979968269,0.00027915091738697556,0.02285025456067186,0.06533047015304964,0.004841608740535457,0.06372359257530402,0.04171907728854491,0.04171907728854491,-0.006538683607414517,0.04948381244233982,0.039455449372439964,0.03620187517540217,0.057096858482571164,0.07988488451161962,0.12427046465138189,0.09195153636915135,-0.05582823657050863,0.09352692845940072,-0.01206211281076382,-0.010437719238574342,0.013386419037714451,0.03302491227783297,-0.05237459924797349,-0.017558645655900956,0.10790021149402959,0.09200258937036535,0.09831564459623487,0.0282971592649993,0.019263295428908537,0.012695872129737404,0.005809813823943126,0.009284764150065251
Asset Turnover,0.17873034510583677,0.17548315728861014,0.17576313364741025,0.05726988913414412,0.06650949005773246,0.17954207237345102,0.11971462583090568,0.12088612754277461,0.06528167225656051,0.039605976895274855,0.04327520806112242,0.025575294155599886,0.02309192961981203,0.06798138071048045,0.14525442575642827,0.14623623769292285,0.08302614096083007,0.09283911473798562,0.0949963344752534,0.049728171380515766,0.07385232190306502,0.16494684401532586,0.07928206365436276,0.1856734447648732,0.028777611778610324,0.027623440018045762,0.010606206482720135,0.02113922433336567,0.013653623776127282,0.0062540703176396486,0.06937113665880643,0.042404466011337925,0.13995186687352618,0.03604610160840471,0.016905758828361428,0.05148623315992144,0.05869796479685589,0.05501664531272202,0.04380848975227933,0.05670119886409434,0.06417596082126706,0.0959539631630202,0.1450858582007719,0.11592546757031054,0.0921523449726852,0.08929843982650384,0.04274520629159834,0.04789634867946367,0.1769041213841245,0.17989470362130858
Dividend Payout Ratio,0.02216645320820773,-0.01323664367688443,-0.004431173171396769,-0.02846234269403996,-0.015877477389115765,0.027081190173380995,0.026775345534992882,0.03135859782087451,-0.006320067253751222,7.636109271780267e-05,-0.0443342694408768,0.03974641544311497,-0.031281903124079496,0.05468419744649033,0.054272706592793894,0.234527430132195,0.008683916033345064,0.014684333357951218,0.012412885933752027,0.0011410842070565903,0.017095349744326485,0.031056595063308635,-0.03047195288393571,0.03776817834921534,-0.009885559124764217,-0.0091901184935006,0.046387544707646375,-0.031551136142577485,0.0630574733198137,0.052442321944488626,0.012176807967894094,0.013630579405993075,-0.0038042545289480884,0.028044486414867818,-0.023334189946001584,0.014284384319579834,-0.0050544442661934075,0.0007203124935289129,-0.03523043255495999,-0.016865397527416025,-0.020432791988370114,0.009238253056183181,0.0013309457390928052,0.06023273210014029,0.3012175152735032,0.0728521514052936,-0.03786653402601879,0.005167645108118435,-0.0325255207443569,0.0014333345784648087
Days Sales Outstanding,-0.0037353947660952276,0.12568009861826052,0.13985800866625503,-0.00032831653059381925,0.025381592736523528,0.14174031408761323,0.14239997316964723,0.14147339060673456,0.016589427239150006,0.0368635533170908,0.008246475645990235,0.01206026927109876,-0.009700951165807865,0.03640086451684336,0.024457721777943846,0.03448985237137432,0.06900706099587069,0.06788303485024746,-0.02418883237927217,0.04796037474988165,0.030499821743528662,0.0394021360878529,0.00755592693013846,-0.01542093673672315,-0.014259450900441839,-0.0038418677378078366,-0.019003558183526927,-0.03216292326723212,-0.021302540535121015,-0.03912951578369601,-0.0088101297020457,0.02700045160131742,0.13726104655958857,0.014988095622214176,-0.007078488332551405,0.012418153318958864,0.05784003988838026,0.05607950029387609,-0.04546735319504846,0.014205154889324617,0.042559636154022626,0.06648383889430629,0.21408429632787276,0.21368896772397303,0.02862777262953054,0.0313714543208063,-0.02775390136556216,-0.024611755335454517,0.09848340141439882,0.11123027232900977
Days Payable,0.12554068589409562,0.08935494037715097,0.09503069785094716,-0.07679062480198348,-0.05807545737641944,0.06201246138570482,0.06095620524252499,0.0630189601156196,0.008504949983167205,-0.008462220163077476,-0.02487353659732861,-0.02508292465412268,-0.01624033685342181,-0.001897818069707963,-0.0019246976425931223,0.002044026585963507,0.03640070363830167,0.03345761346337981,-0.01728797113141376,-0.0068382829962195645,0.014379812576145264,0.015641711172898694,0.00240515232338195,0.0702883048914658,-0.030233452570575997,-0.02650003745602693,-0.031939162553755035,-0.028713834402005936,-0.012715961820288543,-0.009070158742883453,-0.005594188732014935,-0.01308904323920742,0.06616148771525425,0.0009422157408035441,-0.022196709014413757,-0.013373239764577226,0.011305283555639497,0.01704569411437521,-0.03132779967925084,0.0019096584728464198,-0.010136593526573454,-0.05394284436728671,0.062079083345689186,0.05347924676181488,0.023943317567846963,0.0371075923115053,0.0047318684454765855,-0.018807464284167796,0.07292644693782815,0.07762085551457745
Days Inventory,0.049326894351844036,-0.02768055253290916,-0.0396937426842771,-0.013307695176381525,-0.02971831133369889,-0.03620525709570311,-0.07214033405546569,-0.04717564134115998,-0.004665832786915422,0.016046437882003044,0.050713189801689595,0.05583901362533504,0.049545255026863355,0.014915067331791272,0.049156952610769016,0.02658563981612807,0.009736491383979421,0.009046431964147828,0.0036805342737665668,0.008716550252491238,0.03255940477611793,0.009056431193859012,0.003927037870559204,0.062191598419285184,0.004482979680686975,0.003949175718728194,0.03345756810641973,-0.016969196537071577,0.014425376227976813,0.005487914225714725,0.01865430054240247,0.01076835545578811,-0.052014699369305875,0.010218152326961289,-0.0564349615996011,0.018029359670881935,-0.011066291495914198,-0.002972122294873513,-0.01560931362625071,0.0024892413517005126,-0.04943832575918509,-0.03594880574377078,-0.06872134213369115,-0.07576906465982795,0.047877062530165305,0.04234135862658993,0.003563412468369181,0.004358009926668207,-0.05231889750941919,-0.062278064809319814
Cash Conversion Cycle,-0.0016293692852266369,0.10426059993410358,0.10414644517864219,-0.013459558130504898,0.005147415769654382,0.11651445569932267,0.11362000306315165,0.10601121667871632,0.008645295466552644,0.03214824011874748,0.006604482534082067,0.006350584294110881,0.00829105584712855,0.02610097957236511,0.047217501504039125,0.04256257690108502,0.04951888919731981,0.06656351285773351,0.0046502956615441125,0.03940434736418614,0.028774052357734822,0.028322661840362456,0.00442198242665303,0.04863437900573888,-0.026244125560104026,-0.012408246823718497,-0.01470577025418902,-0.004142116810835498,-0.0016185820227991444,-0.006945748597889852,0.017936629728557203,0.019533364341386045,0.11252596492050988,0.007842525293073404,-0.008202885544947525,0.01796095569540385,0.051808178497122416,0.05836474173767232,-0.013672091173384918,0.043287367049670934,0.008400505468128108,0.09482315674510823,0.11455298939049527,0.10719272821994956,0.02949571238176745,0.027358099546247554,-0.029659408559859834,-0.02700268435235675,0.0905363278216697,0.0708920070879536
Inventory Turnover,0.09488461596854708,0.10971709374740267,0.13602016602188866,-0.02815851248028774,-0.03916234754533243,0.1097695807247525,0.09892513698127452,0.10538297118062367,0.004573568694729659,0.01504784686319753,0.008889199068305336,0.011815906991640621,0.007483759597404549,0.031736932957207746,0.05252679374607715,0.043480936351802855,0.04668453144011137,0.04793223820458575,-0.0034984391589152094,0.0135314523420532,0.031630017846931285,0.00995863754770001,0.009809760278581397,0.1126693015841767,0.00046474769919825805,0.00229524388319376,-0.009139021830941979,-0.010676571845707944,-0.00658077114932264,-0.004453178004314797,0.01067421235515155,-0.001666668003483727,0.1043351400113016,0.004084982001779428,-0.0023720240170470456,0.006047343839300804,0.01638525608999079,0.028417554896612924,-0.0026760477715645965,0.01903891145401012,0.003971877135442146,0.005812242807370466,0.07589123771296231,0.074837595445453,0.018262885470814488,0.022524977014881563,-0.0031413980677261603,0.003098102244882282,0.06275664310131866,0.094008967968646
