,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Net Investment Income,Dividend and Investment Income,"Income from Associates, JointVentures and Other Participating Interests",Share of Profit and Interest from Associates,Gain/Loss on Investments and Other Financial Instruments,"Other Income/Expense, Non-Operating",Irregular Income/Expense,Fixed Asset Disposals,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Effective Tax Rate,"Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental",Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
Research & Development,0.046269704596471124,0.014455621324668794,0.036050689615567226,-0.019327324415253457,-0.03447367946859884,0.028576553597396283,0.030248379456308688,0.02784615603234561,-0.020517899026396044,0.01139504368431428,-0.0140377660784006,-0.00494774626061632,-0.0019467763845696612,-0.006853921777949542,0.025355781866854527,0.01811071430036708,0.006070609492929171,0.006188581049002593,-0.010835629680856496,0.005843781318201943,0.008501806650237916,0.011771085183430006,-0.037395140578335456,0.03697940539351911,-0.021730117671043655,-0.030391610663664123,0.056089533951195196,-0.024341595947920305,-0.03679984591858357,-0.04352736872814419,-0.014598304325788954,0.004629565996424812,0.023330294368071065,0.0069894634988894085,-0.06877448151580484,0.015106648443076737,-0.02052800553718147,-0.01776929493735866,-0.026518750536829505,0.00048261871926534973,-0.023475205140619824,-0.009532256445740713,-0.0031590017447348886,-0.002753258997281733,-0.03390786344808678,-0.029578081435289068,-0.02632853333833184,-0.02643623922355033,-0.006840178375766743,-0.013570062438246773
Other Operating Expense,0.063006947589112,0.061192389514791556,0.060255257464845655,0.19185065979740357,0.2114360701519555,0.26968165120498894,0.1905428449064871,0.19351823736020807,0.1000688602548073,0.10005195976873253,0.1523217574196306,0.1517232707024604,0.0701472955093036,0.019393524236554834,0.02109780538808069,-0.00666500489867506,0.02111296986622842,-0.0017791522899394778,0.04627996881737603,0.2566030702516107,0.16229138842868662,0.05415668990555407,-0.010596817726805104,0.029527266273982524,0.0819023019526459,0.08381567911669284,0.03462614123007403,-0.008366942375725672,-0.007239577755394903,-0.014385123379914296,-0.0006007593300178088,0.09785912088982758,0.004896305131707862,0.09855150224070917,-0.018624094755999854,0.17101876229415983,0.011666302828182262,0.010231915688724474,-0.01225917436155408,0.06327455346702869,0.17521358741179272,0.23467513043259325,-0.008678216982260555,-0.010462103518123956,0.032568035840448366,0.02002484538295863,-0.0056876766400868,0.0338621059991698,-0.024337133628190236,-0.04523959366888506
Total Operating Expense,0.07027556876483095,0.13637477875793702,0.09381575172625972,0.19409878236090336,0.21736364461156557,0.2733133643366842,0.10927347481832672,0.10774205929961637,0.10635852400862139,0.22153573910723504,0.13743125374576004,0.13865861509315358,0.1382700087823197,0.031194100087003605,0.058086781131913276,0.002875648291969432,0.036832677342438336,0.02837057730789412,0.004408328078974574,0.10559538165501266,0.13577926484403757,0.0330545962053086,0.03648040109308343,0.03201888787277324,0.10693950385861364,0.1087852320684824,0.014123307345151994,0.014010523683772728,0.016206844119510927,0.01723853329318264,0.02177687674839755,0.09943370568444816,0.1198231033748672,0.1372464920517407,0.020222803981314846,0.07002641252694795,0.05963075525528315,0.057724298507320256,0.00710786710744709,0.06933292770177085,0.1784880719952401,0.241731617918155,0.026905730298540317,0.0250910776107757,0.0628573028790613,0.02147201860163907,0.013388411697987055,0.031167401288122686,0.01124871684131907,0.002008727771029014
Operating Income,0.05024376825828057,0.06617413691024043,0.20137524156387657,0.23676138152812443,0.14451448414000015,0.9680987452815175,0.10705488943285094,0.11768057511571463,0.08197300041633782,0.6708952048962591,0.13049588635374337,0.1347001192741551,0.06531411185850741,0.15000212277714825,0.1337282917881159,0.11415834128049065,0.09996229972963394,0.08428246707436987,0.0026387775851353205,0.07939526342377458,0.11783980751075634,0.01285501300498818,0.11546071593657939,0.08341850943455828,0.06313590615882282,0.06313590615882282,0.0359667070748614,0.08185284718236978,0.08628488108985813,0.09118924032683955,0.07265767023318964,0.4333822873164045,0.07735572175002542,0.07093695064408428,0.003925743021141059,0.6278182401822621,0.05566977750718734,0.052716968076581584,0.0014707879595229536,0.08819746137041712,0.14447106024349404,0.20570637039977588,0.035752150049480715,0.03899235486455921,0.04155069549821911,0.03211868390874619,0.007565052397847358,0.005825561499958648,0.022541321206397423,0.025178394362593517
Operating Margin %.1,0.13692831046417367,0.08741842193755243,0.0932378223695427,-0.05145434471730538,-0.03807075758419244,0.2612293325002765,0.133982508909806,0.1333280200070226,0.10865738358960197,0.12584680976197934,0.002105618538322194,0.004683715721548321,-0.004644532463155,0.03591340710666105,0.02343423764611058,0.028388493820924746,0.0668885258859876,0.05145042037211509,0.0022897493400872836,0.06532529187124961,0.03248530030803386,0.017945827964517932,0.011512978819570887,0.09387197548044716,-0.001046570896596503,-0.0007843836494456262,0.005271510094013929,-0.008781241606785027,-0.0037436200498802787,-0.019702975114716244,0.01124662415092631,0.09333087188195853,0.08526026337360443,0.11545418200085664,-0.006535973186354791,0.10564609038685013,0.03809025391627358,0.04421666286327534,0.004827861535733008,0.06272140614460751,-0.023885039483214198,0.057624475949757545,0.1047072108875581,0.10398392025616775,0.024284651671684126,0.019379866889447137,0.03113938816098289,0.03063335692306256,0.08523823425288454,0.060991890435230595
  Interest Income,0.07229014389758506,0.1252324940655383,0.14877958411292233,-0.023964378601493173,-0.011325229397471185,0.17660987219992175,0.05118884131716876,0.057954254897146576,-0.008024956206522967,0.12148784239557019,0.07774285218094462,0.6295191386626718,0.07137680898600929,0.9923285969692138,0.11155938557853597,0.0742644176814863,0.09556429265776646,0.06332312042153392,0.07779869637068132,0.08814508772260649,0.10540938052076208,0.03413814562631336,0.07511454229930138,0.12828510894317588,0.05214009292072395,0.008104583953526912,0.06167993622567174,0.06988948138531699,0.058101884686666445,0.05726290710697329,0.07101617181318029,0.06268210072073925,0.06873312479316077,0.0014028984198322597,0.04311586527702443,0.07567956247225509,-0.003886689833412127,0.03736895460400375,0.008460136000878398,0.03894206574694394,-0.003727105613945186,-0.01435753288578664,0.052440658885500875,0.05411316220982031,0.0942078904606783,0.037777500548159204,0.005689195272399987,0.0002853068807671952,0.020757035894423112,0.027092399466594266
  Interest Expense,0.030656882832301238,0.0203054117243968,0.026266435331491728,0.31632450317421945,0.27442372105541796,0.12816902094273075,0.11076106009492799,0.12702157772938916,0.021619930564644372,0.16085673371809553,0.1555854400816749,0.3111252078058877,0.5243108109152648,0.33085055891954557,0.0862532724780336,0.017110359994147825,0.051183633217330896,0.059845016267340984,0.11478514901494238,0.12666954632092403,0.13704991754870685,0.06368784078388758,0.021511018536876883,0.03641210972380375,-0.005911194537295874,0.013582349920339831,0.08587009137261874,0.01964443874827891,0.008407694654343172,0.00906004416459089,0.024426533520429394,0.1053893463106112,0.0162359189444301,0.039908648552696414,0.09742084386088937,0.10661796916389503,0.038888348296826136,0.04998327861239286,0.054737172758080946,0.07185944091236421,0.21471566250430507,0.1797716376127883,0.022059112076098515,0.03062390088967124,0.052358474494187165,0.04876182874865943,0.05438359209309211,0.05840696691331453,-0.01954281909505102,-0.0034829661895333405
Net Interest Income,0.08518471677032885,0.10633807320073742,0.10144214032794661,0.19930291646073883,0.19727388478957145,0.15706189731648149,0.026769542638691038,0.03042952146888927,0.003154019538088248,0.15414641069413607,0.3171021393183294,0.9865376685301717,0.13712339997955783,0.9736617916088475,0.26793314735655177,0.12102476193856863,0.07276752176443584,0.05958676710319566,0.12900819251181297,0.12765950208258364,0.17154476758517317,0.08844025639055976,0.12082810837883537,0.1537923359478662,0.1091094166916361,0.11189767855466426,0.10473894197540569,0.10303300545786372,0.12350571774745518,0.1260528070485809,0.10287462386321815,0.09984139816683928,0.1008883345860665,0.004531809268958294,0.06829600503730053,0.10798232028682084,0.0421982289631217,0.02908929903591487,-0.021515333268640757,0.0007615012365917231,0.1919527946088631,0.19616168556979538,0.028287421857160662,0.03792854778373515,0.06585143570895868,0.03402310428794539,-0.024896326675864146,-0.015562910902295645,0.004612625651571589,0.0023307173430634695
Other Income (Expense),0.036201502764486373,0.06286655607050118,0.05812967333446284,0.22360116559462506,0.2251343532211535,0.18083342071982286,0.09234718821361221,0.10083973518864256,0.024715353125536403,0.2830085727221658,0.09575391972457528,0.10014800282971618,0.06481616726744571,0.14559149283419265,0.14122399376407133,0.11655720939801818,0.12168065782882159,0.019869707503104413,0.030043894387021416,0.3239830284636288,0.31232315340696276,0.04383072851450153,0.1303482715502877,0.11247148326055495,0.09151021700797153,0.09444346481166432,0.00830194337951613,0.09340460562871526,0.04595870939430762,0.024311748665213084,0.08915526390559193,0.08157904350574031,0.06358990429073638,0.036803540499021216,0.030131942390239974,0.0684287760468461,0.03181684133224286,0.041345469664372525,-0.0055994018487280275,0.027339697254071656,0.12698598873181302,0.13534296216369474,-0.01765615692822701,-0.024837130142946008,0.03302069468894327,0.025225982180363194,-0.003659690118121362,-0.007733599202644315,-0.05059173105954056,-0.05059173105954056
Pre-Tax Income,0.0534859257556403,0.10402273573642357,0.02366640548173405,0.13737349656073858,0.14569185226432027,0.09400174448427107,0.013922423376260748,0.024562609745938713,0.0057239005249687175,0.13044140513433042,0.14228461832764047,0.14080719355236493,0.04589234072458035,0.12508308218253752,0.1469208631929097,0.11188531708648881,0.018180076770716116,0.021020829736452813,-0.009954646109463257,0.04551740682441498,0.1243205991514695,0.014948226990869127,0.5189136370271745,0.19890743792265209,0.07494998708084274,0.017378938353869697,0.04322408297820394,0.08732824226443336,0.08570989768256557,0.08515946363434601,0.056192093271854024,0.04932444011805791,0.09194559825329396,0.006053679388055621,0.07069080529829366,0.07397718063365151,0.04594691427844999,0.0425001820802229,-0.001141288506615548,0.004351233201686431,0.13118332639163238,0.12893346031044883,0.02877121804649808,0.02474441371232171,0.02068806669619135,0.026846974626155002,0.006135168437881489,-0.039493092109758696,0.018016185178985032,0.005093978792979475
Tax Provision,0.09255154450198039,0.0398046589367508,0.045993031958842925,0.20359509597651113,0.21374767391474525,0.030917015216230016,0.024218903675276546,0.021579630653782607,0.04122655588547445,0.036372291867918564,0.06781327974608471,0.04231137017389837,0.05541352333491659,0.06295564674204143,0.030505912438549283,0.019836175959836312,0.002783585733370123,0.029873720516524056,4.858617995771061e-05,0.009381674437931569,0.09175608071333402,0.05253214818156222,0.12737821296433646,0.5831137524122196,0.018890601531096143,0.017545257455454915,0.06636206015025517,0.06317636320694603,-0.00032174982236678326,-0.0059335138078422806,0.06798046417096847,-0.0036487839527961697,0.02389927950720694,0.0337364793929013,0.06889538893441946,0.014914370074533825,0.06617068530856421,0.0690623942024861,0.06527214475485936,0.003522782301324366,0.17226055166947668,0.15361711386721622,0.036950834456128664,0.03125053248937961,0.06761641323579966,0.05744878948744493,0.06359650269676954,0.00911508416586444,0.024640022440734193,0.021292327754202055
Tax Rate %,0.10713063076065615,0.16916818811671464,0.08464619861755064,0.057761577499848775,-0.00038643904043527636,0.06718856068623277,0.06953985101950991,0.09617685114500861,0.004109642050384369,-0.005728763994967992,-0.015278326294798687,0.0504033061750992,0.044037848599828455,0.11639021468624945,0.0012535064019929716,-0.02446816841532185,0.014183400152400664,0.015219348774560918,-0.008931452394425353,-0.0015386353961121628,0.04465480220692095,0.028975836138679257,0.09680526920209002,0.12954962683011148,-0.016109558214142103,-0.009959762674780975,-0.013522279422401091,-0.03334875765137129,-0.026543714000473766,-0.0369864866994298,0.005509275446444965,-0.005575915246739425,0.17374736021824905,0.0036421246318783414,0.28151839125496436,-0.00696062063229292,0.01366885392436244,0.019431243116722702,-0.004366321278837927,-0.028702428701402903,0.051998992490350615,0.010423622839427715,0.06958196912593102,0.06956762631109324,0.021839278746039713,0.035711619883972645,-0.01303714757175476,0.028900539016222738,0.06739437696231759,0.0815734219441786
Net Income (Continuing Operations),0.048064059249327024,0.06429439648096541,0.04887989252273245,0.1855043611590776,0.12581762191118015,0.29220888477396484,0.1258195308286619,0.07155843892418828,0.09802107047258415,0.10264783957801377,0.10909994327209213,0.12644611333242523,0.12131713109769819,0.14569505125185758,0.10521096531436622,0.1115897826203412,0.10792388589789302,0.08732892642065589,-0.00557967658765632,0.10351240830563661,0.12943237662122664,0.027863562190962254,0.08164051982235569,0.08408346345420152,0.23651991922717774,0.23651991922717774,0.06302310766890507,0.08712524659346638,0.09180509851531286,0.09478904194803206,0.09808449783514728,0.08629785718399641,0.0967807022931359,0.10010396485471117,-0.021752926895334465,0.06915005206055931,0.07838782996159857,0.07866650915724346,-0.051380710559505424,0.06774570342262153,0.10628694287356899,0.23502459982047152,0.04861379813959516,0.03742907874600396,0.020421031319362334,0.02464279310369618,-0.052125665364851914,-0.05364721696377255,0.010469031192770002,0.000823882262345357
Net Income (Discontinued Operations),-0.01746798364728979,-0.011919130337693295,0.0248934278552614,0.03212367104879294,0.03038534575370588,0.085908964443434,0.0934086078346705,0.06952187735809051,0.20705122692854544,0.029428234064108463,0.09527976126170201,0.12021511128427241,0.08598878752773036,0.1016788823885138,0.03444127529056621,0.07841482840460177,0.06689301647149941,0.014369894415382584,0.03437465121007586,0.06358615562195062,0.0827507248200801,0.003374057267044173,0.19391353313457935,0.058011186152511586,0.388320238500955,0.5487639969131061,0.04248321951271581,0.2224234915539592,0.22298508960351257,0.19643781114411538,0.09418885191847431,0.08064683276939644,0.05214743373911805,0.18572760047774337,0.10517328215164344,0.05357798626233143,0.1067291586788139,0.11000810699903218,-0.01654477759541615,0.06383524912853143,0.04876068265524364,0.17062869984278436,0.03654708030912368,0.03463329518208985,0.010900193756385644,0.03081250134342913,-0.016928737564045733,-0.007726870625553201,-0.02299252939904856,0.012423688134784215
  Other Income (Minority Interest),0.0780831495495147,-0.0024504428351979296,0.017772867554699635,0.1907923084465118,0.195610653420626,0.13201685635849406,0.017107803193219653,0.02094849372001157,0.07542721902966153,0.1871080204820933,0.16278976667299372,0.13312963765669963,0.16636942066757218,0.37730242758067273,0.18152129416516957,0.12464287606797729,0.15618351421414683,0.15579573639672067,0.12814498188423232,0.12950883162995028,0.17663872424179067,0.05868152542696274,0.14931446506673426,0.14891215628570328,0.1523403704254222,0.10212676562459783,0.15927165805912344,0.3225078295488675,0.16248167516356368,0.14748365267835528,0.11400743551082038,0.10568001911061604,0.09090025227696429,0.0584968904547724,0.060763530620361106,0.10688093839924648,0.05435713915509468,0.07766732612498307,-0.005968592247646476,-0.006641496045295705,0.1587314187848353,0.20049001054648863,0.021719633793666676,0.018056011791986168,0.04467491901276462,0.039109236733530395,-0.022315966260230382,-0.01030913257924096,-0.026478154036532156,-0.017382777639551122
Net Income,0.08623360261886222,0.0924532879371509,0.10275136737384455,0.19577762858160652,0.11308839630141199,0.13328849749864494,0.010530807488684346,0.019061244128396847,0.015025851959620617,0.08799584793183521,0.2899182379987386,0.27549652215055004,0.11467661966127608,0.15065002142498352,0.281418827972107,0.11088896718630645,0.013542138106977871,0.016132358163878608,0.005490773371809811,0.09509056500664163,0.11878658028497051,0.03374445615060963,0.08533684324911033,0.14632142208027948,0.46890980875238475,0.4689826434168677,0.04991466362896928,0.4424790985395431,0.4812170637610249,0.4793556339758509,0.06956105823544351,0.04860755606725981,0.06327631954206493,-0.01237037112232471,0.04685646811805037,0.0721128416777581,0.032126054746896456,0.03857044539101116,-0.01763183452316125,-0.025952096047350763,0.14283410337441468,0.10807477563799703,0.016628954753514568,0.015596870443156587,0.002813621165500335,0.009064415176189188,-0.01079677314625492,-0.04258317405141062,0.022054862465614784,0.013793291011427788
Net Margin %.1,0.18910945699211207,0.0886669356516606,0.09984536821895625,-0.044961657429903386,-0.043219733319579644,0.09587465248376946,0.07033493207992958,0.09731504346998218,0.003906938518737215,-0.0014260798525439653,0.07900966672840452,0.04517543628710357,-0.0037051751447880745,0.030608318535169626,0.04743869951885736,0.01613147292546615,0.03695725960699747,0.05485166149620216,-0.005771867675529166,0.01175479107351915,0.030806509430494,0.04476717474362721,0.013394000895174764,0.11853975441176877,-0.008684407385976284,-0.009143418037636034,0.0035050866092138228,-0.0028688485912900736,0.0013721701247086313,-0.019699801698976113,0.0073109966928399705,-0.025897523943013458,0.06036726017189224,0.0027742604943617796,-0.016537142554459608,-0.012965384464900288,0.01926703462316289,0.017208992531978697,0.007122780681566047,0.010914568146143796,-0.03529580412819182,-0.031724124926324856,0.09150760417610304,0.09296056300367984,0.017500631554213626,0.024578322551066033,0.028939659007897592,0.031152767160147338,0.09466762696243816,0.10059960544917713
Preferred Dividends,-0.015863007559952663,0.0016568026228200514,-0.002334935705976813,0.04515137403713768,0.043428089330021596,0.008762337188857971,0.024507657013904376,0.020444400791026437,0.11589933865829345,-0.023670397476991848,-0.007054985195932183,-0.0217916397149518,-0.009091082051961397,0.0884714681210347,-0.013245176802928051,0.19368358426793655,-0.03501505517393446,-0.009304550015317966,0.024978742681769184,-0.026014163905248668,0.010343766815344716,0.02623703889732097,0.11652472053285239,-0.006249217219550942,0.07749518033829819,0.0832814429056592,-0.018867004088029753,0.06597963585710592,0.1466495857023427,0.12415768351018415,-0.009922788203156402,-0.009081311009472862,-2.8555998904588806e-05,0.06292568434210277,0.11056027004593641,-0.008070851970969952,0.07260182175572326,0.091196884136053,-0.0004291451614746684,-0.00526608835220794,0.10274145539983635,0.08873344937866474,0.00924334898760951,0.06194606515653027,0.24730410825839103,0.08376181781820861,-0.028135560930311717,0.03199280250722171,-0.03648313632609102,0.034057993611408224
EPS (Basic),0.17990768216494288,0.07543086062027751,0.07313962360856043,-0.019420577083254627,0.044363107918821615,0.07577236986449697,0.07429323237242158,0.07376128277792597,0.020869741178491462,0.022949853821331485,-0.03050897641761809,-0.018487752554309164,-0.02906419892176094,0.09362039262746764,0.030751975380959282,-0.011492967667092877,0.029582616243779492,0.04761777301524198,0.0193623471061347,0.021976237733170076,0.04571681109027318,0.06862254627129817,0.07426563074962143,0.14217923333677254,-0.01663799940392065,-0.02263587095381023,-0.011769980420885428,-0.024308178941119273,-0.023999504499057904,-0.02417849268920631,0.07119151861094257,0.06672366014874001,0.07706559421392203,0.003322152180996671,-0.003027993650704623,0.06684391867755231,-0.002319883649529228,7.65899223719689e-05,0.616172170009498,0.1201776677927081,0.11792057143213389,0.03993691743637286,0.0983219703267996,0.05795984592532253,0.03373574740709553,0.06593017066552884,0.38964274336952565,0.2484410683547597,0.21589967984176642,0.14258568739145733
EPS (Diluted),0.17551023192676676,0.14207944737491524,0.1078925536625205,0.016460078737397542,-0.005338364994027192,0.058357979761412875,0.05773166273506688,0.07556409332384942,-0.001273955169432061,-0.002896142384466055,-0.03029799759695292,-0.015561044765404285,-0.023156274416225104,0.1079451800767733,0.031028792092892894,0.00206495822082305,0.02655980483423737,0.029650900940400498,0.019023785842629197,-0.0005988032450125872,0.045993627802206796,0.0886965749919488,0.07323788367649255,0.14060691056842578,-0.0058313042729547845,-0.022514085177590373,-0.00020204855513343935,-0.023924989719223643,-0.02240841696630209,0.007141260822220428,0.07787491798352818,0.08663881576537072,0.08152001307296391,0.014159605952359346,0.0014908320302903216,0.06587174965617663,-0.0021963369337278794,0.003955038246598079,0.311829017944115,0.12612482016131002,0.3012066957955415,0.10335756013348857,0.05028583151217518,0.11383300137463027,0.07465615072907135,0.08231004348015458,0.1662610524993987,0.3310067000819976,0.0739631249809913,0.2192951644800298
Shares Outstanding (Diluted Average),0.04567575991330101,0.002043852161140054,0.013873408347336226,0.09386323283002738,0.11026122640763886,0.03313551674972114,0.034604282848968465,0.034169156156742916,0.015947020212166936,0.06901290390422386,0.038725939455625594,0.03833509083916317,0.044917393893914484,0.031929198125668155,0.0385376803608792,0.09100780600311698,0.011591225829557954,0.06796973769716015,-0.02582908234777669,0.026943266435183792,0.03175603837429252,0.045211179507211784,0.004091784332002367,0.042874055133968025,-0.0009442050040334884,-0.0015572647960191538,0.04912341102318964,-0.01035738743633559,0.05837965119213387,0.09993145063951876,-0.009067641736111581,0.01658082129077197,0.01116143002940346,0.049685984618860375,0.011001129051985005,0.0015254460732897891,0.041235850396698116,0.05062119421151052,0.00012821534737148194,0.05040220878464631,0.11353417925462883,0.1536135852509583,0.29244114071123206,0.31144630231194304,0.10139168619444439,0.11094858642732844,0.00320489677909598,0.052470862918544595,0.020930948655343576,0.028695563429040952
EBIT,0.04860772207706029,-0.008504131579765008,-0.0013883827326396144,0.09851175582573574,0.09741354943219566,0.0072593850330786094,-0.013450756946422397,-0.012187255923284445,0.0066285286879640675,-0.0009899177475123553,0.022629207665104796,0.03163580865268453,0.02303182213494174,0.0020159388865689616,-0.004236853122502476,-0.03406071353083538,-0.03300565636439113,-0.03391020805612231,-0.05014118013281474,-0.030493363713895945,0.005331640453815282,0.008831262304546618,-0.013647950746443855,0.01872917866679929,-0.014661515429106223,-0.015116202282549222,0.015079083614200559,-0.034513104452937995,-0.03458016147391823,-0.030497818686201484,-0.029543224723576955,-0.043521668071922315,-0.014417029694842615,-0.013881837154234699,-0.02466015557228808,-0.03315271331086346,0.031521733919631034,0.031431397740526196,0.03156479695426177,-0.006960491312174625,0.14215403084761652,0.11128869674288668,-0.012670195075314257,-0.014448534231280749,-0.01270771272347954,-0.011103687862502872,0.0023993235465348847,-0.004218777190069361,0.007745709559141851,0.018473720007755087
"Depreciation, Depletion and Amortization",-0.00977250148018165,0.005944939065754987,0.0015769221844543456,0.09666532778614809,0.12196112402583056,0.00661032133854833,0.026908008274527013,0.027877769483983062,-0.025622872275243347,-0.00828069811258733,-0.013257534398061863,-0.012114477449705107,-0.014674655320040645,-0.002284917895662771,-0.01797496782761389,0.019593547881566583,0.013862730105385393,0.015697644157852915,0.04582321715507502,-0.0017125119845614774,0.02765036489286623,0.0964134271682266,-0.0374955232031048,-0.00375477583976182,-0.03907194329555462,-0.034630666640439664,-0.01903056235558031,-0.04775753586442068,-0.04773426269302433,-0.05300457716617217,0.019530023302948625,0.021863752813328582,0.009523903845732418,-0.013153829390163152,-0.04296578657843413,0.019022844487062804,0.5448484085113457,0.5349245549532841,-0.010376372742318365,0.06556054271342256,0.061123310484217694,0.14989189173858242,0.013437828299610526,0.014312069596437417,0.040948266698304654,0.036005583421005447,-0.01601818050722576,-0.0069775783345266676,-0.010355505788351592,0.005450210096779875
EBITDA,0.04969211068277941,0.008517958358645349,0.005951552094672791,0.10233402197572217,0.10059439302305125,0.003355156493036391,-0.014598785133063345,-0.01190111320171919,-0.00497813767904644,-0.0032880969737844896,0.03393865214074074,0.03961760135276308,0.024968631970024153,0.002893151229894977,0.008456478767055985,-0.031115819051269644,-0.02990400498278744,-0.03155366060093851,-0.049946516712405485,-0.02498464369858775,0.007426361323942811,0.012438667046776115,-0.005730173249650434,0.026484255072220797,-0.013394061533388363,-0.01268426440408806,0.019357718585690863,-0.03258748804496402,-0.0326074298410461,-0.03258145500276477,-0.021485359028770516,-0.017192629297404324,-0.017477871405489998,-0.012578757139779156,-0.024902298389540813,-0.02952272453548243,0.030732670140983593,0.032332528977432495,0.01368623144989335,-0.007247603004398991,0.13665408517401792,0.11633964098077192,-0.01536445628011362,-0.0169498263166786,-0.010100307722735086,-0.010926051646247754,0.019610169483647764,0.009948744998636976,0.016277053239251684,0.014855328585825944
EBITDA Margin %.1,0.17383297303385267,0.09643820138576986,0.1001305290692652,-0.03712677582120861,-0.03636401509268039,0.09651905439477926,0.08987499898066825,0.09969483783777676,0.0028481145516631255,0.0035322084536874012,0.0020382786747583518,-0.009299997647250055,-0.01216328524220148,0.029875678959662828,0.015240120444248844,0.018924811720490882,0.037275774886468896,0.05439076709290073,-0.010374350869606044,0.013390971995966953,0.030806509430494,0.019036203978269963,0.015652810076308723,0.11716130287682888,-0.024671761371468336,-0.019983183455462468,0.005323085840441981,-0.023871376150875534,-0.007349867256010515,-0.02325763068010645,-0.0007517093508596426,-0.020582527039883274,0.08490020464039696,0.006516046465248596,-0.018443874501991926,-0.010685759410285788,0.017285483396727586,0.0251279558761179,-0.0009443403782822112,0.01659658176672004,-0.015080952880894982,-0.010852838495869228,0.10745594517302035,0.10277692459703915,0.011843438646654063,0.022963695249483163,0.009449277606095674,0.01977851656166344,0.09437381631740219,0.09261542517987965
  Cash And Cash Equivalents,0.03504341330028893,0.02859297472439975,0.019759507233862307,0.13876169405699534,0.1989560000765828,0.021771956448420046,0.0465361945203672,0.047153620862010595,-0.0014628994998601426,0.034569003848086984,0.039652368590975866,0.03977806576844969,0.04404368207691428,0.003597241093395307,0.04059157431942131,0.044879565187698776,0.0020594982430696645,0.01123595402321401,0.015006038481205398,0.007661867207323975,0.006150473192744696,0.007825814265608268,0.00029096805256677554,0.022533584032619694,-0.0015156595228734515,0.002893902147568074,0.030574679891706424,-0.002142545900985008,-0.007344550737950985,-0.00586389958769656,0.0035656247723483683,0.013567833557063999,0.020414025337142937,0.00043427237345118174,-0.02654399651871206,0.011893197829789391,0.03735953335435942,0.04696832426078378,-0.023017390815616635,-0.043434517105918675,0.12220437594758467,0.11039347333907344,0.0005048941653805691,0.004375484278794051,0.04004410804406489,0.04822512706698066,-0.04891827542556083,-0.036088651088904904,0.005589103414186804,0.031433520026970384
  Marketable Securities,0.008827632847123212,0.00640865197194686,-0.0029603812451304366,-0.018360724675624794,-0.03524184088541894,0.01835641513106559,-0.0009987258376987617,0.008567936386184478,0.08622200554860032,-0.01639163318835324,0.12935862946633991,0.12971377241390505,0.12187619893506588,0.009781279063596769,-0.023149729749748237,-0.04400931538917553,-0.0025258995098835406,0.0008694460897925825,0.010509659607474452,-0.030269145111058632,0.011490959130781828,0.0684803009333479,0.08081181926545696,0.02365788982487716,0.06947568613721326,0.07146311484567769,0.07155189591225276,0.07403459735209368,0.16382167758276953,0.10028691663109336,-0.007050763927146828,-0.013907258652111558,0.004984513088342375,0.09758116395347542,0.06786318298904943,-0.0064788413795190325,-0.005087817916289547,-0.002264032575783109,-0.005123824901998975,-0.013622294324384242,-0.01996225498073576,-0.04413525959477725,-0.01743460868827917,-0.011096917395904599,-0.01209364108849289,-0.014841704709041387,-0.005024440915602328,-0.00749459310164163,-0.0029742263178329587,0.0068731093505983425
"Cash, Cash Equivalents, Marketable Securities",0.037956858242364735,0.027344885271815424,0.012466977235112205,0.12362450126229753,0.1369593807631366,0.02198308274028197,0.020538958026411747,0.02167201375702007,-0.003215685709321829,0.03509382144427544,0.035779822839486275,0.04187717682820918,0.027907917491667298,-0.030193856085051256,0.030403379110867643,0.013532893810398825,-0.01113567203947561,-0.004286346029708927,0.05661709876615697,0.01848853092814609,-0.003754521590486388,0.04311583492817655,-0.0032538953432533152,0.038353003401030844,-0.026913889003238364,-0.01472172503987386,0.04769220167157429,-0.008811450422931986,0.0028662784152398597,0.011247792028379451,0.026239097534341255,0.01013819417890055,0.02041598721252118,0.01958019584941155,-0.033006425300853126,0.024353680277722518,0.008770790893987617,0.010159433690163228,-0.024676766512048642,-0.045539684183839496,0.0952540831514812,0.10505704776704396,0.023245644987061425,0.021677849365259027,0.03349016925341051,0.025595209459485273,-0.041069514674156316,-0.055630293122624755,0.026920011470344275,0.025717618791486308
