,Gross Profit,Total Revenue,Business Revenue,Other Revenue,Cost of Revenue,Cost of Goods and Services,"Rent and Landing Fees, Cost of Revenue","Staff Cost, Cost of Revenue",Other Costof Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Amortization,"Other Income/Expense, Operating","Income from Grants Received, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Income,Other Finance Expenses,Net Investment Income,Gain/Loss on Investments and Other Financial Instruments,"Income from Associates, JointVentures and Other Participating Interests",Income from Other Participating Interests,Gain/Loss on Foreign Currency Exchange,Gain/Loss on Derivatives,Dividend and Investment Income,Rental Income,Irregular Income/Expense,Fixed Asset Disposals,Impairment/Write Off/Write Down of Capital Assets,Write Off/Write Down of Other Assets,Other Irregular Income/Expense,Goodwill Impairment/Write Off,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Effective Tax Rate,"Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental","Depreciation, Supplemental","Amortization, Supplemental",Discontinued Operations,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
COGS-to-Revenue,0.0017881487380170856,0.11382471735143274,0.04838053219587509,0.10111508318096422,0.0731412964164578,-0.010283881893378897,0.017556548725377936,0.034302788622625466,0.2525643929745223,-0.08102763770703762,0.01751858234552615,-0.0019393811210515078,0.03839145961015283,0.02374234288418019,0.02665327995199574,0.045322465773908346,0.004584501137689042,0.014125362070225406,0.013942910697990283,-0.0376205737671315,0.014370176533605613,0.03248387682421167,0.01770786029694821,0.042011354019801335,0.0498857398280908,0.03899167607879654,0.05209429938661135,0.030292775333227204,0.016412326367127167,-0.013432362894373212,0.01616065613311096,0.024895281370546325,-0.001173659826401028,0.03335467937629136,0.020784773017063097,0.11064835163037022,0.0018682132856622296,-0.014584892846041036,0.017744819943282496,0.003949805555677305,0.012616339823423407,0.026431920015555457,-0.03683598685830574,-0.030489557992745393,-0.04349123973508576,-0.04405147368450597,-0.04323318210744592,-0.044491095962329724,-0.03598870271143647,-0.04037062392859653,0.03982982953007971,0.0022998052217417866,0.038670151252792356,-0.0545049724934101,-0.033359176400878515,-0.03053001216461601,0.025028428740470385,-0.03605610286283675,-0.02949251501287685,0.017359910704340883,-0.02826327684918599,0.011846534313359143,-0.0375195166740044,0.09753121499705694,0.07485565099409294,0.044466819249228816
Inventory-to-Revenue,0.036494743643537275,0.14423735777326405,0.12710372609950263,0.18081874561541456,0.33677477211029455,0.028182610145493645,0.09888464583713438,0.11369576420257264,0.16469907956059543,0.2724729842004536,0.10218758909151696,0.0003887882835693951,0.043194638123142316,0.035183898135809286,0.10120962330573703,0.02733861312581467,0.13391132186462987,0.06971301113529087,0.1416922049727362,0.11736297172127899,0.15795705911513758,0.13900770718547903,0.12347562590876636,0.11030833261823987,0.20065437848298487,0.17262532809533748,0.20993114267685783,0.14654455726540913,0.10720227577534575,0.07832829522111637,0.07824390556940992,0.09905285963747981,0.06539783220331391,0.09692275125015434,0.08003247982387826,0.11968324719090521,0.05508056562724997,0.07677898840050103,0.10803819439120795,0.1521371807711978,0.08635937002327222,0.1450566675736752,0.033259091901989245,0.07472011872464313,0.07306242091433429,0.08425029828649741,0.07454893672440588,0.07191729202872356,0.0782748343604685,0.020458136637144235,0.09646682894017049,0.11388860645922114,0.14868654513764867,0.28011215143797175,0.09253721017462055,0.017572224628063363,0.11483230191699134,0.04257566997517077,0.03647861745021763,0.10705211732007648,0.060989934646078575,0.06786203093482361,0.04962003934744821,-0.010019012134953521,0.10860732553210362,0.10769102243186625
Capex-to-Revenue,0.02929434458060171,0.09283422145370678,0.09653851147516336,0.10981449418612865,0.25751167385141915,-0.016208455599705553,0.021193935486605395,0.047663224656695,0.10183810565157347,0.19333208086900694,-0.015825943768856793,-0.023331307572404,-0.029725253191103758,-0.01646457468411257,0.033533006615625284,-0.043517249226965864,0.1104167848076386,0.03678312453543879,0.021101343664244373,0.06113347250564202,0.09049462006689457,0.07463020465502529,0.08522165874411432,0.05423973551027712,0.1374608098118865,0.09109363044301576,0.13702649703370273,0.048599969992626335,0.05227746076796825,0.042408988465355624,0.06847193055591813,0.05234539373715231,0.024078637160994648,0.036513721824832215,0.04082775373661647,0.06104160197857549,0.048821253158391545,0.014441421392743774,0.05079550767814293,0.12173115295045968,0.056028268998960414,0.09173873078138457,0.08308923165255978,0.05758001300265064,0.05845791365079108,0.016002583575951978,0.0013712031681534839,-0.007344312987465871,-0.007600566103357452,-0.00667969585763994,0.09533899572446644,0.06969691683776595,0.0822215600497949,0.12218222767913053,0.006129742710737673,-0.010952061888824659,0.09364609946777525,-0.009361876506837128,-0.012452126618480778,0.0385470068542667,-0.003472595650552276,0.027871459317986895,0.013719924822504177,-0.053451592604764064,0.0711453913725487,0.0581018273821086
Capex-to-Operating-Income,0.024212877941593772,0.0446469288349477,0.03684792165721815,0.0313811933327875,0.15317641633033188,-0.003944973378806917,-0.006756844221651558,0.0022255807962031004,0.057180188271633764,0.2531200812499739,0.004117366980441947,-0.02432149844352694,-0.008078453712434345,-0.010773860529173063,0.009576804997185932,0.030453671942123315,0.14551823719061133,0.080293676746369,0.11156872709889899,0.08928635054145341,0.1021089262273364,0.1253560520772865,0.07697664939266509,0.12907389615935783,0.12992265666522762,0.12917734203888673,0.08790113084012224,0.11466397474105844,0.018156096316625476,0.08226330384372164,0.07532270194916542,0.015758404811717756,0.017527482704893686,0.10814450877321798,0.05828649798461656,0.12758352979167992,0.03576941102522236,0.005471513900194236,0.010559547205800834,0.14957732984722827,0.021036717198249153,0.11967723483316434,0.10000111395181728,0.040492226999862116,0.08110436146055602,0.09009522883412269,0.003229997214548439,0.021499726057958638,0.040965188658457864,0.017383698442564956,0.049043121383061425,0.09922618931910449,0.05262565247739257,0.2862832138533987,0.04656366096217059,-0.01223305948081926,0.1075324913579064,0.03543569159621286,0.015871097555554207,0.042616353632904495,0.027019447294585525,0.04953777663586227,0.008273957079338897,-0.016021577445646067,0.003299474675755205,-0.0016315681906266322
Capex-to-Operating-Cash-Flow,-0.025998412979259602,-0.019542482060621175,-0.022166991365142195,-0.021532900663805976,0.0882944481214111,-0.009402187343309472,-0.0028257303035660207,-0.01863667242568505,-0.006223697077416457,0.17470798461303041,0.00890958930045258,-0.021913899671858666,-0.0019624713982969184,-0.004228654063177689,-0.015901248114415685,0.02353997165998963,0.07314740479755692,0.07854583240683385,0.05106217347776227,0.03874511768975115,0.00924157077825902,0.023282005285628633,0.026894930995714224,0.018989984760004866,0.03163277248594734,0.015836892766293954,0.02790781732651687,0.021793710735788223,0.03167961457589747,0.007619754453099675,0.045241391004013067,0.01683723934997167,0.023921352000164594,0.0007585667893577846,0.029264183618387785,0.022366809577718697,0.04721493458888135,0.017813486287471703,0.03034557353222998,0.04081180495836245,0.007733173482944248,0.04037861909870259,0.006228559717100109,0.009759879046211962,0.023653872523454342,0.028802466024098757,-0.010944772935237022,0.005655108276231995,0.0166655019013731,0.013484285542684573,0.006191746756305533,0.03245496055340725,-0.004060874617357231,0.20788049549591475,0.059366428417558466,0.0014980165257002399,0.04514076129500254,0.03480444324040978,0.01911812279170631,0.036851834310301534,0.017937591501040545,0.048474482084675925,-0.0027279161368551274,-0.011614473046624794,0.008092004170449855,0.001169946908854927
Revenue,0.037627485235921944,0.8726868250803672,0.6096975693923032,0.8948319085975557,0.6543409805008992,-0.013288945307569223,0.4765038272654851,0.48395612982039743,0.6114287346159136,0.11085316369611514,0.03641048101260956,-0.028547666304808886,0.039460102149389796,0.045218089410115105,0.011569133330169148,0.03803438374401366,0.07128725211133088,0.005559117435223285,-0.03158992678982185,0.060339926169396756,0.032345257786372705,0.036046296723517536,-0.016469946488245752,0.07973344755990056,0.027468725045497702,0.061037022328865896,0.047953716555173304,-0.03798517511100843,0.015166831205599194,-0.023304183368982746,0.06057385998587327,0.011628107870509911,0.008583879870585983,-0.009242100376038294,0.01219111055347575,0.019259358420667016,0.01785680887214516,-0.0001485038444917039,-0.03621298016106963,0.08738812060293548,0.018163614957452025,0.022551710044228533,0.09441180909798666,0.059009629631272875,0.06609423435377093,0.02376515214011124,0.02659648205954552,0.009321857264678815,0.0006057244159915921,0.00029095714191461515,0.02108958620470329,0.010706519682139998,0.5951327687195769,0.10696495612380164,0.002629145975430026,0.061876026378245096,0.014480681988301604,0.009576065169365171,-0.0005889111937139781,-0.0035321914802481187,0.009818087570545801,-0.0005453591120506396,-0.011592612937211094,0.007389211933000011,0.03971162272179188,0.04313356251398686
Cost of Goods Sold,0.0003502986544491934,-0.02036148605952887,-0.006387560710688481,-0.012500048520581581,0.1214782539775989,0.24352291115344227,0.015839430624785468,0.04777722328222261,0.0027022216367968794,0.03385541342512886,0.05450684743615692,0.024461360428203696,0.028676945563726165,0.027185533196717602,0.008971475727435898,0.03735349689887094,0.01311763099317342,0.024127206984345832,0.020374923902462434,0.029419765976278225,0.010190239241628572,-0.011025251811403895,0.038601057076780465,0.0344583624292094,-0.01587153658918637,0.020422779174816975,-0.020789503676847947,-0.017805254867912883,0.017548416810814486,-0.020913440758061376,0.022020152257292782,0.004666423674935432,0.008624408751427212,-0.005726236085917876,0.024237203495786345,-0.034150458197739465,0.042472971250244525,0.014042610946646812,-0.0043791512252501705,0.03802517685472047,0.031103810047010592,-0.019086221588431897,0.03749569674852323,0.04567436622176337,0.014175468607009365,0.002831491116694984,0.017960925519985904,0.04016541813995254,0.04444809172739968,0.04293009227141181,-0.002179402334007022,-0.020095231150969346,-0.0090410413499773,0.03026590040247216,0.0337518501527577,-0.01876776898470544,-0.014893899592888196,0.02126794631817522,0.017862017109126854,0.016027738556834335,0.02981116932782091,-0.013353103641514414,-0.00025926750801402026,0.031095361654028757,0.022897193800464757,0.01763195764608469
Gross Profit,0.9051805960314817,0.024249940729659473,0.04028335175268903,0.05731033208965169,0.1013714522741369,-0.01797551472535006,0.0024436954009661727,-0.01326081561647292,0.06682208584320781,0.06551981045301886,0.04301473780513782,-0.014566809645990195,0.03133489851123436,0.04385704964567803,0.014659600415809238,0.029290810912863282,0.06175079614138127,0.020125045036851624,0.2156364969800782,0.04783351685397202,0.05360713558013027,0.045806622757833225,0.0786206300640097,0.07027339260686678,0.05497382931812744,0.07673811260959816,-0.002989480978662189,0.014898860772590264,0.05965166397396512,0.026193297057092273,0.08037902642508794,0.015653719669815373,0.029206519641547735,0.02212567014645835,0.017366434468982644,0.02724375817428483,0.04601713882970389,0.02152919933657504,-0.0025066182559682366,0.06962291171299173,0.02057380952948252,0.027666293908554247,0.08096149213022617,0.031246024080629098,0.06133144125425834,0.07120924487740354,0.04184226353631438,0.0734980361280686,0.07205436971107283,0.07386458918619278,0.021053556812291624,0.01682545103434717,0.03767421490767765,0.08554515944323723,0.09435732321501784,-0.023711229116391938,0.007255993541660908,0.03327267525003045,-0.0061247982123141635,0.026958381295635988,-0.0032463288078648242,-0.006761449387184945,0.02660018735380515,0.028274317164980047,0.04452345181646129,0.05408713917021138
Gross Margin %.1,0.07603236014647301,-0.0278440861262641,-0.0023796178880021402,-0.0028281826708349556,0.10329283956087233,-0.007709157656080285,-0.004465218544877491,-0.0040986302673752355,-0.0072755471426488565,0.11770417426550304,-0.0289515266073867,-0.011723946311548206,0.00093650643285733,0.010207519206397639,0.01225579846829993,0.011491317672779415,0.034560139940540816,0.04295548005305463,0.03751155403367041,-0.023416267662829282,0.004486564547709942,0.03314581503471692,0.028511838526301316,0.009603267696945582,0.05671976722656187,0.010566807190383939,0.06326923815528075,0.03996334865192198,0.0297845561207764,0.028546599223432955,0.03220574617589116,0.010913904680330273,0.0632020160283734,0.0031658065020933037,0.0360004352435908,-0.006170493848617998,0.06000710732681468,0.0026671144656280933,0.04748417046029748,0.0459385926980812,0.011464564292749151,-0.005031983564698564,0.016322065230105515,0.023106684529849132,-0.011555051128618151,-0.00874181915640466,0.006518575355953095,-0.013473154636408361,-0.001670188913032272,-0.005443213264298768,-0.00838503065434169,-0.012002471967139789,-0.02986357521368393,0.1338523776663539,0.007988878161748283,-0.015239185955125141,-0.02162297825095873,0.016720571175344038,0.0028151321779020166,0.0495246857151315,-0.0038704653760335524,0.04000630353472207,0.01239169577928627,-0.04096449633554014,0.09392820638225186,0.07790151571457032
"Selling, General, & Admin. Expense",0.03843243393447443,0.033184883089038386,0.032701166213211626,0.0374254878523045,0.0566063928033829,0.046070796847801535,0.05065883771628612,0.03903168523706177,0.046823690939991204,0.14927721506633534,0.5032051006830807,0.03631461126371109,0.03623334713164335,0.036161536677002074,-0.003013557930153352,0.024257105299097168,0.12230120129482126,0.03142512867214273,0.07152407729284392,0.09731255535801994,0.10734302918867471,0.04786118986589703,0.03323321969928602,-0.008288078760570321,0.1285593536620185,6.699730494392521e-05,0.123493903382241,-0.0010322900307634898,0.015329491775655655,-0.020240998471859187,0.009546442681308318,0.009623549326673997,0.01913783283244834,0.0006695500586373988,0.016216441847193282,0.025750883823312008,0.03612982008426931,-0.0044735560267455815,0.017060594181705115,0.0888618593032449,0.011389923070292435,0.09949798514466168,0.026364863324746034,0.0252593562865749,0.03768282117098945,0.030212409052121195,0.03180975256327584,0.04600210782971176,0.023250342598243094,0.02168477200276723,0.004929769987573736,0.07653169814742021,0.051336935894527765,0.12108734045236202,0.03747070197959746,-0.009126762059092235,0.08315388924426546,0.021835483329628685,-0.0009146292702340558,0.015904296184554773,-0.004751215965845344,0.012685079809275798,0.0038594252408818966,0.013059769150064585,0.02959900159899858,0.012929451501380798
