,Gross Profit,Total Revenue,Business Revenue,Other Revenue,Cost of Revenue,Cost of Goods and Services,Other Costof Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Wages and Salaries,Other Staff Costs,General and Administrative Expenses,"Legal, Accounting, Auditing and Consulting Fee",Other Professional Accounting and Consulting Fees,Insurance and Claims,Rent Expense,Selling and Marketing Expenses,Operation and Maintenance Expenses,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Taxes Other Than Income Taxes,Provisions,Other Provisions,"Other Income/Expense, Operating","Other Income, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Gross Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Other Finance Income,Net Investment Income,Gain/Loss on Investments and Other Financial Instruments,Fair Value or Unrealized Gain/Loss on Financial Assets,"Income from Associates, JointVentures and Other Participating Interests",Gain/Loss on Foreign Currency Exchange,Gain/Loss on Derivatives,Other Investment Income,Irregular Income/Expense,Fixed Asset Disposals,Impairment/Write Off/Write Down of Capital Assets,Write Off/Write Down of Other Assets,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Income,Other Net of Taxes Adjustments,Other Adjustments to Net Income Available to Common Stockholders,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Basic EPS,Reported Normalized Diluted EPS,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
  Interest Income,0.03542915798550048,0.1252324940655383,0.14877958411292233,0.09866544193568,-0.023964378601493173,-0.011325229397471185,0.022367234085589046,0.1825605815149123,0.057495321568821096,0.021515645308137047,0.00606117901226629,0.006218774809403971,-0.006486667620978309,0.038873783067916154,0.03991119094765563,0.010169726438286054,0.009385173981945022,0.06838703658774786,0.023672066264728255,0.05866648209561624,-0.03314981728239094,-0.012335793043078441,-0.025146473083964515,0.08452211413436538,0.022270138088189288,0.03983503125734258,0.08977009578448061,0.0871474652788674,-0.0223396771577601,0.18441598609366755,0.07269908727042763,0.6421897747648336,0.05133635727048565,0.032055444369601546,0.9915521348482473,0.057094423452041805,0.04473104976853648,0.16347446005651775,0.07541389734969782,0.10178720095614914,0.04962289191388962,0.07245656520438236,0.014780837173486994,0.0214433674573858,0.09477930711385671,0.1664425309034848,0.0021874258734606816,0.03093538968914837,0.02396802794228263,0.12461629056196413,0.07799996049059078,0.08389698238245928,0.057939235158247775,0.014832037714216931,0.03114788295294155,0.0777129349199086,0.06527952428525438,0.07101617181318029,0.06268210072073925,0.06873312479316077,-0.015530798446376462,0.07461229809482138,0.0037641136241382796,0.07466621510880533,-0.02104466187624524,-0.0048424010293812636,-0.0148005718591393,-0.02390215346619636,-0.0003483341025885501,0.004596814942788633,0.027801652386154847,0.01483939953057568,0.11346341336472841,0.057649737877956034,-0.024345003879193125,-0.020177038820861574,-0.037924696015490963,-0.027134907739727588
  Interest Expense,0.013260310432631713,0.0203054117243968,0.026266435331491728,0.08920117228862359,0.31632450317421945,0.27442372105541796,0.05583006641832117,0.142213045579002,0.12417247421865905,0.10512575709686345,0.047349091531975446,0.12295273183269002,0.13421747984475224,0.06800699178719719,0.07963254336190885,0.025023364990124333,0.10987079626374191,0.14752757733972546,0.1402664743182707,0.0874471950525603,0.000107002441358008,-0.0011148848323643277,0.021664070461813935,0.03353378481740467,0.0656557995065738,0.0668467169304245,0.12864221685711896,0.026675606369409,0.005094890637429591,0.10852648087530892,0.1271591496137329,0.29174563361523087,0.4782572431222843,0.11406976118859372,0.32978442473705577,0.0985425548686718,0.2809015147905119,0.080126320450204,0.04939386063660222,0.12894904420214626,0.03997549876536423,0.032162271316250206,0.03975897558006964,0.038773935963004824,0.14198452968041786,0.11204666577235177,0.05005429494516636,0.04695415616506254,0.04041225293560535,0.1692032795999167,0.052489349199153885,0.03464353132138445,0.04968581520672954,0.06974582075014597,0.05914151405353272,0.07455247114076174,0.0650640385374534,0.024426533520429394,0.1053893463106112,0.0162359189444301,0.05983208743794175,0.07097908012998688,0.017572401605807718,0.02342026983019902,0.022187335115674802,0.02770827909403044,0.027788220973764103,0.022012850760893852,0.039184376268667345,0.04871755991129772,0.05347396969113663,0.028234339999008443,0.08588625897487916,0.08123676648700463,0.009693374871636302,0.014251487422463023,-0.01206993714304933,0.006582238962028651
Net Interest Income,0.055104650015138236,0.10633807320073742,0.10144214032794661,0.14750745730634338,0.19930291646073883,0.19727388478957145,0.06930241455826197,0.14828290986668632,0.034752468932512305,0.054590320562548277,0.051179890111058446,0.05946301393556245,0.01012082173799549,0.019276008032595365,0.07879077031317513,0.03216749849510713,0.020712587314947854,0.05946368414422053,0.04762296016188678,0.04896186643977111,0.0190978453813498,0.008099316192429509,0.028773241010320437,0.1283256962908615,0.0611708760569519,0.08074982352662134,0.1290388691767783,0.1321028808085529,0.01456912994936765,0.14349545138888417,0.26424118671048746,0.923152606230539,0.09811016624777624,0.12438458887425392,0.9732715871569956,0.1044117501722719,0.08788354663728987,0.09110179078032948,0.26321172668199533,0.1436819845862615,0.1121610899302692,0.05128882792466309,0.038034578496107446,0.03685128954240458,0.12273208764739657,0.14256948740444766,0.04992537151617235,0.058065697637946806,0.03455750246765494,0.16100081368651212,0.1710293442913112,0.126516424673952,0.1514920275067452,0.153259409201271,0.06585398350304467,0.1415937151152878,0.16369548403925585,0.10287462386321815,0.09984139816683928,0.1008883345860665,0.07313320546132791,0.17273858726300031,0.10096215197559662,0.09698019390313231,-0.01020177871468548,-0.005764455810041773,-0.015040229270825585,-0.009865572378154242,0.012745320114236786,0.02354877161797141,0.043402504549838634,0.011958688166861445,0.08612345268324428,0.05456640045701191,-0.019530827399111963,-0.01929856794871363,-0.013128847064645798,-0.012884105076315523
Other Income (Expense),0.05737734618225729,0.06286655607050118,0.05812967333446284,0.11401968862645052,0.22360116559462506,0.2251343532211535,0.14681699296651704,0.18627453350115725,0.1012723485230096,0.05154167036675389,0.04724094820346178,0.11133824363303348,0.1216780051503001,0.09302897293596117,0.11094862877538579,0.010908125967513584,0.11006673584769952,0.07155500904085974,0.06720682612244251,0.05447204178962469,-0.0034896225879263894,-0.006437649609879251,-0.003925233866637517,0.1294295935052591,0.034921153892216235,0.08582357024180083,0.29600219894733176,0.2433226898175607,0.007479501848949677,0.2706225971416458,0.10648176358217623,0.12851257813736325,0.05678502211345221,0.02547456272766534,0.14524217474597526,0.2963785942642384,0.23581420614942802,0.1695525456882701,0.10864706409835653,0.05612528664210477,0.05178913476170418,0.10693848010043,0.03075582705716198,0.03213714197741665,0.11202798296779294,0.29264616424029033,0.039242439146746085,0.010076387672180524,0.06661000231445856,0.3404671793796507,0.11979996162585978,0.15681956589912455,0.10739938460669086,0.10995703653316394,0.0038939596931390663,0.10929377322743455,0.061508033497112556,0.08915526390559193,0.08157904350574031,0.06358990429073638,0.021415914419071175,0.1330934738309796,0.09930473538289444,0.08871148008097211,-0.011687783582508722,0.007396167838667212,-0.009615079058248526,0.005653134270845166,0.04399277267709124,0.04143697147299091,0.013930481588825606,-0.0015685605593389598,0.05857309112280764,0.05097486391274689,-0.01608267085249004,-0.015237206496970614,-0.0075668019219324685,-0.0075668019219324685
Pre-Tax Income,0.02005708911091708,0.10402273573642357,0.02366640548173405,0.09230111906315287,0.13737349656073858,0.14569185226432027,0.019994994337058748,0.09228017933015716,0.015083759474152655,0.038847326668798816,0.01965516179730103,0.019412058671188143,0.006094929865217518,-0.015210649006135134,-0.021470449294621198,0.042467391020690116,0.01562759372964444,0.04047486806949823,0.035380372345684835,0.03582042660889409,0.00166225532786155,-0.02041442119351825,0.005659832975873354,0.08435616984846224,0.029872023234446158,0.031127431514133094,0.03369833083647951,0.05355822038319008,-0.00907195206524427,0.08834410030705322,0.11041879535494424,0.10842920906845542,-0.001828612718966342,-0.0004073562924377921,0.12419483032019235,0.11257718804831439,-0.005426710697402996,0.08958657229491616,0.11383566591881773,0.02406207376533036,-0.0018319380533872078,-0.01601071209006252,0.02330257564375579,0.011191853971327003,0.14905837517461037,0.1428420333965397,0.005739528283829865,0.03625849017666474,0.009360316013649238,0.0931394629420209,0.5409383275177791,0.16416569372509288,0.09620479335980626,0.0415753269560047,0.0012246030630360277,0.10928023781566974,0.10809632318792071,0.056192093271854024,0.04932444011805791,0.09194559825329396,0.018336988516967703,0.12240811606490636,0.03361715281564081,0.047182484593237144,-0.013169284202418138,-0.01407168518103534,-0.03305073080417275,-0.029941604147804415,0.009792834969544442,0.005030072445000076,0.025325229996286246,0.005302699494453641,0.028123735707786455,0.034121906279116744,-0.02304073388391502,-0.04733861317492319,-0.017512918110641394,-0.01794596909997261
Tax Provision,0.06212497903879891,0.0398046589367508,0.045993031958842925,0.1147882774946096,0.20359509597651113,0.21374767391474525,0.027062258341097177,0.049586922605952516,0.04323473254692728,0.05865822741527439,0.04261412457247343,0.04658283198960071,0.012317002839406987,0.0629040014012734,0.016440452872621497,0.032722937819300364,0.04860287606560135,0.05725885231166363,0.04803065007121417,0.047018093748953424,0.03028527904976631,0.008189068687594496,0.037119925192820785,0.06775763242599883,0.08816577129501296,0.13967485346837816,0.022226628940997632,0.023254513426716097,0.03049311470720256,0.030573223748779285,0.02741262131530963,-0.00246995654071623,0.005683805659706222,0.01122083381717604,0.06185996056417035,0.013446382395750193,0.02547504247605831,-0.010823454124937945,0.028685282170841743,0.029434819617185977,0.018226150497233362,-0.020025985537828892,0.05109678850578897,0.034628569396878556,0.02901203808675053,0.10995333898296465,0.04202467389995152,0.052452595171334104,0.03379999543277593,0.05041871972557669,0.1646559371264841,0.5579720695849718,0.06809264122182301,0.06688434010889312,0.04602318563985777,0.11235229280291514,0.049058508829069813,0.06798046417096847,-0.0036487839527961697,0.02389927950720694,0.07530874790023594,0.05273482613264239,0.02945280682259314,0.015306695153627925,0.01981344484702004,-0.014352710944670045,0.00873743265116919,-0.012406193030131376,0.02971670296074805,0.024576360924156066,0.029711041471855923,0.009413777054838333,0.07316952078636539,0.06178284709259673,0.0053711856644790175,-0.017172649824544823,0.00511651064459776,0.0015701329114634344
Tax Rate %,0.013716504922112252,0.16916818811671464,0.08464619861755064,0.04425015338401612,0.057761577499848775,-0.00038643904043527636,0.04471513123321619,0.08963647120271954,0.09179699248769439,0.08547950782227798,0.08416631317187964,0.012050192715889972,0.004825110590869994,-0.03276732469026766,-0.04463363387961012,0.025172067376502207,0.01700925546911876,0.07553467635461125,0.03037254006251104,0.08091099768075104,-0.024177509652843557,-0.002797636029619683,-0.003185568528607293,0.05500514782755658,0.03263652446322858,0.040414422759708586,0.004948260738088048,0.006427718564864767,-0.011850869569733535,0.07694058519093629,-0.007861059531591864,0.05575432682695749,0.037365795251213786,-0.015192603623721256,0.11604089659803205,0.00033523630380129406,0.005438707053273893,-0.0011991721342510973,-0.007221502524764613,0.03517372465774815,0.0019914783577146987,0.01011361976927563,0.01241905047677919,0.0438014600049984,0.0013069403366601992,0.09076505503381091,0.01378298249527241,-0.004315671767866353,0.0037460907555253997,0.03231669573545515,0.09010273897652533,0.029390958473282477,-0.004381244726332414,0.0020323139093140633,-0.009411585172530991,-0.021818361617526278,-0.015491932754931749,0.005509275446444965,-0.005575915246739425,0.17374736021824905,0.007200393073549677,-0.004302395349626076,0.05863093185230352,-0.026326029723221744,0.011187488408424522,-0.002773549248823032,0.02847800347501217,0.013565479813651976,0.0034068152414490098,0.0031061852113607553,0.041917186501226195,0.032434074585789896,0.03604210488143167,0.04798519591158169,-0.001434711606229287,0.01973638505421933,-0.01860595474687727,-0.004702966809234038
Net Income (Continuing Operations),0.02495093961291025,0.06429439648096541,0.04887989252273245,0.05684912008853951,0.1855043611590776,0.12581762191118015,0.0836761002829628,0.29907613413752504,0.14168337513533258,0.027451415793690873,0.020096597707692218,0.012680792162090202,0.03329897692853986,0.011655142520109362,0.0004339092610557097,0.01494953087781127,-0.007667297946930975,0.051157639162111586,0.06727735404530397,0.05745230457072066,0.009583034633596256,0.012902514781723756,-0.018947293263709825,0.025331305586989636,0.019695395849997625,0.02739748307450481,0.09067126832622804,0.18890127036658338,0.08309138615988461,0.07317276112325126,0.08000122487506504,0.09721954244217455,0.07762784429642326,0.0015096994030964562,0.14534573316364013,0.1131993873777975,0.0709291411891979,0.08384220297516735,0.08394418361762572,0.014516748791207108,0.027919863206084607,0.0729822626117729,0.05594949901808683,0.02369540984225237,0.13509394696915691,0.141849664050022,0.02577122998407267,0.034270784841484755,0.00983215550037993,0.14573071701373713,0.11023176045906057,0.04783970841541241,0.27864250954477304,0.27864250954477304,0.035288436165542836,0.13668190635705232,0.1413617582788988,0.09808449783514728,0.08629785718399641,0.0967807022931359,0.13604232996506044,0.08366682766346356,0.07226178878143315,0.09207726839148456,-0.03936538880324263,0.03152023372805668,-0.042306801157465164,0.03215171279555298,0.012426094575837208,0.002265982992666807,-0.01672332030399134,-0.017553829855997672,0.029642133003520206,0.03388802755120799,-0.045331672101962976,-0.04681232121526152,-0.004619113537545302,-0.011436124851070352
Net Income (Discontinued Operations),0.11045131038958822,-0.011919130337693295,0.0248934278552614,0.03241474240190106,0.03212367104879294,0.03038534575370588,0.07517966546837196,0.10080230220632057,0.10870555608945177,-0.01251650947522823,0.0069259980585281745,0.03908502088982199,0.17216907874003737,0.03692887106855893,0.0355993372304193,-0.006273659140303816,-0.008167057636198911,0.03678212245632578,0.014213587064619532,0.03978966568909461,0.13553031961212317,0.1002252664483891,0.08573277950078304,0.14529669925029498,-0.01242080031147158,0.011484129370785435,0.06529153221841758,0.03701682844468296,0.18126085699316424,0.0836971044562857,0.22580490511927725,0.25729392244454613,0.1788078218604703,0.09820647814817195,0.09992448480590044,0.07522301490143826,-0.022035550565197397,0.07452749501220318,0.041678671869053954,-0.006252821471727604,0.004040445908907245,0.08970106810342308,0.08757590730369538,0.02794837031550129,0.06820632070058517,0.11494709716422187,0.01640656956046776,-0.013012114249601255,0.08580162548076206,0.06492293133335521,0.07176605659494105,0.14362303586424058,0.30753663407249526,0.4687836999030073,0.007038363564316235,0.14440182026080942,0.14496341831036277,0.09418885191847431,0.08064683276939644,0.05214743373911805,0.11701225963187636,0.07424706190581727,0.07224993151475358,0.08686944577198015,0.008775545957348413,0.06993759351034047,-0.003813807516531149,0.07097887620766247,0.13371350225512765,0.1329877887303786,0.029059394935459452,0.002983178108369933,5.557838791071714e-05,0.019163375218075533,-0.0014024161705282266,-0.00799258767668485,0.06170148379221585,0.10873786628260416
  Other Income (Minority Interest),0.10015467710796766,-0.0024504428351979296,0.017772867554699635,0.16054656882560017,0.1907923084465118,0.195610653420626,0.13006114267881444,0.15196026871140503,0.03691175293969058,0.032876018534776466,0.026351769665231266,0.0914966263286719,0.07654255390980638,0.0574009309168243,0.14107792964741542,0.04514968424783016,0.019714114934694035,0.03577078109494965,0.06875009044744379,0.043546976435298555,0.05981568054113034,0.054980187992332084,0.039848631658656264,0.18394362434802902,0.05823923136280869,0.10451851732223993,0.14256479631951774,0.11763881185782281,0.06103419734084041,0.13429750831102047,0.18262031775679904,0.13759349833887094,0.1717700618270737,0.14195139511922325,0.37641067764876657,0.11627194317390258,0.12715476303560486,0.18888637832776667,0.13486171107077607,0.17290245346628988,0.12774429650945768,0.12953620985082664,0.06747676017536218,0.046605164683606704,0.2473887880103471,0.1261700381626522,0.04632337197609553,0.05896156229575791,0.1100007457226726,0.19367923624809685,0.12981043726880995,0.17784999694575182,0.16207093492021382,0.11241575316398827,0.1449581656786301,0.3238572758834731,0.1723496876836964,0.11400743551082038,0.10568001911061604,0.09090025227696429,0.07967335254273364,0.17341415460539114,0.1262334999227642,0.1198073820263016,0.010250465587305902,-3.426056429200954e-05,0.007963589749075291,0.0017756972698745636,0.08660969690612955,0.08217631074066153,0.048571692603845563,0.038232234228679204,0.08101925721208846,0.07526964634922037,0.00040010478451336836,0.004602213918955349,0.03116725906313357,0.039482139459873666
Net Income,0.0630878515478793,0.0924532879371509,0.10275136737384455,0.08620975879783527,0.19577762858160652,0.11308839630141199,0.04958836100221663,0.15001459884261628,0.02494000119218235,0.030183123159120827,0.01836873412461852,0.02952933261897046,0.001396167177847555,-0.009762321286755495,-0.02211278621882253,0.0207513189634156,0.012534551072898008,0.03266516991734132,0.01614098832561696,0.04726545095767011,-0.01400929390165323,-0.012060127853136711,-0.018251795769690434,0.10774932657522258,0.022294177175814254,0.020059590870350794,0.10011656484852142,0.10523746991730319,0.0013011679892311508,0.059391616121370054,0.25890852804182524,0.24814558787618718,0.07295088551541137,0.07323656012626469,0.15061897825690873,0.10311070996414069,0.021594959926412007,0.08648598057197876,0.28169743002666997,0.020204851545350424,0.005350925647316702,-0.014638313598750537,0.032316835193909786,0.016686708104749367,0.12885902578839703,0.13503899583883577,0.03147326218845056,0.03281333856472251,0.01632702165134385,0.12985489046012824,0.11107789912308952,0.11107841459604283,0.5173520204827161,0.517424855147199,0.012926025433359491,0.4898752576055195,0.5313247291828479,0.06956105823544351,0.04860755606725981,0.06327631954206493,0.025644322020469443,0.13421161557449537,0.059551761684297745,0.448803106945124,-0.024906035023591212,-0.02871444259438633,-0.030569510059395767,-0.033091364322189926,0.0009312343954580474,-8.12161146165457e-06,0.01428649227576965,-0.010280520709306002,0.01128650543554727,0.015980462522288547,-0.026284694617269205,-0.0423020637283783,-0.012512874068224121,-0.010709317445912667
Net Margin %.1,0.06020859637307096,0.0886669356516606,0.09984536821895625,0.016829812861850865,-0.044961657429903386,-0.043219733319579644,0.014278581530105841,0.11806898579973839,0.0905026106049681,0.10464565878647389,0.1134325769720761,0.02894222178038628,0.008380459579788353,-0.022642118765812562,-0.025519483103789622,0.06703763246535059,0.05948661849423153,0.14059421495363947,0.06345775598500945,0.11685282025823172,-0.005041729912999098,-0.00808667185445421,-0.016742391397770617,0.01106894867160324,0.017237843262987145,0.017296674835836627,0.032715911331524836,0.03521722695938403,-0.014569352701616082,0.05999583375607846,0.07984906504238848,0.044350394469274794,-0.016306367798279285,-0.013010656269153296,0.026580265606488733,0.027308866798763137,0.03638777539310235,0.005511173499712085,0.06506177034408243,0.03236191515637244,0.04131721050874524,0.029965531603725067,0.014704171472299164,0.0755736800321097,0.020996083850716992,0.1203436760434491,0.057234184084988225,-0.005952277930931218,0.010847563440060907,0.029531842306025412,0.00878304801541658,0.010872499523023575,-0.016490853685355987,-0.016812821374304406,0.02815535875765608,-0.00993181954118771,-0.00594039382654264,0.0073109966928399705,-0.025897523943013458,0.06036726017189224,-0.028837432666496944,-0.018754690205087736,-0.0004538492461940509,0.004255822851992363,0.04883669115525639,0.05240277424131405,0.0406244601978374,0.046342135926849104,-0.007621286712661496,-0.006597927809421159,0.021783410812068294,0.02787393734010195,0.04042578796064151,0.04777264520091025,0.049573190753208034,0.05097398671579625,-0.0008040510732853839,0.005404028964566002
Preferred Dividends,0.09835541279045724,0.0016568026228200514,-0.002334935705976813,0.010894728998986563,0.04515137403713768,0.043428089330021596,0.00994404137218476,0.026239167461520125,0.04170426089754988,-0.04499324370143713,0.016954596183114647,0.045168856320900355,0.11303888146749812,-0.0111141138955131,0.003080472312907232,-0.0055713871405601405,-0.0025356879571355184,0.04568337437434307,-0.00974387248625409,0.04006415015699803,0.09382666332041265,0.07933648750692726,0.09382999315977367,0.11263861820521544,0.012447693177905002,0.01672250853914377,-0.004432837981304354,-0.008265190160946437,0.09112662163289567,0.009357900329138125,0.11381182774199541,0.10434992599533172,0.08463229256966259,0.0788727228154039,0.08671707053842137,-0.028524881353120122,-0.006001038972424773,0.06725753360062962,-0.0014918799127970808,-0.00938280757655304,0.010123697625653974,-0.005379755216749483,0.09271678708954945,0.028071505497898625,0.03230500796722161,0.037873315725074734,0.037818966819963655,0.002443863666288282,0.08931472927938126,-0.03330206512905681,-0.003337718092265982,0.0832405270618785,0.008625461026323404,0.014591016911149826,-0.02347080491354247,-0.008528988005030585,0.06272518910595619,-0.009922788203156402,-0.009081311009472862,-2.8555998904588806e-05,0.010861091063406882,0.023335147405718897,0.0185201749637981,0.008755280510661117,0.013569066448340156,0.0024365739651736923,0.04343208437079819,0.03892699942281778,0.12716690177808457,0.18524147766271076,0.027153880516498207,0.05163348244942534,0.2178713746520852,0.0676656019026584,-0.01381627577840491,0.028355195189163747,0.05472753304399547,0.12723144789650917
EPS (Basic),0.0776883390333602,0.07543086062027751,0.07313962360856043,0.04258694124630616,-0.019420577083254627,0.044363107918821615,0.0410853125096341,0.08651357806153409,0.08515794426289656,0.14342908060933685,0.14416166656560253,0.05589164525158399,0.02094635518252723,-0.00798077180001823,-0.006994331800682024,0.05375889904730516,0.0568729751066865,0.09980679872491083,0.047118724174441726,0.08504780352826896,0.01327904953660366,0.02335322660544854,0.0602820558370208,0.04382783366393351,0.0735893101860872,0.08759685563451153,0.025528326981795763,-0.0074668147844436155,0.010776119958966542,0.08238665108294081,-0.00824517370433199,0.006123437641496562,-0.02272888866402632,0.0678692990478314,0.09521329041083898,0.009587785070154226,0.028038652344626637,0.07779788639244854,0.023092483138734188,0.015527077661420405,0.03437406700358936,0.02129935060361277,-5.0964190145547875e-05,0.06668502888767129,0.0316957922455745,0.11762975309661365,0.09766725294311251,-0.005863038477777411,-0.030651657813652176,0.037493436247022734,0.0419906425414087,0.03938014185422733,-0.06291055026861052,-0.06841328973701594,-0.004852048514866062,-0.06998934424865712,-0.06968066980659576,0.07119151861094257,0.06672366014874001,0.07706559421392203,-0.06326615348120095,-0.017204312984688667,0.06658133145373626,0.03823944954783254,0.6212754981896919,0.12502364640380445,0.15735494667916805,0.11230875895534016,0.014977629529152235,-0.019048298243650806,0.15292275041373676,0.12857067570445588,0.04815872774946096,0.07532856889160772,0.37356448557198624,0.23854033217415005,0.1128619830543896,0.07527698830862564
EPS (Diluted),0.07537464546730271,0.14207944737491524,0.1078925536625205,0.077917191074515,0.016460078737397542,-0.005338364994027192,0.06806524748069623,0.07285543172116088,0.07229285121110349,0.13915291180181663,0.14482784021085285,0.04721089888701029,0.025474863366572967,-0.007829330406131464,-0.005335308015046583,0.05423751738498686,0.06627879629658423,0.08865598444437517,0.045464183963109084,0.13021624174178573,0.013794177029545556,0.06694278473968514,0.06598569458173549,0.03435435673043458,0.06599140779995785,0.07048350731519479,0.010556655432644568,-0.00525394153778333,-0.016744380621205705,0.0599305219714034,-0.008034194883666818,0.009132720036332552,-0.013063935977300335,0.05926848404981259,0.10953807786014463,-0.010786653477257567,0.007968904075213605,0.04197636594781081,0.023369299850667796,0.01438026291955854,0.034587134543212834,0.018991778716003587,0.0006796778220231675,0.0903225743685454,0.0324421620904416,0.11790656980854726,0.12038104073541439,0.013720701561823508,-0.021425111558160556,0.019532463300997893,0.04096289546827979,0.03535394254724453,-0.05271717670818942,-0.06845994185082946,0.0062964523152556455,-0.0696061550267615,-0.06808958227383995,0.07787491798352818,0.08663881576537072,0.08152001307296391,-0.05115848508328843,-0.01679767469748394,0.09982573989520999,0.038323403377044776,0.3094858668925139,0.13194069996946892,0.3284055572254975,0.137076632179054,-0.018890544889828668,0.03496410908034174,0.16738785047475283,0.1659467249862725,0.08596307515497668,0.09156342601483534,0.15825364577733853,0.3163964049327016,0.024429570146879173,0.11807333257009539
Shares Outstanding (Diluted Average),0.011654552059630006,0.002043852161140054,0.013873408347336226,0.014301533788788071,0.09386323283002738,0.11026122640763886,0.029977492605702323,0.05128843486674628,0.05197521071746167,0.03693613509038387,0.04119741199951011,-0.0011816502244348243,0.024015167921462938,0.009347376576980237,0.008542309751309733,0.019309408607292248,-0.005634067513274041,0.062194250981161256,0.030443498793743088,0.023888910481127713,-0.009518474360565937,-0.0036085432858281403,-0.014054475352511558,0.023665870557431454,0.014677260787427386,0.01297830131234327,0.01169361795262552,0.005463907649881953,-0.0004665713729438258,0.029211472707269075,0.0010968701612413265,0.009282120961233362,-0.00782910130553228,0.06248800303725368,0.029536945426577407,0.0021814420223984464,-0.0008980318063585295,-0.008889402930417317,-0.0006115089227575069,0.01707095960158211,0.003902374742439907,-0.01461154724065548,0.023016070424989238,-0.002523232525714561,0.03820320048817521,0.04045180948828159,0.024978424201745238,0.04359580884966188,0.06412078510122064,0.04287223359358111,0.042310717468752174,0.013179613703708515,0.02396872290657974,0.023355663114594076,0.01172664907624655,0.014913627318663579,0.07981121042904082,-0.009067641736111581,0.01658082129077197,0.01116143002940346,0.05208993102728372,0.02044222393845517,0.006300533995641852,0.047707047476712276,-0.03400864498892182,0.004295542909632338,-0.021376736817202216,0.019129514035693775,0.29014679250583447,0.30850145040190946,0.04544769987952834,0.07728352040397687,0.1048332936912912,0.11439019392417528,-0.03624205989854581,-0.013387273234189237,0.006286224982956275,0.01805605039508441
EBIT,0.018471524492594243,-0.008504131579765008,-0.0013883827326396144,0.007869648279411976,0.09851175582573574,0.09741354943219566,0.006053640690413555,0.025039900942065003,0.009575904696254968,0.01586346929902082,0.015065684606964351,-0.023742270118947167,-0.01570034646512252,-0.031063080116210878,-0.02697470428629488,0.015536351009080407,-0.001389335421023042,0.013816731954134923,-0.002982140186425975,0.011253696686348501,-0.01494763149335325,-0.015546805878625407,-0.024485107341374768,-0.016854639886433747,0.00014657694530637873,0.006851906897662004,0.0007621728116612913,0.00058609330302356,-0.005647869431460249,-0.01267274380675988,-0.015637388655789765,-0.010691944582510927,-0.03304729769141796,-0.013392999964245613,-0.001534185334743405,-0.021975380581786705,-0.017454969763112824,-0.03392313850259521,-0.023714172751810668,-0.01114796429087686,-0.020661373814963947,-0.05132227848808847,-0.015460754869814058,-0.010650104207063254,-0.0011608092898065395,0.02835027500186233,-0.0009201226634245516,0.02953182798781989,0.004121727084453593,0.010165452746337917,0.024574947233242533,-0.01183529207452509,0.01218432822344314,0.011729641370000142,-0.022407414589758923,-0.0007207241268817677,-0.0007877811478620041,-0.029543224723576955,-0.043521668071922315,-0.014417029694842615,0.001944286107520859,0.0007805987280027622,-0.04383068544004349,-0.043856005406846685,-0.00027822650265426404,-0.02292873895031699,-0.017878913393401533,-0.02335283258134116,-0.016303223047329313,-0.017879322742207517,0.01097229963968645,0.01097229963968645,-0.002769407056272769,-0.0016095317663870883,-0.03294176278474325,-0.03363573444488249,0.0026235728234068993,0.01014689658731925
