,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Share of Profit/Loss from Associates, Joint Ventures and other Equity Investments, Non-Cash Adjustment","Dividend and Interest Income, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Financial Instruments, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Other Assets, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment","Other Irregular Income/Loss, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Prepayments and Deposits,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Provisions,Change in Other Current Liabilities,Change in Deferred Assets/Liabilities,Change in Other Operating Capital,"Interest Paid, CFO Indirect","Interest Received, CFO Indirect","Taxes Refund/Paid, Indirect",Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Intangibles, Net",Purchase of Intangibles,"Purchase/Sale of Business, Net",Purchase/Acquisition of Business,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,"Purchase/Sale of Other Non-Current Assets, Net",Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Payments for Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Cash Dividends and Interest Paid,Cash Dividends Paid,Common Stock Dividends Paid,Cash Dividends Paid to Non-Controlling/Minority Interests,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Other Changes,Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
COGS-to-Revenue,-0.08469398383511458,-0.11127611295658962,-0.08844461249905007,-0.06488423435175579,-0.08155952990035403,-0.08521465168896165,-0.08782942507712845,0.02978142062230723,-0.09827003966903906,-0.0959890953659308,-0.09402810477984878,0.022944372801196888,0.01080579702254637,0.01998410227151016,0.014864437674157625,0.04894856666650441,0.04508838555973913,0.01277385537929656,0.06719451172948954,0.02295920390466001,-0.0568127563444172,-0.03632329650224133,-0.04326320211236887,-0.05769590050933947,0.03854015265236331,0.02528612250931895,-0.0066360012105468255,-0.07973650057118094,0.04163166267375962,0.09710055324061678,-0.028301921801349935,0.09175401707437139,-0.04439151299621355,-0.08943492058731888,-0.00032846196213198297,-0.07126441990684562,-0.06172464325955821,-0.040641338739307545,-0.06556060143911877,-0.02657071436673458,0.0012698200237413323,-0.03360576327515035,-0.06577480374590505,-0.04839572342568233,0.05230873595670397,0.07354189638749956,-0.022357481576314113,-0.04576115792904995,-0.021136705117098475,-0.02016882691270777,0.03566435102560817,-0.04391821116879107,-0.035883929898904716,-0.07274785410964825,-0.05149368091225474,-0.06737385384546936,0.023590329497525604,-0.04284521099485525,0.08803439332180533,-0.045201017681600855,-0.05442699410922467,-0.053686829180421586,-0.009298555353021012,-0.0021851777738764533,0.043521952012763904,0.015768264304182045,-0.023726775898258983,0.0027793536128685376,-0.06502025537098487,0.052387025691879724,-0.026107075587320134,0.038034989197062066,0.029268009676206408,-0.0701165589718625
Inventory-to-Revenue,0.18358624306561652,0.184653892057696,0.19133886998297855,0.17426385726608182,0.2511290936482957,0.13088080230804927,0.13505049778228084,0.09071989536402295,0.13230492473151031,0.1965250292639517,0.1344124682854116,0.09833992672181172,0.0595857727338502,0.05784330668995622,0.015780419508705207,0.21548756955898277,0.11734952555600756,0.061331714820086244,-0.022659877087663254,0.05433247535709529,0.18841612036415697,0.04877041777446377,0.2094243541249622,0.09446943814292982,0.09468505003026724,0.11119997832165789,0.21183017163865717,0.15575997758365995,0.09829778612879847,-0.006602117572451387,0.10762957023823648,0.0066755216843517986,0.04846186180978743,0.1966014856395352,0.05701552726614305,0.08226264860190641,0.2153567754664883,0.0602332641194936,0.009308672737241543,0.017776703576565675,-0.005152710150718673,0.018254833990371942,0.2140614395723479,0.19031430365154064,0.18408148385260895,0.1810003766690903,0.2698938769175464,0.23595156897222164,0.29087765704636565,0.08079919234172972,0.15210403583470192,0.050736296811297966,0.05035339575633034,0.25071310670166164,0.26946952296936083,0.21235949622510075,0.1581467947897784,0.09288219483683093,0.11395698232567239,0.04663484381184155,0.21123711930150652,0.2306436161783637,0.08072425919657586,0.05108224748412719,0.10069222790072313,0.10863954776893339,-0.01149405472584828,0.00735299188673856,0.09338937091928008,0.12772987075091977,-0.011293509898322656,0.09044934218307277,0.11770674112652126,0.1867723625982615
Capex-to-Revenue,0.14994313361875636,0.04296573294893788,0.1459600381286111,0.07454961448757805,0.07898972742678613,0.05696423136951762,0.06024500929800485,0.04329186101252467,0.13165220713487452,0.07730653326932059,0.07141992572773519,0.025607551465811874,0.021930497880247243,0.02186038118394333,-0.036737034144507894,0.07706133290023348,0.058372999546445106,0.020599206646391557,-0.057561579323447326,0.03063531052475931,0.10450723838138641,-0.005772796166147085,0.02888268785509228,0.04032576392274979,0.024773300233057034,0.04998977641241292,0.1593879217984149,0.13918877667253893,0.02015418427378065,-0.05501500305006079,0.05696467988371343,-0.05412743679374566,0.025945760097235485,0.09728112262351227,-0.007749619702385864,0.05816154725920346,0.14496889517755868,-0.009876151467771127,-0.044823157838678615,-0.059419412234899154,-0.017089718314668843,-0.006313573348265391,0.08779878989250041,0.09219666577583382,0.08755050780366083,0.08649565089520468,0.09352454964863056,0.08483595917691467,0.10751982080973857,0.01574412755797928,0.041807002692700546,0.007745572754195072,-0.07290166651954713,0.1132289692436655,0.11789081711562602,0.08882440502419493,0.09502240107432658,0.05338033961717495,0.043574885130887926,-0.011639453557242867,0.13570500705065267,0.13651339707872018,0.06766159835724565,0.02224498071114674,0.04216862410893099,-0.00034496985652671835,0.011351013426544754,-0.040299159995591846,0.07612373231037592,0.08088484481314648,-0.07965676420025831,0.039905477077907196,0.09886096968138976,0.09349386992131203
Capex-to-Operating-Income,0.22253584648622252,0.20777048644068702,0.22401495150372733,0.1278992223766747,0.07102141730194558,0.07436969580685447,0.0720108991141878,0.022846388461274465,0.17528935957870256,0.22361298826434808,0.07477261036117527,0.049726231721635206,0.0003490011241832017,0.010902191038611288,0.053165823038514914,0.034633379177317423,0.004013633662786648,0.00697966605062317,-0.014265998212974515,0.04959923036753085,0.11718855205183022,0.23175384535734314,0.09226441831109986,0.07759633555255264,0.0113006027877551,0.11266072750170052,0.1907510755397591,0.10562253828757949,0.016138891125506552,0.007552112534515232,0.12784525066726438,0.006704241908605798,0.13895512465372584,0.11220128034196032,-0.003468003633368055,0.0910638302114828,0.3390579087234986,0.14841028656616814,0.1449966505677926,0.01011725832178267,0.016414836202646423,0.005211326458679253,0.07364680255471341,0.0764897805478853,0.06649041397433514,0.0726258644445278,0.10741005949086584,0.08900708291425215,0.10189522334832421,0.08694334417913119,0.010239879765972229,0.061992121172842404,0.03444591016364512,0.16743606192925478,0.1794608876709875,0.12754762952937462,0.12506043815200843,0.10440605828496641,0.007628071179451756,0.0043240984915776165,0.11027312319121733,0.13227535511761745,0.13279888170497858,0.07646948469030154,0.018636254493871716,0.0011719671603080788,0.08085406962210685,-0.013348647309268564,0.08983875477580246,0.020716429425757486,-0.016023450193846933,0.02769369821298435,0.08509444529868766,0.0899365942150687
Capex-to-Operating-Cash-Flow,0.2565888366535544,0.25155957896401976,0.2536412612448612,0.1326776397835158,0.13011182982380926,0.11816012745459563,0.12602381423233117,0.031341149440882066,0.11468103629567478,0.15255603899038564,0.09564954008886245,0.01552194311042037,0.010419585179294972,0.017013188882617637,0.03630487848272615,0.056421434219418386,0.050427577443833346,0.014068594876048581,-0.006366669989024691,0.025200322377329283,0.15754107024770664,0.15615595543663818,0.10084305927210695,0.06240624427054743,-0.005710662679629072,0.06985944838968416,0.15569947740468976,0.15332250056886396,-0.0043781789440394845,-0.013215356197533765,0.1380800813406555,0.007242424133576121,0.07713008630527446,0.12363407623158672,-0.005550527506282309,0.10263428201932512,0.33837762843953273,0.1731399625680186,0.15702232476867825,0.00515450677567896,0.018172474938285832,0.008608295846772637,0.10498132006782336,0.10248590455776294,0.06721269572860243,0.06930198088541815,0.13496578597526435,0.10155057970088573,0.11727154721229549,0.10960390049288485,0.008813130015134828,0.10528618956315287,0.11057827146562733,0.1607415377727674,0.16601917822513546,0.12617959703155934,0.11014665155695669,0.122544878742964,0.0028242737182077385,0.004821871593085913,0.1340193292416192,0.12908659355255991,0.10297041912279005,0.09733876444752826,0.008756410874711516,0.014190612596468397,0.11442552439978691,0.08236699901436147,0.22180826602826034,0.034706207758214924,0.022303924043818285,-0.02321290399028104,0.09034709808877547,0.19607916405005185
Revenue,-0.009075704544601625,-0.013309333188919734,0.049642053333856045,0.01369940325436564,-0.0007380969592180034,0.014770437172772384,0.015905721258702436,-0.007466133479353108,0.0022907968754474544,0.029858754416386836,0.0345362183574781,-0.02560287643405098,-0.028899581931474082,-0.024147077103905415,0.008448315364804893,0.01985064968236544,0.03457248398963275,-0.024874052012794624,0.008795770813689374,-0.031938982103321994,0.03277284736585603,-0.007453859659008265,0.0015622579118894676,0.0182728640897366,-0.023372884144290323,0.10856001671134344,0.06256150895791475,-0.016983030269044866,-0.02800524064358586,0.00703737510580708,0.012283787703592114,0.025266846160874115,0.002324812918209676,0.03467396511307463,-0.00482167073876087,0.03160341100152262,0.09016154930602517,0.00168775743013629,0.0020413259679461617,0.08110570901794945,0.08347774028954957,-0.003182609802135675,0.008055765208616821,0.014308700471859784,-0.002972940604002413,0.0035510665946041414,0.022914819823645568,0.03126156769075562,0.04404573918676606,0.011184953670728002,-0.02018152478293322,0.07242801487736687,0.08238568403762715,0.02988186938573876,0.035693491247388236,0.009308465098030119,0.006703252298182557,0.09738460370209216,-0.016540287551901546,0.11458006463583702,0.029530688524904734,0.04234910074693376,0.014485185157621601,0.011972319694600997,-0.017471283826657014,-0.016526182197082746,-0.015008345822659759,0.08117740301003278,-0.004960024620594813,0.010791688785778707,0.08110757744927838,-0.011378156967061893,0.032250394523415916,0.011370969904816458
Cost of Goods Sold,-0.005614276819233544,0.0011686926486320767,-0.003011574850831002,0.03478582849109157,0.010493228112543274,0.016833091917050385,0.014762061721562025,-0.009641157767324762,0.027685966244846504,0.04611210969917402,0.045581884823568015,-0.028289400327958975,-0.008354763885558475,-0.018618426044748067,0.029537720395426306,0.03680212120769718,0.04754353150405328,-0.005747940128588208,0.031226420083733247,0.0012700365791730851,0.011933654942154266,0.07029497966469171,-0.01444507017668232,0.042152889450074504,-0.00666890899927619,0.12357391381902617,-0.005120864647308855,0.07706162435274821,-0.004566565177411495,-0.000905538180449398,0.024382183622074706,0.04349604445921266,0.03130044967469563,0.03891084998963496,-0.002791350579234103,0.03904542565084675,0.0408629037942375,0.007990260937603133,0.008099612038804367,0.1031875077488616,0.14998827837958956,0.014847681914259194,0.09136323478583495,0.1071132551114332,0.10749815853409303,0.04676239420904152,0.04263566422399869,0.051327067611226546,0.049798221774223536,0.0006055038994614058,-0.0041770773470983,0.12057600653702787,0.11656505882956626,0.03642691598263502,0.036764342303431924,0.014331370844390331,0.020476815341226598,0.12649456869114653,0.034837792482650905,0.15280977604764515,0.04570105155983766,0.04183427583328254,0.11607520068676488,0.12983270832150823,0.0024791756174758223,-0.001449765083920352,0.006055260076370803,0.15115799454940404,-0.008342306399938989,0.03163208567406111,0.13388971181253778,-0.0261487693109478,-0.0032470860876712047,0.032814230816788484
Gross Profit,0.07538515101341524,0.06431065736319026,0.09469995622339832,0.03291059982157099,0.034311757264081796,0.017965412118492365,0.0205781788051295,-0.012988484977537356,0.0026909848171470406,0.10244090572085782,0.11274072858551486,-0.039517064592579115,-0.015221949073341498,-0.008824540696445867,0.01940368699094744,0.11199810117737895,0.03488407783676557,-0.01641432082311345,0.011453802399483466,-0.015224792899910418,0.04083757885761947,0.09858630958083825,-0.0004893353028549785,0.05527020690042686,-0.008865412723787812,0.13478866797868494,-0.00014393999635468023,0.007818160967013283,0.003992995503789217,0.041406884050279175,0.013111274599256002,0.047798375816737466,0.03184258469712496,0.03326739391733891,-0.02494188793640051,0.040838428905843036,0.10546272736107179,0.020878242222961432,-0.009001422964565629,0.1121379660962383,0.1398726015542656,0.014488821000028107,0.022624837522194106,0.04150500046666061,0.08762675863409579,0.015362492589696325,0.07505400777068803,0.040637628095661384,0.03501083032853326,-0.0044865096491114274,-0.02411041954940887,0.15504868345664796,0.12615429059600627,0.0616843113319201,0.0421351576435711,0.0022284234336042994,0.009476090148723897,0.0924559858335187,0.02654289790662022,0.1866916226573051,0.038589988035529786,0.03797132593774833,0.08083520769079253,0.12313812387947531,-0.0010603392611699192,-0.0033797971450418847,0.02543286814368394,0.10451811142284245,0.016822743632808806,0.014867563779188155,0.10607103185148305,-0.0016414823826734178,-0.029264572876502387,0.03143760249656485
Gross Margin %.1,0.059869416048942976,0.03059375645291327,0.06450189954776511,0.08258257739648914,0.09103937123392568,0.06069111531367923,0.08699355491117476,-0.010500621115396028,0.06114823133675348,0.0932515587111859,0.09141472038703549,-0.011090211841790553,0.0029582525352215556,0.006952476509572387,-0.016365018060838787,0.1215015956274061,0.09261594524950817,0.005147496509277443,-0.024383364249576482,0.004235744335717152,0.10040267553488316,0.016826934969938524,0.034413315302881727,0.04488689680934543,0.010094756051667191,0.0911422207129017,0.0674233225902777,0.07732232658852202,0.010742678013750317,-0.012131621903429002,0.026108927301253554,0.010045702145072057,0.03697291610144631,0.1253908623420267,-0.0029629134479608643,0.028214261609264255,0.12659340388609258,-0.04046908954712258,-0.045926970397165846,-0.07224070247914599,-0.06847074712125228,-0.004135661508994632,0.1039912876586133,0.10588888119363687,0.11045040311571333,0.1104998635419183,0.120034173533142,0.07555338919386836,0.11981463360845183,0.011885419648180079,-0.006360089861870998,-0.023751845651163225,-0.0517468261557399,0.1141397274333033,0.11468658578226375,0.07137511167781241,0.07285161749007478,0.03149129550358916,0.08711335366722722,-0.03300129044113546,0.1083326074497105,0.14081793953267557,0.024224584770701968,0.021575003803632312,0.007428943975385998,0.008954989435199318,-0.013431713343508938,-0.049708184856057464,0.08830156544058632,0.07437193963571609,-0.056533167149996656,-0.004258027883599006,-0.014558526538908838,0.043593151703028174
"Selling, General, & Admin. Expense",0.04362493058094919,0.028845156258666946,0.06484099287248495,0.017698053475508596,0.021223774078163078,0.029343644701845757,0.02789993092576809,0.005530387407916356,0.048756739969891605,0.050109223995492946,0.0401526212192593,0.003812319497491071,0.0028972686857020166,0.009816919572970047,0.0338043570174135,0.03801549691559125,0.04051939378767865,-0.0006342408704046679,0.023086016802258053,0.0028566134463361504,0.036352320622761405,0.16693978770349613,0.09812671851099597,0.13199924708861896,0.012933025649899774,0.1807592618697767,0.1461063384666974,0.0335568342646075,0.007908291491298238,0.034421894905423724,0.08410327416795042,0.04722306159809637,0.03979823048510265,0.04967144649985089,-0.01771755403060362,0.016733333185680405,0.031278194200529824,0.11611073378002651,0.11631982991144041,0.19720886910373694,0.12853348811576407,-0.007842939634520497,0.03720041370625269,0.02027792414669391,0.07890270337113284,0.027458887125027875,0.06427027930252643,0.012277778647694786,0.04325222305452914,-0.002825434222400514,-0.004394054714499658,0.14029526555528885,0.14071545214913656,0.021567363627538062,0.02392429626999467,0.015345442052163052,0.01269847783315962,0.1863405122791875,0.015958508454581275,0.1666474028245122,0.018380242215058913,0.01967311837170576,0.15218835151212076,0.1381289166554993,0.005781463470861312,0.01616557065099681,0.04212414238237146,0.1267318128177167,0.03303704691325159,0.038944504134891145,0.12466612588418613,-0.007651821771055504,0.0012580318806091678,0.02929317221852686
Research & Development,-0.03804483400053088,-0.05598729383931104,-0.025797592358725436,-0.03108913748619779,0.018719141864235192,0.040764850023342555,0.04321551114722253,0.015187594662070243,0.04469319931650923,0.08698494614095989,0.04181939089028211,-0.005789897627887278,7.968345286864698e-05,-0.003465649006011313,0.027457448321505335,0.06688812805916614,0.02271180750629346,-0.021201498198159724,0.015780825815440193,-0.005789897627887278,0.07429103966873694,-0.03880291802261774,-0.028627520986082414,-0.033848887635106815,-0.015571164519000296,-0.034456829356606405,-0.06155052294585048,-0.059592193950924854,-0.021160989175897395,-0.027999865468868762,-0.07006303811429923,0.07842398181417849,-0.02481165131856487,0.07911023055975268,-0.03224437207216955,-0.055936548469913354,-0.03749000782669889,-0.04458289728064776,-0.05602193070924488,-0.009670660454723087,0.0012986848504879028,-0.02714174166200651,0.018586597412304742,0.0410560747897541,0.07818920658227516,0.08185523429527497,0.13055309004841986,0.03102629349296704,0.1531642846218253,-0.020234499055253555,-0.017103352983835612,-0.021860047584634307,-0.053446072848259654,-0.04421638329269978,-0.02930383559464006,-0.04326991025597547,0.040888124392705345,-0.030975913514267383,0.06347147598795011,0.018494349396297956,0.008428106623207872,0.01861861709740302,-0.028589476889544232,-0.05070350750445563,-0.012635277918822704,0.002326915021786824,-0.04143624744842446,-0.0565565339894075,-0.04987733038907231,0.024248629401147158,-0.049010701970332166,0.008339662359406967,0.0011572560644606967,-0.04182447270703126
Other Operating Expense,0.0633673642657997,0.04145085580365321,0.12243745230665733,-0.012095422594391983,-0.01616567229438305,-0.011339580422766806,-0.010282849554373509,0.002992847328935197,0.010132398047073946,0.015268077195911622,0.014682334243575651,0.008431170584561245,-0.015056940489126484,-0.007070109755259339,0.04788833409961737,0.011875305626184815,0.012060589637652377,0.01593262229745907,0.06919707615235428,0.01662377229923282,0.06993549700803471,0.23345977099594145,0.13623763001102823,0.16505880759070227,0.004153403630399292,0.18965048660168946,0.19510634009666938,0.10536618344413574,0.0030016142502160784,0.04219790933740766,0.1721035303046565,0.037738814646526016,0.06810559501089078,0.020574845245693772,-0.002015894595868742,0.11217366267872544,0.23493970274423615,0.17960797605271414,0.15816071168428442,0.11910410382404579,0.14102393382467138,-0.006637069147396363,-0.005554432618245526,-0.010550089494466706,0.014214554963808348,0.013100063720226006,0.03658698993592687,-0.006423671000376149,0.02771473371265226,0.0325125676461342,0.020942464401281655,0.14802222780589547,0.14375609770302863,0.0245939785425452,0.024366792319087748,0.0819065621814569,0.049479483240364226,0.14943253148550906,0.046996869839696545,0.16774379342318887,0.008247048488571388,0.02805732534705945,0.12273527282212403,0.12138037064240197,-0.007413398358168241,0.004254552807010316,0.07506432861945048,0.12413743942587557,0.0041861410179756635,0.055557919551514214,0.14752483612986267,0.045390958877755336,0.0028082180825515744,-0.007651454242326479
Total Operating Expense,0.0713182543757549,0.05542582035649615,0.1460973028048048,0.03429775112992548,0.05108513525086776,0.025398212112133785,0.02997628188131715,0.01016916563491337,0.04430392151073818,0.03366309524008417,0.02040147530767946,0.012277247795962825,0.007017830878337187,0.009354178359844884,0.01835130015420488,0.02544925883677999,0.020648071895358798,0.012355481695217272,-0.005199511002367027,0.011174865797404692,0.048879593214276214,0.24425075982063685,0.09908306907416443,0.13176768504138484,0.009762862399249655,0.16494264267561484,0.14074194550271577,0.028863060859940608,0.011352021784615043,-0.0005083459713681356,0.08873802258245908,0.03796005648085341,0.09270876134503706,0.0442067912737235,0.009945416544467095,0.03144606684776001,0.10262336310143028,0.12309244671207101,0.10370368038576859,0.1458877070313387,0.1614525992767977,0.04576413187717299,0.028150985607724423,0.028893935878021356,0.0020010327214455997,0.011140896217848514,0.00334772003616398,0.03188059887979959,0.05385356182027157,0.06975332878331565,0.010628053295947633,0.17029073946424794,0.16284848902649202,0.042019425804578875,0.03992048076235371,0.02011779157095199,0.006777342127415368,0.19968764324775376,0.029813437529534696,0.20106988629419809,0.01750047375021719,0.029023774228165655,0.16097165864831064,0.15941606616534382,0.007862926223715394,0.023687130062099233,0.025360018560125652,0.127074447695364,0.029779757992562154,0.013089995156284133,0.15713801365444863,0.00037728869418325703,0.027508346939122706,0.03166985871632065
Operating Income,0.1623023998970676,0.14283006907908138,0.2379401422492703,0.1379195819439204,0.03148449995834778,0.03165775410114691,0.03214634579833157,-0.008962663960851824,0.12308540346145298,0.1268051191277048,0.04992044370317541,0.019578030585379408,-0.015947262438814714,-0.02503338251198433,0.1313006965555698,0.049537852231168966,0.025718035237379585,-0.031052213076255247,0.014417653754934753,0.07143432152732572,0.03872310026281226,0.2608822376210798,0.04672770254707537,0.07795277464685162,-0.005553495452593802,0.13138574739474124,0.11895029936889358,0.04269819500903322,-0.0097665417879725,0.045764479876961285,0.004299920675493398,0.04515488620379885,0.1609593269458039,0.03904203781514565,-0.011916588351216395,0.035715828374376965,0.13911563715257982,0.13195308420096752,0.13172732747151955,0.1181163774563065,0.16307615199364717,0.0017292716590066363,0.03209067188245352,0.048017757932303014,0.0858054333978009,0.009209253924065856,0.04583825432207775,0.05221269781383382,0.033781868317100415,0.05397213269544623,-0.019519679331894135,0.2551974832294003,0.24621111923933076,0.030214526774168735,0.042365452157036076,0.003641245491967683,0.025870381307862723,0.11864761237048736,0.02125532578450441,0.1841864145727239,0.01746178665088361,0.02668415144819824,0.11260674806721939,0.10137944387369974,-0.003513838415210895,0.0014271314553359828,0.06936915104109574,0.13942268242692163,0.07408868092553372,0.03283962250574517,0.15005685219874182,-0.002661181866863923,-0.0017506097296652913,0.04081329829681439
Operating Margin %.1,0.12424863961167129,0.11252356159010948,0.1279754008567309,0.08276730971031812,0.09168110869174147,0.10251492931990405,0.10384333051863952,0.01275677297593227,0.09387261945042868,0.13020711408960997,0.09529910960200721,0.007621027756503044,-0.002065051286394471,-0.0019285610957872601,-0.014397553386958768,0.07572858531108792,0.056615089933543444,-0.003193117030355205,-0.03618987413524271,0.014172489423074459,0.10825547737552868,0.07107947776328927,0.06806093435760306,0.004986371769977165,0.010289347837773005,0.0819979077335098,0.09367768921060832,0.09299246330862283,0.012014908112309573,-0.007310047720087161,0.07064349260495048,0.021437376625200406,0.07885433568428007,0.13058592408975767,-0.005177245250217606,0.06789598151584862,0.19580847458056969,0.05253770989335057,0.0445546741076357,-0.05665816720776708,-0.012100819747587763,0.0023910383653544297,0.10166076941244356,0.10373859008951548,0.10271680176244471,0.10741058306385699,0.11347499700514072,0.0922655277209999,0.1375388579670852,0.036498278084808086,0.0007094775694720573,-0.009218917156773546,-0.011331095088079474,0.12839314657430423,0.13624462231549456,0.0723849584983541,0.09154255610372196,0.07963961924841896,0.07640044789626238,-0.007768975992524532,0.1339352840272201,0.13229744986146538,0.033940885631870414,0.026735943333531187,0.013195935303510539,0.047653950531067475,0.011857624217066773,-0.03826684049581987,0.09143183727955015,0.07076802059708544,-0.027679446563493505,0.012993540949501257,0.007879177286160065,0.08776029938392849
  Interest Income,0.056462775636307416,0.03224071518175277,0.0588756787404213,0.16482515523494526,0.0474913939105578,0.09664615894675836,0.1195614088973377,-0.016154468298883555,0.3486034214963634,0.19755217206191739,0.0558737176141421,0.4262898433965352,0.04241139249580579,0.0339803708972313,0.10095868282031899,0.04738073865502769,0.07053420654074173,-0.005959570470914476,-0.026853712895371994,0.06398411503332053,0.052322679660467934,0.031531422891221086,0.1439639065870964,0.10365149103446542,-0.01795140702259658,0.0809403611132796,0.14619804516726728,0.04913494564543321,0.0016400283160448467,-0.011884719952219177,0.07876195728707082,0.03081197069256568,0.018002027677003866,0.18290168001662088,0.06639834806744697,0.17456121518789483,0.15367378392338168,0.20420137137835057,0.12574036778532063,-0.060862978641088,-0.032925120973268815,-0.0013057007204969905,0.07105276510576607,0.0753510436307813,0.0827833450901083,0.08221323858184747,0.07659592268805238,0.1000996889801517,0.0852618384424519,0.06076698487947285,-0.005175149076229439,0.012406043210382828,-0.06169628464625608,0.16460510206006265,0.23017978586893048,0.12321513136805884,0.14065985915126206,0.05102951058761158,0.06943754429099441,0.044469589960563424,0.07756371993835075,0.07605633234732515,0.07895287672536751,0.054826550562389574,-0.013060237490806589,0.06897081079102066,0.06664893205947862,-0.04573133135836788,0.07161749559888067,0.024380902808270294,-0.04891487732487901,-0.002892391542915005,-0.008706104456842296,0.04938961279224414
  Interest Expense,0.01872732670901065,0.021970109786574984,0.014589122658931879,0.04224318991311019,0.014318740505427988,0.002481061805286377,0.008904385585270728,0.02445318011103404,0.1935986171443433,0.054339860456402156,0.02680966311019976,0.05351396046134478,0.024117833402161802,0.026876494311436527,0.12175932723070806,0.04704555686805101,0.017927914021637462,0.014250796223716704,0.025931520108626007,0.09050997762913035,0.04606068604495279,0.18386470489588988,0.037618823703598064,0.05733347074941611,0.019969421397439263,0.31605991314068754,0.12403855060614381,0.018401996540333556,0.017513563081148587,0.09289724189125317,0.05520043450694513,0.06748204828030382,0.03827958141696405,0.13366479470052578,0.1208438315626744,0.039827079909355155,0.06590971155849662,0.030751508816082424,0.03120059522420541,0.14292327000894134,0.18613841035700796,0.03587497675933755,0.022193888351373165,0.0305088843169769,0.051183628635894596,0.04596433044913066,0.02962377602328665,0.11043514084639391,0.05447234961488638,0.028667986464195935,0.03652585758347786,0.1620916096320369,0.13325510968283633,0.09094206064026819,0.15658030961773894,0.0770073653357817,0.10691364704737052,0.2650191966720751,0.12222837892757075,0.27064827526700186,0.03549026278716473,0.03935949039363259,0.3126394651086361,0.1811127413276084,0.02956617752656705,0.051913637402347335,0.09554398082008116,0.17121361637430588,0.03220267880249876,0.04562939191701535,0.1470229580533888,0.0266245667226753,0.02014005024014901,0.029996269259466794
Net Interest Income,0.10313580238843197,0.11011680104092057,0.04216155922072272,0.12183662655225379,0.0294865149548393,0.016056149138879358,0.05579198505575121,0.019373536325541438,0.313825636656648,0.21928162826459463,0.028322054170099566,0.10422007989223386,0.07650196754839372,0.0669928075092401,0.15910743012107595,0.11163533429628815,0.09192471028757987,0.08791063632000405,0.07672898069325841,0.0968407373779644,0.04678120952856127,0.2128250338763225,0.23645879052910312,0.17661134329281336,0.01976631197160457,0.3242449434468421,0.11917814598963762,0.038484911078024944,0.012085099586785546,0.07878623485810948,0.17800458882638645,0.051901075529919016,0.03558148590509223,0.14500016486407985,0.13366995775925364,0.22097754175043338,0.07018538039016729,0.2697855765589348,0.2073971132309961,0.1669227035064471,0.17690519217618084,0.01727088674079547,0.05319463262604578,0.06292579256344025,0.03833643221036653,0.05290712969576996,0.14294364696676948,0.04340078024246321,0.0789924614518808,0.10484562851740184,0.02990287900585923,0.23632689262482348,0.1598457277495272,0.1569724898117454,0.07730501342893392,0.10425947605178516,0.1367558174437508,0.2944458017753547,0.13684600434965852,0.2105454068485048,0.04582986895046085,0.05773252493462162,0.31336806924087834,0.24690511082418828,0.02003646049043221,0.08181753740206928,0.137072602909898,0.1776283274415331,0.04996469061661049,0.07010385518195614,0.17701639099383915,0.030883737453551344,0.02155075844641536,0.007619375540095813
