,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Net Investment Income,Dividend and Investment Income,"Income from Associates, JointVentures and Other Participating Interests",Shareof Profit and Interest from Joint Venture,Income from Other Participating Interests,Gain/Loss on Foreign Currency Exchange,Irregular Income/Expense,Fixed Asset Disposals,Impairment/Write Off/Write Down of Capital Assets,Goodwill Impairment/Write Off,Other Irregular Income/Expense,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Earnings from Equity Interest,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Preferred/Other Stock Distribution,Other Distributions,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Reported Normalized Operating Profit,Reported Normalized EBITDA,Reported Operating Expense,Discontinued Operations,Basic EPS,Basic EPS from Continuing Operations,Basic EPS from Discontinued Operations,Diluted EPS,Diluted EPS from Continuing Operations,Diluted EPS from Discontinued Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Basic EPS,Total Dividend Per Share,Regular Dividend Per Share Calc,Reported Normalized Diluted EPS,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
COGS-to-Revenue,0.01061867431983347,0.11395373787249662,0.04832960602882567,0.0731412964164578,-0.07399672328158073,-0.004441561541262209,0.017571405358561564,0.01839786254614452,-0.012262969112561355,0.017918700906463338,0.01856216959090778,0.0050124898372366595,0.0434145514974231,0.0041183555966484205,0.04073233786615471,0.02778993735155714,0.01068021788794309,0.01842192856934326,0.04216894084551987,-0.029642476980762833,0.014361325344582695,-0.025526875904929126,-0.026513440875364284,0.017096356138532304,0.031050178348550058,-0.025190886114472115,0.028829086441637262,0.04385473795574907,0.019545676449921737,0.026825354980315474,0.012023569057187712,0.02267676230966413,0.00902220170303622,0.02819826184632085,0.02065448823612198,0.03982982953007971,0.0022998052217417866,0.038670151252792356,0.044539104821292155,0.030104638330448016,0.016534894834656037,0.01522219058212622,0.03641565826475254,0.02704580264795794,0.04834615340384901,0.02936653258264785,0.049638507374974127,0.04188773860167702,0.034918686149397304,0.04596415031823489,0.03767107673885388,0.05161399905256746,0.008904818989734848,0.024930368657100098,0.06778746237568088,0.042962116506309725,0.05891016965043447,0.03012413884706877,0.038021380984405675,0.036019995752909664,0.007234387838749819
Inventory-to-Revenue,0.06532177095489064,0.1441864316062146,0.12705279993245322,0.33677477211029455,0.15924478136569642,0.11149725043947023,0.1025452106060789,0.15699968804023795,0.11724354231608299,0.15256338669433311,0.10750159720798674,0.09223323439351873,0.0971880722090403,0.1436344459323409,0.11710763424319456,0.09571594669980801,0.14472838696663964,0.047364851093250615,0.11476457846349056,0.12548394084897235,0.06339196184649203,0.04351641867097545,0.06438726600734572,0.14402346565511842,0.18802693670540538,0.056826413297365735,0.11121389722542371,0.08415637276510689,0.12234375544442655,0.12767999307605812,0.1077017184217966,0.08128134868846276,0.07104353456144981,0.12266211999671138,0.06708558274558826,0.09646682894017049,0.11388860645922114,0.14868654513764867,0.14793204243337849,0.0943855408910718,0.11115083538497508,0.15896387582954394,0.11644479561674648,0.15433941436006132,0.10666880985402148,0.07416821438717577,0.12727643271879177,0.10502820387437804,0.08200998117622746,0.1250316998074665,0.10640879631715419,0.08740460928581255,0.06426046274966957,0.09614848324159743,0.10038518433431569,0.10321744060081199,0.1107396968122854,0.07663212083109593,0.08214721173449634,0.07672882928902655,0.03395969811421131
Capex-to-Revenue,0.05664541867856907,0.09296324197477064,0.09648758530811394,0.25751167385141915,0.09076642471831409,0.061077012543494874,-0.015737133102325614,0.03337822641769041,0.06451753421241838,0.10016116712199716,0.06048654767205155,0.06199990236494213,0.05373273515794699,0.045750992699888915,0.05831350334052447,0.0503277229341004,0.07048421505393408,0.030140357368982466,0.06267268611710236,0.07511095884650709,0.05396606624101193,0.004822574899750753,0.017482261601482304,0.09064749288551896,0.14194527713070773,0.10572461987686851,0.0862017646099802,0.04386673800580578,0.09842306327846093,0.048526945161575866,0.023294170674251442,0.031448247997025634,0.01680980635013718,0.030142484538126003,0.033102607457363493,0.09533899572446644,0.06969691683776595,0.0822215600497949,0.05752383912303212,0.028466171460741787,0.06414727403335378,0.03251240543976964,0.062265939129450325,0.03819507450432717,0.05309686778677145,0.04583789540603872,0.064831946401472,0.046846328685638414,0.049016802891369886,0.061020099851910696,0.046723011149926316,0.06560268333949013,0.019099425723267408,0.05369595194479991,0.047533041554959674,0.062038443384875255,0.06886173465509907,0.04641803371410455,0.0496233087806407,0.05058296992072617,0.01361945526533181
Capex-to-Operating-Income,0.028521885002892385,0.044596002667898274,0.036796995490168724,0.15317641633033188,0.07702521444823443,0.0693774598971367,0.0043100983970992615,0.18738668004519213,0.12925557558715325,0.18030892839556592,0.18354665776870724,0.15112914290218582,0.13092350167488073,0.10436505074546436,0.11464249016286714,0.10667649696688106,0.018113832196711074,0.0701820026980625,0.035946930170500754,0.14294453305308957,0.014400875602876818,0.006962665885296886,0.034746458814865086,0.1319606535395404,0.14246629482585293,0.1128018459128554,0.04306170305377035,0.10289092151176951,0.09378838192017228,0.09691097920843046,0.02275426990787701,0.05541789058313706,0.06053267817988343,0.04951885261261818,0.027315067858827907,0.049043121383061425,0.09922618931910449,0.05262565247739257,0.07343734637333865,0.1040009335863221,0.024634870488822392,0.12173405205124994,0.016369164009977576,0.126714793886035,0.0639081668793713,0.005237384966935278,0.07274693172576908,0.0670399229364888,0.006244574386211908,0.07064946956547913,0.05974207253883729,0.02752966321665456,0.07145537900712093,0.0289106257257806,0.054784114546830256,0.038989274242373445,0.008167567132957946,0.0058945727904388835,0.006244574386211908,0.007964352406286776,0.01685596075638859
Capex-to-Operating-Cash-Flow,-0.021729972306532182,-0.019429570451374986,-0.02214016429119973,0.0882944481214111,0.09922234077443809,0.03126695762450258,0.009249110039295053,0.0873234526938684,0.07012188553027356,0.05574683420349275,0.0469294552666307,0.057968985295108154,0.01766585918115333,0.01811330715603019,0.018781333762108447,0.017403084016209117,0.028213451398095207,0.031232494570803154,0.038097084247837434,0.04173993901227545,0.012334046155854017,-0.007133079053504065,0.005221212968800341,0.010871114193063611,0.06585867843466295,0.029041425347782476,-0.0005079505027474969,0.021760441327998318,0.027476230274400916,0.026410452775963836,-0.008520118293206265,0.04044804051320064,-0.019392908851323585,0.016905268406225936,0.015447038494605637,0.006191746756305533,0.03245496055340725,-0.004060874617357231,0.07680109873971708,0.032108402483069426,0.037411645980605944,0.08362801268085555,0.0020126259583003983,0.05043856357824875,0.04841246210893239,-0.016929329008276872,0.07063853435428978,0.04649715459340901,-0.0164044096594241,0.07005060475412182,0.031084730829909413,0.0016762413446657905,-0.015462692113403174,0.019199451057281276,0.05087345060060569,0.036222148203644444,0.002395615945782792,-0.01767347582378003,-0.017972598598363254,-0.01361619436021798,-0.046367778043985085
Revenue,0.0317689380218059,0.8726358989133178,0.6096466432252539,0.6543409805008992,0.019721738192245326,0.0604181577571506,0.036230946970456125,-0.012115649436156749,0.02222132026608733,0.061562370339223675,0.10110226917818756,0.003140316335603124,0.07283760266184408,-0.016968891693498283,0.026589288504039587,-0.03366567360514331,-0.007256534964367881,0.01832593663012146,0.01477652640877219,0.07918394245954725,-0.0008355954397292317,-0.02463327586838441,-0.03541511850492571,0.04237063686462468,0.05427313199143516,0.09093635819015118,0.012479573794261371,0.02225668858635193,0.028341070714248864,-0.02561705364029412,-0.03335687750339252,0.012808780997963403,0.007715721603240317,-0.03942017723968675,-0.03973494451376373,0.02108958620470329,0.010706519682139998,0.5951327687195769,-0.040705075041499277,0.10583853001569894,0.05786238809982204,-0.0018048015135724653,-0.000186202594958048,0.045098249322261336,-0.009881184110047965,-0.03806155507033793,-0.04051951486053387,-0.0075396558980527235,-0.03714694288608972,-0.03845303725222928,-0.007224888623975745,-0.03554732171318315,0.008956276050850764,0.03125458838897447,0.030299687921496295,0.028144503635060863,0.029524130430031624,-0.038372053680008844,-0.034691583649141544,-0.039442446286218596,0.01286080724573621
Cost of Goods Sold,0.02602058245426784,-0.020412412226578292,-0.006438486877737905,0.1214782539775989,0.2739679819027772,-0.015455252816610043,0.054595658102688106,0.03309535934151793,-0.0016252947034331707,0.03432604376219812,0.03819537391789033,0.06335354605563052,0.03786254978158766,0.002430740555250727,0.025410190328841287,-0.012395952598312318,0.014006334545244314,-0.0016852785296554364,0.023058029319115485,0.017428514233252593,0.010013443893428606,-0.015004504959816267,-0.012186631396484146,-0.010735469811930048,0.012031221160445214,0.030290156517050977,-0.01045753956394202,0.02224114287857426,-0.022894857360601848,-0.022927102748485605,-0.008738967245875518,0.0395996373312373,0.025876526872797543,-0.003319060725113126,-0.004049451913101405,-0.002179402334007022,-0.020095231150969346,-0.0090410413499773,-0.025567769237538802,0.027276413869183554,0.002233474689497768,0.03662197916750607,-0.03455157034411108,-0.011396863382386746,-0.026601410877642142,-0.03473237401483019,-0.04707198296871927,-0.02693440657800722,-0.03502748262826283,-0.04578741352196988,-0.025436146832830072,-0.02581954535034931,0.03991395439181701,0.0032835308112175656,0.040650253084906086,0.043673914486393794,-0.005575288484599191,-0.032454924373120066,-0.03113581678114237,-0.04693677505846575,-0.02519892578928655
Gross Profit,0.9198596626617251,0.02419901456261005,0.04023242558563961,0.1013714522741369,0.024554814759019217,0.035077449177307554,0.042835203762984386,0.26125322117702754,0.048298581456021734,0.07453191166712501,0.05381235734408084,0.08344953773410523,0.06985216375162559,0.03159115542133473,0.05442635092193553,0.05157201201663568,0.10864413261730856,0.0483465232996077,0.03506960907318456,0.08686330939063566,0.015540130665406276,-0.003929355008534929,-0.0261968759498817,0.024148869283487067,0.05745416682260501,0.09646488119266404,0.004154604829361385,0.07514678858814913,0.03736768897202891,0.03736768897202891,0.04479734712719622,0.016413997728290594,0.008777329927206994,0.04670117593656555,0.04878262491949274,0.021053556812291624,0.01682545103434717,0.03767421490767765,0.04904512198015405,0.04589042367523492,0.010227202800930455,0.10718929802229162,0.008623146914574909,0.03139316461850437,-0.011645326094236482,-0.01691531502433567,-0.007250379568329728,0.002317402314119473,-0.004224133745250084,-0.010896357666615203,0.002812905254290275,-0.027451955478687794,0.007920322531229613,0.02460988559603185,0.08833999096765248,0.010533231918123404,0.016054639348552176,-0.006251957890871426,-0.007471870788820223,-0.006701317333356398,0.042066212522028565
Gross Margin %.1,0.10508380349689156,-0.02789501229331353,-0.0024305440550515646,0.10329283956087233,0.09872196554382068,-0.014140568811720579,-0.029189536513432736,0.05937457095201105,-0.019515759357055427,0.0027240648503474895,0.030125017068432926,0.001844469293194298,0.0035783663310820324,0.03947808584964781,0.03096091504375029,0.03349249515174376,0.06869611053246975,0.006287271472059054,0.027341106147358293,0.03461442214122665,0.031309115231523056,0.016149877992809758,-0.0026655873040433795,-0.005316864253301979,0.03474401965666931,0.03763754913700024,0.04223113779384173,0.0182636349909353,0.02030764894985397,0.02010384246459704,0.014542843726522646,0.012159198701008442,0.011513483836423621,0.030268221057984428,0.025410193394016754,-0.00838503065434169,-0.012002471967139789,-0.02986357521368393,0.05033696154427279,0.024459177032955817,0.05112927054673862,0.10865771917412244,0.07510207999813333,0.002170548092845394,0.009118694320454045,0.037522451327322216,0.052971910469678446,0.007918233741086118,0.03578154040192068,0.049708336697840035,0.006105948849922174,0.0473382391652624,0.03468825888682908,0.0391962969450445,0.00817164644683264,0.02247228793234118,0.02756477267192738,0.05709470738609639,0.05304179865200922,0.037815845087866624,0.007338380618398582
"Selling, General, & Admin. Expense",0.048277572500162624,0.03313395692198895,0.0326502400461622,0.0566063928033829,0.08621552077324014,0.08231183424127086,0.5035627221976425,0.13549288698903672,0.11187726605313171,0.1733666746641736,0.10398425352016843,0.07791176985260903,-0.0044715456771227844,0.016185708865432632,0.0048759272326383465,-0.005059408384507307,0.014264695954074157,-0.0024388224146257827,0.02857384634300311,0.07608000489917517,0.004685183759361362,0.015067528454535727,-0.008868044839356357,0.06074191018078317,0.12372949310182584,0.026279971835523174,-0.011637183846031015,0.0056084894441953415,0.012584636704578244,-0.004376050684708385,0.009044656979235335,0.048733363348377044,0.028141039744202824,-0.0059431280816941955,-0.007962656525595201,0.004929769987573736,0.07653169814742021,0.051336935894527765,0.03345077796523063,0.047246602672132924,0.015416203521165734,0.05218982013091601,0.00533320983329483,0.06638686632207545,0.00026553903972383964,-0.00144909169629152,0.02542442316492296,0.005404690230442542,0.00029170386108841925,0.024150897170924574,0.005214373401195004,0.030291711855499066,0.06005863827459652,0.03757827711705038,0.020879155013984293,0.022415117960394002,0.005318309317061451,-0.002630326671897513,-0.0003366368622873851,-0.0010018271069825338,-0.04759632506828944
Research & Development,-0.004561734166464575,-0.03458725572913171,-0.018284227709630577,0.03769568923460845,0.023182420141474168,-0.01737645340118487,-0.014090837443386524,-0.008673593898064432,-0.02993339878399855,-0.015128377728514783,0.003787414629053623,0.009889778807189786,-0.014891564848199881,0.024550557295461253,0.0074174572051171825,0.009738882687499893,0.010535931930922376,0.010560984513738051,-0.022132298872849343,-0.026597688390137916,-0.006083929362843817,-0.013112508877570817,-0.009005679713287858,-0.013034214787038936,0.005931664537998159,-0.02003164709328785,-0.038233275684858625,-0.025683793325946364,-0.01820086556428849,-0.027835914245323917,-0.021457227669999402,-0.016371291219191668,-0.0010456837058874019,-0.029273692690908557,-0.03508913825642128,-0.014598304325788954,0.004629565996424812,-0.03180044143080272,-0.007713294836430477,-0.033200323809130426,-0.018753124047418503,-0.03983744254443808,0.028999813987365786,0.0025340662259228236,-0.00433246956517131,0.007932697792290385,0.02272242059307099,-0.0005579125677238144,0.005673336024950252,0.022818986973522068,0.004475461082581766,-0.002709111222986874,-0.024003010422949944,-0.012895585755210891,-0.03390786344808678,-0.029578081435289068,0.0029718756552627413,0.00830828479605526,0.005444784002467403,-0.017167810049723314,-0.020496220968046486
Other Operating Expense,0.04131257743581158,0.06202351814595698,0.06198474334598984,0.043317496739233394,0.07266151818125169,0.24783309849210108,0.1699681985774002,0.16325205722631542,0.07764528488259406,0.16613815011190416,0.1594879228229514,0.06876346658667568,-0.004301829335179968,-0.0015909206860689948,0.0012983718047515505,0.018971179365491146,0.004350849266160695,0.04526492524323483,0.03538908359120615,0.14265879340962465,0.027259814358640767,0.008757829118526551,-0.009610915483002844,0.12409988348180047,0.3066541274428002,0.03432575813986942,-0.009152254125517423,0.011279500038680213,0.08559416664166924,0.08730282214838739,-0.014809516663000384,0.06417477998052702,0.08397931051505236,0.0012752755034753207,-0.004685453420875303,-0.0006007593300178088,0.09785912088982758,0.008187735009054245,0.10484287766972483,0.035462351514393226,0.009977476433234354,0.07060356255864383,-0.026581737683845093,0.30211812377772923,0.037938434784570645,-0.019378457632997392,0.028311467259414063,0.03668824851307924,-0.013492301667217271,0.0333103982633906,0.04256219654496186,-0.004492070282644505,0.03830477539744628,0.03434406700616978,0.032568035840448366,0.02002484538295863,0.0028360592599182915,-0.013304462066715539,-0.003205313580126809,-0.01127385075400749,-0.06326972468658824
Total Operating Expense,0.048426869824721955,0.11786822268556567,0.07862634304632946,0.060172624892736386,0.09363125813367158,0.23801219428140466,0.09073679415903452,0.12690763758875315,0.20398315184273363,0.15763268265169678,0.15831214139338246,0.15480878451504804,0.0007581628494207088,0.0358754427384046,0.006416741571250901,0.029439141942825358,0.04271760979412062,0.028684150587207323,0.028326214741271415,0.17916004888452494,0.012292507591515518,0.033855833690627966,0.005375622202711325,0.10736764639385839,0.11727397636985938,0.07499608094631889,0.02312429935213806,0.01590726767868251,0.10632989484707987,0.10733286002122439,0.015826111346466245,0.052336082862324565,0.05228175548448157,0.02558658789064163,0.027335667507659044,0.02177687674839755,0.09943370568444816,0.10325399004398968,0.11861859299118191,0.0509717770093706,0.0598995699207289,0.1088986274754511,0.037077739378707425,0.522974584046189,0.052007194968652776,0.0002688405475364448,0.05349800311145971,0.05032331797441361,0.005395101508402923,0.05726920925710402,0.04927487026741669,0.016291617358193074,0.05133517280726656,0.03849807915591769,0.0628573028790613,0.02147201860163907,0.008499037443494744,0.004377054788015014,0.016832472954725945,-0.0005959794226215224,-0.01101979734414465
Operating Income,0.015734895668758984,0.017595924409238628,0.14862797150723175,0.10337019535803618,0.029540513113511593,0.9057031495227937,0.08041591330243379,0.14040382481854907,0.6873920213319425,0.1492774175568218,0.15170232007403844,0.08157760391181605,0.11195234164790509,0.10063557946172691,0.11740102552829011,0.09793579015089755,0.005529796026972296,0.08091421687103241,0.025990761177954423,0.1515526911387179,-0.008070604349462213,-0.01058708479583405,-0.01979303223625946,0.09119332380598151,0.08698715562255302,0.16351563771431382,0.0619427670038128,0.08165212116042454,0.06083455465211081,0.06083455465211081,0.09073362171076636,0.05142723490801837,0.04441883877260862,0.10267679984267493,0.09679708170984616,0.07265767023318964,0.4333822873164045,0.04982844383350933,0.06487887078102343,0.16705201438331763,0.040563897103806895,0.15021058609109258,-0.004869873238904697,0.06362365448647951,0.025199673906340366,-0.024940721712301175,0.033072354996199364,0.034734298455171043,-0.019124605561684674,0.033249723668082494,0.020069712784826138,-0.007942504601336761,0.0605606313593149,0.01960878581020546,0.04155069549821911,0.03211868390874619,0.013862440287743447,-0.020362206131658317,-0.01685102093335566,-0.023009371677785034,0.013253053224064344
Operating Margin %.1,0.0509527886292263,-0.03176385104741248,-0.02306536020205174,0.09682876489554866,0.09793663597766314,0.09502142357195997,0.008133153202602602,0.15392381777699815,0.11687477517839573,0.03859584985463461,0.046177910354071365,0.0402780974476072,0.007513423252946691,0.04894390818229593,0.014416123285315335,0.0621207743911171,0.07918355861184254,0.03311966323522505,0.029543789791762337,0.03959599883694224,-0.00011905993190846134,0.021130623897902056,-0.0008562591937679846,0.008385950475675554,0.0653446997856478,0.04406947184695264,0.051869449232683135,0.018287270123897515,0.05150828158673174,0.05177046883388262,0.04351150868749707,0.04572411616913678,0.045557256749544806,0.057202971549674825,0.041506089127872646,0.01124662415092631,0.09333087188195853,-0.02647755351197171,0.15363802006006264,0.04294555462710536,0.07870762586449134,0.1484479491206981,0.07868899790676077,0.0853979094767356,0.041081684303743,0.026731407086710606,0.08462421838992581,0.035570490470496145,0.027998984828809925,0.08513627280231018,0.034927864814018696,0.045590299731491285,0.042922949404340244,0.03634788046066716,0.024284651671684126,0.019379866889447137,0.029348540894523246,0.04754796821510869,0.040729147999112904,0.029190817336622793,0.009913751806160446
  Interest Income,0.030180365063103787,0.03806671554002626,0.036190035251069466,0.06987351567871046,0.06670122021025869,0.06806851656825855,-0.026956405321341283,0.05349257389160048,0.10822506959233433,0.1574083040126458,0.77859896323401,0.1536473289508309,0.9563492163872139,0.0782339957416156,0.10852250543326669,0.09128748924893237,0.053672211985361123,0.07931394167702437,0.03397555186829184,0.09227862844936656,0.014024098240683834,-0.004640334033313108,0.02406407837305759,0.09653268893831887,0.13529907072248631,0.1169732205745943,0.09921513421033648,0.10953520414816603,0.07913252749601932,0.03685069640730351,0.09890776980834012,0.05831539685446879,0.05567822570368537,0.09561921960695859,0.09478024202726541,0.07101617181318029,0.06268210072073925,-0.010610735714701707,-0.002345197024847516,0.16876637186194826,0.08342537324637155,0.05604321034966994,0.00978871718631177,-0.0036572176780147528,-0.01956511428070452,-0.014620468768405444,0.001248312118060221,-0.010299530609386742,-0.006828123365228126,-0.01687717067425537,-0.028401554339177952,-0.0014992637713608587,0.06593782293314812,0.04727401078007347,0.0942078904606783,0.037777500548159204,0.014188890310789539,-0.014311480502828435,-0.007833824693701117,-0.03919587286152506,-0.01510182409035634
  Interest Expense,0.005134234292040188,0.009418562116124685,0.016023030316461212,0.09868723720589656,0.09654558370352362,0.1186196518021865,0.1002520068241825,0.07488670434909867,0.1393430645072937,0.18157753593016301,0.36415411090107697,0.5602325875887126,0.28753105313888516,0.06476836094331968,0.03666129490770863,0.047252916071912336,0.059691684542296446,0.11126129223881023,0.07655356747644057,0.13800296047537564,0.040412068586469486,0.04822282007944683,0.044865568155843735,0.12351371651479515,0.16106134382079815,0.05300977172157912,0.015034406667478233,0.1500175274806964,0.022055619535910377,0.026656142600988322,0.047219479530132634,0.08681896638253059,0.07309385826266632,0.027344919123076888,0.027792680327611414,0.024426533520429394,0.1053893463106112,0.0032946968407709418,0.023076516400175176,0.0717072785999381,0.11436073540082699,0.08251478347720895,0.018744249692576646,0.11366762195790357,0.021329638398916453,0.021836078790775915,0.027046715741663684,0.026038989846203533,0.02653702910787685,0.0213512874085271,0.024045016200819,0.0377976113976463,0.0898890280004414,0.08641954623986726,0.052358474494187165,0.04876182874865943,0.031748087456358876,0.021028873717784315,0.025765421718631523,-0.00567633275189859,-0.008203345445086094
Net Interest Income,0.05971486103718843,0.09150856366790863,0.09005208501318356,0.042225454763308835,0.04326181752835876,0.1323061997097344,0.014952678064088558,0.060669362796076105,0.1363503284599002,0.37297084111476014,1.0286175672638764,0.17119559844573218,0.8967732933919307,0.25674392738746976,0.12399473362374835,0.0698923560803119,0.061739871410973535,0.11595269988710054,0.05679291272444933,0.15863981030102106,0.06392483646089012,0.03936655679491862,0.04729526418419413,0.15715858151580575,0.16922474367425222,0.15857114602596906,0.12435054400413403,0.1294433317773551,0.10970696839683851,0.10544964772965437,0.09431652843152916,0.06254482754175378,0.07638632017442319,0.12279650640605326,0.12703742551527294,0.10287462386321815,0.09984139816683928,0.08645369156962147,0.015108642994224233,0.1917090206370391,0.09456726009420151,0.06018979433708295,0.025241863599358476,0.024161510949547438,-1.0986733392028252e-05,-0.00811259634160126,-0.002492630989477632,-0.004380541906140785,-0.009130271416186716,-0.003777179073494886,-0.004074553582468837,0.018778527866048146,0.09149839871071158,0.06305741555673758,0.06585143570895868,0.03402310428794539,0.01190834652271055,-0.009927687037783899,-0.0076704559167436025,-0.006741181693081112,-0.0030914618868571877
Other Income (Expense),0.05257681550049477,0.06943876216726717,0.07492617768744864,0.06027936102330533,0.06455409672600752,0.1756946364099445,0.0963628485722215,0.03523178224582744,0.2691555645508771,0.13722165155735963,0.1426569562822308,0.08932391326888929,0.10758407460135595,0.12835031276574413,0.12002353190502339,0.11793454559191019,0.027400661994557863,0.07218856533560132,0.03265350323950572,0.2987881205461176,0.022316522272314867,0.00563714881114841,0.038220126079545974,0.525674539581635,0.35614163093506335,0.14397599613169576,0.11346676379656494,0.01408809801290299,0.09500401363983396,0.0979372614435268,0.09629025544587731,0.06456434033770012,0.0822862911314558,0.044068792536070454,0.024364501220784585,0.08915526390559193,0.08157904350574031,0.07016211038750239,0.006147248184908819,0.16591829914787812,0.019260112288686126,0.03145705566040733,0.006053897174708648,0.10050562340115277,0.002761192633524946,-0.009062792307925416,0.011070456373097698,0.0036561079549923135,-0.006815823798402679,0.009254496905907099,0.004023109702767664,0.026271193720702277,0.022662569900071504,0.038047361395372736,0.03302069468894327,0.025225982180363194,0.004754623633416701,-0.00685680957971836,-0.005837081238936391,-0.011239239533247203,-0.034334043553612484
Pre-Tax Income,0.014355516602140312,0.056816536932551794,-0.019047096398975234,0.023561403657463228,0.03529152683239224,0.04151852029569873,-0.017242513394274607,0.03888824217559473,0.11557406756096834,0.14007484570857082,0.13873987204457944,0.04056941873501242,0.10418004463928549,0.11413954007416477,0.11518581356608672,0.01738124507485727,0.027567448431436506,0.07077775982878058,0.021081956786767542,0.15612867276845463,-0.001784895609564722,-0.00733850805345352,-0.029978570511298867,0.08558701032036652,0.06314045400608116,0.5786374137173917,0.1809506793363326,0.010395963348104366,0.07716802383466334,0.024217693426986053,0.08539073764614492,0.051427284652316024,0.013474407505029488,0.10232866760466333,0.09080242873688281,0.056192093271854024,0.04932444011805791,0.06678416828930256,-0.009652603850461575,0.1499577422331313,0.11458785275315982,0.03774672575690761,-0.007457520064659736,-0.004463350729305321,-0.009049006764860111,-0.01937577358949654,-0.018198148370604142,-0.0006215854827698762,-0.03928712462595259,-0.03417435096750653,-0.026403780175981544,-0.013120380194201954,0.01499304960213885,0.03335255797934576,0.02068806669619135,0.026846974626155002,0.004035987921919217,-0.014245138504153865,-0.03830751101874668,-0.02596554041185649,-0.03310012166416753
Tax Provision,0.059667451827230905,0.004409109809436112,0.01771568144413797,0.028415332133622545,0.04819699610039025,0.0007098095674281167,0.005445795753660186,0.09562704423595209,0.05262058755735025,0.08037947706069579,0.029814581176646062,0.03137340400106376,0.05010674073461661,0.016371339449009384,0.04549921491297559,0.004109406194289299,0.024511105019781983,-0.009507486255994187,0.036341088874725994,0.11961024272718715,0.0277404689539347,0.010140096115846861,-0.0019691967295328142,0.05122138784476709,0.023876256224903854,0.17440250333997886,0.5804885968051391,0.04756592877340506,0.01301360243488984,0.011872846664961806,0.053860877214730346,0.09463981393831822,0.08826149035607374,-0.0017991809022989333,-0.007735298591645207,0.06798046417096847,-0.0036487839527961697,-0.004496638047504303,0.015088847428602652,0.0438897396682881,0.07847443849354815,0.09660651717602074,-0.013495917302832465,0.0053351307884489906,-0.003806901009140203,0.01686287485430484,-0.017625705987616095,-0.01243182806053693,0.005459666061685992,-0.015679188073077433,-0.00907524332409832,-0.0006792113491657802,0.03752999639998782,0.040322558214620274,0.06761641323579966,0.05744878948744493,0.006356101348094671,0.016715089571836185,-0.007970910246697285,-0.013861011399771932,-0.004353803358087602
Tax Rate %,0.0033395965849921747,0.04829555838619499,-0.021541567424714164,0.17342190564261312,0.0837004288056492,-0.018339562373573103,-0.015942681548159986,0.04932819264910746,0.011271795694147078,0.04083803072065118,0.1261788154393301,0.0928853259558458,0.0808618284109825,-0.0017706452126171899,0.01906623612231152,0.009350604371815268,0.010852289668310332,0.0037981840151897106,0.028493133524215435,0.025088090134271962,0.009254116697219893,-0.006922531489985911,0.023224662179640948,-0.009010691253550234,0.04799811323913779,0.13057191039066976,0.04225847484138171,0.03907472156955461,0.0062760670514332775,0.011995785920120688,-0.009951127224346807,0.011181222263289005,0.016550500875109717,0.0014717219478357453,-0.008539415543282842,0.005509275446444965,-0.005575915246739425,0.05462562790456872,0.027880899026036424,0.04333554677986604,0.32489702302143353,0.05440010299056641,0.018610197926508063,0.0116896091156748,-0.01762303783388538,0.011976607579713427,-0.0038098453651073767,-0.01953310320421521,0.02948272753843018,0.012881447380009691,-0.017721812745818636,0.020875969409378286,0.04451847240461068,0.050797424271469445,0.021839278746039713,0.035711619883972645,0.03136573391889712,0.010664484363783708,0.03207959918137979,-0.005060833921236074,-0.008146851111279527
