,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,"Dpreciation & Amortization, Cost of Revenue",Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Stock-Based Compensation,General and Administrative Expenses,"Legal, Accounting, Auditing and Consulting Fee",Other Professional Accounting and Consulting Fees,Telecommunication Expense,Insurance and Claims,Exploration Expenses,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,"Other Income/Expense, Non-Operating",Irregular Income/Expense,Impairment/Write Off/Write Down of Capital Assets,Write Off/Write Down of Other Assets,Other Irregular Income/Expense,Pretax Income,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
"Selling, General, & Admin. Expense",0.05592531977257616,0.05861239446464019,0.06205740221103532,0.055850111563439324,0.09996533352317094,0.09515175010439711,0.5310625912321386,0.06919998800758165,0.04689516247207321,0.279598656666997,0.09003847651700038,0.057929264421375526,0.10848227753854865,-0.009770512832797545,0.09876871996776862,0.07234085480856683,0.16735915083079894,0.10561219061809995,0.048510279701678136,0.05742908388979081,0.017063990699219083,0.12431397598397745,0.0629204143048395,0.027033328430153058,0.0061181719454268275,0.048368895684723794,-0.0034870162861639397,0.018545521406340956,0.001469572557747139,0.015558563471746476,-0.007404030153077239,-0.008969600748553106,0.004929769987573736,0.07653169814742021,0.05944605600485862,0.06638686632207545,0.009664583268323628,0.15719042855215926,0.18985806476631054,0.16471587828759893,0.1903067839815566,0.01843941909194711,0.015585163872046481,0.03405934282069237,0.16348170265873482,0.009441822486503208,-0.006977710062413007
Research & Development,0.012265582898795282,-0.022583656474492564,-0.00016820640665748607,0.028874985005611344,0.027636180918607835,0.0068076657041183895,-0.004810712811727947,0.0046206034521580385,-0.0047346322691248265,-0.008214017344256688,-0.0010372418872204737,0.004153213997019992,0.004951079904635527,-0.028315405903261988,-0.008629987919191142,-0.003242694240024711,0.005651445246889078,-0.0016364477813701945,0.008540925431186105,0.02779295221195806,0.01732981333740769,0.0028357622444483517,0.0033899829564809697,0.007631065024534511,-0.015800367175219855,0.0026884930016919284,-0.02111008438500924,0.0015802686764773647,-0.00805478000455806,0.000764916369494671,-0.01636719068270729,-0.02257014391906299,-0.014598304325788954,0.004629565996424812,-0.0035962844871704532,0.0025340662259228236,-0.01990848499425586,-0.03528968893332545,-0.03298289146189074,-0.04463492356234651,-0.031625623898376115,-0.009878004931135217,-0.009472262183682061,-0.008283624792642339,-0.044260718929200735,-0.017404226094178386,0.0001184702862225117
Other Operating Expense,0.06341441034186135,0.07708966999280734,0.07639703481191376,0.05062931150283213,0.08449843425117556,0.2432509998677127,0.17403199561500812,0.02949546837423412,0.018815279897210522,0.17332919790909126,0.08004036287692932,0.08666401652130605,0.09743078139946601,0.0005213922450622056,0.12219151596475868,0.10460734460487567,0.14097413216561164,0.1326056832582752,0.12799779801084477,0.04420190629405405,0.05128160832598265,0.29510986898705516,0.14077358528353612,0.03582615974881415,0.028251084942796243,0.0942841702306195,0.0016279134316571457,0.09313100050577616,0.09483965601249432,-0.007420028142508358,0.0011586741392149314,-0.006096974815734931,-0.0006007593300178088,0.09785912088982758,0.008988725563871341,0.30211812377772923,0.10194138603268657,0.17506389466537428,0.23991991208389155,0.17955700639140873,0.24207364077531837,-0.0027950430122230677,-0.0035694038144761533,0.018292820961918872,0.18785263711955044,-0.005715729918070377,-0.036792630981539606
Total Operating Expense,0.07407077724569716,0.11637571921721429,0.07800627066149118,0.0683145579589567,0.10744194967979821,0.23810761787072215,0.08812401290741463,0.08071255903137431,0.09054000787178544,0.08477690862433998,0.08834177900086448,0.09752066647379617,0.11441279462110257,0.009464031313669338,0.1116126648777008,0.08174965220288105,0.2404972881739132,0.11162928725193459,0.11322725485311927,0.14546723020525495,0.025130283963602833,0.1151337466002669,0.14202178332944965,0.046635458188032386,0.010240712813289855,0.10632635522882333,0.011556716008684007,0.10266525924189085,0.10426857525497366,0.00913230570890275,0.011417867249855133,0.012164139536457227,0.02177687674839755,0.09943370568444816,0.08639665407778138,0.522974584046189,0.09710559479497331,0.13773212590315478,0.20128931063820402,0.14085576726360707,0.20141581844444467,0.05230002671100975,0.050748624807044715,0.02251416933098703,0.14874206846614366,0.048793066399992056,0.04383147045429406
Operating Income,0.020480445267174532,0.04658148194063678,0.19707359043347586,0.07589808658949301,0.07800114542139051,0.9345297796332511,0.08576773238774718,0.014856918134375752,0.04501538064135197,0.09471160904614365,0.08492883734547828,0.08978731312367351,0.019583004481950595,0.00734913914354495,0.01279180320028478,0.08823383323779736,0.7460078317529419,0.07206367885278601,0.07583140640510568,0.035337193376885234,0.12786789965380518,0.07968985783355734,0.11632782470089921,0.014854177559964,-0.012327794504322994,0.07672959818669643,0.11730436627815037,0.06746924158575449,0.06746924158575449,0.09501151510399077,0.09932765629632374,0.09638141075359175,0.07265767023318964,0.4333822873164045,0.02404645735339232,0.06362365448647951,0.05246112461302615,0.1353021697307577,0.19553688948731776,0.14546708896892355,0.19631277936884184,0.041869202359662946,0.044648772015166344,0.030317374263011298,0.14688862961997032,0.01637254634034959,0.030032160511090273
Operating Margin %.1,0.10128222927354417,-0.0020588772190582804,0.009018814894371027,0.057675788819552834,0.07963340977995881,0.13827589886533292,0.05901082409533575,0.03101897449384823,0.07253277409947306,0.05646607392097702,0.04059624167302787,0.03981425731468308,0.038081742069792,0.0337352368357618,0.05334190399614313,0.13379086693839523,0.14563157776076524,0.02378193834283952,0.026567636907686647,0.06676537962750095,0.03135325713224331,0.0511472468391193,0.040820077433215245,0.03224764964680532,0.015325498893667173,0.0167528978911998,0.030827751058439264,0.03424779557500366,0.034509982822154533,0.026844211709988852,0.03156004003384145,0.014407488312942033,0.01124662415092631,0.09333087188195853,-0.006186869288260578,0.0853979094767356,0.10650050085793235,0.027876037308417433,0.1233394000183198,0.027626840584463686,0.11171506816477778,0.011039322074964716,0.01017246796219682,0.005921141304238953,0.05860955800184229,-0.004539948492809655,-0.008502301302666737
  Interest Income,0.06178747048906958,0.09625943694565073,0.10110854346257002,0.032929625411594964,0.0835949677371455,0.08902585059558382,-0.01712343164709275,0.0023103166684006774,-0.004198233788132971,-0.011150132017627538,0.05012029469788715,0.05495808315501171,-0.0010988541180771351,-0.0028585555000714613,-0.014717585491879955,-0.0063051917525835536,0.164491568735995,0.07247409874039994,0.6454181214601793,0.10385790115502891,0.9650246382037265,0.11779414874659432,0.11299980980101902,0.046152352549725946,-0.0002808526235923319,0.07867938579436107,0.0834350317090665,0.07068348146971265,0.02921267787462886,0.09134593293513203,0.07993626890455466,0.0790972913248615,0.07101617181318029,0.06268210072073925,0.001518675299031538,-0.0036572176780147528,-0.004244971161450098,-0.006829491033977375,0.0017942100027401684,-0.005555938679482557,-0.015137738864773514,0.011297527382734675,0.016242676428111853,-0.025983512718833656,-0.006536472950112544,-0.023142067004934076,-0.009160440319423572
  Interest Expense,0.02648045606152369,0.048563627747048595,0.055631693293399544,0.11455967852577986,0.1075200992669059,0.12623423707576523,0.10989715061423001,0.12061272664455516,0.06358747712687508,0.12532511901158713,0.08195798258491335,0.08030110086784345,0.13142567322395574,0.011811058601584119,0.12790064634336878,0.017775885088289017,0.18907721794707044,0.11282323180435981,0.26412042659575574,0.4939697303183259,0.2947240597835883,0.1519310498364183,0.1402312163680643,0.06945028392345108,0.029570262547134425,0.10698219517715958,0.010647868302109507,0.02026181649871568,0.026541370311710822,0.04565399705686954,0.020791106076349642,0.021443455586597354,0.024426533520429394,0.1053893463106112,0.01933289830778788,0.11366762195790357,0.02445318011103404,0.22308068963608155,0.219046619955837,0.2550554280131189,0.21926349571806703,0.0335145549409642,0.04211152223122727,0.08657799763837357,0.25428382062387356,-0.0023602043274351067,0.014860854241116786
Net Interest Income,0.0783477035955842,0.10403071366216259,0.1059648911000072,0.04176881909760365,0.10790973432164658,0.12714844249701887,0.018820294424497293,0.018024081865374145,0.023300120587655234,0.016864000997638177,0.03321523828293308,0.09236112607044072,0.03287955555274773,0.02503931097897953,0.050644824472130215,0.00965698117646271,0.1937825128449391,0.2997978077987465,0.9539103514178536,0.10782263053432907,0.9417747331965737,0.16110884771454856,0.15178200539403175,0.060651104209864776,0.029021493336229144,0.11835744664217293,0.1251410727767979,0.11527423299113528,0.11101691232395115,0.09963176628354505,0.12049864272312225,0.12490836953152425,0.10287462386321815,0.09984139816683928,0.08381170815911927,0.024161510949547438,0.015739208912913766,0.2142178256153486,0.2118319772896043,0.20910256071235334,0.21331145167328563,0.016966451204972935,0.027827979743575773,0.026792554087634465,0.21388741171959508,-0.004508755489615521,-0.011215663924859254
Other Income (Expense),0.08150012487447063,0.08434014344785858,0.08981229913985679,0.08688675325301086,0.10152811040734977,0.16089974106400184,0.09553801852119882,0.06510010126852676,0.03152214675732088,0.10166430599549456,0.08020538871384103,0.09014407448588789,0.11946820038273724,0.004717690554337605,0.12170295773214196,0.0023954084737770874,0.33666748427763427,0.08873592172337905,0.09114387413188377,0.0759530195550665,0.14275562548396795,0.3470260434015865,0.30254098729104445,0.03637882659333813,0.029570861710752832,0.5075071713345385,0.11293599420061659,0.09894177908943298,0.1018750268931258,0.10046939679543315,0.040864820478476845,0.020638988882532888,0.08915526390559193,0.08157904350574031,0.06020973111915031,0.10050562340115277,-0.0004944615783644588,0.13418179832467367,0.14649757946696088,0.13481928555497277,0.14426594550978614,0.049308856475942534,0.04579118245607221,0.025665363609497303,0.13564736809620728,0.01756963674781907,0.01756963674781907
Pre-Tax Income,0.024183034244548977,0.09067176509302377,0.022150476308099607,-0.0003455487557811896,0.07802149986108946,0.05977196961296467,-0.01631012473465008,0.03554431432844769,0.026435144206475976,-0.004917111074979486,-0.012395472911020862,-0.011775746777062597,0.009068452545427572,0.008206040910481646,-0.02580273192353233,0.0055815851507376975,0.12772191734632982,0.08609171672228483,0.08436786288206927,0.005240970484649283,0.11897536085862434,0.052437719897656124,0.13204024003893133,0.02456032965277019,-0.015658350979576796,0.08465912354640218,0.5269217870139398,0.07929264389623514,0.022698609798072727,0.0917925993366345,0.09814174041252721,0.08962382070654712,0.056192093271854024,0.04932444011805791,0.047237954713024645,-0.004463350729305321,-0.0010817259097186335,0.13378038680353344,0.1466331748022967,0.12781406514145624,0.13670817188946688,0.03889594175515506,0.03419669257324605,0.03285268546503082,0.1285069113507817,0.010653264112231641,0.008863175752775999
Tax Provision,0.07625068023485239,0.048359372342341944,0.061240841657858126,0.015785438449184723,0.04216255554997542,0.005936956403682994,0.01719911593314955,0.05914171379586253,0.05394711435715572,0.015429326977161279,0.05778375729776001,0.016003132337671783,0.028357694207565454,0.007463320615981034,0.020601484158009394,0.04352705057676557,0.07424148099210269,0.0104730064989631,-0.015926930198459567,0.006924435291747618,0.055393125041207504,0.01941654528516871,0.08578075948105483,0.022133729250977556,-0.001246300608795411,0.038900180653020464,0.12889674669557036,0.016259277791310128,0.014913933715668903,0.057819432099261284,-0.0048290820817435565,-0.011027445731730754,0.06798046417096847,-0.0036487839527961697,-0.007027545090366388,0.0053351307884489906,0.02336863311017636,0.18452880605320907,0.1631197897306617,0.1765858949680129,0.16494512379003265,0.058936716080333656,0.05337017739024149,0.06632816146168029,0.1670797293180897,0.03740720879829647,0.03313624934543379
