,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses","Other Income/Expense, Operating","Other Income, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Gross Interest,Interest Capitalized,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Irregular Income/Expense,Impairment/Write Off/Write Down of Capital Assets,Gain/Loss on Extinguishment of Debt,Restructuring and Reorganization Income/Expense,Fixed Asset Disposals,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Other Adjustments to Net Income Available to Common Stockholders,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Reported Normalized EBITDA,"Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental","Depreciation, Supplemental","Amortization, Supplemental",Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Diluted EPS,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
0,-0.12787157325393353,-0.006379307970738522,-0.013480478886580716,-0.008865951613050005,-0.008759110656478043,-0.01277601576620735,-0.012683593812678796,-0.03726222479594557,-0.03871158879613835,-0.13669371024688787,-0.12152672207522323,-0.10983511052733758,-0.1290983403452464,-0.10131161015726264,-0.1157349290999161,-0.03498532966219751,-0.05256829038478085,-0.049268157343149065,-0.049268157343149065,-0.118292109575427,-0.053966066508437334,-0.11911488108387873,-0.0862819851346738,-0.053966066508437334,-0.09803789328423115,-0.05068057580675392,-0.08914392468106405,-0.05060911299577897,-0.05060911299577897,-0.08388060360321058,-0.04550830399746856,-0.07579164736543921,-0.04250598824625607,-0.04043278278705614,-0.03632956511325777,-0.036165222862455104,-0.013332516671692,-0.1368030032320876,-0.1593550163953365,-0.05079508477518698,-0.12011207320275895,-0.03357952551686748,-0.12093133955647198,-0.1386537396479729,-0.1325156696714707,-0.13284533611670182,-0.07923166862794769,-0.10718893580209836,-0.0744573990308072,-0.10081935319221245,-0.03651845793740068,-0.03640995605571229,0.006219345257169224,-0.07461874220456305,-0.074767126737563,-0.047050596429036015,-0.03708386940076161
Revenue per Share,0.029932260120029672,0.2857843603808459,0.24872761236868912,0.20728969314177245,0.07488481761124965,0.20013478112554225,0.18259096648698614,0.11149550054952938,0.11217780893609978,0.06458212200734499,0.05868551957359989,0.05589949336991809,0.06982456187824965,-0.01053378123428526,0.0443412836804357,0.05367364653163853,0.1045292982389833,0.10028413616691383,0.022051274736046317,0.03251000616547399,0.06536902878216319,0.009163633538421225,0.03844660456633726,0.04134162328097226,0.05113820457686403,0.024659179230217466,0.01862172125287239,0.02648350394128373,0.027246679972793012,0.05505291812521481,0.06963611601015089,0.10991356850556137,0.07561286611790702,0.06028390060811732,0.05780217783130816,0.1011292301357221,0.2441091901904582,0.07078615717990033,-0.0007306909180820522,0.07684276361146339,-0.017357721362924818,0.10562349693190318,-0.0003378792150508982,-0.004199961194989638,0.001369884304324765,-0.002569812725139619,0.01966933939758104,0.038322312687587755,0.02062995409440906,0.03747386985925212,0.026671718936655223,0.025740283823223326,0.032700341587794876,0.023904811772786798,0.01848689909206142,-0.004111876301594568,0.00266960057201573
EBITDA per Share,0.018793069424651893,0.03203815101495734,0.03684475463023036,0.06490440222802984,0.06315258321174927,0.17337929443052313,0.17296431550735542,0.0667160498839859,0.06178871103655846,0.04102802110498258,0.025572840724665504,0.013956881922736634,0.029091016548101825,0.012981167594797137,0.021650684246071618,0.056832043220154733,0.0545942988195724,0.05690210957304059,0.06485959061594496,0.01748015342959365,0.04775074121701141,0.02620766612114142,0.03737184760530022,0.034214564381845204,0.053493935046383986,0.07035324195652713,0.026954736468614498,0.053228648061351566,0.05514547568135903,0.0856883578382657,0.03255284955604802,0.07660149095547138,0.05437051493712056,0.041428828252113706,0.010615999227182283,0.015698627911639774,0.033678558647729326,0.030542876182809715,0.03652697187638331,0.04189080479206364,0.054421692671978654,0.013692907820655976,0.033799136760995385,0.038718069109348524,0.03706605866050798,0.03473355352652151,-0.007784043197717919,0.020315011292090047,-0.002865532420056628,0.021804021160062144,0.049920532301728826,0.06403377101484707,0.03972776941787872,-0.0014908707046023455,0.005157371044387555,0.02769497137613092,0.03330630925440718
EBIT per Share,0.02201166917525108,0.03054955277355505,0.0363610118041426,0.05399126898887276,0.05835629498121243,0.17736464997255394,0.18073588551494954,0.06687876646662429,0.06186841746296779,0.025932713061867098,0.026029532958092346,0.011090374338826519,0.033588195038288214,0.012739535044600646,0.026826495106367396,0.06087830893014386,0.05331581599813996,0.061689409953068985,0.07155381628532355,0.017067540091514746,0.04706271164851844,0.02814168752306179,0.03375932138069191,0.04824420028599307,0.05379444883362115,0.07217253693051207,0.025514332763744662,0.05409379526897537,0.05584592395833623,0.04955166786386577,0.034827338315238876,0.07082642133006009,0.05237892782014644,0.04170744455234382,0.02081855470464246,0.016291381136642337,0.02818046327510406,0.0283199760086634,0.03746787717334361,0.046050794501602724,0.04263900116832721,0.018482001193882616,0.037247209951830736,0.020460940174633277,0.036410692261370274,0.03486045189307575,0.0020299395494041902,0.018880198698285857,0.008231201866220025,0.03163109072533494,0.058540282442019136,0.06350501588647076,0.04835699942673759,0.00484917792586311,0.01729803209939218,0.032354866074086205,0.004224226253868786
Earnings per Share (Diluted),0.11383629032174881,0.10451405338627698,0.11917182054885388,0.157515739880944,0.1791997460473111,0.27017816674282946,0.17779769005591586,0.09784746564454688,0.11842598597354605,0.13179402634899018,0.13753260919841326,0.11327504726723235,0.12904488162196437,0.0665793526759446,0.08481375811707546,0.11691243387063036,0.16165936723401161,0.07656869529603114,0.0834315953456635,0.02582910524086132,0.11969124043912346,0.04075008222231865,0.07288511663957255,0.12786266983803551,0.08399682759841247,0.04211208963534958,0.07203490681350239,0.13175904772899963,0.1087997058965522,0.10020933993373629,0.1216413092623127,0.1087605465295067,0.0829958171979093,0.1944074418707437,0.11848011443988568,0.16651737446858839,0.12238313278036411,0.14358537094897464,0.061385083941505644,0.06967686290866598,0.06966389475822835,0.1663671662641479,0.028925308700032043,0.030559400851970012,0.04459730355166741,0.045119095917623926,0.07416685346503989,0.10666615279315463,0.14117021309166872,0.1386262583970713,0.15845858937911284,0.14878429846508537,0.1383806705519629,0.10005753947525722,0.1432275202234013,0.0006012031330288538,0.09346059169683692
EPS without NRI,0.055370763780012926,0.03383377943106557,0.032693243870326565,0.1461698307567879,0.14022342880740796,0.1069620117894104,0.09513205546795311,0.08796707773704164,0.07122422265336951,0.04239344930494787,0.02652100855375879,-0.00696978349726424,0.04248138511876124,0.027152201132262806,0.02322791553713406,0.0742095039678153,0.062346755269124726,0.015814593758149365,0.0498372986984695,-0.001946055333405008,0.10005078904190015,0.020037867452234015,0.03035582684061238,0.1152412679583038,0.08056570272185445,0.04947695422288479,0.03136157746215893,0.006580166800692977,-0.009390512236029634,0.06882417108093189,-0.003473993191619926,0.028571955553622394,-0.0022869465084238722,0.0007614897397070033,0.04741445202964575,0.06939169572577299,-0.00543874044660092,0.04136706468909893,0.059623258431115225,0.035241821276750795,0.0722426224995082,0.05942998716354311,0.00394156139926056,0.03803110196011113,0.051015596194406536,0.010213440715556042,0.11020791707715134,0.15893060025792047,0.18897658462956754,0.15721907195084608,0.0381225777393832,0.037855803933319,0.15694115397044728,0.165037631476995,0.21020782117282208,0.07239205971813542,0.05059478353781385
Owner Earnings per Share (TTM),0.08786620578256327,0.005336225498562591,0.03708287911662063,0.034246217554278285,0.08388156934854292,0.17327776328649902,0.10587484125641432,0.09366237529703915,0.0933443933573515,0.13978842496980834,0.08834990143459669,0.06513719979585819,0.06201804200124016,0.04189919128294942,0.06704107984200126,0.0979873450584068,0.09338121808403074,0.11484154560597497,0.11872095544104894,0.04747807572570419,0.09671115988013684,0.06969482748772877,0.04586608844617814,0.06840999546700227,0.09449600222017508,0.056341618990548556,0.0789635429952616,0.11465724030805952,0.1189890875578809,0.14429980193070216,0.0957071529352971,0.1916760008150046,0.15557151895149202,0.15005985155524665,0.05646328321413947,0.05342758866314196,0.05989013136665635,0.14353871091907816,0.08678584768892242,0.09601007792625058,0.045195550449047425,0.11384820713662465,0.09642242587735866,0.08833704383321016,0.08856528308289138,0.08758484239056667,0.03174508875386215,0.06730490978138952,0.015626214070044744,0.0687320167758526,0.17236585273461197,0.17368727016410818,0.04870985828662348,0.01214577087584549,0.028533501535501105,0.005556899748705664,0.012022634668217102
Free Cash Flow per Share,0.026499619203104143,0.014059411411276704,0.01554688887113059,0.02423006030293002,0.027435243890739612,0.17130472676830852,0.1761461210440102,0.05691618637272864,0.04045400666959681,0.029796155502294128,0.03706217929800245,-0.00409205788383687,0.010316425729091354,-0.0026641687180980725,0.018949158127333318,0.061380305334420564,0.03643768036325101,0.06420578182311891,0.07580717749443175,0.030587106217375103,0.043774066363413744,0.04071650794664236,0.03195430332748008,0.03480403102519549,0.039013381035561324,0.057310199355132437,0.027165617732333343,0.05347628187165954,0.060240397109536575,0.0756381482534714,0.047936606620912814,0.13869936877129396,0.12432252123967037,0.12455109645081987,0.010134691034469507,0.005663357478006661,0.01869225001579626,0.029227606434947796,0.049028705895651885,0.05693217137712172,-0.00456506558966592,0.007952868135101166,0.06017923682092151,0.05409055957163906,0.056905071433835115,0.05287504209724858,-0.014738802928691497,0.0179896537585237,-0.0017842201852265082,0.01841090110056552,0.08538362566116756,0.08334057195895131,0.004033269693507131,-0.01351255755328356,-0.0005684288323875735,0.012773639032811894,0.016868531432554484
Operating Cash Flow per Share,0.049633820597247476,0.07972549957618819,0.0955352320449905,0.12090920278294108,0.13173978540187947,0.3316467963399206,0.19079271719213747,0.15688395126090937,0.1569981159063448,0.11857546510659991,0.12199270552090291,0.0675356343350186,0.03510050035947895,0.014320954844352776,0.011673438393892557,0.05387561144362667,0.03160458312138305,0.06847453420260907,0.06151366502288358,0.012252948922038919,0.05147985363434408,0.044676659437706975,0.029958618520030504,0.04586335292328329,0.06490171299389833,0.04557902319876303,0.027966359501104328,0.1433022880513614,0.14256604382081545,0.08035702649710244,0.03453232621983659,0.1469248871715044,0.11790947436022897,0.1141103978674349,0.010591553417338345,0.09399781826990698,0.09449016069533957,0.11711298145791887,0.029972740846844478,0.04629253017124069,-0.005294201881875699,0.10648372277628373,0.05937658889561263,0.03881837684945729,0.04793076016013432,0.0366757055295677,-0.02329071607158164,0.04962228427990709,-0.007500249018086176,0.05221250011418732,0.08362718135339817,0.060093850497286015,-0.004004747762776766,-0.028071441550387044,-0.02101400882846618,0.008314984360332775,0.01957877178391506
Cash per Share,0.0867041440986566,0.06499268527671537,-0.007056011567796694,0.13399118281239267,0.11830959192507888,0.1469124758524527,0.11808414339676658,0.0544047600085373,0.056816748046454035,0.029267080691963474,0.026896006836771055,0.004393901202852794,0.027119598976351626,-0.0032403689968511142,-0.01520698889633795,0.050857588350316035,0.04833723916136346,0.04046284878254635,0.04764695657656042,-0.002735212862753782,0.06710354802989023,0.010906253735644252,0.029966887281344844,0.07425127181352842,0.04994757770158192,0.0581925934502821,0.016902002108548937,0.027707258724262013,0.0372635254071092,0.06618208240957175,0.028107571389256916,0.11822214591727193,0.09275962482395438,0.07613154948544056,0.038403090146634365,0.03786948577355904,-0.01489410705154923,0.015988202542885036,0.020983720842271056,0.03499041348247426,-0.014996318057320842,0.03488770795032323,0.003479288365162452,0.002123874580400616,0.01094264543264813,0.007079335660757796,0.04959012783663207,0.03646554951150671,0.041883115926475575,0.05965470510541577,0.07298564030759369,0.06292767272455582,0.04291304475279888,0.046972002697886726,0.043555626886125326,0.015760556331376976,0.0464684909849212
Dividends per Share,0.10803105049101429,0.11117218168274762,0.10903047510117268,0.10070817068437969,0.10898269438991222,0.16657707408505953,0.16695150394651553,0.06585121393121321,0.06057622864123733,0.06360307309613676,0.052705984172554905,0.03707174980744458,0.03835286371196258,0.03638910237355759,0.017880089072901506,0.08386207900331538,0.12634294881258956,0.06502517829499956,0.07167229575566436,0.03940347366870072,0.06983591972629795,0.05048445439368109,0.01791883406337731,0.0875590854475507,0.0762083068114448,0.043384379140961736,0.060491718245074017,0.02551785522054506,0.029167522942853994,0.09115769301972146,0.006892666722687349,0.06334168343664068,0.07401448411022873,0.0732122505285008,0.057804932311751274,0.03556481139209019,0.11142913223713771,0.06084900186757163,0.052644761791524206,0.05407592537956543,0.02605535581927781,0.06659466017361321,0.03511028834550835,0.022150167678216422,0.023965446448645487,0.018144731694782906,0.05208202381874353,0.06339921081658147,0.07107753410657987,0.09106378216158663,0.12053267666296058,0.11656388714411152,0.08791391682875338,0.0497434455265267,0.07655430361169724,-0.017074504216963073,0.051531786502087
Book Value per Share,0.0010029304083484661,-0.008527152766837982,-0.008527152766837982,0.0630150928367509,0.062807904059125,0.08422621038904646,0.08805459968480266,0.061265149502079265,0.05434203785834883,0.01987092410517742,0.015092713442387658,-0.0025376207573525166,0.010877554695440623,0.0005979788859270148,-0.021491615228056316,0.05699363051969028,0.04373496061112929,0.030468006066507968,0.037626520519476736,-0.006895744911398188,0.06881461801185572,0.010689772759553736,0.02325907358965422,0.06285428210964347,0.04430169189780006,0.015257035871526096,0.009525271356569297,0.017802219497962075,0.02149758667071012,0.04363239293339118,0.01641286534912336,0.05401515634972546,0.015321267096449317,0.015161619555777089,0.0646617239347336,0.06231672826713213,-0.009868074414977526,0.010257570015367014,0.01534595927755295,0.01589449154925851,-0.01033025094981006,0.06267153996374354,-0.0012147921693121768,-0.00473867661103951,0.003623347985947052,-0.0002993399758680843,0.015735427889741582,0.015768063332246347,0.013930242134317532,0.016840248843328083,0.03451421706482308,0.03344489533630614,0.015228208357158601,0.014972067064277825,0.01285562629395749,-0.021883103196774913,-0.00948607050621766
Tangible Book per Share,0.005498931664757371,-0.020811981952854535,-0.019707625361720837,0.06706700063890281,0.06746414721922021,0.10801851427017826,0.09371746169476776,0.05317070711337383,0.0631060025257739,0.02092001879443076,0.01048433236599524,0.00016758363268778564,0.014084678417433273,-0.004457448583129788,-0.01540749928260232,0.03483252234663374,0.02797054781581234,0.04762760313089206,0.05007429537865343,-0.0009647579570686623,0.05663091192696402,0.013126366147404298,0.0226373007344813,0.04613857177080001,0.047846705370211004,0.009751365568843443,0.0075428223316905746,0.034010415680303656,0.03506914087351738,0.055586806656707684,0.027665627914773776,0.06207106798402759,0.04164005105234289,0.03329239304703067,0.04668025973639569,0.0441693509184021,-0.02220584555785548,0.013246921233938943,-0.0003941215842803796,0.02942350980908651,-0.008833029121375114,0.050632683028317395,0.013383745248161485,0.0011046007014536676,0.0034055109718187032,0.006158109895118591,0.02425686790410513,0.00603105689576095,0.02435519860061182,0.008662655545992772,0.054566757269148544,0.05314596385008225,0.02725819748090491,0.025795200985613876,0.02335702396402504,-0.0014689938140677729,-0.008954498561519099
Total Debt per Share,0.0718804247158568,0.10205866254393509,-0.013287556584222433,0.08150187490326413,0.08530665384185959,0.0898814962266192,0.08168814789887023,0.08989270405076409,0.10057553099317912,0.08823436897211405,0.10763676240940293,0.07455562184233842,0.06984615770605608,0.06746475064107342,0.0557732010389577,0.06938938059489307,0.10691641234401958,0.09274669593714731,0.10145009321030446,-0.00034265922187365176,0.09841660808154173,0.07826615147334795,0.015422007333152864,0.10387720714250662,0.058274649845648625,0.013829137088192164,0.03325310333312503,0.013851594404471809,0.01733281548144132,0.03713589298867866,0.014552139200980883,0.037538723537785985,0.0420993133600751,0.041275329634091466,0.052558276568839095,0.036301446085004026,0.07838967635136294,0.05291425758661192,0.028691001222092095,0.020235448867232022,0.022505180704480147,0.05638866855937616,-0.0003436032349346408,0.004826808714849995,0.018216609211032422,0.01612507379954557,0.03856224586474489,0.04379638354448627,0.0236184037098177,0.048941093893790644,0.10209616735777931,0.10238847095158554,0.009257241380882653,0.03853437795776424,0.04075717169586359,-0.0001897374570609101,0.010711232642332978
Month End Stock Price,-0.020678393128036505,0.049336778531676576,0.04883368383008905,0.061878204386846956,0.11814231382955644,0.0653772400731228,0.07569271883518568,0.032802882079205155,0.03641354113631775,0.009009402697700364,-0.008900957346235625,-0.032207106536680706,-0.008616687734384093,-0.0328152214432596,-0.020982899895011807,0.01948740441676529,0.006485302771454167,0.028549661903459197,0.022214642277810944,0.0007833397100478878,0.045579345450099194,-0.007085992596949057,0.01943039585271768,0.046022530827660266,0.039113655247570905,0.011382067653862673,-0.010999328259850203,0.0164031403888493,0.017477622581783096,0.012054410880706424,0.01730775671648822,0.04299913636993896,0.01902846808953467,0.032084016332600725,0.02160071069768469,0.02030740866113928,0.04717662840740404,0.007275307625391951,0.016137400472037683,0.008900540372058164,-0.015100030422936414,0.024867490107166844,-0.0004225747445878855,-5.195629070681683e-05,0.003538123194598785,0.001577148453464284,0.0007610948032783804,0.039630852937419414,0.007675289745370254,0.03992007357998827,0.01797594339515178,-0.007610029170782695,0.032383904924184886,0.006498122835121096,0.008938854519194152,-0.02494250943312376,-0.012344716422269204
ROE %,0.014894181467828106,0.011979586429624758,0.005698376174809717,0.004452234814358161,0.003455571291012465,0.0075431517030282984,0.008371336192490164,0.02364435204257089,0.029380742582364398,-0.009545197545229454,-0.008771731420608605,-0.024400371383320962,-0.014847940038700845,-0.02474283754066277,-0.004227714932980482,0.0025940543422879225,-0.00019891926926483795,0.0003043707302468582,0.00910816387828833,-0.030313628458741183,0.05875707227452564,-0.028899564029191128,0.010871327112095227,0.06185479790044101,0.029277182160022577,-0.0005732790520861118,0.008787560866973415,-0.01457181053346104,-0.015565159509440214,0.012268621998400954,-0.011111583518661967,0.008777693142001875,-0.012916237680642054,-0.014530737019039841,0.020935272302343728,0.01219790598837089,0.00587097868418903,-0.011004298588026495,-0.0060791912627611395,-0.006799402154023599,-0.011084110673911577,0.01693526763153343,-0.028169413869199834,-0.026095031545667023,-0.02575889541892898,-0.030163391248931207,0.03257767964906716,0.04277817252182072,0.027815471476839052,0.042335313495712866,-0.009569052964708506,-0.01089732203797994,0.023133289881280914,0.025730657881497036,0.024347110043285637,-0.01156969345067303,-0.0002487497909329588
ROE % Adjusted to Book Value,-0.03702917066220014,0.06895459262577261,0.06688553239806608,0.04412327164628597,0.04497315572738692,0.06595806724585822,0.07498328955075488,0.00714408052608617,0.011180392008516712,0.008538744761714904,-0.0180376938490006,-0.014417467334215527,-0.025961893816769756,-0.016852437471644586,-0.029563913566944204,0.007747163987244961,-0.012937403786879667,0.021579111865951447,0.0249425866526382,-0.02804205295852889,0.04027759005431033,-0.0272616707881828,-0.0008884949125294991,0.04432693247089652,0.0064556769869651915,-0.0002650904302194828,-0.0011845311054646825,0.01409634598241889,0.013587639709016207,0.007276076002593956,0.016274723160301357,0.048659514038009735,0.020997057515115568,0.034236671581866995,0.021153542638370958,0.017208608102216697,0.06332726039247648,0.026024762510900756,0.0221452703810838,0.029674296452890027,-0.004737352738471777,0.0050454073504079995,-0.015016335255462355,5.97196465787278e-05,-0.004166475114319954,-0.0048267743385677145,-0.018838193440524877,-0.002996088168422371,0.0007506929767377795,0.034144923517223306,0.019296105171070565,0.019487239619429306,0.06411215843809527,-0.017835565746970296,0.010772331131412082,-0.0272764009593787,0.002945730962172143
ROA %,0.0422283148553858,0.09261709783138639,0.02761931586957337,0.020199112631342796,0.01950266674443312,0.014141605890903733,0.01924599348679379,-0.0039705479821997005,-0.003700393974770915,-0.015552106387278032,-0.04085343904992389,-0.043057740927470806,-0.04034189784356034,-0.042168444523331836,0.023441420615357634,-0.018526721638483158,-0.02584910753085178,-0.003801228755458234,-0.002536897772616662,-0.028526763268515054,0.019626182720148544,-0.034660776712573976,-0.014724693139185563,0.016961249206971715,0.013217720663138753,0.001743532901126177,0.00928909593063441,-0.006749845334810611,-0.004769309346303285,0.009576633547522643,-0.01556616571841734,0.011663885113198574,-0.009040894070787566,-0.005205372150107759,-0.009981653279056474,-0.014177757894975301,0.02250547548095017,-0.009462784669815816,-0.007937847965890622,-0.019284795489609638,-0.028073111915415613,-0.014842703535363048,-0.02490950593012543,-0.030273702126180687,-0.03386336454564722,-0.038105259523331526,-0.003018148036754234,0.025381683333799785,-0.011274961777755816,0.026790324252755366,-0.015395707594737074,-0.009519092919600295,0.004285316831851964,-0.007019381310038812,-0.012330811902923818,0.0020526009377980423,-0.0012613232737335475
Return-on-Tangible-Equity,-0.0069409392035885125,-0.02266751458652785,-0.0249455144068689,0.03473498059598421,0.046721808894995824,0.04704667889739639,0.04802381780024085,0.04923826525086405,0.05004929730263024,0.012686640663160567,0.02163250180258034,-0.013921074755153463,0.013787692037058957,-0.013573074936765635,-0.023120121422247807,0.03876937587635839,0.01553631260163078,0.012615044182693871,0.019387828904110983,-0.01247661649941664,0.05162693968620597,0.0040441890379987085,0.0380202268348559,0.048943097503677264,0.06336520007747562,0.009306322459059225,0.014511044888631128,-0.013679374886699777,-0.0030939001472789184,0.05109758977368358,0.0035173416847324775,0.03520628359320371,0.004630464557566339,0.000711999015111848,0.043755937801649734,0.038070001942047654,-0.019175188108326142,0.008611096757177349,0.014663472745260045,-0.0005589170466677573,0.011921968696317108,0.04440753373289898,-0.017727179180634246,-0.022840636378017733,-0.00625786063537786,-0.016647891335150603,0.036147809218290604,0.05328541565324433,0.022381651341014205,0.05400844990585565,0.005965955686512961,0.00797211006770411,0.003587377454549793,0.037191278303794484,0.036336001615653535,-0.013430373074015352,-0.017081392876348443
Return-on-Tangible-Asset,-0.015119589290303838,0.03242344800195817,0.03964821552500545,0.028224652965960155,0.05547397644280304,0.07016081066909811,0.07065387403682155,0.030214920520613215,0.03250755542676694,0.01195707501676289,-0.007821169676592014,-0.03329730149146455,-0.015753095963676536,-0.048839650067570954,-0.023693091619999072,0.011560855946976888,-0.00343656500445581,0.018441158370138735,0.019706690255877173,-0.0033117037900137827,0.11451219713441035,0.0556229935833586,0.01938015976487235,0.12714723174904058,0.049338997524520416,0.011495032079180269,0.011196062083854891,-0.004788633289004862,-0.0036027103911510754,0.02439030369703957,0.013857755958893141,0.028307377176718287,0.0071708788483831575,0.008751639065579584,0.022136620597451088,0.014728727641765742,0.03387484018806952,0.007795770064996063,0.01119661478489253,0.006045009540379392,-0.03742292437641062,0.019561419690595903,-0.02455851006323055,-0.020823858047019354,-0.00801921371988587,-0.019545184576874514,-0.024565205603235673,0.02888313486554852,-0.024492115540056182,0.011170550986068294,0.009679146692000916,0.015686941060617705,0.003673096015597603,-0.023245306030824683,-0.024492115540056182,-0.002989467243605294,0.004163674647720597
ROC (Joel Greenblatt) %,0.00868407902610537,0.013201871050899063,0.0171686475112287,0.11240725269634821,0.11162300061643733,0.11315645913055898,0.11707400989367578,0.03770703972828243,0.03706736922336781,0.015442743582109196,0.011406930966272613,-0.005449959739655995,0.012764021309162592,-0.009140074270017295,0.006936728747141215,0.06021847491821604,0.048769569382658105,0.006448141785257166,0.007891883758018237,-0.0043899817093004945,0.03462155730002117,-0.0059792728655448475,0.00746209083366905,0.026145550250970068,0.030738625961531534,-0.009353690616708453,0.0032558278457217567,-0.014367754392310405,-0.011649861362272793,0.06057164087005569,-0.011413838905507165,0.048620399641805666,-0.013796314106163315,-0.02312456933767314,0.02629935771294588,0.009668926097712784,0.017582577161463938,0.010327048863128066,0.01637133583330746,-0.009835548105659224,0.011603080186932964,0.023472330664994715,0.011639240970200096,0.01523734154989781,0.019232602615033803,0.015254971317594599,0.009705871468898227,0.005834588328485685,0.007930286056231486,0.005374331126023337,-0.0036114894815295023,-0.012385185320421216,-0.0012650128357916735,0.01216092850061741,0.008252436571497275,-0.01942580810687774,-0.021388703212515188
ROCE %,0.062143948735748376,0.044768619984484934,-0.03436504296572021,0.03720937266476889,0.04690681813513946,0.03841992643617301,0.03453625488556887,0.03508250544386013,0.04064344016345973,-0.022553261199557365,-0.027013403900570027,-0.023029276336996744,0.0019668741750675494,-0.025007557351707347,0.04678470774182566,0.013526521593124122,0.04020650285479131,0.009733446576929795,0.007955492561851275,-0.039681642412094854,0.061814704698747086,-0.03399954216653377,0.0018869298316356656,0.06017720952212947,0.015364821735833674,-0.00048347527709796233,0.005712989989534558,-0.017540213134220304,-0.01129733146708102,0.025700806471310865,-0.025386575981677758,0.016831675170859584,-0.008933382973999246,-0.014992756030400917,0.031748083355364984,0.023644771359765965,-0.018028612800794208,-0.019642795265519878,-0.0038126537389467524,0.0034010865038508606,-0.012610737877660653,0.02375772798547418,-0.02144777679253629,-0.026138011894415423,-0.031497080873296134,-0.03034983323680765,0.037379317824996296,0.030281171592701214,0.030021535552654653,0.029131214018486135,-0.016706436192812195,-0.01784965166483037,0.026761620269441958,0.03251010803407237,0.03163163187421217,-0.003797823642856025,-0.004148744855804068
ROIC %,0.007390343749936201,-0.0017424625850273765,0.0030547909795654218,0.010456165359532277,0.01875105692325581,0.024964159825297188,0.02449002480200606,0.0172572215883647,0.02371546594604148,-0.006438833155365606,-0.023974955435379336,-0.036987940544026286,-0.02325438279245551,-0.03671887045295271,-0.003325572799229853,-0.01490030749525369,-0.012612870983579164,-0.0009261889404955891,0.00433599531580518,-0.029509861740868178,0.05095984681103257,-0.03231465420401641,-0.003654198229287555,0.05136270436387867,0.020698071350012122,0.003023543709156781,0.012973963280073851,-0.008519511072097443,-0.009400905530787667,0.007138682994543578,-0.013224945013569859,0.0049160672277089555,-0.01172647040992723,-0.01255285547695659,-0.0031609827012760443,-0.00727113604432518,0.002424265398776727,-0.007637662263494481,-0.012419188466593685,-0.013029432424777342,-0.02023380012111313,-0.008405142782087807,-0.030467852395240726,-0.023256593137417226,-0.022102307140866105,-0.02799186040519766,0.05273730052011768,0.03828141462250301,0.025851026735397464,0.02578460495490307,0.0026821478625327373,-0.013106342004845183,0.021506841526518373,0.046446269542371556,0.014409313642407913,0.025449427484434756,0.0006885404134233291
WACC %,-0.0028286550950622864,0.024926403798126832,0.021941573712256936,-0.01456154037717532,-0.031113959661139043,-0.0019332425184398145,0.002541415792095909,-0.01597176979297231,-0.018561582459878344,-0.013817867109774971,-0.0014062996774044205,0.0011183939805665482,-0.001087692480153391,0.0015864767774557659,-0.051531622444480216,-0.015180075587051863,-0.019715438228124802,0.006316515697795049,0.0065473236124493454,-0.013918030146700809,-0.011715177362391579,-0.0055410017507893546,-0.03402647240580158,-0.005913581727336708,0.0027648213651073022,0.0014434476816866026,-0.02546488414399025,-0.009849744258926601,-0.013839657557679156,0.013224477923096377,-0.0019048419070761984,0.01515001114035702,-0.00468711236178227,-7.924641128472833e-05,-0.0035416816591331626,-0.0011351625646976189,0.02242521995135064,-0.013889625019344518,-0.0086943399263693,-0.0013436207527644847,-0.0025229722081773066,-0.0026786564992116665,-0.01930039484338162,-0.023400484915266254,-0.025869632890806977,-0.022999085133948587,0.00809817737254166,0.0061119535746989116,-0.003879326190396483,0.004176107044126449,-0.0032166816089460068,-0.0050990364653883975,0.018930554902416963,0.008216809318781425,-0.0037977118628524887,0.01261826799395213,0.01315976216182672
