,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses","Other Income/Expense, Operating","Other Income, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Gross Interest,Interest Capitalized,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Irregular Income/Expense,Impairment/Write Off/Write Down of Capital Assets,Gain/Loss on Extinguishment of Debt,Restructuring and Reorganization Income/Expense,Fixed Asset Disposals,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Other Adjustments to Net Income Available to Common Stockholders,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Reported Normalized EBITDA,"Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental","Depreciation, Supplemental","Amortization, Supplemental",Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Diluted EPS,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
Market Cap,-0.0022738931271653164,0.014946690200984217,0.014146944785565913,0.03266191179503589,0.025393770642464706,0.01698405318058356,0.010032189145228243,0.04900838614169194,0.05640930314367735,0.026349998576869142,-0.004075131980679492,0.009586621612115789,0.01111577932299906,-0.0023066533812222756,0.03961208475063808,0.10646537673379976,0.07553395508920119,0.005091574852891852,0.006320631917791539,0.032498158571578284,0.068449495291217,-0.014175668640351658,0.021140105303986124,0.06930686774773602,0.04785928836702837,0.018973239961092157,0.03131772336077002,0.01615531362832497,0.01539052292527958,0.0037863072119443887,0.013974219873463709,0.01645191974795692,0.014432315427195301,0.015737002224886002,0.021635931670521892,0.003439262639807462,0.010639083880860233,0.02449032077058675,0.030296058931107574,-0.003786998602127438,0.013747974654986275,0.00854655972992945,-0.001772640094663934,0.014304483310779811,0.01985390691481852,0.014846928942755109,0.032795300472169706,0.04601374170402336,0.03301917711452931,0.0408554720762676,-0.002169610139865425,0.0001833945351064841,0.06441242751703334,0.03943188776117934,0.040085364913282205,0.014491420290040996,0.0035498811433265303
Enterprise Value,0.11363144385104589,0.024864012009773614,0.0992971173682583,0.018895910734262646,0.026530970378419966,0.015248498345953179,0.01292691188608556,0.07883060854759058,0.054421492761315304,0.04289753967266186,0.04440666226193656,0.008906671633686868,0.07679560280600395,0.017942073820111013,0.05158200972096124,0.10518247742947039,0.09511689095951922,0.019323732396083943,0.015187638130420185,-0.005005596623756095,0.07719369767789852,-0.008857341014087104,0.025310684538491873,0.06630695667519887,0.07257984507957209,0.010311806736598646,0.0385712109999444,-0.005544373016938605,-0.0039699529698808255,0.04174824146033054,0.010138537577582436,0.032160160043643325,0.005544045148502875,0.007312038035117761,0.037121963069159505,0.039770367620862224,0.02566895226425482,0.013010964411111103,0.01691296713437005,-0.00039175740164394375,0.03138376427760902,0.03784584597306749,0.0064362383133555676,0.02429824753653958,0.03384969842014614,0.026853731625418594,0.045961935787905826,0.05144101225701511,0.06087162357606776,0.05300240572891072,0.005806886183720003,0.008371690711781034,0.0358338554229243,0.04592212270427495,0.05409163071019752,-0.005916990483375274,0.010483581036144943
Month End Stock Price.1,-0.009686615497773214,0.05275465580868306,0.05401637757676351,0.060223089760905756,0.11816280985100222,0.06583899437377772,0.06821386668302945,0.03208122417856827,0.0380940779040188,0.010997923404559296,-0.007915125202933361,-0.031951971844422916,-0.015443475315048864,-0.03214336067222059,-0.01691771619776296,0.01718344244093424,-0.0009455145908240485,0.03655506041299378,0.03487043368212285,0.0006629919275685427,0.03983408107074226,-0.005203222585650124,0.01968173641475092,0.046067703093139886,0.04577074553095324,0.01256881928934599,-0.004801800748882534,0.016859832622276142,0.01779442525749608,0.012054410880706424,0.016552743588057788,0.04799848245082268,0.026739037944759868,0.031048175125212914,0.023544628656890172,0.024146299418041525,0.05131033982871518,0.00647775249580684,0.015081491878084365,0.012328915694416987,-0.013589994692505521,0.024108990087015243,-0.0007824300671897232,-0.0005086485241336605,0.003983793576644202,0.0025466430836670103,-0.002023510743359466,0.03875828301969508,0.013428119292734703,0.04207124438491214,0.014842674467773955,0.011737738226000763,0.032330659453650705,0.004680238612628651,0.00944874679653872,-0.0015426738007025347,-0.015216511095621377
Net Cash per Share,0.12791278107301204,0.13957885314203872,0.07915423192841944,0.19054967567744324,0.19070867969259875,0.2675305983615892,0.18989475066746214,0.10171073528312274,0.11786017812116542,0.1387194809185563,0.13975193294927468,0.1300278297402701,0.15504986034119975,0.13543609522973782,0.10096148505649724,0.1470002720652482,0.101971103515703,0.0970200228780719,0.09052127035654375,0.03872311006501089,0.14467712161875998,0.05740205198621208,0.06963153981599626,0.13611983385729845,0.08788543453371485,0.06742797387817126,0.07705262453891569,0.09637659410235035,0.13157949487435297,0.08642668462560457,0.14487253082358012,0.12381838695388603,0.10872170903373136,0.1193510343028381,0.12476997791600974,0.07225049518857388,0.13286825176662684,0.13666557351263683,0.08006324627665386,0.07497965005576877,0.057234742076298646,0.12745479666159013,0.0351306644115229,0.06232207700663593,0.06327821945173907,0.06004727478229251,0.08940829491351075,0.07968026665919253,0.06874979612909636,0.08514282385827036,0.09234886587754788,0.09195497792931275,0.08226531805660749,0.08626783678452894,0.06751725517184923,0.07695864727895706,0.07813552594158936
Net Current Asset Value,0.009531551178707425,0.011610829802197827,0.00993125418346203,0.13380991522299876,0.13303781090483877,0.1334968350723169,0.1324118981433292,0.07251755959658981,0.060515305838535594,0.030606711355154737,0.03369098025829487,0.09645010238905075,0.11866824300754032,0.10138679605333073,0.029806673094549478,0.09399246135337828,0.06706333056695908,0.04380814104450087,0.04653749107229614,0.029770955775078205,0.11340737124445643,0.031039067927779513,0.04970473389810144,0.20103923783829247,0.06751713553529685,0.03528579737101921,0.024344063464552184,0.04760517097105373,0.04142206849227886,0.05092437679876409,0.041508043340907345,0.14128903968450826,0.1042560771592536,0.10408233619024183,0.09728129540298446,0.08562957887919347,0.01743954926485089,0.029926622095291785,0.04482394766320542,0.02921575452467258,0.026779314693346518,0.09447709174247008,0.025859432829701837,0.016251039298351703,0.028583781805312892,0.03244812364127171,0.032256123785764985,0.036370070775080185,0.036664644335925284,0.036370070775080185,0.01986156062881333,0.018388284385603637,0.03172353808259333,0.03670643851213244,0.047245046076016414,0.016902931451337505,0.03591085793652435
Net-Net Working Capital,0.06453930911814533,0.05606519865816783,0.05814201556189868,0.18967200321933986,0.18820070346281356,0.22835110031841635,0.20157507038552042,0.09426643757111845,0.0995040228786273,0.10719242443833833,0.09684328029735334,0.15154776086157276,0.08815881273381868,0.1666217905787859,0.03473299672587424,0.164631061436427,0.11263850876006778,0.08648256834123273,0.08841928342622352,0.052295448453493806,0.160781961300578,0.06526897715867246,0.09304829817271568,0.14137968421377364,0.09848997369264839,0.08226155865347483,0.08687539067649998,0.06626648721318457,0.07530615722916402,0.11600844961913749,0.06766139493893754,0.10648913481106859,0.08311947656441232,0.07556400838975542,0.12918497246899158,0.12512301632009343,0.058046439146635265,0.10448864384622389,0.09250408367474726,0.08051186849472816,0.06355465495533301,0.12429856164222333,0.06901665493571714,0.06740038951236159,0.06224230269747491,0.0751082830635752,0.04105216446872754,0.0899726636057352,0.041168764822446156,0.08612719616158737,0.08298086510884004,0.08184049411503642,0.07819443786413233,0.03934901062694333,0.04117035558631725,0.03257449798765471,0.05806954638352446
Intrinsic Value: Projected FCF,0.0020661405778216006,0.05621936552426497,0.06305885825866019,0.0015125795635915719,0.007577275140081199,0.06628525940826721,0.06552019012267989,0.01078486042920061,0.007089355983020726,0.007522832942669186,-0.007017708945271713,0.009986503930945217,-0.0019178145142666964,0.0169356075606254,-0.03538344798047915,0.010474265982781322,0.0030690173537459586,0.01867795228017896,0.01972737745334013,-0.003949570392463385,0.022352042722915584,0.007734666521830873,-0.004512518861196569,0.020826995285684755,0.026230134627190104,-0.0015677385580326365,-0.008618856206394097,0.017438440062522754,0.012576319885198918,0.021083844096346102,0.008804784038874518,0.029046668031684778,0.009384009879556579,0.01494041856349201,0.017876645700335887,0.026799743606678444,0.0578481608845395,0.01445711382828364,0.028497436674866473,0.02818256649975561,0.0028789630822110583,0.014362584737135514,-0.0011345042222547733,-0.010983581054783654,-0.009418538874229197,-0.020285380551905523,0.00046743694709863726,0.04413919509843547,0.007673533113821947,0.04169819911489865,0.02260759811545055,0.01452819923060181,0.06048998480521522,0.009178797532229277,0.003164190066662783,0.0079212006043981,0.008274605995870224
Median PS Value,0.006527120346870906,0.025306043666035234,0.05076503143640249,0.013054430182608746,0.010367356719744925,0.06505633252503729,0.05987834349078571,0.005355832796511627,0.001892851749793368,-0.001801056259443744,0.010454726315724815,0.008343832746476137,0.010342004012132915,0.0035959229669195523,-0.02469593483361192,-0.018369484031696838,0.006333777036000595,0.00691197651363736,0.00039029513053035836,-0.00040220310560250185,-0.009650319792850111,0.00813830008477522,-0.01617875894564655,0.02423796948169144,0.01266400700512784,0.007278939626757609,-0.005099465107224245,0.0009446561967920678,0.0011759065522342483,0.002868830950609187,-0.012394966404367068,0.02316584001521805,0.009479638113217613,0.007275895640068536,0.021042650225806304,0.003951489630439591,0.027158003972867977,-0.006825569979219147,-2.4281570746747735e-05,-0.0023720498215869757,0.010756015848557076,0.015188579008333229,-0.0051642338235372495,-0.024572163915116272,-0.023596409355361083,-0.029089715735053874,0.004656295846590804,0.016629406390572636,0.00964162479132652,0.018870614645475788,-0.0012219698607287043,-0.007834923645837513,0.02611715476548813,0.012092666734424974,0.026262891109157818,-0.03685744123683571,-0.024526339067159293
Peter Lynch Fair Value,-0.015366965158477092,0.012028245969305806,0.006697050189009252,0.07447708037880978,0.07340536765803435,-0.05322420301744953,-0.046734825250098866,0.007693251304725557,0.014784057878023248,0.0046150820530783294,-0.004551530455906927,-0.015468163492695064,-0.0006709001291852041,-0.023512938460564847,-0.011784710606925227,0.016936044605273478,0.009737453696224559,0.013740761420850962,0.015435880538619927,0.010516576599661355,0.028000688653606477,0.07034016715735193,-0.004334184783179304,0.028329404522568612,-0.0020124873048401265,-0.007253389261994071,-0.006664563595576897,-0.005875054656047518,-0.0067898899296608035,0.03784922944537721,0.009986884082189364,0.03240880439040394,-0.0022744364504345945,-0.0012969440788797764,0.024722213540619917,0.011694171567085793,0.014905707599582312,7.008250522929239e-05,0.010909772789460852,-0.010293312319966323,-0.03187940799608001,0.023775962033207764,-0.025617403338429087,0.011865698111962395,0.009637744275140064,0.016832626460421427,-0.01891809415982892,-0.031436188432970275,-0.00841560849233997,-0.02827684740870431,0.009868262022451437,0.009963252421561415,-0.015924737997008907,-0.01891809415982892,-0.008325918879596113,-0.021792252941834938,-0.01604118724859863
Graham Number,-0.0031793301490280375,0.05983102376545734,0.06359141038284669,0.047599009179989105,0.03322763741632517,0.03855340895660606,0.028149105208548644,0.00516191816867145,0.01022799793679147,-0.003852540877858162,-0.008892897677134248,-0.004975101764803095,-0.01795045278629999,-0.008230467181187692,-0.04021912691391186,0.01054948737913324,-0.011725648837454566,0.019140447730681784,0.02215064569340007,-0.025375207049645705,-0.015950133630658555,-0.020121591604221004,-0.03121380369743282,-0.015011285449119696,0.011673548170874952,-0.011827938550892054,-0.035354422525483334,-0.009342944436329178,-0.021183930249027184,0.025151547756708952,-0.02621656826696831,-0.002971111464822162,-0.022731270018893635,-0.022694699383667034,0.0022625014090952196,-0.0007564467668222371,0.023206866019371233,-0.01317337591609703,-0.011614110897953313,0.006677249483741486,-0.009157934116973455,0.002068429633947084,-0.016423881929189782,-0.02155573865792513,-0.020422524400955426,-0.00801901742238577,-0.0015842520613591903,0.01451777230128231,0.0007528057124003115,-0.005709138584241557,0.009314597540786843,-0.0005389791619340939,0.024231490320718474,0.00446871303015417,-0.002420266624374925,0.00013064004164720956,-0.008327721857602353
