0,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Cash per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROE % Adjusted to Book Value,ROA %,Return-on-Tangible-Equity,Return-on-Tangible-Asset,ROC (Joel Greenblatt) %,ROCE %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,EBITDA Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Liabilities-to-Assets,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Capex-to-Revenue,Capex-to-Operating-Income,Capex-to-Operating-Cash-Flow,Revenue,Cost of Goods Sold,Gross Profit,Gross Margin %.1,"Selling, General, & Admin. Expense",Research & Development,Other Operating Expense,Total Operating Expense,Operating Income,Operating Margin %.1,  Interest Income,  Interest Expense,Net Interest Income,Other Income (Expense),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),  Other Income (Minority Interest),Net Income,Net Margin %.1,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),EBIT,"Depreciation, Depletion and Amortization",EBITDA,EBITDA Margin %.1,  Cash And Cash Equivalents,  Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",  Accounts Receivable,  Notes Receivable,  Loans Receivable,  Other Current Receivables,Total Receivables,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,  Land And Improvements,  Buildings And Improvements,"  Machinery, Furniture, Equipment",  Construction In Progress,  Other Gross PPE,"Gross Property, Plant and Equipment",  Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,  Goodwill,Other Long Term Assets,Total Long-Term Assets,Total Assets,  Accounts Payable,  Total Tax Payable,  Other Current Payables,  Current Accrued Expense,Accounts Payable & Accrued Expense,  Short-Term Debt,  Short-Term Capital Lease Obligation,Short-Term Debt & Capital Lease Obligation,  Current Deferred Revenue,  Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,  Long-Term Debt,  Long-Term Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,Debt-to-Equity.1,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Other Long-Term Liabilities,Total Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Other Stockholders Equity,Total Stockholders Equity,Minority Interest,Total Equity,Equity-to-Asset.1,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization.1",  Change In Receivables,  Change In Inventory,  Change In Prepaid Assets,  Change In Payables And Accrued Expense,  Change In Other Working Capital,Change In Working Capital,Deferred Tax,Stock Based Compensation,Asset Impairment Charge,Cash from Discontinued Operating Activities,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,  Issuance of Debt,  Payments of Debt,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Beginning Cash Position,  Effect of Exchange Rate Changes,Net Change in Cash,Ending Cash Position,Capital Expenditure,Free Cash Flow,PE Ratio,PE Ratio without NRI,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Month End Stock Price.1,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Cash Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,Buyback Yield %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date,Earnings Release Date,Number of Shareholders,Number of Employees,Price (CN¥),Market Cap (CN¥ Million),Shares Outstanding (CN¥ Million)
29,2.505,0.719,-0.066,-0.12,-0.12,-1.326,-0.669,-0.017,0.982,0.145,7.957,7.772,1.21,14.13,-1.4,-0.79,-0.91,-1.43,-0.93,-0.61,-0.68,-3.18,8.59,0.56,-1.16,-9.48,-4.79,28.71,-26.72,0.152,0.656,0.1,0.337,-0.22,0.19,0.0,72.76,51.93,3.8,24.63,96.15,1.01,0.011,0.261,0.0,0.0,5224.638,5285.013,-60.375,-1.16,177.438,32.515,225.225,435.178,-495.553,-9.48,138.506,-9.768,115.07,232.087,-148.396,-83.534,-56.29,-231.93,0.0,-18.323,-250.253,-4.79,0.0,-0.12,-0.12,2085.44,-138.628,1638.528,1499.9,28.71,2325.009,0.0,2325.009,1106.945,0.0,0.0,0.0,1106.945,34.692,0.0,-3.04,21.336,9.552,62.54,416.869,3911.363,0.0,0.0,20969.141,5016.425,247.508,8146.326,34379.4,-11248.699,23130.701,438.534,0.0,1230.994,24800.229,28711.592,756.768,75.762,5315.064,0.0,6147.594,20.0,0.0,279.368,0.0,0.0,0.0,50.671,6477.633,0.0,2583.822,2583.822,0.152,0.0,0.0,616.652,3200.474,9678.107,2366.718,0.0,5591.837,0.0,9925.046,0.0,947.92,18831.521,201.964,19033.485,0.656,-231.93,1638.528,2686.486,5.07,0.0,0.0,-3958.727,-1267.171,58.593,0.0,0.0,0.0,-232.646,-34.626,-1361.184,9.807,-153.739,0.0,0.0,351.115,0.0,0.0,0.0,-1154.001,0.0,0.0,0.0,1019.875,-1600.0,-580.125,-330.674,3184.262,2273.463,1228.464,-0.06,1084.776,2313.24,-1361.184,-1395.81,At Loss,At Loss,0.0,1.78,1.82,0.0,0.0,5.64,0.0,6.54,22.79,-246.57,-0.41,0.0,22.69,1.03,33441.754,34181.899,14.13,-3.19,-2.52,-2.83,4.55,6.59,0.0,0.0,-8.5,2.4,3.0,-14.55,0.748,3.27,0.6,0.59,0.36,0.0,18.1,11.96,-14.37,0.0,-37.2,-123.08,-52.67,0.0,2085.44,2366.72,1.33,04/09/22,04/09/22,,0.0,11360.0,11.78,27879.941,2366.72
30,2.17,0.643,-0.17,-0.17,-0.17,-0.766,-0.172,0.354,0.665,0.042,7.738,7.576,1.1,12.06,-2.19,-1.4,-1.44,-2.23,-1.46,-1.79,-1.86,-1.56,7.8,4.52,-0.92,-10.31,-7.83,29.63,-7.91,0.142,0.665,0.094,0.325,-0.17,0.184,0.0,83.83,53.98,4.56,34.41,80.07,1.01,0.013,0.242,0.0,1.485,5180.238,5227.676,-47.438,-0.92,135.338,40.208,311.223,486.769,-534.207,-10.31,38.847,-123.57,-91.493,95.708,-529.992,144.586,27.28,-385.406,0.0,-20.44,-405.847,-7.83,0.0,-0.17,-0.17,2387.333,-406.422,1941.187,1534.765,29.63,1573.258,0.0,1573.258,1272.62,0.0,0.0,0.0,1272.62,34.723,0.0,0.0,20.249,13.068,68.04,448.768,3362.686,0.0,0.0,0.0,4964.263,688.824,29175.02,34828.107,-12664.474,22163.632,382.544,0.0,1636.17,24182.346,27545.032,789.407,72.486,4816.295,0.0,5678.188,0.0,0.0,293.31,0.0,0.0,0.0,93.157,6064.655,0.0,2309.456,2309.456,0.142,0.0,0.0,569.947,2879.403,8944.058,2366.718,0.0,5084.536,0.0,9936.922,0.0,925.098,18313.274,287.699,18600.974,0.665,-385.406,1941.187,-178.798,-5.501,0.0,0.0,-566.439,-750.738,0.0,0.0,0.0,0.0,39.807,844.85,-1254.644,8.218,0.0,0.0,0.0,18.839,0.0,0.0,0.0,-1227.587,0.0,0.0,0.0,0.0,-20.0,-20.0,-105.826,-243.421,-369.247,2313.241,-0.045,-752.029,1561.212,-1254.644,-409.794,At Loss,At Loss,0.0,1.56,1.59,0.0,34.07,5.56,0.0,5.76,19.46,-73.47,-1.36,0.0,21.41,0.35,28542.643,29859.85,12.06,-3.24,-2.48,-2.82,3.26,6.11,0.0,0.0,-4.61,2.19,4.0,-2.54,0.684,-0.08,0.55,0.54,0.26,0.0,14.41,8.41,0.0,0.0,-13.37,-41.67,-10.57,0.0,2387.333,2366.72,1.07,04/09/22,04/09/22,,0.0,10830.0,11.78,27879.941,2366.72
31,2.087,-0.126,-0.126,-0.13,-0.13,-0.64,-0.11,0.327,0.586,0.042,7.703,7.548,1.102,11.78,-1.82,-1.18,-1.2,-1.86,-1.21,-1.45,-1.49,-1.3,8.18,4.41,0.28,-8.84,-6.38,-6.17,-5.01,0.143,0.669,0.096,0.32,0.05,0.19,0.0,90.43,48.0,4.99,47.42,73.2,1.0,0.014,0.213,,1.308,5233.713,5218.966,14.747,0.28,119.696,43.396,314.212,477.304,-462.557,-8.84,36.421,-123.479,-90.87,107.162,-446.265,136.377,30.56,-309.887,0.0,-23.937,-333.825,-6.38,0.0,-0.13,-0.13,2756.739,-322.788,0.0,-322.788,-6.17,1386.39,0.0,1386.39,1424.651,0.0,0.0,0.0,1424.651,0.0,0.0,0.0,0.0,84.971,84.971,492.094,3388.106,0.0,0.0,0.0,0.0,552.931,21196.635,21749.566,0.0,21749.566,367.093,0.0,1747.065,23863.724,27251.83,705.012,46.729,4698.574,0.0,5450.315,0.0,0.0,311.625,0.0,0.0,0.0,105.272,5867.212,0.0,2297.024,2297.024,0.143,0.0,0.0,564.374,2861.398,8728.61,2366.718,0.0,5001.834,0.0,0.0,0.0,10861.374,18229.926,293.295,18523.221,0.669,-309.887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.75,850.863,-1113.003,8.111,0.0,0.0,0.0,0.0,0.0,0.0,18.839,-1086.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103.603,1713.142,-0.006,-338.799,1374.343,-1113.003,-262.14,At Loss,At Loss,0.0,1.54,1.56,0.0,36.03,5.65,0.0,5.56,-90.19,-90.19,-1.1,-24.32,21.29,0.36,27879.941,29102.201,11.78,-3.23,-2.38,-2.76,3.16,6.04,0.0,0.0,-4.38,2.23,5.0,-9.15,0.717,-0.36,0.58,0.56,0.24,0.0,15.0,8.32,0.0,0.0,-14.26,18.75,45.69,-14.6,2756.739,2366.72,0.68,04/30/22,04/30/22,,0.0,10830.0,11.78,27879.941,2366.72
32,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,		,11.78,27879.941,2366.72
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,27879.941,2366.72
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,27879.941,2366.72
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,27879.941,2366.72
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,27879.941,2366.72
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,27879.941,2366.72
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,27879.941,2366.72
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,27879.941,2366.72
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,27879.941,2366.72
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,27879.941,2366.72
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,27879.941,2366.72
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,27879.941,2366.72
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,27879.941,2366.72
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,27879.941,2366.72
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,27879.941,2366.72
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,27879.941,2366.72
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,27879.941,2366.72
