,Gross Profit,Total Revenue,Business Revenue,Other Revenue,Sales Return and Allowances/Discounts,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Directors' Remuneration,Other Staff Costs,General and Administrative Expenses,"Legal, Accounting, Auditing and Consulting Fee",Selling and Marketing Expenses,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Taxes Other Than Income Taxes,Provisions,Other Provisions,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Net Investment Income,Fair Value or Unrealized Gain/Loss on Financial Assets,Gain/Loss on Foreign Currency Exchange,Other Investment Income,Irregular Income/Expense,Impairment/Write Off/Write Down of Capital Assets,Goodwill Impairment/Write Off,Litigation Income/Expense,Merger and Acquisition Income/Expense,Write Off/Write Down of Other Assets,Restructuring and Reorganization Income/Expense,Fixed Asset Disposals,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Non-Controlling/Minority Interests,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
Liabilities-to-Assets,0.03521166961180649,0.008316429240928142,0.04349038781472373,0.06150141707403732,0.05393257881469626,0.12594279917613715,0.17417101770182136,0.04288238536769363,0.04164161503403898,0.026018151967823713,0.09240118487031883,0.07596895587279857,0.07625385561431725,0.022880810970878372,0.05060529415015005,0.029402827597130463,0.07915067468484681,0.13036541932239937,0.04366942652787934,0.08923428565768747,0.054258815710639896,0.06366120790255633,0.06426442095774659,0.09855259389784239,0.06367504030792115,0.13149206906185007,0.11220736421349123,0.0626506846687177,0.13676964591314497,0.14398094837805842,0.12144970496526808,0.16167697179604987,0.07929209322294008,0.08960578416468272,0.11691674386840997,0.20884441847269233,0.08576110158587402,0.10894582536891656,0.1080589910130234,0.16774864965695335,0.07340463602715802,0.18271552531869376,0.09775229025602417,0.0386975570767744,0.057435878152885755,0.031739443988551407,0.031199467998116463,0.05037439475828147,0.07282183262680991,0.07384440774416463,0.09536013942586838,0.057386510695173955,0.04318233184904659,0.10448401896351708,0.029264449296942288,0.057686923980126106,0.05468231518640208,0.058169050797550616,0.07230102446287101,0.06905647764390273,0.052829728943361076,0.06801727027425382,0.03351927487708498,0.07095973603633716
Gross-Profit-to-Asset %,0.25805798157571963,0.052348747802381405,0.07106106509362208,0.014813146449052067,0.0007483669043882369,0.060206401928125264,0.060099305516484285,0.05471741339898375,-0.020718375475613067,-0.010356051729387236,0.0411645056090615,0.007349864789297054,-0.008955511247393428,-0.017522916156190494,-0.011598174345360989,-0.017124106048850507,0.005190519078015547,0.0021710902761010965,-0.008579316066162652,0.0275233431344059,0.03971949569519903,0.036505465716879175,0.09364995694019732,0.049496859118839776,0.045372402145375496,0.10597694101970144,0.11349619823679251,0.09674836495909105,0.11531944671884184,0.049589764959739185,0.07907335445934723,0.11391739553576,0.044383779817942844,0.09659249480851988,0.02675862857230638,0.05890075096678589,0.018899139941482023,0.039308979692640966,0.10479526952391031,0.07260741421765111,0.035974174666683054,0.0857884588853687,0.029498300147900208,-0.010138721773097145,0.005014703802971536,0.051829905283336565,0.051829905283336565,0.054337540405297244,0.049021071002467595,0.04594593225545029,0.057096858482571164,0.07988488451161962,0.07160271491844127,0.06132359480112122,0.01389310573545085,0.03477440589720983,0.015385440126024438,0.028752417860154752,0.05121972521948278,0.0375874668091615,0.020669030952863317,0.024090726692091786,-0.010260697720833765,-0.0011618965263638483
Asset Turnover,0.07119236657423467,0.040521235408338144,0.04100645737766352,0.1038943838533667,0.03861151696900799,0.18080839941038016,0.18625823084637202,0.034777367118423,0.0060254394262312634,0.040557895626501535,0.08694821154984504,0.0809551186564541,0.038923394556533694,0.017085266848568002,0.01214598785360579,0.006816450310040217,0.06772066190817676,0.10234504439978008,0.025508665835706587,0.08447941060982503,0.0863482831380979,0.07558465555634435,0.057634246970439104,0.05344878390594317,0.07964829504212184,0.12088239442372223,0.11385967490741594,0.06598566061107819,0.13267122180116298,0.12341393494190515,0.1852946609369792,0.13022163644306348,0.09708142755531464,0.16065657180804951,0.11144573264656164,0.15454498340768463,0.03986111657936038,0.098998536249475,0.06815611488758308,0.13061870099845285,0.06738881820042017,0.17688370944371448,0.06904353590379007,0.07053487717360234,0.07401299312684095,0.050074002345565326,0.04891983058500076,0.03785210295406411,0.029598277641882664,0.027249928559085316,0.06937113665880643,0.042404466011337925,0.006147935926194007,0.0686685904813622,0.0455579833716562,0.05845069248347121,0.05305330314545793,0.08688521372001033,0.036965669811944026,0.02521165138769698,0.04449469991097521,0.0703907526307344,0.0774451030028781,0.07134102248551329
Dividend Payout Ratio,-0.014082684468376704,0.047229264232952886,0.053355748355585556,0.023906745989893473,-0.027492436108275675,0.03416716946521662,0.046996370777253535,-0.010906008165963033,0.06886025056642903,0.015669045042265444,0.04319724957446082,0.01613898384666044,0.02394993425032488,0.0028573715067275393,0.04729045360739635,-0.017808233117463292,0.013436328885903454,0.02158214946697201,-0.007757553700669653,-0.009442989126891647,0.015166051508019675,0.015071958459212845,-0.006015233224976025,-0.015495207727249044,-0.02932115374862544,0.0961594980831451,0.03491002751690194,0.04752963446917946,0.027469274689316567,0.031178467232415893,0.07914729998065491,0.004309035467995687,0.015068388884896351,0.06788636191710128,0.0010065410499850132,0.031104620923737777,-0.010791083312973154,0.026141713211015053,0.0476150430845295,-0.010865846717569048,0.03562148452232362,0.02440996148635013,0.025969269580757175,-0.04174196080200281,-0.008102351333638607,-0.012808228193921176,-0.011902905284512566,-0.035752121080222896,0.04442722797691349,0.03229897000248412,0.012176807967894094,0.013630579405993075,0.053923123025596036,0.006892852207564443,-0.03489511217969637,-0.015287270230511933,0.008081775474883592,0.031211382958740028,0.011798165046215899,0.06161922048804832,-0.036632164824536795,0.0126916216068466,-0.02260221831402385,-0.002911726828822016
Days Sales Outstanding,-0.000579503195640165,-0.002608511072495735,0.005482239029055775,0.040593979159888154,0.06365848738354646,-0.0005583556109336855,0.014043537132537403,0.015379642211607114,0.00765359395764723,0.005727195529335982,-0.024847360330734806,0.023074720224683865,0.017201972548821835,0.030301797678103908,0.011507773785382147,-0.0014486487774041496,0.013059881381365261,0.008026501353596754,0.015115070961222186,-0.0055762301136897865,0.02630401261815207,-0.002091793351846875,0.0315018179202887,0.036998121773041986,0.028876777221369807,0.0470573630282741,0.020710397758458732,0.03484524895541865,0.03651335777330186,0.037348204621745436,0.04150891054084582,0.03448180531178408,0.03996897424580313,0.023749053064779542,0.0523443688193678,0.021112580188846312,-0.014586981861148738,0.0262707979166513,0.05862172940224502,-0.004513050114708868,0.02797589449115533,0.01061701097883432,0.06184876329627287,0.01838147520920208,0.013404165367194895,0.024857273065911286,0.03723071000152579,0.011693893137566212,0.022923186822021144,0.004737298181089413,-0.0088101297020457,0.02700045160131742,0.004005066463489113,-0.004604693784556297,-0.04398235692403092,0.01569015116034215,-0.014785367727160062,0.002901235964450244,0.06423887652887263,0.058160672130164286,-0.02626890509454463,-0.016361867839233702,-0.014336819642334447,-0.007659303454049337
Days Payable,0.024451546708273014,-0.011305265750455352,0.0005892193067290313,0.04547013102453574,-0.0014919394433462168,0.08225638601118712,0.09746575503712591,-0.01936376307746273,-0.017852862702967928,-0.0034415166816840594,-0.010192578170121369,-0.012264118954887743,-0.010526903303918745,-0.006843778505238711,-0.008868683674375972,-0.013272055027709832,-0.004199483471759053,-0.00506586173311807,0.012111380199707086,-0.005212063930553325,0.02881440305976998,0.043922364466301884,-0.0006510342293840152,-0.0070299806674980255,-0.012591257367554272,0.02657115195456278,0.03555930739472876,0.016817048599510442,0.022001088446623178,0.03156540312024015,0.03481158435894753,0.02542178590464647,0.03409610037526473,0.03341394448913742,0.013179375899505132,0.0364951525686334,-0.0046625584922080415,0.030307409308128294,0.055472176441886144,-0.015568350527579024,0.025684363071156433,-0.0048040964551917245,0.023060386172411417,-0.008792013962794994,-0.01448028353844401,-0.008223317394306746,-0.004987492313410197,-0.007464663224354977,0.005540351338383945,0.009807232111802393,-0.005594188732014935,-0.01308904323920742,-0.012104818074298208,-0.03328133490465635,-0.02984280340823331,0.0021518478222234873,-0.019012662447079852,-0.020106923878122497,-0.008521900404791767,-0.018247853801456933,0.006216864716494123,-0.015532230958606796,-0.011324286325979559,-0.012869817706487194
Days Inventory,-0.02289626456587556,0.08248810767129282,0.07666679034050207,0.04684113337551079,-0.011463096120283634,0.07481311083645757,0.05528554855434553,0.05723259335217558,0.03039771322654564,0.05150898113550181,-0.020031898268335093,0.00013760922331922066,0.0018992595723055757,-0.002031288619769568,0.0515731847635325,-0.036369670232083276,-0.006480824856630461,0.006058149306742364,-0.01722393997061953,-0.012384622997532256,0.01327117094632125,0.013074907203787182,-0.00271392321890723,0.004075944874618304,0.00316102596472816,0.037548604768599066,0.03748885200663631,0.02114764159629948,0.03787913438785258,0.040799544478594504,0.05234151062787889,0.013079591418201883,0.009596961002137458,0.05590970379693808,0.02457927944612925,0.028980674802551763,-0.0022455579501329003,0.00789157559447753,0.03005164685346967,-0.012710274454284956,0.016151354365414674,0.006170839913590004,0.007017068548172041,0.008490643102306341,0.007350481849753875,-0.0034791496162627626,-0.003975828493376302,-0.020726039645220212,0.006921895644468504,-0.003410893271320353,0.01865430054240247,0.01076835545578811,0.04868911569976992,-0.004947998415805317,-0.013859820006873847,0.004238734971077379,-0.011808089639972118,0.007174554528093492,0.004470879864171387,-0.010795760436503057,0.0053129060877460405,0.011306297325436972,-0.010759756677631769,-0.026882068404164634
Cash Conversion Cycle,-0.014691469348598583,-0.003958174977933281,-0.0034177168933564287,0.05130197100009532,0.021145082395942545,0.022148206193927388,0.02565620951215786,0.009058081034196565,0.0021831101854542703,0.008707712572907419,0.0064861344192060225,0.025209997555744598,0.011812480558472668,0.033117567422752056,-0.00842104465043348,0.014957322809021772,0.016946497404091175,0.027377922841101875,0.014442152387654308,0.004854168294631263,0.04087534655854578,0.04914418559386768,0.023970368723182672,0.027867483764450616,0.02354713728972882,0.04052963402226715,0.040390631741177206,0.02281729747893297,0.0356470624568141,0.04161234964828681,0.06797651495816912,0.039034035840095106,0.12405395356895593,0.040739621073321255,0.06501584186276244,0.039222695367308616,0.005189442343809734,0.06350420915043753,0.0697034153280605,0.010872236351461092,0.04507944981360861,0.0037889102006879263,0.05243963715497412,0.00945885448349917,0.05548982348923866,0.004380834758801885,0.018001160025017726,0.028075574743723446,0.02983472148987755,0.02527194295666909,0.017936629728557203,0.019533364341386045,0.0009557598313859293,-0.011890666521065133,-0.012187094902367385,0.044772363320688464,-0.004101123253566005,0.014475948130409423,0.018372003894925062,0.009296773178761715,-0.028174412288842304,-0.016836090947820438,-0.000584234594918858,-0.0038725495925710615
Inventory Turnover,-0.013018975833036728,0.002205261951037158,0.027164427971590493,0.0808379109499206,0.08616625800749159,0.12517260285663584,0.11471493523110186,0.009143815359474982,0.00024890987179577474,-0.009022277221873563,0.012545625780785365,0.012260940342726442,0.012710655254054548,0.007822160730904944,0.007287374821158866,-0.005186653752387249,-0.007975685003414883,0.0023566290039617657,0.0024490375867323427,-0.0007318445059957032,0.04654380071562169,0.035549428721524105,-0.002032438113475824,0.010098285324706205,0.013578120408230306,0.06914882844343367,0.058719006029301545,0.026590548474435052,0.0595647544203374,0.05958856162571525,0.08640736225296371,0.026970867523103896,0.04996790110597785,0.06693171195014984,0.04788705838185273,0.057208051402505074,0.0024440199122384297,0.038792203739039584,0.07496230954974335,-0.009141147976916949,0.03597025094685654,-0.019281632882693158,0.031031447816876855,0.003457477143576259,0.01343038722072421,0.019366068022584497,0.0234317331753128,0.008940279009793415,0.01257494439046707,0.01686815564474879,0.01067421235515155,-0.001666668003483727,0.008177387133515956,-0.009467111733819597,-0.0015348095959691493,0.020523907725027653,-0.006191411699374805,-0.0009592425784998504,0.01046640943096733,0.0024174115227477916,-0.002000159892130714,-0.005897178854078243,-0.005670577965748294,-0.003437390395792237
COGS-to-Revenue,-0.024160943089593656,0.19262943324957416,0.12724534172862018,0.10387633099125052,-0.03406941984845684,0.2252239410266439,0.06632322492080832,0.05801318916275862,0.06820666157818327,0.040142989231495764,0.04011061286713816,-0.01821343137854777,-0.028304024491633363,-0.05550126086322124,0.046083050781394755,-0.04863451378144662,-0.05391918300260061,-0.04006554122832888,-0.021438817201305034,0.019660013755167446,0.008531738020480434,0.01404621007713379,-0.048005882678361984,0.01995594124445177,-0.04458398902043009,0.030317812460539145,0.015542676048265501,0.005549350115338474,0.025842476404728528,0.054644245541113995,0.008987418538818967,0.023475124382963522,-0.0009173640436157,0.021197850861782636,0.019344949496267298,0.012737051836982496,0.01601341447617495,0.01882396183962238,0.036755791711105296,0.019664818624963217,0.03433350485108174,0.020752462222072655,-0.012174063473658247,-0.01786628172005615,-0.04630913346151624,-0.040171054683259086,-0.03269250124337511,-0.04676116855688683,-0.041809673267545616,-0.04302158647117106,0.03982982953007971,0.0022998052217417866,0.09437594326206751,0.04480306895066717,-0.0026632829029017775,0.016737044663451762,0.03616876425244844,0.04861491528602242,-0.04007296964306849,-0.047172110727165435,-0.001241382497660828,0.038963770736208735,-0.054105201147286675,-0.04795262650593349
Inventory-to-Revenue,0.046262167953522115,0.15522916011925783,0.13829736042874635,0.19293342860424928,0.06255283271437377,0.3279824652769161,0.15438689170632675,0.09411703837014755,0.1108450719620789,-0.012664485223981179,0.09185938356864788,0.023538251409879668,0.07698141256439149,0.019028516565945744,0.10996917404623494,0.041372428057520075,0.06577311269408204,0.059720349540244064,0.044390370432918026,0.07922393973109469,0.04602410008285096,0.06676644678673728,0.11713520320495065,0.14806742060447695,0.13520500100803237,0.14820173945113096,0.1248493521635225,0.08899812619649508,0.19340199574635353,0.19848449057190257,0.1471283280063693,0.065661539813701,0.11847371680598957,0.12251012099834313,0.18175166059176007,0.12385536314583047,0.09142883318334612,0.09211802805272284,0.08913101855358717,0.06281823172091688,0.09150660468442647,0.03174956309121685,0.15819775424635688,0.019611212404467455,0.06688679024452003,0.08333554672688692,0.08857530784460946,0.07003149655163761,0.07576299152003022,0.02062984525449155,0.09646682894017049,0.11388860645922114,0.15862433622363936,0.1034654454481803,0.029971789997847303,0.09189277054904306,0.0614105317904539,0.09257372207028641,0.03169911384520249,0.028691724913693137,0.03271798968162868,0.06155958041708902,0.020698327297004018,0.017028001064256258
Capex-to-Revenue,0.03964274892861433,0.1023715019566209,0.10602076783477175,0.14940594231359763,-0.0011542868395153397,0.24563196233176882,0.08294781454084729,0.049098271538718416,-0.031867568535889554,-0.040164794136411844,0.03478413568084671,-0.0038119298298110995,0.013321249969021634,0.04359336361308795,-0.015830432101150486,-0.01252962385764066,-0.0008228905457742051,0.009086692767192348,0.0029506212855899853,0.00733280071564224,0.024055234769316897,0.03507219028244197,-0.002966116097934893,0.08056678166903132,0.07187787741129133,0.08957386604270448,0.08762218544728137,0.05004189860141428,0.125943036888691,0.13322804310101616,0.04991931731414276,0.03429240345787783,0.04568177508956831,0.06668412654914596,0.1166021943805211,0.060452959669449094,0.033692107257341786,0.061548723788149386,0.052487730699406675,0.017566107015071886,0.06029024528618301,0.03137129705878665,0.10581388126191002,0.06706192840243456,0.050493727985484634,0.0639418375374104,0.014764165733289668,-0.011732442098350119,-0.011988695214241701,-0.006234920416783781,0.09533899572446644,0.06969691683776595,0.08910716198723474,0.036458513232080964,0.005773802135589182,0.03221887860050157,0.030209144490378523,0.04485763279244766,0.011714359960972039,-0.006450234055573146,0.006306315729089882,0.031016725668125307,-0.004099933540120492,-0.011455402261797027
Capex-to-Operating-Income,0.028839733062125714,0.04834221252894965,0.05183455059045921,0.06636194374424419,0.007675701747229646,0.09062200829074396,0.015453378597127747,0.0670507938066754,0.0023069880803081753,-0.0234570099490643,0.042375714513407985,0.0012282538189322982,0.0158285121906716,0.01945472666134415,0.011953174066064772,0.012045007132170982,0.005585738772709026,0.003693441315726258,0.021424222714933862,0.06955156965610923,0.03396871156344642,0.04810589017614532,0.10294475922643431,0.0904182014663036,0.09864171163341152,0.12497266580516633,0.08254517573545092,0.1417600405753642,0.12024705647426029,0.08531205908929743,0.12481371496751809,0.03364749770417399,0.00792941213654237,0.15681151391803896,0.11499850918157767,0.01459512189069186,-0.01345727642171348,0.09716961589589651,0.046140324956824894,0.010876709034511068,0.1366087165590283,0.01041929794151344,0.1008029632388375,0.11134555389917097,0.03256232868711016,0.08065286555251863,0.08339986696355708,0.009485078130798078,0.02895054073129731,0.005730721821048814,0.049043121383061425,0.09922618931910449,0.053105817454917076,0.02687461964631467,0.01743194297570068,0.09534922231316553,0.00440253277652735,0.056754497323679605,0.0016905439714979334,0.004384046589671209,0.017557873740919647,0.00440253277652735,-0.01366430598126973,-0.017333746619285103
Capex-to-Operating-Cash-Flow,-0.013241357199947264,-0.00911846246296337,-0.013627505912057533,0.021126202311598022,0.016911890063249953,0.018572465173225226,0.032888356475278595,0.03948439150394216,0.020822239289657957,-0.010263602928700707,0.0264366886019459,-0.006311848340662191,0.03533189668424589,0.019341333714642275,0.023966788962539183,0.009320558532084314,0.0044281691652654194,0.002169641367988329,-0.0005258560946316574,0.0032121123998003825,0.023949683170039943,0.01722136675237883,0.04984363304521316,0.038982689488628944,0.01834070357145989,0.03904431317539219,0.03576083988132467,0.03121775567134608,0.03598900423735434,0.03014629534027762,0.027976754181119633,0.037490053732207027,0.024177553443783303,0.044583055303148406,0.019172355355742014,0.03199410758336057,-0.04191241587674172,0.05288337248861013,0.03560510363439138,0.001418290918288307,0.04326530023245403,0.00887478426037891,0.04641486190528633,0.021316505616630448,0.0021720888639116297,0.032890650856296,0.03182487335785894,0.002951233858750723,0.014140062933912298,0.01299262283588181,0.006191746756305533,0.03245496055340725,0.006385220244316607,-0.02004663295324982,-0.0546213551687476,0.07468842427553103,-0.011018634285681799,0.05218203119351013,-0.009522579754370611,-0.01168566372406171,-0.05552351759237815,-0.012819142227272588,-0.02184507117999477,-0.028171857240340666
Revenue,0.05055179401045567,0.9264298126207013,0.6648098449155059,0.8925322290006283,0.050852869613937396,0.6710463852495765,0.03924137513877094,0.11393280814593269,0.09129806709385621,0.028510640118791966,-0.007623983838154479,-0.011580632911117944,0.08982815199476354,0.06216611193065567,0.058427612198931146,0.048879863421005934,0.02573632852474592,0.03185833272628743,0.02564883621679374,0.019670780484162896,0.02381077629042567,0.0166509949633813,-0.015130094887016509,0.024256840719328928,0.045012028600083374,0.03885741561575865,-0.03653364436129488,0.08826602931370094,0.030368732415235057,0.04421186368122386,-0.009260517995689332,0.014727887613075299,-0.0018641654271173047,0.047634606235160956,0.054805460377636,-0.03808038379058057,-0.021246046225868304,0.04641763660954622,-0.023537202360024295,-0.028324227482680042,0.0013229759963677853,-0.024250241217013718,0.040006370669271325,0.05478513004982662,0.07943521127536259,0.05824803488728768,0.004435172592054254,-0.002943702815816955,-0.011556477762188213,-0.011871245036265188,0.02108958620470329,0.010706519682139998,0.6545144464024695,-0.020455053252732013,0.0059241099734556706,4.862739517963108e-05,-0.00987113816759509,-0.007521943997335549,0.03045747217317709,0.015851176879472087,0.0024524196692553906,-0.003547349745562708,0.02620268080179245,0.02019206535171536
Cost of Goods Sold,0.015848350172766926,0.026852662429949548,0.04065709937000147,-0.024495811346462237,0.08950205602468915,0.13608798517967177,0.28237979248010187,0.036083766689001276,0.1006525105326461,0.07306099328906326,-0.019937929000885046,0.028980135830242466,0.027121940795977767,0.006669183967988667,0.06303190338121734,0.033240922342411404,0.021709891266358815,0.020423200556679035,0.012935223860816664,-0.009610301786606603,0.009291117990173561,0.007904409002226945,0.03127519463630889,-0.0018077919630659798,0.024848135881759357,-0.01599306317036747,0.010545148171977329,0.04273493659062674,-0.012765002266262022,-0.029741646792890764,0.0062034423924198666,0.020838477726375454,-0.003594316143723109,0.047088800913639116,-0.0028840521844717745,-0.021072217588897,-0.009703058449188411,0.037155479507559916,-0.01435534714266695,-0.003148894296107328,0.019823680557209702,-0.00032672217991294413,-0.009639647117666707,0.006493000422026313,0.033617935326116156,0.013354310729552758,0.013459108304380334,0.02931023534004012,0.031157479240891166,0.029639479784903305,-0.002179402334007022,-0.020095231150969346,0.039876261790103916,-0.02772700049645087,0.00040289784098114945,-0.02709806571699515,-0.01133827585203949,-0.02443944463716726,0.033750986183981736,0.022182633870058033,0.004987757130335302,-0.009388519190075321,0.017816422815693587,-0.00867865615645028
Gross Profit,0.9187418909741715,0.06580139387340124,0.08139762966287907,0.0625988485041793,0.05910725563490108,0.1023082360431843,0.03023034306983507,0.08120273597311878,0.08422101147630573,0.029949597146387563,-0.018612499608287036,0.002979915731516051,0.017754643189388925,0.015641032869934065,0.035869982480993545,0.009611679430792889,0.027855517769497493,0.040687227662557536,0.012751968280368096,-0.005868111503518419,0.04610408463172629,0.054136023248497166,0.22491092266250406,0.026036189995241203,0.07467257753460141,0.02452854884367853,0.04760104460058194,0.08222950220163426,0.051450602020088367,-0.013155756255148417,0.03907480573814189,0.01996553166482794,0.01956145476652166,0.06977847849487369,0.05765304926191378,-0.013896241226563034,-0.02092555796904575,0.021648163893287383,0.00871875911871587,-0.004367510215571247,0.014042323859677235,0.00502253056182526,0.0353965813863763,0.02918855673668223,0.022431134133798627,0.05254234005079563,0.05254234005079563,0.05967285988484665,0.05822919346785088,0.060039412942970806,0.021053556812291624,0.01682545103434717,0.07834412786013471,-0.004746818835283263,0.010722229275683098,0.030176319964138998,0.013661488153268068,0.006975450358609091,0.023943020786691627,0.007775226260145257,0.036419427950220455,0.010418549941839356,0.03656773455665122,0.02704488355264131
Gross Margin %.1,0.09528031204318813,-0.009319585458817795,0.01471945729036685,0.05766320609669989,0.009930202657931788,0.11399742052590492,0.11139440125570815,-4.827287585188866e-05,-0.014895900695824589,0.0022236525921611313,-0.01290610317629598,0.0151766228562111,-0.004676951914777276,0.0011777457206320757,0.02724167532478511,0.009009606436646524,0.003192974503707412,0.011330972967577001,0.00526311685962608,4.311514269784316e-05,0.029745801338739625,0.03179369159874368,0.02219782215996801,-0.002504499141283068,-0.004078339497531206,0.04838021306763141,0.035788929810280534,0.027734430175191192,0.053746618175141085,0.06253655289840607,0.0420877103244867,0.04378211563266409,0.057613829820479794,0.044778137129837636,0.043719326932610755,0.0462935424643557,-0.01763999713293674,0.055660502713044305,0.07049267633537001,-0.006564792231431513,0.04542902017365898,0.011401806769980913,0.035265940553440976,0.004391356960130046,0.015019002656445596,-0.0005148659264547625,-0.0007186724117116947,-0.007766037051603201,0.003825987402008163,0.00015386040098863598,-0.00838503065434169,-0.012002471967139789,-0.01771467495606776,0.005817770731578123,0.00023878808993275848,0.028390808204470482,0.001494880707155866,0.012384040921611574,0.001507754959224613,0.0011636875553349942,0.02444311219809169,0.0035954347083070755,-0.005578371826519521,-0.01091879412810432
"Selling, General, & Admin. Expense",0.054365005854881646,0.08240953321314604,0.08609661638504985,0.06671546653914916,0.06704135892227996,0.0771578424238532,0.10741376536454661,0.13399130777606266,0.549959557543069,0.07382426923515899,-0.0010605306807821447,0.04367530812394397,0.26688536925353484,0.12321969446512736,0.2063383448653114,0.044017894209550455,0.004753770207166885,0.005153837286511601,0.0006858659306064495,0.007998384614492593,0.012690181127925526,0.018519281778979137,0.08872595207216805,0.09235677001645506,0.12979092604196235,0.06938284888321482,0.04445508296824792,0.015075918870906514,0.1287429718257061,0.12005164600757794,0.01488240538007465,0.029312904205204753,0.022327322928519445,0.032709479357181985,0.037313342163582876,0.014204594206980165,-0.02531514819646814,0.07142994085589391,0.13768062735616224,-0.0016512556968467122,0.12497455430468853,0.0020950992692314197,0.10681255728928453,0.00840624796780104,0.004355583323798501,0.03989983247545023,0.022713923600113553,0.03650793568477244,0.014102886099945155,0.012537315504469291,0.004929769987573736,0.07653169814742021,0.10543575017999554,0.028506273587407552,0.011258326748961225,0.050563504367829415,0.0017609027860984322,0.019044114013636298,0.01843941909194711,0.01164926171032259,0.009850963068920093,0.0005920577008345885,0.009441822486503208,-0.011470416686896112
Research & Development,-0.037431705290862725,0.046832088613012295,0.06392325386059106,0.028953230277318488,-0.01817607252621603,0.062085308295085045,0.04791675185039421,-0.00585329748313728,0.06001813006507421,0.0546670379246284,-0.03720701633805542,0.01775817963729678,0.003277812418943782,0.0012645337743991576,0.05881268948024722,0.2081560819643448,0.0031537946133181304,0.008292467084750746,-0.01159060704112026,-0.03061975996368934,-0.0061885351208341415,-0.005578027414909622,-0.010028491564689301,-0.02038275913031089,-0.027215361176099344,0.020793722733656945,0.0213469370886324,-0.01680315967331127,0.01919253299456373,0.017814045333326565,0.032267552612094116,-0.0012927217573773767,-0.00012597710305710646,0.013755801243369444,-0.011824431975845404,0.015966495933310676,-0.020197342064218193,-0.00843546121219449,0.027594240278746303,-0.033643653798225655,0.019883659701970376,0.003400502455180395,0.014966124743139018,-0.04768247671997936,-0.013564698149471265,-0.021882635760379958,-0.0268265667993679,-0.0220968686510855,-0.034500682639904065,-0.03942436259671677,-0.014598304325788954,0.004629565996424812,0.05545284905932389,0.006648929801861397,-0.025205120588284745,0.0017962486678101052,-0.01932619207687503,-0.0040823234030129465,-0.009878004931135217,-0.046923143201015684,-0.02501490338978708,-0.019635077020385604,-0.017404226094178386,-0.036878126376465536
Other Operating Expense,0.03877570670261818,0.09561449349069544,0.09473690541318773,0.11774428305240352,-0.007204706678944276,0.05735433211123523,0.0879481574256508,0.2764789138596849,0.1994546992448614,0.058398312703604426,0.03456219601112016,0.15671363439851083,0.1576909878902138,0.1036966061856972,0.1320309919543997,0.10165003424034873,-0.0050354124891033025,-0.008996665852280723,-0.001386882619468524,0.06389476042169609,0.039129706681848966,0.1001873058455903,0.11720868097171191,0.05931614835072521,0.12249802474251213,0.10522522216599343,0.02569620981610079,0.02238528458295274,0.09894911505183114,0.24030941501381892,-0.008370323922758396,0.04385481640454892,-0.006224268291143352,0.07540260894279449,0.1054696633154382,0.00013052784766801398,-0.025181045341387782,0.14696770414238386,0.11278809008009434,0.020580401090602888,0.14504311141599818,0.0030653601146762004,0.2630452912581539,0.015053030124855331,-0.0037453271872546342,0.10647981265656087,0.108188468163279,0.007015215636401715,0.015494220669998268,0.008990365669022492,-0.0006007593300178088,0.09785912088982758,0.042678948135557025,0.005842344683892084,-0.010845501323112258,0.06459908539402222,0.013802995642064438,0.06413272935375713,-0.0027950430122230677,-0.004921766766316245,-0.004202680369069267,0.024287410842694403,-0.005715729918070377,-0.038510374398896194
