,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current","Other Receivables, Current","Amount Due From Related Parties, Current","Prepayments and Deposits, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Leasehold and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment","Flight, Fleet, Vehicle and Related Equipment",Construction in Progress and Advance Payments,"Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Leasehold and Improvements,Accumulated Depreciation of Land and Improvements,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Furniture, Fixtures and Office Equipment","Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments",Accumulated Depreciation of Construction in Progress,"Accumulated Depreciation of Other Property, Plant and Equipment",Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Software and Technology,Customer Relationships,Other Intangible Assets,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Software and Technology,Accumulated Amortization of Customer Relationships,Accumulated Amortization of Other Intangible Assets,Accumulated Impairment of Intangible Assets,Accumulated Impairment of Goodwill,"Deferred Tax Assets, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Other Payable, Current","Amount Due to Related Parties/Shareholders, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Bank Overdraft, Current Debt","Other Loans, Current Debt",Current Portion of Long Term Debt and Capital Lease,"Capital Lease Obligations, Current",Current Portion of Long Term Debt,"Bank/Institutional Loans, Current Portion of LT Debt","Provisions, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Bank/Institutional Loans, Non-Current","Borrowings from Associates and Related Parties, Non-Current","Other Loans, Non-Current","Capital Lease Obligations, Non-Current","Provisions, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current","Payables and Accrued Expenses, Non-Current","Trade and Other Payables, Non-Current","Trade/Accounts Payable, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Additional Paid in Capital/Share Premium for Common Stock,Stock Options/Warrants/DeferredShares/ConvertibleDebentures,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 5,Debt - Interests Charges and Other Adjustments,Debt due in Year 3,Debt due Beyond,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 2,Capital Lease due in Year 5,Capital Lease due Beyond,Capital Lease - Interests Charges and Other Adjustments,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 5,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments,Total Contractual Obligations due in year 3
Net Income (Discontinued Operations),0.11336465081573661,0.04828537927501057,-0.006861836923556186,0.005302081746805839,0.010030344848276977,-0.002849921489126266,-0.027477171698880316,0.03673164217648988,0.040748453481910904,0.03162029595374987,0.0351640190898353,0.024764031385481815,0.07906184073030335,-0.0006414489883775935,0.017037902023908324,-0.0006976544322280448,0.04795802718771089,0.03591430472401159,-0.010858845354460417,0.003895163345633933,0.003094858216327278,0.001979775489121014,0.03911348546385964,0.02900905607762653,0.0019322450933210835,0.027769606492052068,0.015094101484449481,0.03467150985436069,-0.011857116737699198,-0.018139438041329704,0.027457560265042875,0.010399616043737892,0.038522147510427186,0.09890338405790029,0.1082100204301262,0.041844247544408644,-0.00741128110551258,0.04878567920993677,0.051244624225868354,0.09589400665032213,0.06827881923393632,0.0020180849005094637,0.015481174334156033,0.009485419707672946,0.029338830007117282,-0.0031378663269510804,0.010256389340373349,0.02471037159661414,0.010614737975976745,0.050686655810429,0.0540117398998552,0.05425867878228285,0.009339206175545258,0.027102443221278104,0.012449993340957756,-0.023465270963857983,0.01934003714295362,0.09591922511153318,0.021541088376452654,0.014433637386951526,-0.018630210781110133,-0.008232741026793512,0.01579546124449786,0.07418493549569435,-0.014471377996894394,0.014367970753370351,-0.032170427147667886,0.012800378734891399,0.006166673907826457,0.006278250375670926,0.022747505858807273,0.03134505249935608,0.026312782340532134,0.014480346055640168,0.04484027857007275,0.018008792158122365,0.044544539164095245,-0.0010964658385297474,0.026808542357409964,0.02224406342741798,0.023665875393429764,0.0584311163784875,0.019822879198642798,0.06087019105008978,0.010171842236217518,0.07728259154171574,0.007993621605423645,0.00440978263698608,-0.030737880046065837,-0.005398557202142027,-0.024708125262937884,-0.025618602413527963,0.0005116331579853358,0.014529587036813053,0.06291837245934231,0.024622223534595675,0.08812145002774203,0.11931249878463397,0.06948220068866989,0.01555880756421801,0.0101096110326892,0.04953317162381996,0.04169525612787313,0.058648305848397565,0.03869205887734759,0.0096576747571868,0.059445559164607815,0.011960788208333887,0.0006164667851265883,0.03706619746556659,-0.002933542786159963,0.04250260776586685,0.06283551744862778,0.07885606103602275,0.058140186943320266,0.03154853020261485,0.006816806861173425,-0.0035261722753741178,0.03243001998913769,-0.006306771183670347,0.041419192087962776,0.023506067421024773,0.07938855482168299,0.03900881067635799,0.06201383583468467,0.03069193203693076,0.049445999941659276,0.06539221605769113
  Other Income (Minority Interest),0.03958226678682567,0.030725119909775448,0.09270975022350089,0.07601463671147639,0.030181888510844978,0.033757123619533584,0.03786774423205923,0.028337014103593183,0.053159086974191236,0.025860538791703545,0.037227149658163775,0.040187688581342015,0.13032524553980343,0.06988028341201023,0.08558222660625867,0.06538995683236896,0.04984208236226172,0.046214568179753314,0.03453758264807643,0.03758075797925819,0.04681036506349416,0.03598204432865179,0.004251904039030616,0.009530871871994126,0.03675547645694443,-0.009667296053370508,0.06854354992263866,0.12939341142094496,0.08628225548933345,0.08379188504291898,0.04283313909760702,0.044291001620476944,0.05022640994208997,0.06475174953100166,0.06431245771871479,0.06744337645513228,0.04060387045279998,0.05492872307189205,0.06242399369211394,0.025382096471948324,0.14992134075376962,0.019170305803280316,0.06891153376012697,0.01708033198328333,0.058846286754805806,0.08053120511232724,0.03997263309455606,0.04462117706048557,0.0751510392572758,0.029920395962117437,0.03232778031842359,0.08757084661212126,0.05904570534778528,0.0638324707064594,0.02161148781388787,0.03505696843548891,0.04043969546244729,0.10740587736360185,0.06346504038392253,0.026300185115731095,0.05396725756799016,0.1384725346822169,0.03957295016661523,0.056927481718161636,0.05194865080844984,0.061361482364366775,0.012438125855486832,0.07256625969219496,0.19076999191230742,0.056999086350756394,0.06920712821991988,0.03870586168395329,0.01760742904543864,0.047188477752963795,0.031539487782407304,0.04952287643526814,0.04024982340953727,0.025314791230993058,0.04801479956559683,0.08778390255993211,0.12643431621813897,0.05446428796136011,0.050813699021510034,0.10341483858722204,0.03312569188651471,0.11403434856982483,0.0868856545658853,0.05003176847113107,0.053858256971227855,0.054519624572839126,0.05350253084371565,0.039681673755165174,0.03746464614116967,0.05039160395365581,0.020533106900772,0.039680035512022455,0.1114835018413341,0.10406362610080486,0.06544165023898599,0.05040932587744952,0.07520611908510097,0.023408498605178917,0.03162696933959464,0.12839177956090753,0.04994092733139394,0.013611575379431824,0.06653363905197823,0.06477138831186438,0.06931718984123778,0.04920237675791486,0.04807942210751279,0.0914191717540582,0.08522144732772173,0.08323734680121019,0.08082819561504997,0.053094628332061494,0.08512742602645962,0.094899684380838,0.07056342801590322,0.06307892785574155,0.09104034758623668,0.0318408689921301,0.05798051898379909,0.07251546986440398,0.024496839539409298,0.045118943144730146,0.1178690309025315,0.050739816940999875
Net Income,0.022282378465951658,0.00710959977552298,-0.010143523496779697,-0.01848606241816847,0.007276148374194352,0.012095168716476364,0.016319243691638764,0.015116996541073622,-0.015824309353654722,-0.008039278420876577,-0.01358820825042975,-0.005172769994572271,0.08006932538752709,0.002018149017528842,-0.008432627231530283,0.007336307939662476,0.011956920734996426,0.020412804295116136,0.008824065945998829,0.03890107990712604,0.01653522018911505,0.007055206557291629,-0.023800601266523704,-0.005825660044417678,0.009548861284678613,-0.036140420038448876,0.00959381195098409,0.03569049001823939,0.045461973248921164,0.028586531938501983,0.0012194542018327216,-0.00509593943249447,0.003864350022422624,0.00271731912064596,0.010134355590938504,-0.002767525801898781,0.0009107839902873288,0.022989177924614055,-0.014574442881489832,0.0959611448513307,0.07260354149663184,-0.016170517180316053,-0.00367858838916212,-0.006751549090914374,0.017574466247090255,0.02501369851809187,0.009119891739778762,0.016574300119302603,0.01715571160194237,-0.0207526517329266,0.013091053617646483,0.009468555334433039,0.025097641193148595,0.024419496909392952,-0.00978277101320733,-0.009254198522796745,0.009844404371244371,0.04821573201759143,-0.009151412376862927,-8.100554808181766e-05,0.015242777047019748,-0.0037104936645351466,-0.019102733345879384,0.018978560917903505,0.011497688517037993,0.0019539103886412794,0.007653537749262736,0.033329316045094884,0.027727790275514794,0.0036426295875738026,0.004433194226673663,-0.008436349697711535,-0.012034061189607849,0.00449971615232198,0.013992125447800976,0.015612325039648824,0.0028029310675547073,0.009177343856775483,0.00013304231867918015,-0.014353451815701466,-0.009368426012430802,-0.0024853890310793303,0.002093436390818074,-0.006453474513182409,-0.0038689203624574964,0.05376049632014429,0.004204498890473563,0.01596433121417195,0.011536095414712294,0.007519470118757983,0.0037446331081160723,0.0009552922229893656,0.0377569805344678,0.010138291372989836,-0.005502541413390322,0.0021287279640914243,0.08016017564228663,0.07347936739363008,0.01774059597014735,0.0026376717180755047,0.0355023232905346,-0.0007355369170909485,0.009394370784878375,-0.005474541650150877,0.03106408551417194,0.0010174362315937655,-0.006152140079411925,0.022905287842631766,0.019829941073218362,0.03015030834562705,-0.0036047958296134028,0.02819793587247988,0.0017331895406327309,0.03003167149479672,0.022689036197911305,-0.003380248204867423,0.02026160997550972,0.019166866473481443,0.02540743161558076,-0.005235133921587368,0.028550385959759866,0.016571432321001302,0.026035911591521986,0.014202238653918871,-0.0071550557301394615,-0.0007963437486149499,0.02425553818384341,0.014058206714165494
Net Margin %.1,0.00481234240201975,0.06423851878502909,0.026571411584204407,0.023285965435714647,0.05777615205711134,0.0010405701205124015,0.025656496459690585,0.062375289897666976,0.04570976527327982,0.04392693339447093,0.03797268138105668,0.042157325467346775,0.031119899161397777,0.01931502761709947,0.012471714454900397,0.006978728937966383,0.052468055892472484,0.06792538541642887,0.01648822844318249,0.012575667738710229,0.007904159106735116,0.008478391959560216,0.039557737609832194,0.06272365495000562,-0.002697470344589129,-0.007007483394711313,-0.0028747216968388776,0.04705983868738855,0.0069108244426940475,0.00651571385239241,0.045910987739203435,0.03417997447894292,0.04931052942608286,-0.010128003378750899,-0.0023477640751811846,0.03361673088350244,0.03680768557454046,0.02565900364841859,-0.01009552038608624,0.07643061110098896,0.06322215040915745,0.034941382118405036,0.05138526842150089,0.020472261437679676,0.008876216667403332,0.02216202917432903,0.04617784765692557,0.05454777212611211,0.03629573445516473,0.044394553626429814,0.04499904425303311,0.05231044184877946,0.04662084773805343,0.02722641385908183,0.003501905979439038,0.014859265284605403,0.06323008453144711,0.042062510064479315,0.042491823297495145,0.03501927522506264,0.00902261812787942,0.008645010583633001,-0.008381931931287528,0.021620715982314666,0.03319828193924444,0.017406554743124608,0.03341407304225989,0.03779790655361373,0.03371544809674922,0.024798292550805713,0.013724502058074411,0.004740961821122565,-0.0006461408695898631,0.009877404073326771,0.06323602801461996,0.05197896953997739,0.050632237392667465,0.059567735818654814,0.0464565437434076,-0.006475228472541137,-0.0012674904496972426,-0.016448615386323688,0.024744240154982305,0.02051437664717547,0.022427788572114353,0.020849094315753845,0.02284486841847091,0.02482928170389259,0.06046597945226227,0.04774660072309715,0.01303295389157475,0.002000102793842418,0.017478478535334834,0.025162090599653714,0.0038681381847455497,0.02063120302567419,0.057454054793958514,-0.009856919587628502,0.008055242997468256,0.06568671483437002,0.054913188300850284,0.01989410191822338,0.09433441699245113,0.009994559427867738,0.09956143034498209,0.012839507443734776,-0.007532750701980966,0.02903609551757706,0.025396880553759396,-0.014276785313340853,0.006670600351198474,0.0014744121264628628,0.000494929827124348,0.0034644242916254003,0.05764636451048811,-0.01967689168515766,0.036161804375995824,0.03998059183414001,-0.0035113389031462775,0.016057336998096455,0.0008198634001755521,0.020136374826051993,-0.0007539871666114846,0.040845980168617714,0.06010970712871933,0.01675061242986863,-0.009865828118087398,0.07572735622827095
Preferred Dividends,0.029042403248734347,0.029432219607727794,0.0063610326469743,0.004428510489698769,0.014990051924572208,-0.02390095987130244,-0.025071207373426118,0.0280937289374747,0.031045933495083354,0.046421243286913445,0.017069097572037714,0.012705262860902435,-0.014082440292132185,0.01506767830862683,0.029339294201488612,0.015484680626386905,-0.001707699052422832,-0.0024429890866897626,-0.00998338352242637,0.03222637354607778,-0.028785395133003933,0.005941809977432136,0.0038556171240300362,0.0014269498372516533,-0.026083358327091785,0.003284039430818429,-0.002540882619255042,-0.006527170777080538,-0.00033990704142840744,-0.0066144320453988634,0.013986067443041466,0.005504232263511961,0.0366732698392777,0.09864813387200308,0.054311756580352234,0.016631562294047227,-0.017973364146506552,0.012285442767252758,0.054628749799202604,0.015423339675242604,0.013178031130070817,0.01018279659326854,0.0065085909342865135,-0.008123479942074173,0.009123437516574165,0.003307877391794627,0.0032968259621406143,-0.021954284730935088,-0.015809984854347217,0.023739316047497717,0.01722431909534926,0.011511722535431854,0.026613015954587285,0.02452317910395994,0.040945511480040706,-0.016945569835043205,0.03188601870966476,0.031474917316316325,0.02831544421117177,0.018081144479435,0.006708065940004726,0.007013846090891861,-0.019393793361709565,0.02104250609139623,-0.023578149520856233,-0.0019351588217177331,0.014446259949825437,0.01989977146429279,0.017573667604442553,0.0031221960545395533,0.008625782568829957,0.029049328830540795,0.007174207552026567,0.02274185892775689,0.030781662879629076,0.023414361164290916,0.01848101687049204,0.022755750937630027,0.01559545672266161,0.009634247474967376,0.03456305465783936,0.052796330214346925,0.016668569299428622,-0.01838928848689786,0.045536789385029905,0.0057041126723407125,0.005014430495711005,-0.01485115295541084,-0.037813372480855666,-0.009832487509745821,-0.005053036941190041,-0.04481174810311024,-0.0422027542728481,0.025711355222599888,0.07347971366536393,0.08150101052023656,0.09255104909431607,0.060128526244951255,0.05321919785855175,0.00523226050536232,0.01608730259316058,0.05588243919953162,0.03908747521244247,0.05161287356461101,0.038407941144514034,0.030071555335321652,0.009008404252279955,0.01955704526669923,0.006347514014897708,0.04659418350290676,0.0043835389565095775,0.05226768857992156,0.014196648861803104,0.04640478218149138,0.016562107576307963,0.03716672930784922,0.012892503198830316,0.0007975779846810236,0.03941282601020158,0.0050265752721364645,0.018574236113713945,-0.0140654298695998,0.014388091994347766,-0.026265711349882533,0.011883297670429659,-0.0230003424542302,0.007051983629108163,0.011012687136108524
EPS (Basic),0.03222337622329942,0.09900693237278031,-0.0012346160600525558,0.00236046812715987,0.07793859297770014,0.0867826610189807,0.0921281441000093,0.0951404019055622,0.07069266439637432,0.06624367062815605,0.08402006420407326,0.07997371137340968,0.07188576189761611,0.081328201991122,0.06635716635518317,0.11449989140448627,0.04831096940525196,0.08044686841016983,0.03324238466432477,0.07050750014175743,0.08502162582116926,0.0782335757176033,0.059107188152242085,0.1190266981843468,0.06252077580132764,0.050766588033823654,0.07350613608467862,0.0670506392494768,-0.0011672056230996423,0.014104227481188813,0.04539202482458132,0.010495424101947516,0.05993026461837318,-0.020482408586372146,-0.007540481076304591,0.007297278223999214,0.06209220702537961,0.05423582465959797,0.051830940888028566,0.0752320160024569,0.05621051231725068,0.03551952791461657,0.05026612540764598,0.08725510145077602,0.09678596953823108,0.08102699310516343,0.037303305438502736,0.03448003571287999,0.03401382927818371,0.07033502138301817,0.08150311508165166,0.05292481458850372,0.06607642442908916,0.06540551299445246,0.04235708727363423,0.037684213959744965,0.08197985463255246,0.08576244176944567,0.07935550570120276,0.06630791423044247,0.0997044621337659,0.0846185388180032,0.06617808103312967,0.08441893049064712,0.07987379695521546,0.053926131263571646,0.07568680846700666,0.04764198281295203,0.0332273816862126,0.05291376514172403,0.07999743868141734,0.04901883733625189,0.03890097771194177,0.11465469110493265,0.08035777459321759,0.06921859438016517,0.056554591539790366,0.07664600317127793,0.047969377443479684,0.05620665107593463,0.0753036163863725,0.02503337142469066,0.09682581297995976,0.038997988208577965,0.02931029274226229,0.08787174784095958,0.08533639520073961,0.06298981013173306,0.0739460180782299,0.06222413515027727,0.07619830363796162,0.0856171372992126,0.08586221130442517,0.04360646326415275,0.019595230556872303,0.08442930503529297,0.08666062441756478,0.0574436051506351,0.056851709798321076,0.05951882018082819,0.04849817823558319,0.025751372393046687,0.041455628375824866,0.05684553787977963,0.027949560787588534,0.04220840932154143,0.010593277587823966,0.07874616198048677,0.059174776273807426,0.024878698282471773,0.0649041756596022,0.017723453616547473,0.05210536773458592,0.05346037418059267,0.07433386727749403,0.09079915788174628,0.09223326560578475,0.05771447996524529,0.014000847469167944,0.09152365964393802,0.05294979701244955,0.026872793932974887,0.05361021826494855,0.08045052344169945,0.07305644661040353,0.08389610695683872,0.04770059015267225,0.0497078855608622
EPS (Diluted),-0.0045552465342195946,0.07476096577019829,-0.00230951085752901,0.030799339254628407,0.11038348617473234,0.06755516766494903,0.08849416182388076,0.10133838744157653,0.0749689754008788,0.10241908731287573,0.07156843256652681,0.08024272449339376,0.08648798261449671,0.09903494235239184,0.08283260796884198,0.10051524271137835,0.05544186521316296,0.05515247562161727,0.03847966406886634,0.09191468164947425,0.07166228493103777,0.07961529218912779,0.04739077187403925,0.12201200791371113,0.05433247339206057,0.02572387977852405,0.06130844493513192,0.07533643891365795,0.015048148037953905,0.050133304245861654,0.08249986200897895,0.036927701161466486,0.09099241703886249,0.005425566462354408,0.005910779863099387,0.035259910062977594,0.06985144674423788,0.08674400640158998,0.07144037584121118,0.06713500505473802,0.0630004944191794,0.10733786614906142,0.08164593902201718,0.11514106191304826,0.06649051270749248,0.10272749246193422,0.05145013762054013,0.07612162258989151,0.07537421073245343,0.08625558000013776,0.09552024932198783,0.09442709083633188,0.10778483389115638,0.11535483655279334,0.06177116992987412,0.08780019565545553,0.130249094382807,0.10332521023902974,0.0804814485482533,0.05836446019206435,0.09770131082919085,0.10315794021177216,0.08254107447416605,0.11438940875685509,0.09626660402975692,0.04854606963674859,0.08952703939209174,0.04313191890902977,0.05279493357887301,0.05040418448723845,0.05033544670765316,0.09927880706211911,0.038647383415002144,0.09885372905666652,0.134707471708718,0.09026476604757112,0.05175797171841477,0.0978157035502418,0.04536707526152827,0.08282841838148212,0.07660095112681842,0.016554256812459717,0.10177201237863931,0.06675855982796372,0.07041872380957935,0.09830816402055073,0.08945220307762268,0.0687701018168673,0.11410552677326966,0.06919423498982676,0.07709002624510357,0.08459609706762891,0.06567134702916892,0.046590983750121794,0.019925955971610593,0.08235142941156622,0.1065038648232776,0.07180361491765708,0.05292748127543393,0.08984512942536453,0.05758005187971195,0.061398636924182036,0.07853182645146607,0.05965249075064789,0.06884977906050375,0.08907436353198142,0.013789160171436604,0.0940824592387741,0.07030479673368917,0.03873650875919712,0.08683728752494192,0.017454448224505592,0.05395224442978019,0.054719689404864394,0.07582155122916617,0.07863425129926567,0.07075941528665822,0.056610674354653154,0.019418720820735758,0.11682668211816971,0.025458242136646922,0.030235004897332805,0.05365750570905391,0.08117189574266684,0.07428051426199278,0.08811046042784478,0.0482504720364704,0.04986643856324344
Shares Outstanding (Diluted Average),0.0758829365355853,0.04746987416783957,-0.0096812479347823,-0.01367834199321663,-0.03518824987548859,-0.004952493049344015,-0.01976938803462928,0.015770914235797188,-0.013159291899035558,-0.013538144337275668,0.05672183016902472,-0.02238146280059905,0.026462405865512708,0.026236748776056827,0.009115568311564744,0.023242514106109682,0.0694905758868096,-0.009488464658688703,0.019859361067132913,0.004090057546821936,0.004612108903332139,0.007310510554915209,-0.03271636038466548,-0.03393528341449514,0.003482678480333128,0.017432969587645654,0.018036645292240402,0.03371344552443288,0.0648455750044642,0.047391621362851105,0.022727817547321415,0.024499258456808632,0.027635243757555526,0.05304463544960009,0.06553279891676952,0.035766376485898865,0.01609342906422699,0.05055169556848598,-0.0014205599005087024,-0.02838068396658124,-0.0044330980709436415,-0.059278331237357935,-0.024031168540879423,-0.0011468023026135878,0.015769488036874165,0.015447572056860122,0.03509431334455273,0.03096333662795262,0.03271098907729106,0.007566532688757268,0.010872956881739105,0.01207978832797614,0.0466131433680194,0.018581390485031574,0.0010005961609103632,-0.003581743494547038,-0.01765529461491515,0.004832784283186963,-0.009732667043355177,-0.017110635707322283,0.016984736462573955,0.020927251898086374,0.0687119666051165,0.016617611437071366,0.00963069602969425,0.011170182823447245,0.020846858348663323,0.03097324466277964,0.026606414539899523,0.02879364201761942,0.005573905902233913,-0.02193330240686922,-0.008407608510769243,0.0053146890728729785,-0.011755260142206328,-0.009025435716403369,-0.005203308068702894,-0.0215428908946996,-0.015057227301284264,0.007937957113613904,-0.004599201235450973,-0.021022860395618816,0.009214662503671433,0.02192378661904364,0.03438385679627565,0.029322277238689704,0.026592060740007195,0.01577466776454264,0.0396951932974034,0.07181924660378333,0.002525087664279305,0.04943029263641873,0.06202165140109338,0.04351297495531667,0.06653211236250589,0.10286850581508598,0.07960512333960273,-0.00011782108544297588,-0.005511086993865999,-0.023671289529344285,0.022147981678006932,-0.024016790126570667,-0.01601136669112827,0.005003494286259939,-0.015687435354534977,-0.0199597720677517,-0.027471945914174553,0.02754388118582282,0.017075944071799513,-0.023477873802620078,0.02185731143788153,-0.007433939897788084,-0.013298231073984946,-0.012832119063949538,0.04580210654323834,-0.026539966602353676,0.029913714811618378,0.01847513478554734,-0.022564701699920975,0.01839526121324222,-0.008416589708679787,0.011693978830761138,-0.012614228008695808,0.018957251673931818,-0.01657984196085273,0.022217025923959778,-0.00208473157789703,-0.001798884589559013
EBIT,0.0249282822846947,-0.039578927881961476,-0.04264666131530584,-0.037997448467006846,-0.023291612110344546,0.0036477150979873805,0.007495377216815298,-0.018637150872141947,-0.018197638205394207,-0.025358434765021698,-0.03086907210923083,-0.03243737239270624,-0.005247872528093056,0.009477684670519926,-0.04299115194128889,-0.017331076309408916,-0.022628801781315003,-0.017092885304113473,-0.01122884466154835,0.026605337934440892,0.006061020557565407,-0.0024745221959679587,-0.0243385765047696,-0.015276577916024782,-0.02018355119618263,-0.01648617638708426,-0.02577034976848795,0.01732689344766743,0.01916021149501927,0.020331895499142463,-0.009752897806597164,-0.01352369551869935,-0.0038426698204283307,0.006040215847883668,0.0202161795681824,-0.021467951436011268,-0.02250622903315702,-0.009055389373451572,-0.034777272798883055,-0.01965078161039066,-0.016269493833362816,-0.013255245783024013,-0.02284466705024943,0.004288073874215425,-0.004416663089854198,0.005788232320659361,0.004071454152583154,0.000750502486265214,0.0012985533802467005,-0.016429357579489386,-0.015400276115757913,-0.024429434990069603,0.009702728260182722,0.009169256837536782,-0.0455708653541,0.013285429746081538,-0.0023316546252664366,-0.015608440312067259,-0.018878096382043033,-0.03884957192684475,-0.02031138086525103,0.005989587101781026,-0.043856005406846685,0.0038272545498014565,0.011958450908490516,-0.024759401417577737,0.02996903006228045,0.022335222607438306,0.00047156476511485347,-0.01434611679531311,-0.011430284330204916,-0.03753731139422403,-0.04531482076641231,0.0067984522738826,-0.009703531461158198,-0.018318596948443972,-0.03913517845751407,-0.020350417979844097,-0.042499786517674956,-0.04342422781757348,-0.04391407368239286,-0.05403938321621636,0.0036482781700261915,-0.005025482380890093,-0.013887220839447247,-0.005972062473137696,0.0065752445833172305,-0.017008006616570533,0.016111460071701666,-0.021428290536804444,-0.019246211549935062,-0.01693137044016107,0.012466041654732555,-0.029554335087887365,-0.0491906448824883,0.007931339015071556,-0.015883973808351902,-0.023985810877915854,-0.028074028966528143,-0.03385943006339932,0.03525974483443952,-0.02806399178310327,-0.010579345028723808,-0.047819450591271274,-0.012126589418372146,-0.002858127488646082,-0.060770059152173116,-0.00526398011845759,-0.009376462209050905,-0.054126005643107725,-0.0019154091817151768,-0.05675812570536319,-0.03955969895204431,-0.03018164867608605,0.01943944604756244,-0.020959144293903373,0.008833118230942088,-0.007931723613709727,-0.053273876808442415,0.0198588146259665,-0.05683121576854268,-0.010215847658855727,-0.03190846494104499,0.004353232915262807,-0.028690003584706886,0.0022054659044645946,-0.053303085844053334,-0.010579754002804625
"Depreciation, Depletion and Amortization",-0.029593042060389693,-0.03085701441453227,-0.006788738859812619,0.0028736069198152794,-0.04881382469616746,0.052676130529673806,0.012579192873645409,0.004610124528774929,0.00744984901792768,-0.015304552382807028,-0.01669865565647876,-0.01978170861511521,0.038982665730559224,0.026658275170523875,-0.0013236424995559607,0.05849961548719206,-0.011225383967224334,0.01399321203424808,0.02292628878059501,0.006572967798361852,0.045199956061248665,0.03365065106447782,0.011497538688049456,-0.005732934762505399,0.03555025387551244,0.0518693402286535,0.056475669179806495,0.07205468053736822,0.27525353360234045,0.29012966761858294,0.30976288147267894,0.07966938527368107,0.06729760306808868,0.08081936846934384,0.05975863901858551,0.10839236415550896,0.09638678025764617,0.15097612083202683,0.097031410621359,-0.04231390945256678,-4.21064126630644e-05,-0.034820237626863496,-0.029949862423825517,0.045626285086981314,0.0340935471413449,0.014185684341457755,0.07653743307546547,0.0733143903686525,0.09460506489635481,0.09408223531074751,0.08785602909747531,0.057695018241158434,0.1003039632271873,0.03357716280228581,-0.0031266355994328896,-0.013252961538770066,-0.021824831178979185,0.004602583107390892,0.0023318032453641317,-0.02355913125892363,0.017069027825238753,0.017670899249194204,0.0011551585557478497,0.026047174649420572,0.008686405504860004,0.05792216793960851,0.008365736490290519,0.03648628289420957,0.029842463983850268,0.04938570269018253,0.040745950373165404,0.019692721476940456,0.029556418674857844,0.024551720686838797,-0.024602290733650705,-0.022506109725596038,0.020593587052018632,-0.048515013934075445,-0.00906200954847238,0.015807906773849245,-0.007316435919893121,0.049937837483508114,0.028649122333218677,0.02561368697166423,0.030615295127555488,0.04834384148845428,0.05231259686458686,0.03074556928967823,-0.018504504134733948,-0.001168751515027851,0.0006394266609613345,0.0018645369135150713,0.012439227980317831,0.0404527783379335,0.007044109044419279,0.11537342610082772,0.001709392331728872,0.05082041917628564,-0.017476377894611064,-0.03141336655746552,0.020334501670899084,-0.02964721973787305,-0.029661903254383087,0.025791242406378475,-0.016404944586041935,-0.022902821665944113,0.0447030452774687,0.024131547417528303,0.01382325206104888,0.017559874148993557,0.015126844771884725,0.0504581897375418,0.04970709962226247,0.05555949098092734,0.07482558944546439,0.00046832450652922915,0.02477339749552969,0.015308764344852278,0.016857154231591308,0.012863710107394054,0.042208524125720015,0.0235443265502525,0.054217379112471174,0.04340790104742777,0.006225774846084662,0.03766179543110161,0.05650764186795462,0.022210595295364177
