,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,Selling and Marketing Expenses,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Net Investment Income,Gain/Loss on Investments and Other Financial Instruments,Irregular Income/Expense,Restructuring and Reorganization Income/Expense,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Effective Tax Rate,Reported Normalized Income,Reported Normalized Operating Profit,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Diluted EPS,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
Capex-to-Revenue,0.12103354890127774,0.25537675912997815,0.25896012046636896,0.19168311042267294,0.039669786275736425,0.17819721190259616,0.062302000079036544,0.10267674680733276,0.10021082143955816,0.11345444176743028,-0.010627667353614378,-0.0020893560313315403,-0.006411666367545467,0.02065778259511307,0.07645392035211963,0.03827904838068744,0.009218612650320106,0.09013809911873684,-0.013710715195859511,-0.029254799949358482,0.07456284754479141,0.013658505681775283,0.10935896408617259,0.060013197733534904,0.03691438463478208,0.047630715823660776,0.0025503545163093055,-0.02362560777933277,-0.023881860895224354,-0.022960990649506845,0.09533899572446644,0.06969691683776595,0.21636892238658342,-0.04972714598213379,-0.007740048667071905,0.011031502734004352,0.012056126746148175,0.00642602534619711,0.03868404567188353,0.05515558743896459,0.031185657896144733,0.044660619706617444,0.07500837382516733,0.06287932631924024,0.07237859177620139,0.006306315729089882,0.006046400537458908,-0.014733339466756715,-0.01706129283137041
Capex-to-Operating-Income,0.0564160558738091,0.13792481759004188,0.115299892190515,0.16915167196156078,0.09309837905422316,0.2070444132113024,0.08960825239869316,0.09736837469367252,0.09943828534934122,0.11454007945847286,0.020876259372929064,0.018983961915946302,0.09929890550302893,0.10207948785132658,0.10223536493562742,0.10590282118509206,0.07520070542482707,0.12691346024258335,0.12612953407049016,0.012164095885028706,0.1040435860717414,0.09029339639700483,0.11231652913058465,0.083519735905319,0.024207688958508562,0.07868437727692595,0.08180697456518418,0.008130016787962175,0.02920461435711333,0.00651716149225153,0.049043121383061425,0.09922618931910449,0.13791357200375776,0.12753386264379354,0.03657854787499336,-0.0006518073198613751,0.03847508587662708,0.0577018841417634,-0.000648809853450295,0.062314219807059576,-0.004939917422702258,0.051134298040432076,0.018125084148565264,0.018255828347548863,0.012445164504165284,0.017557873740919647,0.012240547352518193,-0.017624611170676797,-0.022071001478328363
Capex-to-Operating-Cash-Flow,0.011193936966265486,0.08860437990409531,0.06333540189151553,0.09103033677334221,0.10240454463542395,0.15264437665033373,0.12165476044861862,0.1363435633923676,0.12845555876084996,0.12163381331179822,0.010496060070079352,0.008237532272802255,0.03783114467483628,0.046214375807192704,0.0054144611894867975,0.006786168926416268,0.016585278084042643,0.031100603983544296,0.020595870930309693,0.006849708199031292,0.011976920413762984,0.0105222743865232,0.06274373614468318,-0.017996566217353082,-0.018531257628497104,0.013052370430789023,0.012195744258225064,-0.023093474408984384,-0.006619863219843866,-0.007549237047484029,0.006191746756305533,0.03245496055340725,0.10312193893990407,0.08244768227345717,0.03668544441047626,0.02721485762592611,0.0013422416807211722,0.04579144446212722,-0.021703434027150924,0.061436823616972024,-0.02571966549731095,0.05136484065886083,0.021051349868666774,0.019219284582071144,0.006382730683190838,-0.05552351759237815,-0.05564471426898558,-0.04269355477721701,-0.04401089210336724
Revenue,0.08793918431696687,0.9102326389229851,0.6476895985592657,0.6963444433337118,0.03618957744205733,0.09149454152410047,0.06792068576044052,0.08268495045734041,0.03456472721195654,0.05415542886156433,-0.0008513286454773618,0.004774796996708508,-0.03305438972419866,0.0649287895134547,0.04927503503789681,0.07223242164786563,-0.009076598844124257,0.05196026146441208,0.03209421258130238,0.02338124944087961,0.0775601090894579,-0.01458143793244841,0.02949086458708145,0.04983933885997367,0.03358018933589914,0.048479539284603024,-0.006715466591705774,-0.013748604480156159,-0.02406889436506826,-0.024194246642837758,0.02108958620470329,0.010706519682139998,0.6394821252963774,0.19205158021787136,-0.02040831306663093,0.06608538433189677,0.08109124891644587,-0.0070385154887820135,-0.03130273070642281,-0.03563655155495366,-0.03893175662576185,-0.03724577200685236,0.03968930413936845,0.03895461134910137,0.03948249986646929,0.0024524196692553906,0.005039702042364501,-0.014179569872785304,-0.00984238342536329
Cost of Goods Sold,0.04663589381062621,0.003496157529781347,0.01714814619284778,0.16049099366853498,0.3166771283060863,0.014237875000665335,0.07791311112763752,0.018703465865969333,0.04037942878876925,0.04899271076910764,0.014943164849033979,0.013656474139354193,-0.012054137160123598,0.010308416741667853,0.015473665951082922,0.01182360722499209,0.024972727928696956,0.007457168512033232,0.03414648183551741,0.01888752314705064,0.010858590949067172,0.01209020829582311,-0.006487706802760634,0.005464312461816813,-0.01726274563916602,-0.009779202596665131,-0.009811447984548884,0.006113431093760328,-0.01176338042978068,-0.00597085648142703,-0.002179402334007022,-0.020095231150969346,0.019788372384310658,0.14272110333274746,-0.017417234816225202,0.010028831297757584,0.002048160553662432,0.0075359869885793535,-0.015997938688245998,-0.030509049314246906,-0.024544716861242096,-0.03745251613618993,0.046071632502206535,0.05048092495217513,0.007561113462284226,0.004987757130335302,0.004821868451295467,-0.028786551219538596,-0.03413097000390704
Gross Profit,0.9592604334264258,0.06234683758161443,0.0779222085505998,0.12206220824938269,0.029345786125057935,0.06068150154859861,0.06806604150497587,0.009382636845693171,0.0236276682943195,0.018394912005826814,-0.0019197381313268234,0.016726791061116488,0.19028859344063084,0.06033222807219998,0.05840399691689494,0.04173634486633416,0.0734819135655332,0.06392267805427043,0.04817305314336117,0.06112936631631505,0.058682430759478356,0.005738517602617638,0.05511349157400617,0.03742657356007634,-0.01796501373825829,0.036331028488760894,0.036331028488760894,0.043360740971461205,0.041780703716099085,0.04350343573722217,0.021053556812291624,0.01682545103434717,0.06249785192088988,0.2074054267798143,0.058331509000507736,0.017693179030301747,0.03867062004368225,0.07281824602657053,0.005718625654001778,0.0130131286444452,0.012161720928619018,0.0064168909414321264,0.029610145364458162,0.03442583271952496,0.024349594852186924,0.036419427950220455,0.036390685636635514,-0.00492429029618021,0.008152683141693422
Gross Margin %.1,0.2605611595985149,0.09141550154802366,0.12059400364065967,0.03062898315867056,0.034410486076508214,0.09650598302436555,0.06385354014926077,0.09257893369973025,0.12768460705248724,0.12614376399483482,0.010034762165567881,0.017880972533007626,0.010514370503244922,-0.039160221867822934,-0.022813711875546597,-0.007781162302995736,-0.012444285031161847,0.06469020651672402,0.008987746731366913,0.009737166322790921,0.010813324098648425,0.010319616092851747,0.03755768277199377,-0.009233756186242132,-0.00435605879700313,-0.02842806432614294,-0.028861438444192023,-0.03574827294810974,-0.024046092129015192,-0.02788700822927102,-0.00838503065434169,-0.012002471967139789,0.06152573373650466,-0.05003952340665028,-0.012932456634716,0.007440306587214564,0.00033003195603642163,0.07195642620842639,0.029155647181010585,0.04261953124871487,0.02392099451321178,0.03464865246320131,0.10515189976537376,0.10685807287482954,0.041302133513024225,0.02444311219809169,0.029206322204793758,-0.02177773501781429,-0.023216905415671434
"Selling, General, & Admin. Expense",0.07780844896836638,0.0654259343769468,0.07245584208536116,0.0663907333773189,0.09398076211198432,0.12458122029089883,0.5594088577032952,0.306655260046543,0.206956443593787,0.09035700995849694,-8.8227420886898e-05,0.0002671010261032737,0.05880875069975121,0.13877583741137883,0.10519644530481241,0.04268847776731563,0.02762283290019575,-0.0006903533958159754,-0.00012531607893631266,0.0060672888815093895,0.0330008124358719,0.09755022557350826,0.11379479725825806,-0.01836290222790748,-0.01671454916184353,0.004264950970833586,-0.013124144647693545,0.0007352348453762356,-0.02225292338756844,-0.023818493983044302,0.004929769987573736,0.07653169814742021,0.0912016816941448,0.26432305124193817,-0.002930564164688142,0.022744254598217974,-0.0065803026030930405,-0.00385727787921452,-0.017803142666003996,0.004079033745417875,-0.02440762550422463,-0.004942730125666149,0.05814171106940393,0.0552874558495033,0.013752982990958394,0.009850963068920093,0.005055466315630275,-0.014153738044873706,-0.0363617327312102
Research & Development,0.04632753980070199,0.014455621324668794,0.036050689615567226,-0.02721646719785635,-0.04310922747044046,0.02866363492398094,0.030299837237277593,0.027897613813314515,0.028397522859017626,0.35988353918672533,-0.01617745583009874,-0.011343481866695135,-0.024957944299726045,-0.026925347962598486,-0.011491166501864197,-0.0019346666061460308,-0.038373911239766,0.023991463787370448,-0.0015178429630826936,-0.01629422885115553,-0.04131564750354804,-0.029258221599250945,-0.005175215551896208,-0.0427587071257667,-0.038604588409073395,-0.02184302928028984,-0.03050452227291031,-0.024454507557166494,-0.03691275752782974,-0.043640280337390376,-0.014598304325788954,0.004629565996424812,0.023330294368071065,-0.03283215083651169,-0.04298690491990108,-0.04890557817606255,0.008624245441622547,0.004434188076338658,-0.011033616811499863,-0.0032210496135708726,-0.021684258260364266,-0.0127354622771269,0.02698651820504891,0.027392260952502065,0.003836902339166881,-0.02501490338978708,-0.02643623922355033,-0.04428326453551865,-0.023660095893759357
Other Operating Expense,0.06306478279334286,0.061192389514791556,0.060255257464845655,0.17827292673738937,0.19875218066060343,0.2694133813556251,0.19054956405510143,0.19352495650882245,0.11412112881285047,0.14004753985159216,0.00036604221826639803,-0.0035952111449110247,0.10605747450995387,0.11508241561643286,0.10420272249990561,0.09864435453329638,0.020841621748670148,-0.005006168780014739,0.0037450279001766274,0.025643451482165337,0.10311820542921449,0.10119344552933358,0.2591505608926465,-0.006654857910838088,-0.01671596516308089,0.08195322811969534,0.08386660528374226,-0.008316016208676249,-0.007266404829337364,-0.01449803498916048,-0.0006007593300178088,0.09785912088982758,0.004896305131707862,0.47087391021400005,0.10683008931392521,0.016264391489631016,-0.012433257461673205,0.017922141959524674,-0.013448187589073018,0.03251986234185811,-0.015315554599308081,0.02879124412722043,0.02389990554627672,0.02284001523369488,0.010329787926499643,-0.004202680369069267,0.0338621059991698,-0.023823393146151325,-0.044321884578949644
Total Operating Expense,0.0703334039690618,0.13637477875793702,0.09381575172625972,0.07720122875699029,0.10985912455695324,0.27304509448732034,0.10928019396694108,0.10774877844823073,0.1379285109664452,0.10620344794996948,0.03705364963622338,0.03374127680762022,0.0875809210813577,0.16710120887761606,0.13035912626558163,0.1314031225266541,0.1399590462191464,0.031026517926652765,0.03602607487357716,0.04591705257363026,0.1408672023713142,0.138764991376486,0.11791405305117401,0.016345692878339813,0.017347983377717254,0.10699043002566305,0.10883615823553183,0.01389761207452654,0.016180017045568467,0.01721170621924018,0.02177687674839755,0.09943370568444816,0.1198231033748672,0.6559962749753704,0.11185765142309063,0.061596299188396035,0.03694644176763561,0.09929847984288298,0.01049977012993769,0.06398156587830965,0.00816891011913307,0.05926048258939738,0.029002776119641346,0.027246652558347535,0.023703833484550622,0.014873407969004587,0.031167401288122686,0.014289931523247992,0.005471411469149501
Operating Income,0.05030160346251144,0.06617413691024043,0.20137524156387657,0.12005034509096078,0.029631078633874552,0.9678304754321536,0.1070616085814653,0.11768729426432899,0.07494916711284166,0.036722172499156575,0.0109792524472051,0.009023239473404296,0.06999503697935067,0.670435629514693,0.08744678352004134,0.09155530165220847,0.03213626880633309,0.10903740536453083,0.1198826899357193,0.011783095700379647,0.09931145371698115,0.10846842529711853,0.09443392218817358,0.10253092278293421,0.0369198695742317,0.06318683232587224,0.06318683232587224,0.08190377334941921,0.08633580725690755,0.09124016649388897,0.07265767023318964,0.4333822873164045,0.07735572175002542,0.3034166876061793,0.06478099327941331,0.04953640482113185,0.10569584934976552,0.09081766372441065,-0.00447492754290345,0.05574979474679482,-0.005939894405912796,0.047554839160687985,0.04640413543447894,0.0497596017088646,0.019815124673075956,0.009050048668864894,0.005825561499958648,-0.023129617582293392,-0.007999830133442949
Operating Margin %.1,0.13698614566840453,0.08741842193755243,0.0932378223695427,0.056340616272037694,0.06235123718823771,0.2609610626509126,0.13398922805842037,0.13333473915563696,0.1591037763765985,0.12807929138904156,0.022930926619315683,0.021046156790000964,0.09078367674686852,0.08492376785790273,0.0022368302031138976,0.004701424574683565,-0.0016422949287269763,0.0715498985335823,0.017246642228467668,0.008197617662178462,0.006813265756385969,0.015203702489525801,0.08449012345536272,-0.006523971744632002,-0.005322421714870289,-0.0009956447295470785,-0.0007334574823962018,-0.008730315439735604,-0.0037704471238227386,-0.01965204894766682,0.01124662415092631,0.09333087188195853,0.08526026337360443,0.06952468086424571,0.09025951506981977,0.024256035695742112,0.016338198096330976,0.11070236217809333,0.03613327670645737,0.09410812306070984,0.031448526987169746,0.08508626932894849,0.09125947025764398,0.09039261614487609,0.03739563267773617,0.032553061199424714,0.03063335692306256,-0.022692442380693904,-0.025670370264876254
  Interest Income,0.07234797910181594,0.1252324940655383,0.14877958411292233,0.10629387935392876,0.11058871382775648,0.1763416023505579,0.05119556046578312,0.057960974045760935,0.050367634419297994,0.059448108236268164,0.003866567441933113,0.029315236370383305,-0.0223396771577601,0.07429989475662586,0.09049188764123474,0.649517604593522,0.07218937333474464,0.9284268864784846,0.11335128062794034,0.09171700237984647,0.04767528079635288,0.0057912171327427035,0.0971849414714553,0.05993012695074182,0.0674125695713461,0.05219101908777337,0.008155510120576338,0.06994040755236643,0.05815281085371587,0.057313833274022716,0.07101617181318029,0.06268210072073925,0.06873312479316077,-0.04340903665953463,-0.021894718067353706,0.0723140925753137,0.09573211992533258,0.0014085231827755621,-0.0020994990428721133,0.012862200294789954,-0.006263780928849003,-0.015501575635797916,0.02201735421812017,0.025500070390939756,0.011690323769082966,0.007174191543417517,0.0002853068807671952,-0.056162637708085,-0.04658216702788642
  Interest Expense,0.030714718036532106,0.0203054117243968,0.026266435331491728,0.12567794936562915,0.11515943987546799,0.12790075109336688,0.11076777924354235,0.12702829687800352,0.1310326513264476,0.08780481656712225,0.023826615293514992,0.02369533749673757,0.005094890637429591,0.1704506163547988,0.12032517547765866,0.27230361131919334,0.5109058223833217,0.2658354109007851,0.0693193773681341,0.1114970602683317,0.11892035082394688,0.1361398736622221,0.13699270901379534,0.004566513229023154,0.01993086918014956,-0.00586026837024645,0.013633276087389257,0.019695364915328334,0.008458620821392596,0.009110970331640314,0.024426533520429394,0.1053893463106112,0.0162359189444301,0.3422011459656562,0.008581596421129493,0.12385657537097307,0.045437562309341394,0.04459529448660408,0.025858874954575027,0.03137981893293066,0.023367937643863787,0.017456354331101674,0.03984381575316881,0.04967277455293122,0.05145499367651418,0.05586858836410964,0.05840696691331453,-0.03354522699709526,-0.015410664230232018
Net Interest Income,0.08524255197455972,0.10633807320073742,0.10144214032794661,0.1416038020352911,0.13915646333661505,0.1567936274671176,0.026776261787305397,0.030436240617503628,0.04176979650470836,0.049674839130281576,0.024976603229192824,0.007350461352580889,0.01456912994936765,0.1700390252799268,0.27460183980829567,0.9355231159707635,0.09185973358359062,0.8911135827095737,0.2600969847586818,0.1067145754477725,0.11626644760736007,0.029147399123546185,0.13253057921431732,0.13078054149286533,0.12056506691546443,0.10916034285868553,0.11194860472171368,0.10308393162491314,0.12355664391450462,0.12610373321563031,0.10287462386321815,0.09984139816683928,0.1008883345860665,0.18345629295538662,0.017152652254850374,0.1034845794145887,0.12135866600723924,-0.0006154695774697461,-0.0033356399980848015,0.0012156236333758451,-0.018272713899663975,-0.013131201753579765,0.04420424550941002,0.05605503300908093,0.01994418490854289,-0.02341133040484661,-0.015562910902295645,-0.005457017048583899,-0.004902047314180336
Other Income (Expense),0.03625933796871724,0.06286655607050118,0.05812967333446284,0.2342367773499039,0.23437989710214432,0.180565150870459,0.09235390736222657,0.10084645433725692,0.06231546654001995,0.054898316754328096,0.026018328204798054,0.023547579120973463,0.007479501848949677,0.27827105038624467,0.10561703496245481,0.10837374127090764,0.096844223362746,0.11472778208029179,0.14262349000623833,0.0522261340528077,0.31123721765106754,0.15309561311355518,0.3208408868379735,0.11248892071584912,0.13647923329617367,0.09156114317502095,0.09449439097871375,0.09345553179576467,0.04600963556135705,0.024362674832262506,0.08915526390559193,0.08157904350574031,0.06358990429073638,0.30445435784898617,0.007298357549553172,0.020398708895829662,0.14883633549897934,0.03830831906667091,-0.007591337538903498,0.01135974558622348,-0.013728345579900313,0.00021071982363417112,0.0005889338368937486,-0.0023523921997789746,0.015478985645782354,-0.0021746938471038308,-0.007733599202644315,-0.02906628579163872,-0.02906628579163872
Pre-Tax Income,0.05354376095987116,0.10402273573642357,0.02366640548173405,0.028230846105793322,0.038299120134548274,0.09373347463490721,0.013929142524875114,0.02456932889455308,0.033118102680887516,0.03653339929940455,0.013025290356986158,0.0009941684447493985,-0.00907195206524427,0.10505967525994404,0.10294451161804256,0.1015760722706684,0.011095327072760853,0.10672016190112467,0.128379572677633,0.015067069464704574,0.10700799962767471,0.030259091378658332,0.059324006458717084,0.5027399327111816,0.14969346207969364,0.07500091324789217,0.01742986452091912,0.0873791684314828,0.08576082384961499,0.08521038980139543,0.056192093271854024,0.04932444011805791,0.09194559825329396,0.14584911757471955,-0.010518503641687377,0.11968983355546645,0.11584308284351168,0.006552152070823265,0.0029837401586790464,0.0014391034748951373,-0.024489025075812156,-0.022364710295699936,0.04382916996776936,0.03955675709352948,0.018384623860607206,0.007620164708899022,-0.039493092109758696,-0.034509433712175575,-0.03673501210948992
Tax Provision,0.09260937970621126,0.0398046589367508,0.045993031958842925,0.06062890908341296,0.07661948837431215,0.03069491060661079,0.024225622823890913,0.021586349802396966,0.030810468083464552,0.047089269779111285,0.03565530576984823,0.0316483952778302,0.03049311470720256,0.07068726801785344,0.02082588915114182,-0.005043384066819212,0.016650275079253714,0.02870781862743808,0.027040009436539197,0.021769082599828515,0.07851387021200285,0.02018916589532801,0.027626740152193328,0.11662448737732323,0.5534875903754428,0.018941527698145565,0.017596183622504338,0.06322728937399545,-0.00027082365531735887,-0.005882587640792856,0.06798046417096847,-0.0036487839527961697,0.02389927950720694,0.2041499743118311,0.02597038780010587,0.09796328151484077,0.008036454608380518,0.04478343400802308,0.03396318379858503,-0.0014382282805652253,0.015343411997755562,-0.007719746634718966,0.060062962406738724,0.05497245801003532,0.00921207217774695,0.06508149896778709,0.00911508416586444,-0.01047439053539645,-0.014188048507601294
Tax Rate %,0.10718846596488701,0.16916818811671464,0.08464619861755064,0.16860883573843527,0.08990646323939869,0.06692029083686891,0.06954657016812427,0.09618357029362297,0.06287856874809407,0.08105082716105035,-0.005696824835198697,0.01897622093118981,-0.011850869569733535,-0.014645768607712193,-0.013683587658263096,0.05242740643804711,0.051480897118541556,0.0978756669405725,0.003034043480673437,-0.0033064483446941344,-0.0036717701546414056,-0.011592492253738452,0.015115295587792656,0.08067425316825777,0.01635039431072373,-0.016058632047092677,-0.009986589748723435,-0.03329783148432187,-0.026492787833424344,-0.036935560532380375,0.005509275446444965,-0.005575915246739425,0.17374736021824905,0.01538147620241367,-0.004519649743991985,0.30871424048916113,-0.009865394686340598,-0.0027556213870308095,0.0087267092806071,-0.007488829566769682,0.0147637650713013,0.002724894314680691,0.07207492495325969,0.07194891452455265,0.03674411008927052,-0.011617734007864196,0.028900539016222738,-0.039698468295422486,-0.025020524712175675
Net Income (Continuing Operations),0.048121894453557884,0.06429439648096541,0.04887989252273245,0.07737946530946666,0.0231417878590187,0.29194061492460094,0.12582624997727626,0.07156515807280264,0.054321537995266074,0.057900829957381786,0.03155546351902552,0.03487494366715303,0.08309138615988461,0.11008422332242362,0.07112274964037262,0.08731103689575587,0.09540191198235919,0.1110649586207436,0.09004350829322294,-0.0015562660936850993,0.10873395919117439,0.10788718159295439,0.11488818225653083,0.06696070272036675,0.0343410953522001,0.23657084539422715,0.23657084539422715,0.08717617276051581,0.09185602468236229,0.09483996811508148,0.09808449783514728,0.08629785718399641,0.0967807022931359,0.25542530445316536,0.08670521533030354,0.01554115281280673,0.0454648374209037,0.10453811966590543,-0.023687319794461488,0.050030534431583354,-0.030219579057885877,0.042057515181429764,0.047466504575418934,0.03760973259174031,-0.018247563283963517,-0.05188347601547484,-0.05364721696377255,-0.020978415854887307,-0.029834050688132573
Net Income (Discontinued Operations),-0.01741014844305892,-0.011919130337693295,0.0248934278552614,-0.009142479410769531,-0.011072749649900925,0.08564069459407013,0.09341532698328486,0.06952859650670487,0.015836588154664908,0.04057129182974653,0.16192235308947703,0.12705557103167098,0.18126085699316424,0.09575251089929807,0.24313826755171086,0.26492201867236415,0.21099751301182873,0.1041429775599415,0.18468536251560552,0.07241132846186785,0.18941255034016993,0.20575902135917523,0.06697829544566487,0.16805069643609638,0.08042049133710136,0.38837116466800436,0.5488149230801554,0.22247441772100865,0.223036015770562,0.1964887373111648,0.09418885191847431,0.08064683276939644,0.05214743373911805,0.14030764785192043,0.21985881852403957,-0.022851983178366887,0.10776014012649152,0.189629297308503,-0.02663678342995241,0.030494926671270534,-0.048710752123883524,0.021162088683216916,0.03152417507172622,0.029610389944692398,-0.0007492281052602482,-0.01595886571092306,-0.007726870625553201,0.03729366023957192,0.08439387318434338
  Other Income (Minority Interest),0.07814098475374558,-0.0024504428351979296,0.017772867554699635,0.18968900552649087,0.19849172193401726,0.13174858650913018,0.017114522341834013,0.02095521286862593,0.020731285544091173,0.044328602575950476,0.056359040477631836,0.05160342505651031,0.06103419734084041,0.17349116668086928,0.15211465405140984,0.12422550972233218,0.19296230216327248,0.3003126137829162,0.16219639742585765,0.15561056517950833,0.17450760170634616,0.10676580954326965,0.13800470874532916,0.13449044518591222,0.16252043478628236,0.15239129659247164,0.10217769179164725,0.3225587557159169,0.16253260133061312,0.14753457884540472,0.11400743551082038,0.10568001911061604,0.09090025227696429,0.20153034213018267,0.06805945209259107,0.07262973759158482,0.15804692672038068,0.06435089739079564,0.026071315132983913,0.015872593882805406,0.019734964942472767,0.009468310354565088,0.055838059618596135,0.051623551045402595,0.04881564743813126,-0.022073776910853316,-0.01030913257924096,0.01200782898384219,0.02274591221043342
Net Income,0.0862914378230931,0.0924532879371509,0.10275136737384455,0.09158091788656784,0.016170586072076873,0.13302022764928106,0.010537526637298705,0.019067963277011206,0.032342296818469694,0.047340524392663244,0.0014980662227586563,0.0037003126475745607,0.0013011679892311508,0.09555814509515122,0.25668934417654665,0.24619030301192935,0.08844989814622164,0.11570287871633203,0.2664522461661808,0.017073878838145325,0.10146035928141914,0.027331826090244815,0.09936277580380419,0.06895713152354867,0.09796736183703501,0.46896073491943413,0.46903356958391706,0.4425300247065925,0.4812679899280743,0.4794065601429003,0.06956105823544351,0.04860755606725981,0.06327631954206493,0.12344498933195736,-0.023424867943457283,0.06418695842314999,0.09696239309352887,-0.00767865730019301,-0.0066843840360102345,-0.012481845114877106,-0.02178027599921359,-0.021805287265302856,0.023277974731086365,0.022458944828653907,-0.011114468869813286,-0.009311776875237387,-0.04258317405141062,-0.03128943605265038,-0.03009920100088369
Net Margin %.1,0.18916729219634293,0.0886669356516606,0.09984536821895625,0.042251654571628564,0.0402479988303213,0.09565254787415023,0.07038638986089849,0.09736650125095109,0.12784479122305936,0.11726099444721567,0.021656371056090157,0.01765155027409023,-0.014569352701616082,-0.032033278447180416,0.07559881624863922,0.04035865698336009,-0.0035703083850488586,0.06974937398461989,0.0460381276475287,0.0020901073964302115,0.005944683002852534,-0.0031706068646943472,0.03825367350519203,-0.005088575513920121,-0.0080076145078151,-0.00863348121892686,-0.009092491870586607,-0.002817922424240649,0.001423096291758054,-0.01964887553192669,0.0073109966928399705,-0.025897523943013458,0.06036726017189224,-0.04241262660252019,-0.015679507639401173,0.012302705630516506,0.007701922273414761,0.0038488885370211758,0.04151656507365665,0.04544873066315852,0.02859936808898088,0.03402239020631436,0.09819331246306899,0.09943315923057404,0.0415643207104058,0.03035333204633941,0.031152767160147338,-0.018737654052388673,-0.012107953379509274
Preferred Dividends,-0.015805172355721795,0.0016568026228200514,-0.002334935705976813,0.005467566287885422,0.0028030410663687413,0.00854023257923874,0.02455911479487328,0.020495858571995342,0.02412687890730049,0.04084577629764995,0.11654402700090245,0.10647646016781186,0.09112662163289567,0.018770187157033717,0.12883617957040475,0.11217567605490972,0.11750373231655377,0.08655422647508657,0.09384781201274346,0.04758280871002174,0.0966546007609144,0.08387230989092322,-0.022291360721258823,0.0904326500485944,0.018373420684212525,0.07754610650534761,0.08333236907270862,0.06603056202415535,0.14670051186939215,0.12420860967723359,-0.009922788203156402,-0.009081311009472862,-2.8555998904588806e-05,0.06083490581140338,0.09380920276587111,-0.02243491848547232,0.05821043911430259,0.041990857971520794,-0.023529572720937246,-0.03421725619087908,-0.005031434701201555,-0.009654434621943542,0.004714901597062693,0.05676809270865679,0.046081225378497875,-0.028064737903407428,0.03199280250722171,0.03042788873041343,0.10403052657383953
EPS (Basic),0.17996551736917374,0.07543086062027751,0.07313962360856043,0.0711103978577243,0.1400120860310802,0.07585945119108163,0.07434469015339049,0.07381274055889488,0.05451233548558738,0.08518763300856828,0.006710986568667951,0.016712739584553056,0.010776119958966542,-0.043080705263589224,-0.00565991680713482,0.010251041530718185,-0.03717170383656037,0.13017456625013535,-0.003300949798232909,-0.028675241479797296,0.028500159964912,0.023251741922157326,0.037665832364253166,0.06265285427305128,0.02185953979619732,-0.016750911013166836,-0.022748782563056416,-0.024421090550365458,-0.02411241610830409,-0.024291404298452494,0.07119151861094257,0.06672366014874001,0.07706559421392203,0.013983443525196051,-0.017784921021384237,0.009875535716605828,0.05764955975115929,0.0014771688815674987,0.6125918400077074,0.11463323242109358,0.1362874603449122,0.09499116946050354,0.13341683958142728,0.09235986501071579,0.13335328328252163,0.3912017633390623,0.2484410683547597,0.10174080897980338,0.06464625886793815
EPS (Diluted),0.17556806713099762,0.14207944737491524,0.1078925536625205,0.11699040130062498,0.09134042823226397,0.058445061087997525,0.057783120516035784,0.07561555110481832,0.04287013675293977,0.13072952317375303,0.006432350799695792,0.05162317049766829,-0.016744380621205705,-0.0674082490251145,-0.00544893798646965,0.012606856615033,-0.028040442110482205,0.13948528455463943,-0.003024133086299296,-0.029028194805530816,0.02877697667684561,0.022348519647398146,0.015171633931733994,0.06176252485183982,0.0173977155414594,-0.005944215882200969,-0.022626996786836558,-0.024037901328469828,-0.022521328575548272,0.007028349212974243,0.07787491798352818,0.08663881576537072,0.08152001307296391,-0.005419420785553667,-0.005867251603496002,0.015260207652910652,0.05773381869024884,0.01997867249927561,0.2991690113044176,0.121338616364334,0.30673788732201374,0.11743560285617889,0.08982760821443386,0.1510893258590512,0.17033105351191793,0.1676458264425354,0.3310067000819976,0.014121172150732745,0.10695215849550915
