,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,Selling and Marketing Expenses,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Net Investment Income,Gain/Loss on Investments and Other Financial Instruments,Irregular Income/Expense,Restructuring and Reorganization Income/Expense,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Effective Tax Rate,Reported Normalized Income,Reported Normalized Operating Profit,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Diluted EPS,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
Dividends per Share,0.1731345508723414,0.0974297175669594,0.09441410639579483,0.025263966725855888,0.03541634754105025,0.10906920048754094,0.10941212459123113,0.11168585150161926,0.10872274850403991,0.16144373268137263,0.02824133154019021,0.019281300829635407,0.03582636893353912,0.013613080297927566,0.04849657852684087,0.0385752455441563,0.01070953275164396,0.15438215612866685,0.07497633776501181,0.07686731656593296,0.05130189412938177,0.025093311834937765,0.0730934801216236,0.027064524105025637,0.07803961936539328,0.008732955905264048,0.0114788675560663,-0.0022394333474395275,0.07056378286123952,0.0705888080544412,0.057804932311751274,0.03556481139209019,0.097800170933006,0.04747032373686063,0.03222347864922991,0.02052616178355888,0.08423678846920239,0.07820435795050815,0.0600366132296742,0.05205463519260974,0.06263682427705775,0.06449230143548805,0.20926038471877145,0.2048793727124888,0.08517306026958131,0.04907099109892692,0.07512705218098543,-0.028741462482247612,0.036275657376367385
Book Value per Share,0.054345665981876054,0.07476425108410788,0.07476425108410788,0.01626436034974745,0.022941173313226655,0.07129553765726565,0.07548900987052357,0.07710042243117726,0.07215842981537676,0.08134364487875757,-0.009934646707905934,-0.00040564491212275334,0.005638554182463132,-0.03438220372569977,0.01379185401190993,0.013909837801583358,-0.012329984949883604,0.065877201045854,-0.020453618182376898,-0.008789892875995096,0.012296537213602944,0.00186634554189068,0.05712372773805666,-0.004847514587607179,-0.0013066079057431831,-0.001305469019400457,0.0027110023466250435,-0.0022687803852659153,-0.0035890750331323902,-0.003997016750892009,0.0646617239347336,0.06231672826713213,0.06914652776709344,-0.0469758444380564,-0.002813651478896928,-0.00267193143438779,0.011640807351123304,0.013445005573811768,0.032292239449487954,0.03023257343349104,0.022699584678035595,0.021162056372341174,0.08919178750491631,0.08845503050423593,0.04425078569228346,0.006469780885653224,0.003017236626559012,-0.0406920153636523,-0.027924180812630744
Tangible Book per Share,0.062267427002534854,0.07176756489061677,0.07270710441405948,0.039713862438316955,0.04040412570784579,0.0912187981512394,0.07659997025006074,0.07558164099605355,0.07556742619722683,0.08597039476709918,-0.0026921468735610667,0.0006208203126728288,0.00512256118681639,-0.03901940677998705,0.01936230973680863,0.019577607098571193,-0.01436711732016922,0.07385114671640655,-0.019249355386073367,-0.0057454391928428465,0.014341677622051342,0.009976752521451228,0.06884964369203293,-0.02760738431162478,-0.0016380906849197269,-0.0009141841876812084,-0.0005673632382928537,-0.0019097835516007043,0.004484395077539007,-0.0017833642739009297,0.04668025973639569,0.0441693509184021,0.0679228721469729,-0.03686142995192361,-0.0021696005909851565,0.005238077044232312,-0.005578421973206607,0.014405905644207677,0.041059690604907356,0.03338980325311565,0.032275827324047074,0.025961959725117778,0.09691499677475486,0.09621824231553715,0.049128063475167724,0.0032612156988933326,-0.0019044764506612165,-0.03128147530530616,-0.0388907433297525
Total Debt per Share,0.14251802989726028,0.23442236934739158,0.07981977703772059,0.07883163153152373,0.09982187381476472,0.08467240958468351,0.07715296709779375,0.08018911222993856,0.08211110349463621,0.12291653106071312,0.014608686165757714,-0.0031436194750365416,0.06344740599312218,0.05162082582525657,0.1033504365458741,0.08148772233835608,0.05804076514207398,0.12087806853847022,0.014643507850874895,0.008120769097500086,0.011202446473713231,0.00660232682604043,0.019577869510957628,-0.0015645109257049657,0.017829597769990577,-0.0014911274423758912,0.0021897843016601276,0.0010027946415756845,0.026106506178866278,0.024715815112301573,0.052558276568839095,0.036301446085004026,0.1870738733788907,-0.05437283878583193,0.028097791444414762,-0.006519333656967356,0.03008390124632869,0.028428767669859856,0.033875343116671355,0.029698660551884644,0.009812349124928933,0.024813557012200626,0.19121492210006247,0.18807297740642784,0.03154298637813644,0.017978392369325878,0.019427298915486328,-0.011169036094590253,-0.005865947325661499
Month End Stock Price,0.05286951308761968,0.05539314177544628,0.05489004707385875,-0.07572987103997664,-0.020351371056775078,0.056952412081277534,0.06732564861937357,0.04533031692070128,0.06430888402002233,0.07187110883902507,0.000737510770947779,0.007425077413313313,-0.031961754204527355,-0.04513226335375519,0.007875598601104544,0.014246744069273991,-0.03013693860403579,0.05012258215892197,0.0004989911564027023,-0.0036244126579929366,0.005705554526123317,0.0083980322398285,-0.002242308176866225,-0.031578340527728836,-0.038981555107642146,-0.022672932878165734,-0.021820492127526618,-0.02430311184280337,-0.02691282229058501,-0.010091436170105907,0.02160071069768469,0.02030740866113928,0.053232991651173726,-0.07024864122067173,-0.03392226700703751,-0.02116970022642304,0.00570523402391898,0.007373892552050332,0.0026218544497677186,0.00843786642708076,0.0007130717571281033,-0.002516441135812051,0.046189076524527584,0.04163902096943707,0.060679435236608854,0.00881369279642474,-0.001269463742307259,-0.05858576529337455,-0.05749438497554542
ROE %,0.0579368261673369,0.01943452639297874,0.015720337470533897,0.006314964612894273,0.005440918417528101,0.016056252320671028,0.017113260568366484,0.019203230756881795,0.016405275499623298,0.00417346541175719,-0.025257611630380733,-0.02606954860297945,-0.022984421354679395,-0.06049737312755595,-0.008405832503345034,-0.01571250973505171,-0.03330876083584648,0.02693066131084802,-0.027984840552458742,-0.025970701453165632,-0.01144182044726968,-0.012149422505243378,-0.012562469154612774,-0.016328728575746066,-0.01083164169161096,-0.026894895313354046,-0.027888244289333227,-0.02489203168883111,-0.02618933962369693,-0.026763137218109505,0.020935272302343728,0.01219790598837089,0.01602343973881184,-0.10622294301592823,-0.023992178118269387,-0.02975570113836891,-0.00806259045832945,-0.01152113617997432,0.019459471420826085,0.014613350169100483,0.008723327362729091,0.009081912931017257,0.004602431826615461,0.003966076623661498,0.028230194345244528,0.003929671970254987,-0.0017938906137234228,-0.023592820106027486,-0.017231643823599284
ROE % Adjusted to Book Value,0.030569201092250115,0.018377727852281988,0.021644998163249104,-0.07641581710423027,-0.07880330255681922,0.024677320535232923,0.03245023336449264,0.02138985894563751,0.022727856068706538,0.02955786430227633,-0.003758111490135232,-0.004243411734384006,-0.013844632313876077,-0.04917719162695887,0.009127735402002311,-0.00011221574541818696,-0.03573628178188375,0.03508087445702037,-0.00433679864467209,-0.0010430738855209268,-0.021872134230112077,-0.010552376516356564,-0.003444365990770104,-0.023568189626847567,-0.01629670178877339,-0.01467970039856453,-0.014876460433094029,-0.014045260984660088,-0.013299293117064421,-0.0003780364467670357,0.021153542638370958,0.017208608102216697,0.009131979973217644,-0.03514838682466028,-0.0014630250640406653,0.003470921117313822,0.015772058903058904,0.008157984379157322,-0.0146152344206303,-0.01677973667680712,-0.0034521486357098367,0.00674951630102605,0.06478936715559815,0.06526836898885328,0.0661476819478462,-0.032782673909762194,0.0124789114693936,-0.047828848886082416,-0.02721458034634642
ROA %,0.12721172207893772,0.055760573288980535,-0.01046037329011055,-0.12662671647189291,-0.11464692259947894,-0.014821708772529578,-0.008760981347967883,-0.00286479346252898,0.0001541862974329955,0.028614972293933446,-0.028368870414906208,-0.03464500476365276,-0.04996805501454972,-0.06885329581913427,-0.01883892747335969,-0.02846047209324512,-0.04617351285288369,0.01353667057058352,-0.032918054966331725,-0.023105770658495298,-0.027771610982611685,-0.018640083160364578,-0.015261931167122333,-0.03526212458577342,-0.015246459240323975,-0.03719976711290266,-0.03584787093690024,-0.043585314968816985,-0.04045008407352113,-0.036283933740704724,-0.009981653279056474,-0.014177757894975301,-0.016891201789118366,-0.11423570301503731,-0.041718771116760305,-0.04954266443277508,-0.010388998493051287,-0.007827306697019573,0.002531574826569843,-0.005957764472506848,-0.014014997019166104,-0.009759287188730835,0.015174642858507066,0.01668762309699053,0.029736598470666405,-0.012224301762471164,-0.025398535371141784,-0.03567041559343671,-0.03450375765193273
Return-on-Tangible-Equity,0.02906618230622143,0.03040225156217967,0.02357959678550979,0.03787580445765108,0.046220705441555654,0.0319179997539433,0.03287386281261911,0.03656109019756903,0.028495423328809357,0.02264246433044888,-0.014604745096768412,-0.01638289804568068,-0.005770863103719478,-0.03028268524220724,0.007414307608394922,0.00923341323640971,-0.01903070041686007,0.03543328343587057,-0.015017120584023573,0.025497783647629283,0.0070871828523559575,0.01434678468256717,0.018811983785018704,-0.0007268034860325517,-1.596900770026253e-05,-0.022833898968520765,-0.013183600600721039,-0.008799412366436834,-0.004976357436514332,-0.00833293147931162,0.043755937801649734,0.038070001942047654,0.032124438798754935,-0.07736190940833777,-0.010079481571284861,-0.022733996400364505,0.011204574209431186,0.01262538255229277,0.015921824669597864,0.03149013268722748,-0.003565790491790742,0.02172673774980053,0.047353083612028564,0.04839097908251198,0.02161395384930908,-0.00018452223539338155,-0.0029975787986103244,-0.018084233733719677,-0.022035868871405902
Return-on-Tangible-Asset,0.05635475594481172,0.06869760016739793,0.07727266723190147,-0.10473894167451792,-0.08008039313038486,0.0812242961329362,0.08196098686014067,0.07113590937452835,0.08064587049612386,0.05581330913892852,-0.021117831296102743,0.0009756879209144222,-0.0311548455614493,-0.04455370128987179,0.0059957734264351305,0.005839387699631275,-0.046905098707158574,0.03505609558538594,-0.022505316318277846,0.038516884105360694,0.0009606121317156232,-0.0012996806823546512,0.018963105492846466,-0.02666843992725206,-0.014485290950244811,-0.03775198429268798,-0.03896038806980792,-0.03040746243671771,-0.029820767959671274,-0.028806715083055903,0.022136620597451088,0.014728727641765742,0.0722487237144472,-0.06546682862775038,-0.03500826512232262,-0.024155038083214696,0.0029020493909250105,0.002157341397091692,-0.029642321654187086,-0.005692242801593,-0.037671256186127905,-0.031112470287844522,0.057470371598517825,0.06200551912115322,0.036122991868192685,-0.0475272499519113,-0.05313852711913202,-0.03651853266749444,-0.03445410561708971
